time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,PSAR,Long Start,Buy Label,Short Start,Sell Label,,PSAR,Long Start,Buy Label,Short Start,Sell Label,,ADX,RSI
1590715800,22467,22487,22467,22484,NaN,NaN,NaN,NaN,NaN,NaN,57,NaN,NaN,NaN,NaN,NaN,NaN,22476.25,NaN,NaN,NaN,NaN,NaN,22476.25,NaN,NaN
1590716100,22518,22518,22518,22518,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,22467,22467,22467,NaN,NaN,22518,22467,22467,22467,NaN,NaN,22518,NaN,NaN
1590716400,22478,22566,22478,22516,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,22467,NaN,NaN,NaN,NaN,22509.5,22467,NaN,NaN,NaN,NaN,22509.5,NaN,NaN
1590716700,22551,22600,22551,22600,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,22478,NaN,NaN,NaN,NaN,22575.5,22478,NaN,NaN,NaN,NaN,22575.5,NaN,NaN
1590717300,22626,22626,22626,22626,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,22478,NaN,NaN,NaN,NaN,22626,22478,NaN,NaN,NaN,NaN,22626,NaN,NaN
1590717600,22615,22676,22615,22637,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,22520.92,NaN,NaN,NaN,NaN,22635.75,22522.4,NaN,NaN,NaN,NaN,22635.75,NaN,NaN
1590717900,22643,22643,22612,22612,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,22567.444,NaN,NaN,NaN,NaN,22627.5,22568.48,NaN,NaN,NaN,NaN,22627.5,NaN,NaN
1590718200,22658,22659,22658,22659,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,22600.0108,NaN,NaN,NaN,NaN,22658.5,22600.736,NaN,NaN,NaN,NaN,22658.5,NaN,NaN
1590718500,22667,22667,22667,22667,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,22612,NaN,NaN,NaN,NaN,22667,22612,NaN,NaN,NaN,NaN,22667,NaN,NaN
1590718800,22652,22652,22652,22652,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,22631.2,NaN,NaN,NaN,NaN,22652,22631.2,NaN,NaN,NaN,NaN,22652,NaN,NaN
1590719700,22660,22660,22660,22660,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,22644.64,NaN,NaN,NaN,NaN,22660,22644.64,NaN,NaN,NaN,NaN,22660,NaN,NaN
1590720900,22705,22705,22691,22692,NaN,NaN,NaN,NaN,NaN,NaN,18,NaN,22652,NaN,NaN,NaN,NaN,22698.25,22652,NaN,NaN,NaN,NaN,22698.25,NaN,NaN
1590722700,22608,22608,22608,22608,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,22705,NaN,NaN,22705,22705,22608,22705,NaN,NaN,22705,22705,22608,NaN,NaN
1590723000,22605,22605,22605,22605,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,22705,NaN,NaN,NaN,NaN,22605,22705,NaN,NaN,NaN,NaN,22605,NaN,NaN
1590724500,22581,22590,22581,22590,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN,22682,NaN,NaN,NaN,NaN,22585.5,22681,NaN,NaN,NaN,NaN,22585.5,NaN,63.451776649746186
1590731400,22640,22640,22640,22640,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,22655.74,NaN,NaN,NaN,NaN,22640,22653,NaN,NaN,NaN,NaN,22640,NaN,67.84610099622122
1590732300,22567,22567,22567,22567,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,22640,NaN,NaN,NaN,NaN,22567,22640,NaN,NaN,NaN,NaN,22567,NaN,57.05935951285641
1590732600,22565,22565,22565,22565,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,22640,NaN,NaN,NaN,NaN,22565,22640,NaN,NaN,NaN,NaN,22565,NaN,56.792948843382305
