time,open,high,low,close,Volume
1682313000,19800,19800,19800,19800,1
1682579700,19248,19248,19248,19248,1
1682580300,19890,19890,19890,19890,1
1683594900,20081,20081,20081,20081,1
1684462500,19514,19514,19514,19514,1
1684820100,19530,19530,19530,19530,1
1684824000,19304,19304,19304,19304,1
1684898700,18988,18988,18988,18988,1
1684937100,18800,18800,18800,18800,2
1684938000,18800,18800,18800,18800,1
1684938600,18800,18800,18800,18800,1
1684979700,18675,18675,18675,18675,1
1684990800,18555,18555,18555,18555,1
1684991700,18510,18510,18510,18510,1
1685000700,18510,18510,18510,18510,1
1685326500,18486,18658,18486,18658,2
1685425500,18280,18280,18280,18280,1
1685428200,18391,18391,18391,18391,1
1685459100,18128,18128,17846,17846,4
1685459400,18214,19000,18214,19000,4
1685495400,18200,18200,18200,18200,8
1685495700,18156,18322,18146,18197,63
1685496000,18200,18225,18199,18214,48
1685496300,18220,18233,18220,18228,13
1685496600,18220,18220,18179,18182,10
1685496900,18158,18168,18123,18142,84
1685497200,18111,18163,18098,18098,17
1685497500,18089,18110,18086,18110,7
1685497800,18126,18184,18126,18170,29
1685498100,18138,18143,18118,18124,51
1685498400,18105,18135,18105,18135,35
1685498700,18092,18092,18092,18092,9
1685499000,18088,18088,18088,18088,5
1685499300,18061,18061,18061,18061,1
1685499600,18049,18049,18049,18049,1
1685499900,18020,18041,18020,18041,9
1685500200,18040,18053,18025,18025,8
1685500500,18060,18060,18036,18050,13
1685500800,18044,18044,18020,18020,11
1685501100,18000,18000,17978,17978,12
1685501400,18002,18015,17995,18015,17
1685501700,18026,18026,18026,18026,1
1685502000,18010,18010,17991,17991,2
1685502300,17993,17993,17969,17969,3
1685502600,17971,17979,17971,17979,7
1685503200,17964,17964,17957,17957,3
1685503500,17975,18002,17975,18002,8
1685503800,17980,17980,17980,17980,2
1685504100,17965,17969,17965,17969,6
1685504400,17979,17984,17979,17984,3
1685504700,18012,18012,17993,17993,34
1685505000,18003,18003,18003,18003,2
1685509200,17973,17973,17950,17964,18
1685510100,17942,17942,17942,17942,1
1685510400,17972,17972,17972,17972,2
1685510700,17924,17936,17924,17936,5
1685511000,17929,17929,17922,17922,6
1685511300,17900,17900,17900,17900,4
1685511600,17880,17880,17875,17875,7
1685511900,17885,17912,17885,17912,5
1685512200,17930,17955,17923,17955,77
1685512500,17960,17970,17960,17970,7
1685512800,17954,17957,17931,17949,10
1685514000,17917,17917,17917,17917,2
1685514300,17916,17916,17910,17910,5
1685514600,17911,17911,17892,17901,8
1685514900,17931,17935,17926,17926,10
1685515800,17954,17954,17954,17954,2
1685516100,17950,17950,17950,17950,2
1685517300,17976,17976,17972,17972,4
1685517600,17968,17977,17965,17977,7
1685517900,18008,18052,18008,18036,106
1685518200,18013,18014,18013,18014,2
1685518800,17977,17980,17977,17980,3
1685519100,18000,18010,18000,18010,6
1685519400,18020,18020,18017,18017,6
1685519700,18009,18024,18009,18021,7
1685520000,17999,18017,17999,18015,5
1685520300,18025,18068,18023,18068,27
1685520600,18036,18036,18036,18036,1
1685520900,18076,18081,18076,18081,2
1685521200,18118,18118,18118,18118,4
1685524500,18069,18071,18069,18071,2
1685524800,18084,18086,18084,18085,21
1685525100,18113,18114,18113,18114,41
1685525400,18114,18114,18102,18102,40
1685525700,18093,18095,18093,18094,74
1685526000,18102,18111,18100,18109,46
1685526300,18111,18111,18100,18103,33
1685527200,18086,18086,18084,18084,18
1685529300,18091,18091,18091,18091,4
1685533200,18124,18124,18100,18100,10
1685539800,18005,18005,18000,18000,39
1685540100,18001,18001,18001,18001,1
1685544300,17945,17945,17941,17941,2
1685546700,17872,17872,17872,17872,1
1685547300,17858,17858,17858,17858,1
1685547600,17855,17855,17855,17855,6
1685548500,17867,17867,17867,17867,1
1685582100,18049,18049,17982,17982,51
1685582400,18018,18018,17998,17998,9
1685583000,18003,18140,18002,18140,30
1685583300,18145,18150,18080,18080,9
1685583600,18070,18070,18035,18035,16
1685583900,18044,18175,18044,18175,96
1685584200,18143,18249,18120,18244,107
1685584500,18235,18258,18200,18200,54
1685584800,18198,18210,18198,18210,36
1685585100,18200,18200,18150,18150,48
1685585400,18101,18111,18101,18111,8
1685585700,18080,18086,18068,18068,11
1685586000,18060,18107,18051,18107,38
1685586300,18122,18122,18118,18118,5
1685586600,18144,18165,18135,18165,44
1685586900,18168,18213,18164,18213,48
1685587200,18223,18223,18210,18220,3
1685587500,18247,18257,18220,18220,10
1685587800,18218,18218,18218,18218,2
1685588100,18178,18178,18178,18178,1
1685588400,18184,18195,18184,18195,4
1685588700,18207,18290,18207,18266,14
1685589000,18220,18237,18220,18236,6
1685589300,18232,18237,18209,18222,14
1685589900,18200,18200,18183,18183,2
1685590200,18182,18182,18182,18182,1
1685591400,18176,18176,18176,18176,1
1685595600,18172,18210,18172,18210,10
1685595900,18206,18233,18196,18233,13
1685596200,18214,18214,18211,18211,6
1685596500,18212,18221,18204,18221,8
1685596800,18236,18263,18236,18254,6
1685597100,18247,18247,18221,18221,8
1685597400,18221,18221,18221,18221,2
1685597700,18180,18180,18171,18171,2
1685598000,18185,18186,18182,18182,5
1685598300,18162,18210,18162,18210,5
1685598900,18152,18152,18152,18152,2
1685599200,18152,18159,18141,18149,17
1685599500,18133,18147,18133,18147,3
1685599800,18101,18115,18101,18115,9
1685600100,18105,18105,18105,18105,5
1685600400,18073,18073,18073,18073,1
1685600700,18072,18072,18072,18072,2
1685601000,18081,18081,18081,18081,1
1685601300,18055,18055,18055,18055,5
1685601900,18053,18068,18053,18068,2
1685602200,18069,18070,18066,18069,6
1685602500,18067,18071,18052,18071,39
1685603400,18090,18090,18090,18090,1
1685603700,18090,18090,18090,18090,1
1685604000,18084,18084,18080,18080,3
1685604300,18100,18110,18100,18110,2
1685605500,18067,18067,18059,18059,8
1685605800,18055,18055,18055,18055,1
1685606100,18039,18039,18030,18030,28
1685606400,18030,18030,18018,18018,4
1685607300,18047,18047,18047,18047,9
1685610900,18061,18061,18061,18061,1
1685611200,18061,18062,18061,18062,20
1685611500,18049,18062,18049,18062,76
1685611800,18062,18062,18056,18062,55
