time,open,high,low,close,MA,MA,Volume,Volume MA,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1530235200,28290,28292,28290,28292,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1530236100,28300,28346,28298,28346,NaN,NaN,23,NaN,28290,NaN,NaN,NaN,NaN,NaN
1530236400,28359,28395,28359,28394,NaN,NaN,38,NaN,28290,NaN,NaN,NaN,NaN,NaN
1530236700,28370,28370,28335,28345,NaN,NaN,21,NaN,28294.2,NaN,NaN,NaN,NaN,NaN
1530237000,28347,28357,28347,28357,NaN,NaN,2,NaN,28298.232,NaN,NaN,NaN,NaN,NaN
1530237300,28300,28326,28298,28326,NaN,NaN,3,NaN,28395,NaN,NaN,NaN,NaN,NaN
1530237600,28331,28355,28331,28338,NaN,NaN,11,NaN,28393.06,NaN,NaN,NaN,NaN,NaN
1530237900,28423,28426,28416,28419,NaN,NaN,16,NaN,28298,NaN,NaN,NaN,NaN,NaN
1530238200,28419,28419,28419,28419,28359.555555555555,28359.555555555555,5,NaN,28300.56,NaN,NaN,NaN,NaN,NaN
1530238500,28462,28462,28462,28462,28380.044444444444,28378.444444444445,3,NaN,28303.0688,NaN,NaN,NaN,NaN,NaN
1530239100,28520,28524,28503,28503,28404.635555555556,28395.88888888889,7,NaN,28309.426048,NaN,NaN,NaN,NaN,NaN
1530239400,28540,28580,28540,28580,28439.708444444444,28416.555555555555,4,NaN,28322.300485120002,NaN,NaN,NaN,NaN,NaN
1530239700,28580,28580,28570,28570,28465.766755555556,28441.555555555555,2,NaN,28342.916446310403,NaN,NaN,NaN,NaN,NaN
1530240300,28650,28660,28630,28660,28504.613404444444,28475.222222222223,5,NaN,28361.88313060557,NaN,NaN,NaN,NaN,NaN
1530240600,28630,28630,28630,28630,28529.690723555555,28509,1,NaN,28391.694817545012,NaN,NaN,NaN,NaN,NaN
1530241200,28669,28669,28669,28669,28557.552578844443,28545.777777777777,1,NaN,28418.52533579051,NaN,NaN,NaN,NaN,NaN
1530241500,28600,28603,28594,28594,28564.842063075554,28565.222222222223,102,NaN,28448.58229549565,NaN,NaN,NaN,NaN,NaN
1530241800,28582,28582,28582,28582,28568.273650460444,28583.333333333332,1,NaN,28475.032420036172,NaN,NaN,NaN,NaN,NaN
1530242100,28584,28600,28584,28600,28574.618920368353,28598.666666666668,2,NaN,28498.30852963183,NaN,NaN,NaN,NaN,NaN
1530244200,28630,28630,28630,28630,28585.695136294682,28612.777777777777,1,12.5,28518.791506076013,NaN,NaN,NaN,NaN,NaN
1530244500,28615,28615,28615,28615,28591.556109035744,28616.666666666668,1,12.45,28536.81652534689,NaN,NaN,NaN,62.397179788484145,20.564042303172737
1530250500,28595,28595,28594,28594,28592.044887228596,28619.333333333332,5,11.55,28552.678542305264,NaN,NaN,NaN,60.81740912652963,22.57520043402255
1530251400,28650,28660,28643,28660,28605.635909782875,28619.333333333332,7,10,28566.63711722863,NaN,NaN,NaN,63.72855256725147,20.83046684485247
1530251700,28700,28700,28698,28698,28624.1087278263,28626.88888888889,2,9.05,28578.920663161196,NaN,NaN,NaN,65.43288045086295,19.8516819331626
1530252900,28681,28681,28681,28681,28635.48698226104,28628.222222222223,5,9.2,28595.87177031863,NaN,NaN,NaN,64.08573357787603,21.50179354852979
1530253200,28710,28710,28702,28702,28648.789585808834,28640.222222222223,2,9.15,28610.449722474023,NaN,NaN,NaN,65.366132701411,20.735221365476434
1530253500,28685,28685,28685,28685,28656.03166864707,28651.666666666668,1,8.65,28626.37776687818,NaN,NaN,NaN,63.959087829671766,22.441442854771367
1530253800,28680,28680,28680,28680,28660.825334917656,28660.555555555555,5,8.1,28639.75732417767,NaN,NaN,NaN,63.5356689285348,22.95489231370763
1530254100,28670,28670,28658,28658,28660.260267934125,28663.666666666668,6,8.15,28650.996152309242,NaN,NaN,NaN,61.6455092465766,25.246952170739416
1530255900,28725,28725,28725,28725,28673.2082143473,28675.88888888889,1,8.05,28658,NaN,NaN,NaN,63.42549102046353,23.04880013558705
1530258000,28715,28715,28715,28715,28681.56657147784,28689.333333333332,4,7.9,28658,NaN,NaN,NaN,62.56960919511442,24.08720176785047
1530258300,28705,28705,28705,28705,28686.253257182274,28694.333333333332,2,7.8,28670.06,NaN,NaN,NaN,61.69328608610935,25.15040385934229
1530259200,28703,28713,28703,28713,28691.60260574582,28696,20,8.7,28679.949200000003,NaN,NaN,NaN,61.959255485713335,24.785005795783157
1530264000,28705,28705,28705,28705,28694.282084596656,28698.666666666668,1,8.5,28688.058344,NaN,NaN,NaN,61.21037468283846,24.485437718437808
1530266700,28712,28712,28712,28712,28697.825667677324,28699.777777777777,1,8.5,28694.707842080003,NaN,NaN,NaN,61.63744411652042,24.21585578939448
1530267900,28650,28650,28650,28650,28688.26053414186,28695.88888888889,2,8.55,28725,NaN,NaN,NaN,55.899445387704304,31.270809630809875
1530279600,28660,28660,28660,28660,28682.608427313487,28693.666666666668,1,3.5,28723.5,NaN,NaN,NaN,56.585619204843574,30.784257681564654
1530580500,28300,28300,28250,28280,28602.08674185079,28651.666666666668,5,3.7,28722.03,NaN,NaN,NaN,33.85306179600929,58.59080743677576
1530580800,28280,28280,28280,28280,28537.66939348063,28602.222222222223,1,3.65,28703.1488,NaN,-0.07051152316659925,NaN,33.853061796009285,58.59080743677576
1530581100,28280,28280,28280,28280,28486.135514784506,28553.88888888889,2,3.7,28685.022848,NaN,-0.08218281986035081,41.972616169269386,33.85306179600929,58.59080743677576
1530581400,28140,28162,28140,28155,28419.908411827604,28492.777777777777,4,3.85,28667.62193408,NaN,-0.09579651742845696,41.75226786868388,29.183714704061302,64.30237036836851
1530581700,28162,28162,28050,28050,28345.926729462084,28419.11111111111,3,3.75,28635.964618035203,NaN,-0.11184440285324226,41.826315166120544,26.146733988355532,65.97309785929572
1530582300,27953,27953,27953,27953,28267.341383569667,28335.555555555555,5,3.65,28589.087448592385,NaN,-0.1305813840118475,42.161676481577544,23.881118366005612,68.92153039027586
1530582600,27858,27888,27858,27860,28185.87310685573,28240.88888888889,204,13.75,28525.478703733148,NaN,-0.151228446642504,42.70622277887376,21.922759545796765,71.4701042948143
1530584400,28043,28043,28043,28043,28157.298485484585,28173.444444444445,1,13.55,28445.381259285172,NaN,-0.1712740966540005,42.22073247682425,30.873045055353625,61.280369888378786
1530584700,28051,28051,28051,28051,28136.03878838767,28105.777777777777,2,13.55,28374.89550817095,NaN,-0.1896213214303627,41.71250874149412,31.323613916126448,60.88094499731489
1530585000,28026,28026,27990,27990,28106.831030710135,28073.555555555555,7,13.85,28312.868047190437,NaN,-0.20618186547874337,41.41209817220985,29.76637264733365,62.825733584272726
1530585300,27904,27904,27904,27904,28066.26482456811,28031.777777777777,1,13.65,28258.283881527586,NaN,-0.22165608207335707,41.36396104741952,27.7211513034609,65.37994480836247
1530585900,27909,27909,27909,27909,28034.81185965449,27990.555555555555,1,13.4,28210.249815744275,NaN,-0.2352591304589713,41.28665600772392,28.023808644169435,65.10617564091974
1530586200,27884,27884,27884,27884,28004.64948772359,27960.444444444445,1,13.4,28167.97983785496,NaN,-0.24685606581936695,41.282778987662276,27.419517550141947,65.85860824437097
1530586800,27823,27823,27823,27823,27968.31959017887,27935.222222222223,1,13.25,28130.782257312367,NaN,-0.2565647028763463,41.443849686888775,25.980604637279146,67.65026958087861
1530587100,27790,27790,27790,27790,27932.655672143097,27917.11111111111,1,13.2,28087.692741288636,NaN,-0.26457854077636356,41.68268946045686,25.226735010973634,68.5889497818449
1530587400,27798,27798,27798,27798,27905.72453771448,27910.222222222223,1,12.25,28040.061902682453,NaN,-0.2700174298156694,41.852335544456004,25.776328861273683,68.08481150455859
1530587700,27790,27790,27785,27785,27881.57963017158,27881.555555555555,3,12.35,28000.05199825326,NaN,-0.27312273865313885,42.049798434271885,25.456277137695814,68.48108636360668
1530588000,27763,27763,27763,27763,27857.863704137264,27849.555555555555,1,12.35,27961.342638567672,NaN,-0.2731990411900227,42.29972801287427,24.905407939768455,69.16314991046801
1530588300,27913,27913,27904,27904,27867.090963309813,27840,2,12.35,27921.67411085414,NaN,-0.26891473320576187,41.49527519477181,35.00046587611981,59.86546300317761
1530588900,27867,27867,27867,27867,27867.07277064785,27835.88888888889,1,12.35,27913,NaN,-0.25968933501527747,40.86197763356253,33.81998114475008,61.219108074447014
1530589200,27862,27862,27862,27862,27866.05821651828,27830.666666666668,1,12.15,27913,NaN,-0.24559008177866337,40.27821859845679,33.658498459770705,61.40427797525893
1530589500,27943,27943,27943,27943,27881.446573214624,27837.222222222223,1,12.15,27763,NaN,-0.22647193055290957,39.21404527469398,38.65348057387031,56.78102913260754
1530594600,28000,28000,28000,28000,27905.1572585717,27856.88888888889,2,12.15,27766.6,NaN,-0.202586103102237,37.87457633317905,41.894149992024445,53.78153468104483
1530595500,27981,27981,27979,27979,27919.92580685736,27877.88888888889,7,12.3,27775.935999999998,NaN,-0.1746034867959951,36.69387493782661,41.053119388487026,54.709376486861984
1530595800,28098,28116,28088,28116,27959.140645485888,27913.222222222223,9,12.6,27784.898559999998,NaN,-0.1419605604199526,34.86245430294501,48.018059142175886,48.08096771796372
1530596400,28150,28150,28126,28135,27994.31251638871,27952.11111111111,32,13.95,27804.7646464,NaN,-0.10612687523837769,33.27558919050705,49.6128440187476,46.605863116208546
1530596700,28180,28180,28180,28180,28031.450013110967,27998.444444444445,1,3.8,27832.383474688,NaN,-0.06820737616047742,31.907387855949917,50.31188765964637,44.695468425669205
1530597600,28150,28150,28150,28150,28055.160010488773,28025.777777777777,2,3.85,27867.1451272192,NaN,-0.029279552924759235,30.45197498122629,48.905121146173315,46.24183384110329
1530597900,28180,28180,28180,28180,28080.128008391017,28060.555555555555,2,3.85,27898.43061449728,NaN,0.010002180016094231,29.215161213000385,50.365976728897344,44.91973184893635
1530599400,28237,28237,28237,28237,28111.502406712814,28102.222222222223,1,3.55,27926.587553047553,NaN,0.04949654519498072,28.30707738333632,53.05063860639727,42.490061963348616
1530599700,28212,28215,28202,28202,28129.60192537025,28131,3,3.65,27963.837046681845,NaN,0.08806815270855686,27.248384491135823,51.25860367591611,44.43273071378769
1530600000,28175,28179,28175,28179,28139.4815402962,28150.88888888889,2,3.7,27996.616601080023,NaN,0.12491272474514528,26.09335523723297,49.890111117078796,45.916255216598536
1530601500,28300,28314,28300,28314,28174.38523223696,28188.11111111111,4,3.85,28025.46260895042,NaN,0.1598068828177445,25.609081122933567,56.06379776249744,40.25923665284428
1530601800,28315,28380,28315,28380,28215.508185789568,28217.444444444445,8,4.2,28065.857843697362,NaN,0.19242105602247142,25.4071443950611,58.683382571691965,37.8588816063278
1530602100,28342,28387,28341,28341,28240.606548631655,28240.333333333332,7,4.5,28116.120588705784,NaN,0.221488388108944,25.242157277866824,56.86176754138368,36.272254780297914
1530602400,28340,28340,28301,28306,28253.685238905324,28254.333333333332,13,5.1,28164.878882738743,NaN,0.24575756659751855,24.84389579530027,54.761098111805886,38.62657706022913
1530602700,28239,28245,28239,28245,28251.94819112426,28264.88888888889,2,5.05,28204.86068384577,NaN,0.26404587500951465,24.110018530640104,51.41225198256271,41.92342038607785
1530603000,28244,28264,28235,28264,28254.358552899408,28274.222222222223,39,6.95,28387,NaN,0.2758196492938457,23.498999470200793,51.794601290003094,40.78698629887143
1530603900,28360,28360,28360,28360,28275.486842319526,28287.88888888889,1,6.9,28383.96,NaN,0.28190078174163846,23.326397402286837,55.95498980281152,37.26684718974903
1530604500,28349,28349,28349,28349,28290.189473855622,28304.222222222223,5,7.1,28380.980799999998,NaN,0.28159371730416816,23.09614019122284,55.37851889847312,37.91314946698951
1530605100,28325,28325,28325,28325,28297.151579084497,28320.444444444445,1,7.1,28378.061184,NaN,0.27762400928626685,22.730566873518615,54.09849319181552,39.34823235306959
1530606000,28263,28267,28263,28267,28291.121263267596,28315.222222222223,20,8.05,28375.19996032,NaN,0.26919253397250975,22.01841737209529,50.899261599225085,42.93500602742159
1530606300,28296,28304,28296,28303,28293.497010614075,28306.666666666668,45,10.2,28372.395961113598,NaN,0.2564950894862665,21.51612560740854,52.65796991599488,41.39714418174729
1530620400,28423,28423,28423,28423,28319.39760849126,28315.777777777777,1,9.9,28235,NaN,0.24150992165481985,21.541599938377665,57.725472431561606,36.88658708308482
1530624900,28320,28320,28320,28320,28319.51808679301,28317.333333333332,1,9.5,28238.76,NaN,0.22415413892116418,20.99078763853577,52.552007743358885,42.54292906391018
1530630900,28334,28360,28334,28360,28327.614469434408,28330.11111111111,50,10.4,28242.444799999997,NaN,0.20574517073773765,20.633477820668855,54.22889756046189,41.03939221979808
1530631500,28326,28345,28326,28332,28328.491575547527,28337.666666666668,29,11.8,28246.055903999997,NaN,0.18699580797439652,20.24992233142719,52.566662598021615,40.50267281347696
1530632400,28349,28349,28347,28347,28332.19326043802,28336.222222222223,2,11.8,28249.59478592,NaN,0.1665388806006023,19.903222157428477,52.10564968594602,39.859627945084576
1530633900,28322,28322,28322,28322,28330.154608350414,28333.222222222223,1,11.75,28253.0628902016,NaN,0.14421483252640077,19.42638538568272,50.85577814636554,41.30223042416842
1530634200,28278,28278,28278,28278,28319.723686680332,28328,1,11.75,28256.461632397568,NaN,0.1204326805914645,18.719532428342113,48.69193078507772,43.79974434371937
1530666900,28227,28250,28227,28250,28305.778949344265,28326.11111111111,31,13.15,28423,NaN,0.0960294003373362,17.79886872332548,46.28891189558469,46.573310184278895
1530667200,28313,28313,28312,28312,28307.02315947541,28327.11111111111,3,13.2,28419.08,NaN,0.07171144405352758,17.21779195565096,49.527822759667856,43.764824903941104
1530667800,28326,28400,28326,28344,28314.41852758033,28318.333333333332,6,13.3,28415.238400000002,NaN,0.048173002096883355,17.06868926575057,53.5459296647719,40.200441704369226
1530668700,28365,28365,28341,28341,28319.734822064263,28320.666666666668,6,13.2,28411.473632,NaN,0.026254641494108277,16.9270417103452,52.322572567153316,39.2819872859973
