time,open,high,low,close,MA,MA,Volume,Volume MA,"HSI2!, HKEX: Compare","HSIZ2019, HKEX: Compare","HSI1!, HKEX: Compare",ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1561684500,28510,28515,28503,28503,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1561684800,28499,28499,28494,28499,NaN,NaN,14,NaN,NaN,NaN,NaN,28514.58,NaN,NaN,NaN,NaN,NaN
1561685100,28510,28515,28500,28500,NaN,NaN,4,NaN,NaN,NaN,NaN,28494,NaN,NaN,NaN,NaN,NaN
1561685400,28469,28469,28469,28469,NaN,NaN,1,NaN,NaN,NaN,NaN,28515,NaN,NaN,NaN,NaN,NaN
1561685700,28420,28420,28420,28420,NaN,NaN,4,NaN,NaN,NaN,NaN,28511.2,NaN,NaN,NaN,NaN,NaN
1561686300,28419,28419,28400,28402,NaN,NaN,6,NaN,NaN,NaN,NaN,28504.528000000002,NaN,NaN,NaN,NaN,NaN
1561687200,28435,28435,28435,28435,NaN,NaN,4,NaN,NaN,NaN,NaN,28498.25632,NaN,NaN,NaN,NaN,NaN
1561688100,28415,28430,28412,28424,NaN,NaN,10,NaN,NaN,NaN,NaN,28492.3609408,NaN,NaN,NaN,NaN,NaN
1561689000,28410,28410,28410,28410,28451.333333333332,28451.333333333332,1,NaN,NaN,NaN,NaN,28486.819284352,NaN,NaN,NaN,NaN,NaN
1561689900,28374,28374,28374,28374,28435.866666666665,28437,10,NaN,NaN,NaN,NaN,28477.79374160384,NaN,NaN,NaN,NaN,NaN
1561690200,28379,28379,28376,28376,28423.893333333333,28423.333333333332,22,NaN,NaN,NaN,NaN,28469.490242275533,NaN,NaN,NaN,NaN,NaN
1561690500,28354,28361,28346,28348,28408.714666666667,28406.444444444445,58,NaN,NaN,NaN,NaN,28457.14121804798,NaN,NaN,NaN,NaN,NaN
1561690800,28361,28361,28361,28361,28399.171733333333,28394.444444444445,3,NaN,NaN,NaN,NaN,28446.027096243182,NaN,NaN,NaN,NaN,NaN
1561691100,28362,28362,28362,28362,28391.737386666668,28388,20,NaN,NaN,NaN,NaN,28436.024386618865,NaN,NaN,NaN,NaN,NaN
1561692900,28402,28402,28402,28402,28393.789909333333,28388,2,NaN,NaN,NaN,NaN,28427.02194795698,NaN,NaN,NaN,NaN,NaN
1561694100,28392,28392,28392,28392,28393.431927466667,28383.222222222223,1,NaN,NaN,NaN,NaN,28418.91975316128,NaN,NaN,NaN,NaN,NaN
1561698600,28380,28380,28380,28380,28390.745541973334,28378.333333333332,1,NaN,NaN,NaN,NaN,28411.62777784515,NaN,NaN,NaN,NaN,NaN
1561700400,28375,28375,28375,28375,28387.596433578667,28374.444444444445,1,NaN,NaN,NaN,NaN,28405.065000060637,NaN,NaN,NaN,NaN,NaN
1561700700,28371,28371,28371,28371,28384.277146862933,28374.11111111111,1,NaN,NaN,NaN,NaN,28399.158500054575,NaN,NaN,NaN,NaN,NaN
1561701300,28359,28359,28359,28359,28379.221717490345,28372.222222222223,1,8.35,NaN,NaN,NaN,28393.84265004912,NaN,NaN,NaN,NaN,NaN
1561701600,28383,28383,28382,28382,28379.777373992278,28376,2,8.3,NaN,NaN,NaN,28389.058385044205,NaN,NaN,NaN,26.35658914728682,62.7906976744186
1561702200,28385,28387,28385,28387,28381.22189919382,28378.88888888889,3,7.75,NaN,NaN,NaN,28387,NaN,NaN,NaN,27.076345095934524,61.94820877498994
1561703100,28420,28420,28420,28420,28388.977519355056,28385.333333333332,10,8.05,NaN,NaN,NaN,28346,NaN,NaN,NaN,33.294360074156856,56.666042233232346
1561703400,28421,28421,28421,28421,28395.382015484043,28387.444444444445,34,9.7,NaN,NaN,NaN,28349,NaN,NaN,NaN,33.47529763509242,56.512336857180934
1561703700,28416,28416,28413,28413,28398.905612387236,28389.777777777777,27,10.85,NaN,NaN,NaN,28351.88,NaN,NaN,NaN,32.72773344786298,57.48349534862294
1561704600,28419,28419,28419,28419,28402.92448990979,28394.11111111111,2,10.65,NaN,NaN,NaN,28354.644800000002,NaN,NaN,NaN,33.02697435751497,56.48759748043205
1561705200,28435,28435,28435,28435,28409.339591927834,28400.777777777777,1,10.5,NaN,NaN,NaN,28359.466112000002,NaN,NaN,NaN,36.132919805943004,53.867924939078534
1561705500,28445,28445,28445,28445,28416.471673542266,28409,1,10.05,NaN,NaN,NaN,28366.308823040003,NaN,NaN,NaN,38.02384752265258,52.27304457192481
1561705800,28460,28460,28449,28449,28422.977338833814,28419,5,10.25,NaN,NaN,NaN,28375.677940736,NaN,NaN,NaN,40.79173149048829,49.93850594315989
1561706100,28458,28466,28458,28466,28431.58187106705,28428.333333333332,4,9.95,NaN,NaN,NaN,28386.51658784768,NaN,NaN,NaN,40.51363976425487,47.412412674559604
1561706400,28458,28458,28458,28458,28436.86549685364,28436.222222222223,1,8.9,NaN,NaN,NaN,28396.05459730596,NaN,NaN,NaN,39.52329938045845,46.25343443320531
1561706700,28452,28452,28452,28452,28439.892397482912,28439.777777777777,3,6.15,NaN,NaN,NaN,28404.448045629244,NaN,NaN,NaN,38.77500455440724,47.27101842953382
1561707000,28463,28463,28463,28463,28444.51391798633,28444.444444444445,3,6.15,NaN,NaN,NaN,28411.834280153736,NaN,NaN,NaN,40.933152303745665,45.60474077136246
1561707300,28454,28454,28454,28454,28446.41113438906,28449,3,5.3,NaN,NaN,NaN,28418.33416653529,NaN,NaN,NaN,39.727101746031586,47.207437584031275
1561707600,28440,28440,28440,28440,28445.12890751125,28451.333333333332,3,5.35,NaN,NaN,NaN,28424.054066551056,NaN,NaN,NaN,37.898680203156765,49.63719093080199
1561709100,28461,28461,28450,28450,28446.103126009002,28453,6,5.6,NaN,NaN,NaN,28429.08757856493,NaN,NaN,NaN,42.10586573847674,46.27441422362158
1561709700,28460,28469,28460,28469,28450.6825008072,28455.666666666668,2,5.65,NaN,NaN,NaN,28434.675317565838,NaN,NaN,NaN,42.105829215816115,43.46970265974175
1561713300,28499,28499,28499,28499,28460.34600064576,28461.222222222223,1,5.65,NaN,NaN,NaN,28444.967266755302,NaN,NaN,NaN,47.404200462400595,39.49143300754262
1561714500,28490,28495,28490,28495,28467.276800516607,28464.444444444445,2,5.7,NaN,NaN,NaN,28453.612504074456,NaN,0.054790954297184724,NaN,46.072677535044285,41.191040710362884
1561716900,28501,28501,28501,28501,28474.021440413286,28469.222222222223,1,5.7,NaN,NaN,NaN,28462.142253341055,NaN,0.056271529149209965,15.625372631756871,47.11511149609968,40.39480351991826
1561722300,28479,28479,28479,28479,28475.017152330627,28472.222222222223,1,5.65,NaN,NaN,NaN,28469.136647739666,NaN,0.056685055256973094,14.883091185612923,43.843983593225495,44.53309832960867
1561725300,28501,28501,28501,28501,28480.2137218645,28476.444444444445,1,5.55,NaN,NaN,NaN,28474.872051146525,NaN,0.056164591045773093,14.484817225748518,47.66850288924031,41.50016072521751
1561726500,28525,28525,28525,28525,28489.1709774916,28484.333333333332,1,5.1,NaN,NaN,NaN,28484.89764091722,NaN,0.05481862440696594,14.481740005178318,51.46433101805743,38.48997592011237
1561729200,28493,28493,28493,28493,28489.93678199328,28490.222222222223,1,3.45,NaN,NaN,NaN,28492.918112733776,NaN,0.05259027048176157,13.897170446831714,46.70921536980283,44.17327680522765
1561729500,28476,28476,28476,28476,28487.149425594624,28493.11111111111,1,2.15,NaN,NaN,NaN,28525,NaN,0.049753178107939666,13.339270720544633,44.41436915312871,46.91607056655598
1561730100,28463,28469,28463,28469,28483.5195404757,28493.11111111111,2,2.15,NaN,NaN,NaN,28522.52,NaN,0.04641475486962421,13.011104601949317,42.72470304021407,48.93555476534763
1561730700,28473,28473,28473,28473,28481.41563238056,28490.222222222223,1,2.15,NaN,NaN,NaN,28520.1392,NaN,0.04234936738074957,12.628530435685237,43.42184180981455,48.33992498689735
