time,open,high,low,close,Volume,Volume MA
1593480000,24295,24308,24294,24308,5,NaN
1593480600,24340,24340,24340,24340,1,NaN
1593480900,24309,24322,24309,24322,2,NaN
1593481200,24363,24363,24363,24363,1,NaN
1593481500,24352,24352,24270,24270,15,NaN
1593481800,24300,24300,24295,24295,6,NaN
1593482100,24237,24260,24220,24260,19,NaN
1593482400,24280,24320,24280,24320,15,NaN
1593482700,24303,24303,24303,24303,1,NaN
1593483000,24315,24315,24315,24315,1,NaN
1593484200,24291,24291,24257,24257,2,NaN
1593486300,24310,24310,24310,24310,1,NaN
1593487200,24310,24310,24310,24310,4,NaN
1593487500,24330,24350,24330,24343,11,NaN
1593487800,24321,24321,24321,24321,1,NaN
1593488100,24314,24314,24314,24314,1,NaN
1593488700,24305,24312,24305,24312,2,NaN
1593493200,24312,24345,24312,24345,12,NaN
1593494400,24349,24349,24349,24349,1,NaN
1593494700,24325,24325,24325,24325,1,5.1
1593495300,24303,24303,24290,24290,24,6.05
1593495600,24231,24235,24231,24235,2,6.1
1593496200,24238,24238,24238,24238,1,6.05
1593496500,24171,24171,24171,24171,1,6.05
1593497100,24097,24103,24083,24083,9,5.75
1593497400,24050,24079,24050,24079,2,5.55
1593497700,24088,24100,24088,24100,21,5.65
1593498000,24094,24113,24080,24113,17,5.75
1593498300,24117,24121,24117,24121,2,5.8
1593499800,24145,24145,24145,24145,1,5.8
1593500100,24151,24151,24151,24151,1,5.75
1593500400,24178,24214,24178,24180,4,5.9
1593500700,24151,24151,24151,24151,1,5.75
1593503100,24200,24200,24200,24200,10,5.7
1593504300,24220,24220,24220,24220,2,5.75
1593504600,24212,24212,24212,24212,5,5.95
1593505200,24178,24178,24178,24178,6,6.15
1593508800,24159,24173,24159,24173,3,5.7
1593519900,24216,24216,24216,24216,2,5.75
1593523800,24161,24161,24161,24161,1,5.75
1593524100,24168,24168,24168,24168,1,4.6
1593524400,24145,24145,24145,24145,1,4.55
1593524700,24150,24153,24150,24153,3,4.65
1593526800,24154,24175,24154,24175,2,4.7
1593528000,24152,24170,24152,24170,2,4.35
1593529500,24207,24207,24207,24207,1,4.3
1593530100,24220,24220,24220,24220,1,3.3
1593530700,24237,24237,24237,24237,1,2.5
1593533700,24212,24212,24212,24212,1,2.45
1593534300,24203,24203,24203,24203,1,2.45
1593535800,24153,24153,24153,24153,1,2.45
1593652500,24500,24500,24500,24500,1,2.3
1593652800,24506,24506,24506,24506,1,2.3
1593653100,24604,24604,24604,24604,1,1.85
1593653400,24666,24666,24666,24666,1,1.8
1593653700,24700,24700,24700,24700,2,1.65
1593654000,24708,24725,24690,24698,21,2.4
1593654300,24687,24716,24684,24714,15,3
1593654600,24737,24777,24730,24730,7,3.25
1593654900,24651,24651,24651,24651,3,3.35
1593655500,24737,24737,24717,24717,3,3.45
1593655800,24709,24737,24709,24737,3,3.55
1593656100,24768,24768,24768,24768,1,3.45
1593656700,24789,24789,24789,24789,1,3.4
1593657300,24718,24718,24718,24718,8,3.7
1593658500,24750,24750,24750,24750,2,3.75
1593659700,24740,24740,24740,24740,1,3.75
1593660000,24735,24735,24735,24735,1,3.75
1593660300,24755,24755,24755,24755,1,3.75
1593660900,24720,24720,24714,24714,8,4.1
1593666000,24725,24730,24723,24730,11,4.6
1593666300,24736,24736,24733,24733,2,4.65
1593666900,24739,24741,24734,24741,7,4.95
1593667200,24739,24739,24730,24736,15,5.65
1593667500,24750,24759,24750,24759,7,5.95
1593667800,24732,24749,24732,24749,6,6.15
1593668700,24750,24754,24750,24754,5,5.35
1593669300,24730,24730,24730,24730,5,4.85
1593669900,24750,24808,24750,24808,16,5.3
1593670500,24802,24802,24791,24791,6,5.45
1593670800,24804,24808,24804,24808,6,5.6
1593671100,24805,24805,24805,24805,1,5.5
1593671700,24854,24854,24854,24854,1,5.5
1593672000,24884,24884,24884,24884,1,5.5
1593672900,24902,24917,24902,24917,14,5.8
1593673200,24900,24900,24875,24880,18,6.6
1593673500,24900,24900,24900,24900,1,6.6
1593673800,24917,24917,24917,24917,1,6.6
1593674400,24945,24950,24935,24935,4,6.75
1593675600,24987,24987,24987,24987,1,6.4
1593675900,25037,25037,25034,25035,3,6
1593676200,25038,25046,25038,25046,2,6
1593676500,25046,25046,25046,25046,1,5.7
1593676800,25020,25020,25020,25020,10,5.45
1593677100,24993,25013,24993,25013,16,5.9
1593677400,25095,25095,25084,25085,74,9.3
1593677700,25092,25092,25066,25066,20,10.05
1593678000,25100,25117,25100,25117,25,11.05
1593678300,25115,25133,25104,25122,50,12.75
1593681900,25093,25093,25093,25093,2,12.55
1593683100,25080,25082,25080,25082,20,13.25
1593683400,25083,25088,25083,25088,20,14.2
