time,open,high,low,close,MA,MA,Volume,Volume MA,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1359594900,23336,23336,23336,23336,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1359596100,23250,23250,23250,23250,NaN,NaN,1,NaN,23336,NaN,NaN,NaN,NaN,NaN
1359599400,23220,23220,23220,23220,NaN,NaN,1,NaN,23336,NaN,NaN,NaN,NaN,NaN
1359610500,23270,23270,23270,23270,NaN,NaN,1,NaN,23322.08,NaN,NaN,NaN,NaN,NaN
1359615000,23280,23280,23280,23280,NaN,NaN,1,NaN,23309.830400000003,NaN,NaN,NaN,NaN,NaN
1359619800,23280,23280,23280,23280,NaN,NaN,4,NaN,23299.050752000003,NaN,NaN,NaN,NaN,NaN
1359624600,23287,23287,23287,23287,NaN,NaN,1,NaN,23289.564661760003,NaN,NaN,NaN,NaN,NaN
1359628800,23287,23287,23287,23287,NaN,NaN,1,NaN,23220,NaN,NaN,NaN,NaN,NaN
1359635100,23287,23287,23287,23287,23277.444444444445,23277.444444444445,1,NaN,23226.7,NaN,NaN,NaN,NaN,NaN
1359681900,23261,23261,23246,23246,23271.155555555557,23267.444444444445,2,NaN,23232.73,NaN,NaN,NaN,NaN,NaN
1359682200,23178,23178,23149,23149,23246.724444444444,23256.222222222223,3,NaN,23287,NaN,NaN,NaN,NaN,NaN
1359682500,23124,23124,23124,23124,23222.179555555555,23245.555555555555,1,NaN,23273.2,NaN,NaN,NaN,NaN,NaN
1359683700,23153,23153,23153,23153,23208.343644444445,23232.555555555555,1,NaN,23255.296000000002,NaN,NaN,NaN,NaN,NaN
1359684000,23178,23178,23178,23178,23202.274915555558,23221.222222222223,1,NaN,23239.540480000003,NaN,NaN,NaN,NaN,NaN
1359684900,23167,23167,23167,23167,23195.219932444445,23208.666666666668,1,NaN,23225.675622400002,NaN,NaN,NaN,NaN,NaN
1359685200,23203,23203,23203,23203,23196.775945955556,23199.333333333332,1,NaN,23213.474547712,NaN,NaN,NaN,NaN,NaN
1359685500,23209,23209,23209,23209,23199.220756764444,23190.666666666668,1,NaN,23124,NaN,NaN,NaN,NaN,NaN
1359685800,23187,23187,23187,23187,23196.776605411556,23179.555555555555,1,NaN,23132.5,NaN,NaN,NaN,NaN,NaN
1359686100,23177,23177,23177,23177,23192.821284329246,23171.88888888889,1,NaN,23140.15,NaN,NaN,NaN,NaN,NaN
1359687000,23148,23148,23148,23148,23183.857027463397,23171.777777777777,1,1.3,23147.035,NaN,NaN,NaN,NaN,NaN
1359688200,23171,23171,23171,23171,23181.285621970717,23177,1,1.3,23148,NaN,NaN,NaN,34.63687150837989,65.36312849162012
1359698700,23208,23208,23208,23208,23186.628497576574,23183.11111111111,1,1.3,23148,NaN,NaN,NaN,39.05693137165311,60.94306862834687
1359700200,23251,23251,23251,23251,23199.502798061258,23191.222222222223,1,1.3,23154.1,NaN,NaN,NaN,43.71326910006796,56.28673089993201
1359701100,23244,23244,23244,23244,23208.402238449005,23199.777777777777,1,1.3,23165.728,NaN,NaN,NaN,43.14834477708624,56.851655222913735
1359701700,23232,23232,23219,23219,23210.521790759205,23201.555555555555,2,1.35,23175.960639999998,NaN,NaN,NaN,41.1491451234505,58.85085487654948
1359704100,23233,23233,23233,23233,23215.017432607365,23204.222222222223,1,1.2,23184.965363199997,NaN,NaN,NaN,40.2450518498023,57.28624241215174
1359705000,23243,23252,23243,23252,23222.413946085893,23211.444444444445,2,1.25,23192.889519615997,NaN,NaN,NaN,42.43150824853301,55.19011690022838
1359705600,23246,23255,23236,23255,23228.931156868715,23220.11111111111,3,1.35,23201.164986869757,NaN,NaN,NaN,40.85782058916947,54.50963108487642
1359710100,23268,23268,23268,23268,23236.74492549497,23233.444444444445,1,1.35,23209.778588970596,NaN,NaN,NaN,42.39648945972412,53.09148462271952
1359715200,23268,23268,23268,23268,23242.995940395977,23244.222222222223,1,1.3,23220.25844295589,NaN,NaN,NaN,42.39648945972413,53.09148462271952
1359720900,23268,23268,23268,23268,23247.99675231678,23250.88888888889,1,1.2,23228.85192322383,NaN,NaN,NaN,42.39648945972414,53.091484622719534
1359940500,23439,23439,23439,23439,23286.197401853424,23271.777777777777,1,1.2,23235.89857704354,NaN,NaN,NaN,58.82946735440151,37.94568560773167
1359940800,23430,23430,23427,23427,23314.35792148274,23292.11111111111,4,1.35,23268,NaN,NaN,NaN,57.61533251151897,39.22637551778919
1359941100,23430,23448,23427,23440,23339.486337186194,23316.666666666668,9,1.75,23302.2,NaN,NaN,NaN,58.644466233900204,37.78969616675301
1359941400,23449,23450,23444,23444,23360.389069748955,23340.11111111111,4,1.9,23331.36,NaN,NaN,NaN,57.94779903968473,37.10843843014978
1359944100,23446,23446,23446,23446,23377.511255799163,23361.666666666668,2,1.95,23355.088,NaN,NaN,NaN,57.728702140423685,36.96813381235234
1359945900,23421,23421,23421,23421,23386.20900463933,23380.11111111111,1,1.95,23374.0704,NaN,NaN,NaN,54.99285420627924,39.95530647518607
1359946500,23372,23372,23372,23372,23383.367203711467,23391.666666666668,2,2,23450,NaN,NaN,NaN,50.09478267149876,45.303332294419285
1359954000,23385,23385,23385,23385,23383.693762969175,23404.666666666668,2,2.05,23442.2,NaN,0.10295399021270635,NaN,51.30598885845442,44.203814462375476
1359955200,23350,23350,23348,23348,23376.55501037534,23413.555555555555,3,2.15,23435.18,NaN,0.10724910432513557,15.477515873577772,47.82829166525904,47.9858727006552
