time,open,high,low,close,MA,MA,Volume,Volume MA,"HSI2!, HKEX: Compare","HSIZ2019, HKEX: Compare","HSI1!, HKEX: Compare",ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1558110600,27420,27420,27420,27420,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1558314900,27457,27457,27457,27457,NaN,NaN,1,NaN,NaN,NaN,NaN,27420.74,NaN,NaN,NaN,NaN,NaN
1558315200,27487,27487,27487,27487,NaN,NaN,1,NaN,NaN,NaN,NaN,27423.3904,NaN,NaN,NaN,NaN,NaN
1558315500,27470,27500,27470,27500,NaN,NaN,4,NaN,NaN,NaN,NaN,27427.986976,NaN,NaN,NaN,NaN,NaN
1558315800,27477,27477,27477,27477,NaN,NaN,1,NaN,NaN,NaN,NaN,27432.30775744,NaN,NaN,NaN,NaN,NaN
1558316100,27460,27510,27460,27510,NaN,NaN,3,NaN,NaN,NaN,NaN,27438.5231368448,NaN,NaN,NaN,NaN,NaN
1558316400,27460,27460,27460,27460,NaN,NaN,1,NaN,NaN,NaN,NaN,27444.241285897217,NaN,NaN,NaN,NaN,NaN
1558317000,27392,27409,27381,27400,NaN,NaN,10,NaN,NaN,NaN,NaN,27510,NaN,NaN,NaN,NaN,NaN
1558317300,27356,27356,27335,27335,27449.555555555555,27449.555555555555,65,NaN,NaN,NaN,NaN,27503,NaN,NaN,NaN,NaN,NaN
1558317600,27320,27320,27320,27320,27423.644444444442,27438.444444444445,1,NaN,NaN,NaN,NaN,27492.02,NaN,NaN,NaN,NaN,NaN
1558318200,27292,27300,27292,27296,27398.115555555552,27420.555555555555,4,NaN,NaN,NaN,NaN,27476.0184,NaN,NaN,NaN,NaN,NaN
1558319100,27287,27287,27287,27287,27375.892444444442,27398.333333333332,1,NaN,NaN,NaN,NaN,27457.116560000002,NaN,NaN,NaN,NaN,NaN
1558319400,27297,27297,27297,27297,27360.113955555553,27375.777777777777,1,NaN,NaN,NaN,NaN,27440.104904000003,NaN,NaN,NaN,NaN,NaN
1558320300,27355,27412,27355,27412,27370.491164444444,27368.555555555555,45,NaN,NaN,NaN,NaN,27424.794413600004,NaN,NaN,NaN,NaN,NaN
1558320600,27413,27429,27413,27429,27382.192931555554,27359.555555555555,16,NaN,NaN,NaN,NaN,27287,NaN,NaN,NaN,NaN,NaN
1558320900,27382,27382,27382,27382,27382.154345244442,27350.88888888889,2,NaN,NaN,NaN,NaN,27289.84,NaN,NaN,NaN,NaN,NaN
1558321200,27371,27371,27328,27329,27371.523476195554,27343,29,NaN,NaN,NaN,NaN,27292.6232,NaN,NaN,NaN,NaN,NaN
1558321500,27309,27318,27304,27304,27358.018780956445,27339.555555555555,31,NaN,NaN,NaN,NaN,27295.350736,NaN,NaN,NaN,NaN,NaN
1558322100,27352,27360,27352,27360,27358.415024765156,27344,2,NaN,NaN,NaN,NaN,27298.023721280002,NaN,NaN,NaN,NaN,NaN
1558323300,27296,27296,27293,27293,27345.332019812126,27343.666666666668,2,11.05,NaN,NaN,NaN,27429,NaN,NaN,NaN,NaN,NaN
1558323600,27309,27309,27309,27309,27338.0656158497,27346.11111111111,1,11.05,NaN,NaN,NaN,27426.28,NaN,NaN,NaN,36.087484811664645,43.49939246658566
1558328400,27307,27315,27307,27315,27333.45249267976,27348.11111111111,2,11.1,NaN,NaN,NaN,27423.6144,NaN,NaN,NaN,36.481610432360576,43.05880863455086
1558328700,27369,27370,27369,27370,27340.76199414381,27343.444444444445,18,11.95,NaN,NaN,NaN,27421.002112,NaN,NaN,NaN,40.8194497474724,40.11820837330006
1558329000,27329,27329,27309,27309,27334.409595315046,27330.11111111111,19,12.7,NaN,NaN,NaN,27418.44206976,NaN,NaN,NaN,37.80526537904407,44.41893940987335
1558329600,27281,27281,27280,27280,27323.527676252037,27318.777777777777,2,12.75,NaN,NaN,NaN,27412.9043869696,NaN,NaN,NaN,36.45803914320967,46.399622848853475
1558330500,27275,27275,27275,27275,27313.82214100163,27312.777777777777,1,12.65,NaN,NaN,NaN,27404.630123751424,NaN,NaN,NaN,36.22376185314278,46.744055829908945
1558331100,27277,27277,27268,27268,27304.657712801305,27308.777777777777,2,12.7,NaN,NaN,NaN,27393.69971385131,NaN,NaN,NaN,35.78802576905671,47.11736085910505
1558333800,27273,27273,27273,27273,27298.326170241045,27299.11111111111,1,12.25,NaN,NaN,NaN,27383.643736743204,NaN,NaN,NaN,35.53803311146512,46.78822858631972
1558334100,27289,27289,27289,27289,27296.460936192838,27298.666666666668,1,9.05,NaN,NaN,NaN,27374.39223780375,NaN,NaN,NaN,37.0199334600949,45.71262547334414
1558334700,27315,27315,27315,27315,27300.16874895427,27299.333333333332,1,9.05,NaN,NaN,NaN,27365.88085877945,NaN,NaN,NaN,39.402789683549585,43.98308436479999
1558335000,27328,27336,27328,27336,27307.334999163417,27301.666666666668,2,8.95,NaN,NaN,NaN,27358.050390077093,NaN,NaN,NaN,41.29130070458699,42.61235229432391
1558335300,27300,27300,27300,27300,27305.867999330734,27293.88888888889,1,8.95,NaN,NaN,NaN,27350.846358870924,NaN,NaN,NaN,39.09281599959913,44.48467524735637
1558337700,27285,27285,27275,27275,27299.694399464588,27290.11111111111,2,9,NaN,NaN,NaN,27344.21865016125,NaN,NaN,NaN,37.628302386556776,46.56441667180498
1558338900,27315,27315,27315,27315,27302.75551957167,27294,1,6.8,NaN,NaN,NaN,27338.121158148348,NaN,NaN,NaN,39.84631346349776,43.80081751616462
1558339200,27319,27319,27319,27319,27306.004415657335,27298.88888888889,1,6.05,NaN,NaN,NaN,27332.51146549648,NaN,NaN,NaN,40.21978264428462,43.52887648682089
1558339800,27313,27313,27313,27313,27307.403532525866,27303.88888888889,1,6,NaN,NaN,NaN,27327.35054825676,NaN,NaN,NaN,39.829334623479824,44.077090250265414
1558344900,27208,27208,27208,27208,27287.522826020693,27296.666666666668,1,4.6,NaN,NaN,NaN,27315.415493431083,NaN,NaN,NaN,33.7872028917977,52.56062608437085
1558346700,27232,27232,27202,27202,27270.418260816554,27287,2,3.15,NaN,NaN,NaN,27301.805634219352,NaN,NaN,NaN,35.80362805546373,50.26722305130158
1558347000,27170,27170,27153,27153,27246.934608653242,27269,3,3.2,NaN,NaN,NaN,27280.97284542864,NaN,0.026335185000402328,NaN,33.3051129274213,53.7377678623859
1558347600,27103,27108,27103,27108,27219.147686922595,27243.666666666668,2,3.2,NaN,NaN,NaN,27252.49719016006,NaN,0.024944003489453248,10.922182729964407,30.982774185457185,56.963596107347726
