time,open,high,low,close,Volume,Volume MA
1627463700,25316,25320,25316,25320,8,NaN
1627464000,25325,25339,25325,25339,3,NaN
1627464300,25335,25335,25335,25335,1,NaN
1627464600,25326,25326,25326,25326,1,NaN
1627465200,25311,25311,25311,25311,1,NaN
1627465500,25324,25324,25324,25324,1,NaN
1627465800,25349,25359,25349,25359,2,NaN
1627466100,25369,25369,25369,25369,1,NaN
1627466400,25369,25369,25369,25369,2,NaN
1627467300,25350,25350,25350,25350,1,NaN
1627468200,25320,25320,25320,25320,1,NaN
1627468500,25357,25360,25357,25360,5,NaN
1627468800,25358,25360,25358,25360,3,NaN
1627469400,25360,25360,25360,25360,1,NaN
1627470300,25379,25379,25371,25371,2,NaN
1627470600,25389,25389,25389,25389,1,NaN
1627471200,25388,25388,25388,25388,1,NaN
1627471800,25391,25399,25391,25399,2,NaN
1627472400,25397,25399,25397,25399,3,NaN
1627472700,25390,25396,25390,25396,4,NaN
1627473000,25397,25397,25389,25394,8,NaN
1627473300,25397,25403,25397,25403,3,NaN
1627473600,25399,25409,25398,25407,8,NaN
1627473900,25413,25421,25413,25421,12,NaN
1627474200,25429,25441,25429,25439,8,NaN
1627474500,25446,25459,25446,25459,4,NaN
1627474800,25462,25462,25462,25462,1,NaN
1627475100,25469,25479,25469,25479,2,NaN
1627475400,25489,25489,25489,25489,2,NaN
1627475700,25499,25499,25499,25499,1,NaN
1627476000,25436,25436,25436,25436,1,NaN
1627476900,25400,25400,25400,25400,2,NaN
1627477200,25509,25619,25509,25568,17,NaN
1627478100,25620,25630,25620,25630,2,NaN
1627479000,25600,25661,25600,25661,8,NaN
1627479300,25662,25662,25662,25662,3,NaN
1627479900,25570,25570,25570,25570,1,NaN
1627480200,25608,25608,25608,25608,1,NaN
1627480500,25615,25662,25615,25662,9,NaN
1627480800,25662,25670,25662,25670,4,NaN
1627481100,25699,25699,25699,25699,5,NaN
1627481700,25698,25718,25698,25717,13,NaN
1627482000,25694,25694,25694,25694,1,NaN
1627482300,25704,25720,25683,25720,15,NaN
1627482600,25729,25793,25729,25793,4,NaN
1627482900,25790,25790,25790,25790,1,NaN
1627483200,25769,25769,25769,25769,1,NaN
1627483500,25800,25800,25800,25800,1,NaN
1627484400,25797,25810,25797,25810,4,NaN
1627484700,25826,25832,25826,25832,3,NaN
1627485300,25869,25889,25869,25889,2,NaN
1627485900,25865,25865,25865,25865,1,NaN
1627486800,25868,25876,25868,25876,2,NaN
1627487700,25903,25919,25903,25919,2,NaN
1627488000,25927,25936,25927,25936,2,NaN
1627488900,25966,25988,25966,25988,4,NaN
1627493700,25880,25880,25880,25880,1,NaN
1627497300,26003,26034,26003,26034,15,NaN
1627521300,25912,25968,25877,25968,18,NaN
1627521600,25960,25960,25918,25918,15,NaN
1627521900,25880,25880,25847,25858,45,NaN
1627522200,25840,25950,25805,25813,14,NaN
1627522500,25800,25835,25720,25743,11,NaN
1627522800,25747,25833,25747,25833,20,NaN
1627523100,25815,25816,25743,25762,11,NaN
1627523400,25781,25784,25698,25707,11,NaN
1627523700,25735,25752,25708,25708,7,NaN
1627524000,25680,25749,25680,25708,26,NaN
1627524300,25720,25720,25699,25699,10,NaN
1627524600,25728,25785,25728,25768,23,NaN
1627524900,25762,25762,25734,25734,5,NaN
1627525200,25730,25758,25730,25758,6,NaN
1627525500,25733,25750,25720,25750,3,NaN
1627525800,25743,25748,25740,25740,3,NaN
1627526100,25771,25882,25771,25882,9,NaN
1627526400,25829,25829,25800,25800,3,NaN
1627526700,25820,25880,25813,25878,15,NaN
1627527000,25891,25905,25867,25867,31,NaN
1627527300,25881,25934,25880,25934,16,NaN
1627527600,25938,25950,25912,25950,9,NaN
1627527900,25969,26008,25969,26008,5,NaN
