time,open,high,low,close,MA,MA,Volume,Volume MA,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1194049800,31737,31737,31737,31737,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1194621600,31737,31737,31737,31737,NaN,NaN,1,NaN,31737,NaN,NaN,NaN,NaN,NaN
1504157700,27841,27842,27812,27812,NaN,NaN,17,NaN,31737,NaN,NaN,NaN,NaN,NaN
1504158000,27820,27820,27807,27807,NaN,NaN,6,NaN,31737,NaN,NaN,NaN,NaN,NaN
1504158300,27821,27821,27821,27821,NaN,NaN,2,NaN,31501.2,NaN,NaN,NaN,NaN,NaN
1504158900,27822,27822,27819,27819,NaN,NaN,50,NaN,31279.548000000003,NaN,NaN,NaN,NaN,NaN
1504161000,27837,27837,27837,27837,NaN,NaN,1,NaN,31071.195120000004,NaN,NaN,NaN,NaN,NaN
1504162500,27858,27858,27858,27858,NaN,NaN,1,NaN,30875.343412800004,NaN,NaN,NaN,NaN,NaN
1504164600,27882,27895,27882,27895,28702.555555555555,28702.555555555555,3,NaN,30691.242808032002,NaN,NaN,NaN,NaN,NaN
1504164900,27890,27890,27888,27888,28539.644444444442,28274.88888888889,2,NaN,30518.188239550083,NaN,NaN,NaN,NaN,NaN
1504165200,27885,27885,27885,27885,28408.715555555555,27846.88888888889,1,NaN,30355.516945177078,NaN,NaN,NaN,NaN,NaN
1504165800,27872,27872,27872,27872,28301.372444444445,27853.555555555555,2,NaN,30202.60592846645,NaN,NaN,NaN,NaN,NaN
1504166100,27867,27867,27863,27863,28213.697955555555,27859.777777777777,2,NaN,30058.869572758464,NaN,NaN,NaN,NaN,NaN
1504166400,27886,27890,27883,27883,28147.558364444445,27866.666666666668,47,NaN,29923.757398392954,NaN,NaN,NaN,NaN,NaN
1504167300,27914,27914,27914,27914,28100.846691555555,27877.222222222223,1,NaN,29796.751954489377,NaN,NaN,NaN,NaN,NaN
1504167600,27922,27922,27922,27922,28065.077353244444,27886.666666666668,4,NaN,29677.366837220015,NaN,NaN,NaN,NaN,NaN
1504167900,27920,27925,27920,27923,28036.661882595556,27893.88888888889,5,NaN,29565.144826986816,NaN,NaN,NaN,NaN,NaN
1504170900,27933,27938,27933,27937,28016.729506076445,27898.555555555555,3,NaN,29459.65613736761,NaN,NaN,NaN,NaN,NaN
1504172400,27922,27922,27922,27922,27997.783604861157,27902.333333333332,1,NaN,29360.49676912555,NaN,NaN,NaN,NaN,NaN
1504173000,27933,27933,27933,27933,27984.826883888927,27907.666666666668,1,7.55,29267.286962978018,NaN,NaN,NaN,NaN,NaN
1504173300,27938,27938,27938,27938,27975.46150711114,27915,1,7.55,29179.66974519934,NaN,NaN,NaN,3.8516746411483256,94.92822966507177
1504179000,27926,27926,27926,27926,27965.569205688913,27922,1,7.55,29097.309560487378,NaN,NaN,NaN,3.840070298769772,94.94350991714788
1504182600,27908,27908,27908,27908,27954.05536455113,27924.777777777777,1,6.75,29019.890986858136,NaN,NaN,NaN,3.821889343346003,94.96745005720898
1504184400,27932,27932,27932,27932,27949.644291640907,27926.777777777777,1,6.5,28947.11752764665,NaN,NaN,NaN,4.456770700466133,94.34056039216036
1504187400,27921,27929,27921,27929,27945.515433312725,27927.555555555555,2,6.5,28878.71047598785,NaN,NaN,NaN,4.4426220980219995,94.35852702460559
1504188600,27941,27941,27941,27941,27944.61234665018,27929.555555555555,1,4.05,28814.407847428578,NaN,NaN,NaN,4.789712086834477,94.01579158325717
1504190700,27924,27924,27924,27924,27940.489877320146,27928.11111111111,1,4.05,28753.963376582862,NaN,NaN,NaN,4.763908188844901,94.04803066166826
1504191300,27929,27929,27929,27929,27938.191901856117,27928.88888888889,1,4.05,28697.14557398789,NaN,NaN,NaN,4.922489202156568,93.89142793135181
1504228500,27970,27970,27914,27914,27933.353521484893,27926.777777777777,2,4,28643.73683954862,NaN,NaN,NaN,6.23731893522799,92.08372558012213
1504228800,27905,27924,27899,27924,27931.482817187913,27925.222222222223,47,6.25,28593.5326291757,NaN,NaN,NaN,6.1813926865774524,91.79605030921442
1504229100,27936,27950,27929,27950,27935.18625375033,27927.88888888889,94,10.9,28546.340671425158,NaN,NaN,NaN,7.093349504878417,90.90375360635544
1504229400,27920,27948,27899,27938,27935.749003000263,27931.222222222223,7,11.15,28501.98023113965,NaN,NaN,NaN,6.953783489263815,90.27255545831791
1504230000,27965,27975,27965,27967,27941.99920240021,27935.11111111111,23,12.2,28460.28141727127,NaN,NaN,NaN,7.9310868464675375,88.93622170137981
