time,open,high,low,close,MA,MA,Volume,Volume MA,"HSI2!, HKEX: Compare","HSIZ2019, HKEX: Compare","HSI1!, HKEX: Compare",ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1257150300,21203,21203,21203,21203,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1567128300,25900,25900,25900,25900,NaN,NaN,1,NaN,NaN,25932,NaN,21296.94,NaN,NaN,NaN,NaN,NaN
1567128600,25840,25840,25840,25840,NaN,NaN,1,NaN,NaN,25906,NaN,21389.0012,NaN,NaN,NaN,NaN,NaN
1567128900,25854,25854,25854,25854,NaN,NaN,1,NaN,NaN,25919,NaN,21479.221176,NaN,NaN,NaN,NaN,NaN
1567129200,25834,25834,25770,25770,NaN,NaN,3,NaN,NaN,25831,NaN,21567.63675248,NaN,NaN,NaN,NaN,NaN
1567130400,25850,25850,25850,25850,NaN,NaN,3,NaN,NaN,25897,NaN,21654.2840174304,NaN,NaN,NaN,NaN,NaN
1567132800,25800,25800,25800,25800,NaN,NaN,1,NaN,NaN,25881,NaN,21739.19833708179,NaN,NaN,NaN,NaN,NaN
1567134000,25738,25747,25738,25747,NaN,NaN,2,NaN,NaN,25791,NaN,21822.414370340153,NaN,NaN,NaN,NaN,NaN
1567134600,25719,25719,25719,25719,25298.11111111111,25298.11111111111,1,NaN,NaN,25770,NaN,21903.96608293335,NaN,NaN,NaN,NaN,NaN
1567135200,25720,25720,25720,25720,25382.48888888889,25800,1,NaN,NaN,25770,NaN,21983.886761274684,NaN,NaN,NaN,NaN,NaN
1567141500,25764,25764,25763,25763,25458.591111111113,25784.777777777777,5,NaN,NaN,25800,NaN,22062.20902604919,NaN,NaN,NaN,NaN,NaN
1567142700,25767,25767,25767,25767,25520.27288888889,25776.666666666668,1,NaN,NaN,25847,NaN,22138.964845528204,NaN,NaN,NaN,NaN,NaN
1567144800,25650,25650,25600,25600,25536.21831111111,25748.444444444445,2,NaN,NaN,25725,NaN,22214.18554861764,NaN,NaN,NaN,NaN,NaN
1567145100,25570,25601,25570,25601,25549.17464888889,25729.666666666668,3,NaN,NaN,25653,NaN,22287.901837645288,NaN,NaN,NaN,NaN,NaN
1567146000,25483,25483,25466,25466,25532.53971911111,25687,4,NaN,NaN,25515,NaN,22360.143800892383,NaN,NaN,NaN,NaN,NaN
1567146300,25463,25463,25463,25463,25518.63177528889,25649.555555555555,1,NaN,NaN,25515,NaN,22430.940924874536,NaN,NaN,NaN,NaN,NaN
1567146600,25505,25505,25505,25505,25515.905420231113,25622.666666666668,1,NaN,NaN,25565,NaN,22500.322106377047,NaN,NaN,NaN,NaN,NaN
1567147200,25510,25510,25510,25510,25514.72433618489,25599.444444444445,1,NaN,NaN,25565,NaN,22568.315664249505,NaN,NaN,NaN,NaN,NaN
1567147800,25500,25534,25500,25534,25518.57946894791,25578.777777777777,2,NaN,NaN,25575,NaN,22634.949350964514,NaN,NaN,NaN,NaN,NaN
1567148700,25496,25496,25496,25496,25514.06357515833,25549.11111111111,1,1.8,NaN,25574,NaN,22700.250363945222,NaN,NaN,NaN,NaN,NaN
1567149000,25560,25560,25560,25560,25523.250860126664,25526.11111111111,1,1.8,NaN,25600,NaN,22764.245356666317,NaN,NaN,NaN,87.01045543150808,10.331384015594542
1567149300,25537,25537,25537,25537,25526.000688101332,25519.11111111111,1,1.8,NaN,25600,NaN,22826.96044953299,NaN,NaN,NaN,86.63874364999025,10.714451554185203
1567149600,25578,25578,25578,25578,25536.400550481067,25516.555555555555,3,1.9,NaN,25600,NaN,22888.42124054233,NaN,NaN,NaN,86.74499809190195,10.629245639377714
1567149900,25604,25604,25604,25604,25549.920440384853,25531.88888888889,3,2,NaN,25672,NaN,22948.652815731486,NaN,NaN,NaN,86.81498972975982,10.573119030219013
1567150200,25603,25603,25603,25603,25560.53635230788,25547.444444444445,1,1.9,NaN,25624,NaN,23007.679759416857,NaN,NaN,NaN,86.7964342882366,10.592232725510616
1567150500,25578,25578,25578,25578,25564.029081846304,25555.555555555555,1,1.8,NaN,25624,NaN,23065.52616422852,NaN,NaN,NaN,86.31096812416042,11.092304487366897
1567151700,25553,25553,25553,25553,25561.823265477044,25560.333333333332,1,1.8,NaN,25622,NaN,23122.21564094395,NaN,NaN,NaN,85.8057835996039,11.612687850722933
1567152600,25639,25639,25639,25639,25577.258612381636,25572,1,1.75,NaN,25702,NaN,23177.77132812507,NaN,NaN,NaN,86.10037626613236,11.371673300641023
1567152900,25647,25647,25647,25647,25591.20688990531,25588.777777777777,2,1.8,NaN,25695,NaN,23232.21590156257,NaN,NaN,NaN,86.12856657159857,11.34861001848714
1567153500,25623,25623,25623,25623,25597.565511924247,25595.777777777777,1,1.8,NaN,25668,NaN,23285.571583531317,NaN,NaN,NaN,85.58045499050118,11.912776536791544
1567156800,25653,25653,25653,25653,25608.652409539398,25608.666666666668,1,1.6,NaN,25704,NaN,23337.860151860692,NaN,NaN,NaN,85.7001947248665,11.81385297872301
1567158000,25668,25668,25668,25668,25620.52192763152,25618.666666666668,3,1.7,NaN,25717,NaN,23389.102948823478,NaN,NaN,NaN,85.76242035439073,11.76244497528776
1567161000,25671,25671,25671,25671,25630.617542105214,25626.11111111111,1,1.65,NaN,25719,NaN,23439.320889847007,NaN,NaN,NaN,85.77545154372451,11.7516791954771
1567164600,25628,25628,25628,25628,25630.09403368417,25628.88888888889,1,1.55,NaN,25674,NaN,23488.53447205007,NaN,NaN,NaN,84.60708737814787,12.953726795864936
1567167300,25681,25681,25681,25681,25640.275226947335,25640.333333333332,1,1.4,NaN,25725,NaN,23536.76378260907,NaN,NaN,NaN,84.8743952641835,12.728776949714945
1567176000,25594,25594,25588,25588,25629.82018155787,25644.222222222223,2,1.45,NaN,25670,NaN,23584.028506956885,NaN,NaN,NaN,82.23660880846879,15.441053713739711
1567176900,25540,25540,25540,25540,25611.856145246296,25633.222222222223,2,1.5,NaN,25600,NaN,23630.347936817747,NaN,NaN,NaN,80.87111091792273,16.84511286031281
1567177500,25520,25520,25520,25520,25593.484916197038,25619.11111111111,1,1.5,NaN,25600,NaN,23675.74097808139,NaN,NaN,NaN,80.2864109933225,17.44632453762069
1567180800,25506,25506,25505,25505,25575.78793295763,25606,6,1.7,NaN,25567,NaN,23720.226158519763,NaN,-0.230145427626276,NaN,79.83074411211265,17.914859316606915
1567181400,25500,25500,25500,25500,25560.630346366106,25589,1,1.7,NaN,25552,NaN,23763.821635349366,NaN,-0.2356060041659136,73.66307158046139,79.67208437172802,18.07799956107181
1567182900,25530,25530,25530,25530,25554.504277092885,25573.666666666668,1,1.7,NaN,25552,NaN,23806.545202642377,NaN,-0.20095357532352195,73.15395549803932,79.92408381474928,17.853891693662476
1567185000,25502,25502,25502,25502,25544.003421674308,25554.88888888889,1,1.7,NaN,25548,NaN,23848.41429858953,NaN,-0.17192254758446154,72.56973196387938,78.96238263868688,18.84232978636885
1567185600,25494,25494,25494,25494,25534.002737339448,25540,1,1.6,NaN,25548,NaN,23889.44601261774,NaN,-0.14773963778565766,71.9849572333815,78.67765982631174,19.134968373717115
1567187400,25493,25493,25491,25491,25525.40218987156,25518.88888888889,8,1.85,NaN,25548,NaN,23929.657092365385,NaN,-0.12825068749314714,71.41773325172213,78.56583366782812,19.249903488238644
1567188600,25512,25512,25512,25512,25522.721751897247,25510.444444444445,1,1.85,NaN,25548,NaN,23969.063950518077,NaN,-0.11213772866432489,70.89775147012742,78.68927668103044,19.050390901951292
1567386900,25400,25400,25400,25400,25498.177401517798,25494.88888888889,1,1.85,NaN,25507,NaN,24007.682671507715,NaN,-0.10094383663226511,69.95141640170806,74.36244006282251,23.5015149641895
1567387200,25450,25460,25450,25460,25490.541921214237,25488.222222222223,3,1.95,NaN,25510,NaN,24045.52901807756,NaN,-0.09329511564456713,69.12614912651027,75.13348465511693,22.79471150597164
1567387500,25454,25469,25454,25469,25486.23353697139,25484.222222222223,12,2.5,NaN,25510,NaN,24082.61843771601,NaN,-0.08832548611848898,68.35337801944932,75.01465235825923,22.61572114213976
1567387800,25460,25546,25440,25546,25498.186829577113,25489.333333333332,10,2.9,NaN,25597,NaN,24118.96606896169,NaN,-0.08475963913791404,67.71572524251033,74.88368696599986,21.367639216569906
1567388100,25560,25560,25533,25540,25506.54946366169,25490.444444444445,7,3.2,NaN,25600,NaN,24154.586747582456,NaN,-0.08252203123604859,67.1275111292617,74.54785934486002,21.05607726712423
1567388400,25555,25560,25517,25517,25508.63957092935,25492.11111111111,9,3.6,NaN,25599,NaN,24189.495012630807,NaN,-0.0820954591827083,66.49522386561748,72.76910493577807,21.441502422804497
1567388700,25541,25541,25528,25528,25512.51165674348,25495.88888888889,2,3.55,NaN,25565,NaN,24223.70511237819,NaN,-0.08321113030145541,65.89455096515545,71.76309754938181,21.145081162273517
1567389000,25537,25537,25500,25500,25510.009325394785,25496.88888888889,3,3.65,NaN,25515,NaN,24257.231010130625,NaN,-0.0842962409483938,65.18529801729244,70.18843828472993,22.34161683018301
1567389300,25470,25510,25470,25510,25510.00746031583,25496.666666666668,2,3.7,NaN,25532,NaN,24290.086389928012,NaN,-0.08508931421987606,64.36102758232272,68.4785235043652,23.624468392243894
1567389900,25540,25540,25540,25540,25516.005968252663,25512.222222222223,1,3.7,NaN,25532,NaN,24322.284662129452,NaN,-0.08384574454674107,63.63043758692886,69.07333537872022,23.178673464871842
1567390500,25511,25512,25492,25492,25511.20477460213,25515.777777777777,3,3.75,NaN,25532,NaN,24353.838968886863,NaN,-0.08091356299490368,62.687021811474764,66.9457240306461,25.54494005984792
1567390800,25518,25550,25518,25550,25518.963819681703,25524.777777777777,2,3.75,NaN,25532,NaN,24384.762189509125,NaN,-0.07619060523589069,61.86535661520078,66.89186854533382,24.581865609549244
1567391100,25552,25560,25540,25540,25523.171055745363,25524.11111111111,27,5.05,NaN,25532,NaN,24415.066945718943,NaN,-0.06998112700410672,61.10472679307172,66.6638300337882,24.25001291784897
1567391700,25492,25492,25455,25455,25509.53684459629,25514.666666666668,2,4.85,NaN,25485,NaN,24444.765606804565,NaN,-0.0634381228999614,59.92536263148553,62.86702135764445,28.564319611981524
1567392000,25423,25423,25423,25423,25492.22947567703,25504.222222222223,1,4.85,NaN,25465,NaN,24473.870294668475,NaN,-0.05649135720457885,58.63932178884242,61.47941704834607,30.14105182870556
1567392300,25417,25417,25400,25400,25473.783580541625,25490,2,4.9,NaN,25465,NaN,24502.392888775106,NaN,-0.049903621927820364,57.29746797003729,60.46961965490028,31.2884827439461
1567392600,25419,25419,25419,25419,25462.8268644333,25481,1,4.9,NaN,25465,NaN,24530.345030999604,NaN,-0.043181239408097684,56.02828470357679,59.766345000409736,30.847895213922598
1567392900,25438,25438,25438,25438,25457.86149154664,25473,1,4.9,NaN,25445,NaN,24557.738130379614,NaN,-0.03653111782238037,54.87735170477381,60.35400137800199,30.397328086527803
1567393200,25420,25420,25420,25420,25450.28919323731,25459.666666666668,3,4.65,NaN,25483,NaN,24584.583367772022,NaN,-0.030388492323483708,53.67891095707206,59.48752807176513,31.396580097642463
1567394100,25472,25472,25472,25472,25454.63135458985,25457.444444444445,1,4.65,NaN,25505,NaN,24610.89170041658,NaN,-0.024252407098706553,52.698730746160905,61.182206113584705,30.083229113433042
1567394400,25510,25510,25508,25508,25465.30508367188,25452.777777777777,3,4.75,NaN,25555,NaN,24636.67386640825,NaN,-0.01771218840969644,51.87981788362741,62.39233459119555,29.145397036855453
1567394700,25492,25492,25492,25492,25470.644066937504,25447.444444444445,1,4.65,NaN,25556,NaN,24661.940389080086,NaN,-0.0109134861887211,51.00049734803198,61.54200932453544,30.11105186534515
1567395000,25491,25500,25491,25496,25475.715253550003,25452,3,4.2,NaN,25556,NaN,24686.701581298483,NaN,-0.004793191402620555,50.190654959946414,61.76092155348291,29.870012390830937
1567395300,25489,25489,25489,25489,25478.37220284,25459.333333333332,1,3.75,NaN,25540,NaN,24710.967549672514,NaN,0.00046159430431849115,49.407558921262236,61.358787419335414,29.861557127102706
