time,open,high,low,close
1598837100,25696,25728,25696,25725
1598837400,25711,25728,25700,25704
1598838300,25720,25788,25720,25736
1598838600,25760,25760,25718,25720
1598838900,25721,25748,25720,25743
1598839200,25730,25745,25728,25733
1598839500,25689,25712,25689,25712
1598839800,25733,25760,25733,25755
1598840100,25731,25735,25721,25730
1598840400,25729,25730,25700,25700
1598840700,25738,25743,25737,25737
1598841000,25750,25770,25750,25760
1598841300,25738,25740,25679,25685
1598841600,25704,25710,25684,25700
1598843400,25695,25695,25688,25688
1598844000,25638,25638,25638,25638
1598844900,25682,25682,25682,25682
1598850300,25630,25630,25630,25630
1598850900,25576,25576,25576,25576
1598851500,25535,25535,25535,25535
1598852100,25500,25519,25500,25519
1598852400,25514,25519,25514,25519
1598852700,25560,25560,25560,25560
1598853600,25501,25501,25501,25501
1598853900,25448,25448,25448,25448
1598856300,25368,25368,25368,25368
1598856600,25350,25350,25350,25350
1598856900,25333,25351,25333,25351
1598857200,25311,25311,25311,25311
1598858700,25213,25213,25213,25213
1598859300,25177,25177,25177,25177
1598860800,25166,25167,25120,25120
1598861100,25040,25040,25000,25000
1598861400,25066,25066,25066,25066
1598861700,25075,25075,25075,25075
1598865300,25095,25098,25085,25085
1598866800,25076,25076,25076,25076
1598868000,25078,25078,25078,25078
1598872500,25123,25123,25123,25123
1598873400,25136,25136,25136,25136
1598874600,25142,25142,25142,25142
1598881500,25000,25000,25000,25000
1598882400,24970,24970,24970,24970
1598883300,25000,25000,25000,25000
1598883600,25000,25000,25000,25000
1598884800,25000,25000,25000,25000
1598887200,24915,24915,24915,24915
1598888700,24935,24935,24520,24520
1598889600,24950,24950,24950,24950
1598922900,25040,25040,25040,25040
1598923500,24948,24948,24948,24948
1598923800,24880,25002,24869,25002
1598924100,25063,25115,25063,25115
1598924400,25096,25110,25096,25110
1598924700,25140,25140,25140,25140
1598925000,25154,25154,25117,25117
1598925300,25117,25117,25117,25117
1598925600,25137,25158,25136,25158
1598926200,25170,25171,25170,25171
1598926500,25131,25131,25131,25131
1598926800,25114,25114,25114,25114
1598927100,25068,25068,25034,25034
1598927400,25042,25042,25042,25042
1598927700,25058,25096,25049,25096
1598928000,25101,25123,25101,25123
1598928300,25133,25134,25133,25133
1598928600,25147,25158,25147,25158
1598929200,25168,25168,25168,25168
1598930100,25146,25146,25146,25146
1598930400,25156,25160,25156,25160
1598931300,25104,25104,25098,25098
1598931600,25109,25109,25109,25109
1598931900,25108,25108,25108,25108
1598936400,25124,25124,25124,25124
1598936700,25139,25139,25139,25139
1598937000,25152,25158,25152,25158
1598937300,25168,25172,25168,25172
1598937600,25180,25180,25180,25180
1598937900,25197,25197,25196,25196
1598938200,25176,25200,25176,25200
1598938800,25138,25138,25138,25138
1598940000,25108,25108,25108,25108
1598940600,25155,25155,25155,25155
1598940900,25142,25156,25137,25151
1598941200,25131,25131,25102,25105
1598941500,25080,25080,25076,25076
1598942100,25127,25130,25127,25130
1598942400,25129,25129,25129,25129
1598945700,25128,25135,25128,25135
1598946000,25152,25158,25152,25158
1598946300,25143,25143,25143,25143
1598946600,25120,25120,25102,25104
1598946900,25125,25125,25121,25121
1598947500,25104,25104,25102,25102
1598952300,25088,25088,25088,25088
1598955000,25060,25060,25060,25060
1598955300,25072,25072,25072,25072
1598956200,25093,25093,25093,25093
1598965200,25005,25005,25005,25005
1598966100,24983,24983,24983,24983
