time,open,high,low,close,Volume,Volume MA
1661822100,19528,19528,19528,19528,1,NaN
1661823000,19815,19815,19815,19815,1,NaN
1661823300,19815,19815,19815,19815,1,NaN
1661823900,19739,19739,19739,19739,1,NaN
1661826600,19731,19731,19731,19731,1,NaN
1661829900,19740,19740,19740,19740,1,NaN
1661840100,19888,19970,19888,19970,3,NaN
1661844600,19956,19956,19954,19954,2,NaN
1661846400,19725,19731,19725,19731,2,NaN
1661847900,19762,19762,19762,19762,4,NaN
1661908500,19539,19539,19500,19500,2,NaN
1661908800,19532,19532,19532,19532,1,NaN
1661909100,19520,19520,19520,19520,1,NaN
1661909400,19526,19526,19505,19514,5,NaN
1661909700,19615,19615,19609,19609,2,NaN
1661910000,19639,19639,19611,19611,4,NaN
1661910300,19590,19590,19560,19560,2,NaN
1661910600,19549,19567,19549,19560,13,NaN
1661910900,19581,19606,19581,19606,6,NaN
1661911200,19610,19610,19597,19597,2,NaN
1661911500,19650,19653,19624,19634,12,NaN
1661911800,19618,19620,19596,19617,25,NaN
1661912100,19626,19628,19617,19617,9,NaN
1661912700,19573,19632,19573,19632,9,NaN
1661913000,19636,19650,19609,19620,15,NaN
1661913300,19607,19631,19607,19622,10,NaN
1661915400,19680,19700,19680,19700,3,NaN
1661915700,19700,19700,19700,19700,1,NaN
1661916300,19754,19754,19754,19754,1,NaN
1661916600,19786,19786,19786,19786,1,NaN
1661916900,19800,19801,19800,19801,3,NaN
1661917500,19782,19782,19782,19782,1,NaN
1661917800,19799,19799,19799,19799,1,NaN
1661922300,19850,19850,19850,19850,1,NaN
1661922600,19850,19917,19850,19917,18,NaN
1661922900,19928,19970,19918,19967,11,NaN
1661923200,19970,20030,19970,20030,7,NaN
1661923500,20038,20077,20030,20030,8,NaN
1661923800,20022,20031,20000,20000,8,NaN
1661924100,20010,20010,20009,20009,3,NaN
1661924400,19986,19988,19970,19988,3,NaN
1661924700,19970,19979,19964,19979,3,NaN
1661925000,20000,20000,20000,20000,1,NaN
1661925600,20007,20007,20007,20007,1,NaN
1661925900,19970,20000,19970,20000,3,NaN
1661926200,19984,19984,19984,19984,1,NaN
1661926500,19970,19970,19970,19970,2,NaN
1661926800,19969,19969,19969,19969,1,NaN
1661927100,19950,19950,19910,19910,14,NaN
1661927400,19900,19900,19900,19900,1,NaN
1661928300,19915,19917,19915,19917,5,NaN
1661928900,19928,19928,19928,19928,1,NaN
1661929200,19933,19933,19927,19927,11,NaN
1661929800,19918,19919,19913,19919,5,NaN
1661930100,19916,19919,19915,19919,3,NaN
1661930400,19902,19903,19902,19903,13,NaN
1661930700,19888,19888,19870,19870,5,NaN
1661931000,19856,19857,19846,19851,8,NaN
1661931300,19855,19857,19855,19857,2,NaN
1661931600,19855,19859,19844,19845,32,NaN
1661931900,19830,19833,19830,19833,3,NaN
1661932200,19830,19831,19830,19831,2,NaN
1661932800,19865,19872,19859,19872,11,NaN
1661933100,19880,19900,19880,19896,8,NaN
1661933700,19895,19895,19895,19895,20,NaN
1661937300,19812,19829,19812,19829,4,NaN
1661940300,19790,19790,19790,19790,1,NaN
1661940900,19820,19820,19818,19818,2,NaN
1661942700,19840,19840,19840,19840,1,NaN
1661943000,19850,19850,19850,19850,2,NaN
1661944200,19820,19820,19820,19820,1,NaN
1661944500,19850,19850,19850,19850,1,NaN
1661947500,19860,19860,19860,19860,1,NaN
1661947800,19845,19845,19845,19845,5,NaN
1661948100,19869,19880,19869,19880,2,NaN
1661948400,19870,19870,19868,19868,4,NaN
1661949000,19850,19850,19850,19850,1,NaN
1661949300,19857,19860,19857,19860,10,NaN
1661949900,19880,19880,19880,19880,1,NaN
1661950200,19881,19881,19881,19881,5,NaN
1661950800,19900,19900,19900,19900,1,NaN
1661951100,19899,19899,19899,19899,1,NaN
1661951400,19891,19891,19891,19891,1,NaN
1661951700,19880,19882,19880,19882,2,NaN
1661952300,19910,19910,19910,19910,1,NaN
1661952600,19882,19910,19880,19880,4,NaN
1661952900,19862,19862,19850,19850,3,NaN
1661953200,19910,19910,19910,19910,1,NaN
1661953500,19940,19950,19940,19950,3,NaN
1661953800,19970,19970,19970,19970,1,NaN
1661954100,19959,19959,19910,19910,10,NaN
1661954400,19940,19940,19940,19940,1,NaN
1661954700,19953,19953,19953,19953,3,NaN
1661955000,19970,19984,19970,19983,16,NaN
1661955300,19960,19960,19960,19960,5,NaN
1661955600,19995,20000,19970,19970,10,NaN
1661955900,19982,19982,19940,19940,3,NaN
1661956200,19910,19910,19900,19900,3,NaN
1661956500,19920,19920,19915,19915,2,NaN
1661956800,19915,19950,19915,19950,6,NaN
1661957100,19970,19970,19940,19950,8,NaN
1661957400,19910,19910,19900,19900,2,NaN
1661957700,19890,19890,19890,19890,1,NaN
1661958300,19833,19833,19820,19820,2,NaN
1661958600,19838,19838,19831,19831,30,NaN
1661958900,19825,19829,19825,19829,10,NaN
1661959200,19848,19852,19848,19852,36,NaN
1661959500,19851,19853,19829,19829,12,NaN
1661959800,19820,19832,19820,19832,10,NaN
1661960100,19824,19828,19822,19822,12,NaN
1661960400,19820,19842,19820,19842,2,NaN
1661961000,19839,19839,19839,19839,1,NaN
1661961300,19850,19858,19850,19854,3,NaN
1661961600,19846,19846,19843,19843,10,NaN
1661961900,19830,19832,19830,19832,8,NaN
1661962800,19820,19820,19820,19820,1,NaN
1661964300,19823,19823,19823,19823,1,NaN
1661964900,19813,19813,19813,19813,1,NaN
1661966100,19800,19800,19798,19798,2,NaN
1661966700,19790,19790,19790,19790,1,NaN
1661969400,19820,19820,19820,19820,1,NaN
1661970600,19790,19790,19790,19790,1,NaN
1661971500,19770,19770,19770,19770,1,NaN
1661972100,19764,19764,19764,19764,3,NaN
1661994900,19670,19730,19670,19730,77,NaN
1661995200,19700,19700,19648,19648,3,NaN
1661995500,19638,19638,19638,19638,1,NaN
1661995800,19654,19700,19626,19626,9,NaN
1661996100,19620,19622,19620,19622,6,NaN
1661996400,19700,19700,19700,19700,3,NaN
1661996700,19696,19696,19650,19650,3,NaN
1661997000,19640,19700,19640,19700,62,NaN
1661997300,19680,19730,19675,19730,5,NaN
1661997600,19716,19760,19716,19760,74,NaN
1661997900,19764,19770,19730,19731,130,NaN
1661998200,19734,19734,19734,19734,46,NaN
1661998500,19700,19730,19700,19730,3,NaN
1661998800,19743,19778,19730,19730,52,NaN
1661999100,19700,19700,19700,19700,2,NaN
1661999400,19706,19706,19670,19675,5,NaN
1661999700,19688,19706,19688,19706,4,NaN
1662000000,19711,19711,19681,19681,31,NaN
1662000900,19707,19730,19707,19730,143,NaN
1662001200,19727,19727,19727,19727,2,NaN
1662001500,19730,19730,19730,19730,2,NaN
1662001800,19735,19735,19735,19735,6,NaN
1662002100,19750,19750,19748,19748,3,NaN
1662002700,19702,19706,19700,19702,13,NaN
1662003000,19714,19730,19714,19729,13,NaN
1662003300,19716,19716,19695,19699,26,NaN
1662003600,19693,19693,19598,19602,20,NaN
1662003900,19588,19588,19544,19544,31,NaN
1662004200,19588,19601,19588,19600,4,NaN
1662004500,19592,19606,19592,19600,20,NaN
1662008400,19579,19579,19561,19562,3,NaN
1662009300,19584,19618,19584,19618,2,NaN
1662009900,19626,19640,19626,19631,3,NaN
1662010200,19610,19610,19610,19610,1,NaN
1662010500,19600,19650,19600,19650,5,NaN
1662010800,19610,19610,19600,19600,2,NaN
1662011100,19580,19580,19547,19547,2,NaN
1662011400,19544,19544,19543,19543,2,NaN
1662011700,19567,19567,19567,19567,2,NaN
1662012300,19561,19573,19560,19573,3,NaN
1662012900,19551,19551,19551,19551,1,NaN
1662013500,19543,19543,19517,19517,5,NaN
1662014400,19540,19540,19535,19535,3,NaN
1662014700,19545,19545,19533,19533,3,NaN
1662015000,19526,19526,19488,19488,5,NaN
1662015600,19509,19509,19509,19509,1,NaN
1662016200,19564,19564,19564,19564,1,NaN
1662017400,19515,19515,19515,19515,2,NaN
1662018000,19502,19502,19502,19502,2,NaN
1662019200,19540,19540,19532,19532,2,NaN
1662020100,19543,19543,19543,19543,1,NaN
1662023700,19557,19559,19557,19559,2,NaN
1662024300,19554,19554,19554,19554,1,NaN
1662028200,19555,19556,19555,19556,2,NaN
1662031800,19552,19553,19551,19553,4,NaN
1662040200,19494,19494,19494,19494,1,NaN
1662040800,19408,19408,19408,19408,2,NaN
1662043200,19408,19408,19408,19408,1,NaN
1662043500,19401,19403,19392,19392,41,NaN
1662043800,19404,19417,19404,19416,75,NaN
1662044100,19412,19412,19396,19396,34,NaN
1662044400,19400,19412,19396,19405,49,NaN
1662044700,19416,19430,19414,19425,30,NaN
1662046200,19426,19426,19426,19426,1,NaN
1662047700,19414,19414,19413,19413,20,NaN
1662048000,19412,19412,19412,19412,9,NaN
1662052200,19447,19465,19447,19465,3,NaN
1662058500,19500,19507,19500,19501,8,NaN
1662081300,19543,19546,19543,19546,40,NaN
1662081600,19539,19539,19538,19538,40,NaN
1662082200,19519,19541,19493,19502,31,NaN
1662082500,19514,19549,19502,19549,4,NaN
1662082800,19550,19576,19550,19576,3,NaN
1662083100,19504,19504,19444,19444,27,NaN
1662083400,19449,19487,19448,19483,75,NaN
1662083700,19485,19485,19483,19483,10,NaN
1662084000,19449,19449,19448,19448,10,NaN
1662084300,19414,19414,19380,19380,30,NaN
1662084600,19402,19402,19402,19402,1,NaN
1662084900,19383,19383,19350,19350,4,NaN
1662085200,19346,19380,19345,19380,4,NaN
1662085500,19389,19389,19389,19389,3,NaN
1662085800,19407,19409,19389,19409,11,NaN
1662086400,19419,19419,19419,19419,2,NaN
1662087300,19410,19410,19409,19409,6,NaN
1662087900,19429,19429,19429,19429,1,NaN
1662088200,19429,19429,19400,19400,5,NaN
1662088500,19437,19439,19437,19438,7,NaN
1662088800,19424,19427,19422,19427,14,NaN
1662089400,19428,19428,19427,19427,3,NaN
1662090000,19429,19429,19429,19429,2,NaN
1662090600,19425,19425,19424,19424,5,NaN
1662094800,19435,19460,19417,19421,11,NaN
1662095400,19400,19400,19400,19400,2,NaN
1662095700,19375,19375,19375,19375,1,NaN
1662096000,19350,19350,19350,19350,1,NaN
1662096300,19333,19342,19329,19342,5,NaN
1662097500,19317,19320,19285,19285,49,NaN
1662097800,19286,19335,19286,19307,87,NaN
1662098100,19310,19342,19309,19342,186,NaN
1662098400,19312,19342,19299,19303,44,NaN
1662098700,19318,19318,19314,19314,3,NaN
1662099900,19332,19343,19332,19343,6,NaN
1662100200,19350,19400,19350,19400,20,NaN
1662100500,19401,19401,19400,19400,2,NaN
1662101100,19410,19420,19403,19403,4,NaN
1662101700,19414,19434,19414,19434,8,NaN
1662102000,19450,19450,19450,19450,1,NaN
1662103200,19426,19426,19426,19426,1,NaN
1662103800,19410,19410,19398,19398,6,NaN
1662105300,19383,19383,19383,19383,2,NaN
1662105600,19393,19393,19379,19379,8,NaN
1662105900,19385,19406,19385,19406,37,NaN
1662106200,19410,19418,19410,19418,9,NaN
1662107100,19426,19438,19426,19438,5,NaN
1662112800,19436,19438,19436,19438,2,NaN
1662113400,19422,19424,19422,19424,2,NaN
1662114300,19400,19400,19400,19400,2,NaN
1662117000,19370,19370,19370,19370,1,NaN
1662119400,19400,19401,19400,19401,3,NaN
1662121800,19430,19470,19430,19430,15,NaN
1662122100,19460,19460,19460,19460,1,NaN
1662122400,19430,19430,19430,19430,1,NaN
1662124200,19442,19442,19442,19442,1,NaN
