time,open,high,low,close,MA,MA,Volume,Volume MA,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1443575700,20761,20761,20734,20734,NaN,NaN,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1443576000,20731,20762,20731,20762,NaN,NaN,83,NaN,20762,NaN,NaN,NaN,NaN,NaN
1443576300,20810,20810,20810,20810,NaN,NaN,1,NaN,20731,NaN,NaN,NaN,NaN,NaN
1443576600,20751,20768,20746,20762,NaN,NaN,70,NaN,20731,NaN,NaN,NaN,NaN,NaN
1443576900,20710,20724,20710,20724,NaN,NaN,2,NaN,20810,NaN,NaN,NaN,NaN,NaN
1443577200,20725,20725,20715,20715,NaN,NaN,4,NaN,20800,NaN,NaN,NaN,NaN,NaN
1443577800,20749,20762,20743,20743,NaN,NaN,35,NaN,20791,NaN,NaN,NaN,NaN,NaN
1443578100,20743,20743,20727,20738,NaN,NaN,8,NaN,20782.9,NaN,NaN,NaN,NaN,NaN
1443578400,20738,20740,20713,20713,20744.555555555555,20744.555555555555,6,NaN,20775.61,NaN,NaN,NaN,NaN,NaN
1443578700,20689,20696,20688,20688,20733.244444444445,20739.444444444445,3,NaN,20769.049,NaN,NaN,NaN,NaN,NaN
1443579000,20677,20677,20641,20649,20716.395555555555,20726.88888888889,6,NaN,20759.32312,NaN,NaN,NaN,NaN,NaN
1443579300,20664,20676,20664,20676,20708.316444444445,20712,58,NaN,20742.7578832,NaN,NaN,NaN,NaN,NaN
1443579600,20678,20678,20678,20678,20702.253155555554,20702.666666666668,25,NaN,20728.511779552,NaN,NaN,NaN,NaN,NaN
1443579900,20688,20688,20688,20688,20699.402524444442,20698.666666666668,1,NaN,20716.260130414717,NaN,NaN,NaN,NaN,NaN
1443580200,20662,20662,20646,20646,20688.722019555553,20691,9,NaN,20705.723712156658,NaN,NaN,NaN,NaN,NaN
1443580800,20671,20671,20671,20671,20685.177615644443,20683,2,NaN,20696.662392454724,NaN,NaN,NaN,NaN,NaN
1443581100,20667,20681,20667,20681,20684.342092515555,20676.666666666668,3,NaN,20688.869657511063,NaN,NaN,NaN,NaN,NaN
1443581400,20691,20691,20691,20691,20685.673674012443,20674.222222222223,3,NaN,20641,NaN,NaN,NaN,NaN,NaN
1443581700,20686,20686,20679,20679,20684.338939209956,20673.222222222223,8,NaN,20646,NaN,NaN,NaN,NaN,NaN
1443582300,20680,20685,20677,20684,20684.271151367964,20677.11111111111,5,17.25,20650.5,NaN,NaN,NaN,NaN,NaN
1443582900,20715,20717,20715,20717,20690.81692109437,20681.666666666668,2,16.7,20654.55,NaN,NaN,NaN,28.909090909090914,47.45454545454545
1443583200,20753,20753,20753,20753,20703.253536875498,20690,1,12.6,20662.043999999998,NaN,NaN,NaN,33.49149507609669,44.39570277529096
1443583500,20788,20788,20788,20788,20720.2028295004,20701.11111111111,1,12.6,20674.77784,NaN,NaN,NaN,37.607302302966005,41.64832250364673
1443589200,20803,20850,20803,20838,20743.762263600318,20722.444444444445,5,9.35,20692.8933856,NaN,NaN,NaN,44.062118693384114,37.33960874942902
1443589500,20843,20843,20843,20843,20763.609810880254,20741.555555555555,1,9.3,20721.172576192,NaN,NaN,NaN,43.678523822753476,37.014538534641844
1443589800,20830,20830,20830,20830,20776.887848704202,20758.11111111111,1,9.15,20744.36151247744,NaN,NaN,NaN,42.66204387451491,38.480326592633354
1443590700,20870,20870,20870,20870,20795.51027896336,20778,1,7.45,20763.376440231503,NaN,NaN,NaN,46.680936560016875,35.78318993955122
1443592200,20821,20821,20819,20819,20800.208223170688,20793.555555555555,3,7.2,20784.701152185204,NaN,NaN,NaN,42.667233279560705,41.30465630663392
1443592800,20805,20805,20805,20805,20801.16657853655,20807,3,7.05,20801.760921748162,NaN,NaN,NaN,41.63286253321507,42.72759240528656
1443593100,20836,20858,20836,20852,20811.33326282924,20822,7,7.25,20805,NaN,NaN,NaN,46.774762072844986,38.963471064861686
1443593400,20860,20867,20850,20855,20820.06661026339,20833.333333333332,11,7.5,20805,NaN,NaN,NaN,46.95288011961983,37.83800382993487
1443594600,20828,20832,20827,20827,20821.453288210712,20837.666666666668,4,4.8,20818,NaN,NaN,NaN,44.71363960226863,39.95095669674188
1443596100,20800,20800,20792,20792,20815.56263056857,20832.555555555555,3,3.7,20870,NaN,NaN,NaN,42.073461880002164,43.49663420774085
1443597000,20829,20830,20829,20830,20818.450104454856,20831.11111111111,5,3.9,20862.2,NaN,NaN,NaN,44.4044703833311,40.74696557440641
1443597600,20871,20871,20871,20871,20828.960083563885,20835.666666666668,1,3.5,20792,NaN,NaN,NaN,48.12863635289134,38.017457220023374
1443597900,20880,20880,20878,20878,20838.76806685111,20836.555555555555,4,3.6,20799.9,NaN,NaN,NaN,48.91928076630349,37.43797968078536
1443598200,20851,20851,20834,20834,20837.81445348089,20838.222222222223,3,3.6,20809.512000000002,NaN,NaN,NaN,45.36113287346893,41.98843335228782
