time,open,high,low,close,MA,MA,Volume,Volume MA,"HSI2!, HKEX: Compare","HSIZ2019, HKEX: Compare","HSI1!, HKEX: Compare",ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1569806100,25837,25837,25822,25822,NaN,NaN,3,NaN,25822,25885,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1569806700,25827,25828,25802,25817,NaN,NaN,78,NaN,25817,25856,NaN,25836.3,NaN,NaN,NaN,NaN,NaN
1569807000,25850,25850,25823,25823,NaN,NaN,21,NaN,25823,25861,NaN,25802,NaN,NaN,NaN,NaN,NaN
1569807300,25880,25880,25880,25880,NaN,NaN,1,NaN,25880,25920,NaN,25805.12,NaN,NaN,NaN,NaN,NaN
1569807600,25900,25900,25900,25900,NaN,NaN,2,NaN,25900,25896,NaN,25810.8128,NaN,NaN,NaN,NaN,NaN
1569807900,25898,25898,25898,25898,NaN,NaN,2,NaN,25898,25943,NaN,25816.164032,NaN,NaN,NaN,NaN,NaN
1569808200,25912,25925,25912,25925,NaN,NaN,14,NaN,25925,25971,NaN,25824.87090944,NaN,NaN,NaN,NaN,NaN
1569808500,25960,25960,25960,25960,NaN,NaN,1,NaN,25960,25998,NaN,25838.383818496,NaN,NaN,NaN,NaN,NaN
1569808800,25916,25916,25916,25916,25882.333333333332,25882.333333333332,1,NaN,25916,25972,NaN,25850.5454366464,NaN,NaN,NaN,NaN,NaN
1569809100,25935,25935,25935,25935,25892.866666666665,25894.88888888889,3,NaN,25935,25966,NaN,25861.49089298176,NaN,NaN,NaN,NaN,NaN
1569809400,25943,25943,25934,25934,25901.09333333333,25907.88888888889,47,NaN,25934,25975,NaN,25871.341803683586,NaN,NaN,NaN,NaN,NaN
1569810600,25966,25966,25966,25966,25914.074666666664,25923.777777777777,1,NaN,25966,25995,NaN,25882.700787241556,NaN,NaN,NaN,NaN,NaN
1569810900,25967,25979,25967,25979,25927.05973333333,25934.777777777777,3,NaN,25979,26030,NaN,25896.182677027737,NaN,NaN,NaN,NaN,NaN
1569811200,25991,25991,25991,25991,25939.847786666665,25944.88888888889,3,NaN,25991,26017,NaN,25911.3534487033,NaN,NaN,NaN,NaN,NaN
1569811500,26000,26000,25979,25979,25947.67822933333,25953.88888888889,53,NaN,25979,26017,NaN,25927.309827936704,NaN,NaN,NaN,NaN,NaN
1569812400,26003,26003,25998,25998,25957.742583466665,25962,4,NaN,25998,26070,NaN,25942.447862349363,NaN,NaN,NaN,NaN,NaN
1569812700,26006,26006,25993,25993,25964.79406677333,25965.666666666668,15,NaN,25993,26070,NaN,25955.15828987949,NaN,NaN,NaN,NaN,NaN
1569813000,25985,25985,25985,25985,25968.835253418663,25973.333333333332,2,NaN,25985,26028,NaN,25965.326631903594,NaN,NaN,NaN,NaN,NaN
1569814500,26004,26004,26002,26002,25975.46820273493,25980.777777777777,16,NaN,26002,26045,NaN,25973.461305522877,NaN,NaN,NaN,NaN,NaN
1569814800,26012,26012,26012,26012,25982.774562187944,25989.444444444445,2,13.6,26012,26045,NaN,25981.1690444183,NaN,NaN,NaN,NaN,NaN
1569815400,26041,26041,26041,26041,25994.419649750354,25997.777777777777,1,13.5,26041,26126,NaN,25993.13523553464,NaN,NaN,NaN,59.16114790286976,20.08830022075055
1569815700,26076,26076,26076,26076,26010.735719800283,26008.555555555555,1,9.65,26076,26117,NaN,26009.70818842771,NaN,NaN,NaN,62.232728054152794,18.57741484903836
1569819600,26061,26067,26051,26067,26021.988575840227,26017,227,19.95,26067,26092,NaN,26022.966550742167,NaN,NaN,NaN,58.90180000321143,22.93545572784251
1569819900,26067,26100,26067,26099,26037.39086067218,26030.333333333332,29,21.35,26099,26150,NaN,26038.373240593733,NaN,NaN,NaN,61.7466917088793,21.34782201709726
1569820200,26140,26140,26140,26140,26057.912688537745,26046.11111111111,8,21.65,26140,26196,NaN,26058.698592474986,NaN,NaN,NaN,64.71978252632253,19.575651623097276
1569820800,26132,26132,26131,26131,26072.530150830196,26061.444444444445,2,21.65,26131,26165,NaN,26074.958873979987,NaN,NaN,NaN,63.501712136640464,21.089292638926366
1569821100,26138,26138,26138,26138,26085.624120664157,26078.444444444445,1,21,26138,26181,NaN,26087.96709918399,NaN,NaN,NaN,63.83878612681028,20.769264345274895
1569821400,26117,26122,26117,26122,26092.899296531326,26091.777777777777,2,21.05,26122,26181,NaN,26098.37367934719,NaN,NaN,NaN,60.91947640135502,24.392438769242755
1569822300,26140,26146,26135,26135,26101.319437225062,26105.444444444445,3,21.15,26135,26181,NaN,26107.898943477754,NaN,NaN,NaN,62.95729974434773,23.120514123939213
1569822600,26126,26139,26126,26132,26107.45554978005,26115.555555555555,4,21.2,26132,26170,NaN,26115.519154782203,NaN,NaN,NaN,61.139538578417664,24.451851894534265
1569822900,26122,26124,26112,26112,26108.36443982404,26119.555555555555,3,19,26112,26170,NaN,26146,NaN,NaN,NaN,58.4084880775374,26.486448418975687
1569823200,26118,26118,26106,26106,26107.891551859233,26123.88888888889,2,19.05,26106,26135,NaN,26144.4,NaN,NaN,NaN,56.80587575104564,27.131613340096827
1569823500,26107,26107,26096,26096,26105.513241487388,26123.555555555555,2,19,26096,26118,NaN,26141.496000000003,NaN,NaN,NaN,55.34071553311956,28.77658794348622
1569823800,26104,26104,26104,26104,26105.21059318991,26119.555555555555,1,18.9,26104,26145,NaN,26138.766240000004,NaN,NaN,NaN,54.26915039076988,28.219385380076183
1569825300,26108,26108,26108,26108,26105.76847455193,26117,1,16.3,26108,26160,NaN,26136.200265600004,NaN,NaN,NaN,54.73049552799776,27.93470061406147
1569825600,26118,26120,26118,26120,26108.614779641543,26115,2,16.2,26120,26149,NaN,26133.788249664005,NaN,NaN,NaN,56.12815142397659,27.072241449309768
1569825900,26123,26123,26122,26122,26111.291823713233,26115,2,15.55,26122,26155,NaN,26131.520954684165,NaN,NaN,NaN,56.481727257091904,26.854058476961313
1569826200,26107,26107,26107,26107,26110.433458970587,26111.88888888889,1,15.5,26107,26149,NaN,26129.389697403116,NaN,NaN,NaN,54.18341307713829,29.830460983974767
1569826500,26118,26118,26096,26096,26107.54676717647,26107.88888888889,2,14.8,26096,26140,NaN,26127.386315558928,NaN,-0.01192961860224273,NaN,50.98072078141955,28.067231572141637
1569828000,26121,26123,26121,26123,26110.637413741177,26109.11111111111,4,14.9,26123,26146,NaN,26125.503136625393,NaN,-0.015933565857019216,40.48310754928748,48.67775897865689,26.076061604791434
1569828900,26090,26090,26081,26081,26104.70993099294,26106.333333333332,29,16.3,26081,26153,NaN,26121.942885695364,NaN,-0.020266497931235583,39.13122438321498,43.61166393582516,33.274039553929725
1569829500,26070,26070,26042,26045,26092.767944794352,26100.666666666668,200,26.25,26045,26088,NaN,26113.948597125825,NaN,-0.024966995590907648,37.18413760189693,39.584833932802376,39.43510004224618
1569829800,26024,26026,26023,26025,26079.21435583548,26091.88888888889,10,15.4,26025,26065,NaN,26103.034765470726,NaN,-0.029973470440387007,35.598665544542705,37.52732056946321,41.874319334339646
1569830100,26024,26030,26021,26030,26069.371484668383,26083.222222222223,7,14.3,26030,26077,NaN,26091.549898304824,NaN,-0.035472842708448304,34.02721279308748,37.67875414428459,40.95758313232559
1569831300,26070,26070,26070,26070,26069.497187734705,26077.666666666668,1,13.95,26070,26106,NaN,26081.672912542148,NaN,-0.040964306954349716,32.71758402496472,43.46876008139951,37.15238562303519
1569831600,26076,26076,26076,26076,26070.797750187765,26072.555555555555,1,13.9,26076,26106,NaN,26076,NaN,-0.046101014244387395,31.555787563186566,44.28604692939001,36.61526391502206
1569835200,26047,26047,26047,26047,26066.03820015021,26065.88888888889,1,13.9,26047,26100,NaN,26068.3,NaN,-0.05115799922264741,29.99586281195932,41.251792686953586,40.9580630065328
1569835500,26058,26058,26058,26058,26064.43056012017,26061.666666666668,3,13.95,26058,26100,NaN,26061.678,NaN,-0.056119631049863505,28.674381221500937,42.81612745121463,39.86744041959158
1569836400,26067,26067,26067,26067,26064.944448096136,26055.444444444445,5,14.05,26067,26100,NaN,26021,NaN,-0.060275901861827075,27.549098401569022,44.09812637634785,38.97365667449588
1569837600,26079,26079,26079,26079,26067.755558476907,26055.222222222223,15,14.6,26079,26100,NaN,26023.32,NaN,-0.06352221990974904,26.651296937300124,45.80342739734674,37.784755261879226
1569846600,26000,26000,26000,26000,26054.204446781525,26050.222222222223,1,14.5,26000,26073,NaN,26079,NaN,-0.06641082795005471,25.945162558680266,37.81044712506215,48.641698772092695
1569848400,25997,25997,25997,25997,26042.76355742522,26047.11111111111,1,14.45,25997,26073,NaN,26075.72,NaN,-0.06904978045208343,25.30934162004599,37.54852379121093,48.99747180577449
1569859200,26060,26060,26060,26060,26046.210845940175,26050.444444444445,1,14.4,26060,26101,NaN,26072.571200000002,NaN,-0.0708225122621553,24.233547369800352,45.841736378569976,42.490877012563956
1569860400,26055,26055,26055,26055,26047.96867675214,26048.777777777777,1,14.4,26055,26101,NaN,26069.548352,NaN,-0.07182314215511354,23.147172703035725,45.33875085045348,43.12187965082515
1569861300,26050,26050,26050,26050,26048.374941401715,26045.88888888889,1,14.4,26050,26101,NaN,26066.64641792,NaN,-0.07190214649126225,22.049061613345817,44.82108067033308,43.771304397951205
1569869700,26000,26000,26000,26000,26038.699953121373,26040.666666666668,1,14.35,26000,26087,NaN,26063.8605612032,NaN,-0.07158189748211086,21.49172666317987,40.0121167361437,49.80421938288025
1569978900,25870,25870,25870,25870,26004.959962497098,26019.777777777777,1,14.3,25870,25879,NaN,26052.22892753101,NaN,-0.07175910768919935,22.05987238546078,30.929809577318206,61.198105406157886
1569979200,25820,25820,25800,25800,25963.967969997677,25990.11111111111,4,14.45,25800,25858,NaN,26032.05061332853,NaN,-0.07258532399775752,23.011005406811364,27.404065841747276,65.62120204535759
1569979500,25832,25832,25830,25830,25937.17437599814,25962.444444444445,9,14.8,25830,25861,NaN,26013.48656426225,NaN,-0.07352030435762158,23.761973937753396,27.929062237487916,62.208848714009854
1569979800,25808,25901,25768,25886,25926.93950079851,25949.777777777777,13,15.25,25886,25914,NaN,25988.937907836025,NaN,-0.07380854559185634,23.676328680019388,32.36803253138758,50.67916658753448
1569980100,25854,25854,25850,25850,25911.55160063881,25933.444444444445,3,13.95,25850,25897,NaN,25966.844117052424,NaN,-0.07382388126558448,23.594965685172077,30.74450403466325,48.1371810323323
1569980400,25908,25908,25894,25894,25908.041280511046,25915,6,4.25,25894,25947,NaN,25946.95970534718,NaN,-0.07332986704108757,22.96088413631753,35.63315379463476,44.36345103476856
1569980700,25880,25880,25880,25880,25902.433024408838,25895.555555555555,5,4,25880,25957,NaN,25929.063734812462,NaN,-0.07231964241503464,22.4667238841068,34.93724038499614,45.45002958220968
1569981000,25875,25875,25875,25875,25896.94641952707,25876.11111111111,1,3.7,25875,25931,NaN,25912.957361331217,NaN,-0.07109279063827356,22.036607152939286,34.682597863232715,45.84762085948959
1569981600,25886,25886,25886,25886,25894.757135621658,25863.444444444445,6,3.95,25886,25909,NaN,25898.461625198095,NaN,-0.06984936586318824,21.5111184919957,35.76677717727132,45.0866132182233
1569981900,25870,25870,25870,25870,25889.805708497326,25863.444444444445,2,4,25870,25909,NaN,25885.415462678284,NaN,-0.06853353505065496,21.14671313456668,34.88032277553922,46.44760286471728
1569982200,25854,25856,25854,25856,25883.04456679786,25869.666666666668,40,5.95,25856,25901,NaN,25873.673916410455,NaN,-0.06722987356885313,20.9338314932436,33.99347605822945,47.80919484048879
1569982500,25849,25856,25837,25837,25873.835653438287,25870.444444444445,12,6.4,25837,25901,NaN,25863.10652476941,NaN,-0.06584688783662529,20.871196531533798,32.94638173109682,49.09257787514855
1569982800,25828,25828,25828,25828,25864.66852275063,25864,1,6.2,25828,25901,NaN,25853.59587229247,NaN,-0.0644417295056815,20.885495226946162,32.4480210749483,49.86262468939478
1569983100,25854,25854,25854,25854,25862.534818200504,25864.444444444445,1,5.5,25854,25896,NaN,25768,NaN,-0.06259118147826537,20.578459306971276,35.418662881821135,47.669883634879284
1569983400,25837,25837,25837,25837,25857.427854560403,25858.11111111111,1,5.5,25837,25896,NaN,25769.72,NaN,-0.06021231134815397,20.43659708773569,34.37815181006306,49.20721059851921
1569983700,25867,25867,25867,25867,25859.342283648322,25856.666666666668,3,5.6,25867,25903,NaN,25773.6112,NaN,-0.056990889502835373,19.941029628235366,37.773902793442524,46.66087217026224
1569984000,25875,25885,25875,25885,25864.473826918656,25857.777777777777,15,6.3,25885,25903,NaN,25780.294528,NaN,-0.05267201749683148,19.2643046897452,39.74324312795019,45.18414228146376
1569985200,25918,25921,25918,25921,25875.779061534926,25861.666666666668,41,8.3,25921,25955,NaN,25791.550965759998,NaN,-0.04699832684165017,18.367792450500026,43.50722490595814,42.36168224493236
1569985500,25922,25922,25922,25922,25885.02324922794,25867.444444444445,1,8.3,25922,25955,NaN,25804.595869184,NaN,-0.040053999843273624,17.52657696862165,43.610219885075956,42.28445041181832
1569986700,25952,25968,25952,25968,25901.618599382353,25879.88888888889,5,8.5,25968,26003,NaN,25824.20436488192,NaN,-0.03165764336758137,17.186216940949922,48.184444916528435,38.85442122708383
1569987000,25972,25972,25963,25963,25913.894879505882,25893.88888888889,4,8.65,25963,26003,NaN,25844.89575379845,NaN,-0.02221920300820246,16.900633922116178,48.12299031967564,38.21597671075774
1569988200,26006,26006,26006,26006,25932.315903604707,25913.666666666668,1,8.5,26006,26043,NaN,25870.6724331907,NaN,-0.011702443142275198,16.94074765980697,50.48519114537152,35.29891005194202
1569992400,26015,26015,26015,26015,25948.852722883767,25931.555555555555,1,8.1,26015,26080,NaN,25896.651395216373,NaN,-0.0004658457986045361,17.05797237817985,51.30411607474687,34.715101730957024
1569993000,26065,26081,26065,26081,25975.282178307014,25958.666666666668,4,7.65,26081,26100,NaN,25933.5211161731,NaN,0.011378899194019465,17.690907137087144,56.8172337824639,30.784822071758043
1569993300,26084,26084,26065,26065,25993.225742645613,25980.666666666668,3,7.65,26065,26119,NaN,25963.61689293848,NaN,0.023606580409224476,18.313791963863334,55.45635595336154,29.76369925808292
1569994500,26031,26031,26002,26002,25994.98059411649,25993.666666666668,2,7.45,26002,26090,NaN,25987.693514350784,NaN,0.03561042074720022,18.127225411803323,49.702215924909574,37.051403302130495
1569994800,26000,26000,26000,26000,25995.98447529319,26002.444444444445,1,7.25,26000,26090,NaN,26000,NaN,0.04733588035582548,17.927180449100597,49.5304775086633,37.26891256405457
1569996000,26023,26025,26023,26025,26001.78758023455,26013.88888888889,89,11.65,26025,26071,NaN,26016.8,NaN,0.05873155555429055,17.95084490771468,51.72529173934427,35.64816531661165
1569996600,26030,26030,26028,26028,26007.030064187642,26020.555555555555,5,11.6,26028,26061,NaN,26028,NaN,0.06920067514088801,18.015634491290243,52.163253903229524,35.32475481485775
1569997200,26031,26031,26031,26031,26011.824051350115,26028.11111111111,6,11.8,26031,26072,NaN,26031,NaN,0.07848566977044891,18.085980051283524,52.055975643341945,35.123501803012765
1569997500,26035,26035,26025,26025,26014.45924108009,26030.222222222223,2,9.9,26025,26072,NaN,26084,NaN,0.08657659492263436,18.071772445374513,51.03575774210539,35.61104330938143
1569998700,26052,26052,26052,26052,26021.967392864073,26034.333333333332,1,9.35,26052,26072,NaN,26082.82,NaN,0.09336872603279145,18.21815565588465,51.665061452545835,33.732131923832405
1569999300,26061,26061,26061,26061,26029.773914291258,26032.11111111111,1,9.35,26061,26101,NaN,26081.6636,NaN,0.09856935517988996,18.44103417491708,52.54362126943294,33.118999963043464
1569999900,26068,26068,26068,26068,26037.419131433006,26032.444444444445,1,9.35,26068,26100,NaN,26080.530328,NaN,0.1018654546550618,18.71878592074731,53.239480539908655,32.6333716077066
1570000200,26013,26013,26013,26013,26032.535305146404,26033.666666666668,2,9.4,26013,26070,NaN,26077.82911488,NaN,0.10330443236250542,18.215432448062508,47.48123863024817,39.919568598870804
1570000500,26010,26010,26010,26010,26028.028244117122,26034.777777777777,1,9.3,26010,26070,NaN,26073.7593679872,NaN,0.10278205836714793,17.698919424089397,47.18820027330853,40.29036496834033
1570000800,25997,26002,25997,26002,26022.8225952937,26032.222222222223,2,8.65,26002,26041,NaN,26067.618618548226,NaN,0.09957254817018146,17.04005172843304,45.89615646102614,41.92525386067924
1570001400,26010,26010,26010,26010,26020.25807623496,26030.222222222223,1,6.65,26010,26055,NaN,26061.969129064368,NaN,0.0938125181843269,16.508633139637656,46.83904344974575,41.19460750030514
1570002300,26007,26007,26007,26007,26017.60646098797,26027.555555555555,2,6.7,26007,26049,NaN,26056.77159873922,NaN,0.085562616619001,15.962531176915169,46.51902882500858,41.59637884803777
1570002600,26015,26015,26003,26003,26014.685168790376,26025.11111111111,4,6.65,26003,26047,NaN,26051.98987084008,NaN,0.07535283164731676,15.544290269765904,47.08241372728048,40.43322652138081
1570002900,25994,26001,25994,26001,26011.9481350323,26019.444444444445,104,11.65,26001,26036,NaN,26046.190883756073,NaN,0.06454452698677615,15.014592232584931,46.065476159187455,41.71981497267333
1570003200,25987,26000,25987,26000,26009.55850802584,26012.666666666668,6,11.9,26000,26034,NaN,26039.087977705345,NaN,0.0539516066919532,14.407760412756483,44.491932620441396,42.00265654375243
1570003500,25999,26003,25997,26000,26007.64680642067,26005.11111111111,5,12.1,26000,26034,NaN,26032.837420380703,NaN,0.043466406194717644,13.87414675964462,44.57552383094113,41.365218280428564
1570003800,25975,25975,25975,25975,26001.117445136537,26000.88888888889,1,11.95,25975,26034,NaN,26024.740181527406,NaN,0.03256217557222385,13.324622673805655,41.79365363125348,44.27560268839739
1570004700,25978,25980,25962,25965,25993.89395610923,25995.88888888889,40,13.8,25965,26006,NaN,26014.701752483023,NaN,0.021802564300962834,12.987941125922436,39.90614446948294,45.53774408613256
1570008300,25873,25873,25873,25873,25969.715164887384,25981.555555555555,2,13.8,25873,25911,NaN,25989.19543703608,NaN,0.010181172479694633,13.675734859323118,32.10521966157205,55.54668306724755
1570008600,25865,25867,25865,25866,25948.972131909908,25965.555555555555,4,13.95,25866,25908,NaN,25964.356349628863,NaN,-0.0019306680825359468,14.402414864615931,31.540856882345086,56.32810732643284
1570009200,25861,25861,25856,25856,25930.377705527928,25948.777777777777,4,9.7,25856,25901,NaN,25942.68507970309,NaN,-0.014270315781850229,15.175831095600785,30.827820087545117,57.08931995031207
1570009500,25855,25865,25855,25860,25916.30216442234,25932.88888888889,3,9.6,25860,25901,NaN,25925.14806376247,NaN,-0.026592592188318664,15.8410251200625,31.041013475670347,55.76236543544856
1570009800,25869,25869,25869,25869,25906.841731537872,25918.222222222223,1,9.35,25869,25901,NaN,25911.118451009977,NaN,-0.0383796587370272,16.40133910263239,31.329799783871565,54.560926215282755
1570011000,25855,25855,25855,25855,25896.473385230296,25902.11111111111,2,9.35,25855,25901,NaN,25899.894760807983,NaN,-0.04937916723612157,17.0775522475381,30.262165432421746,56.109366243795186
1570012800,25855,25855,25855,25855,25888.178708184238,25886,1,9.35,25855,25908,NaN,25890.915808646387,NaN,-0.059147894193096184,17.719954735198527,30.262165432421746,56.109366243795186
1570014000,25843,25843,25843,25843,25879.14296654739,25871.333333333332,1,9.35,25843,25905,NaN,25881.332646917108,NaN,-0.06743536236408498,18.45678458706187,29.31344600265544,57.48533840025748
1570016700,25872,25872,25872,25872,25877.71437323791,25861,1,9.35,25872,25902,NaN,25873.666117533685,NaN,-0.07396004953719615,18.599476663804385,34.53433571971736,53.2394868887097
