time,open,high,low,close
1601428500,23538,23538,23538,23538
1601429700,23419,23450,23419,23450
1601430000,23433,23442,23433,23442
1601430300,23432,23432,23417,23417
1601430600,23431,23459,23431,23459
1601430900,23423,23423,23423,23423
1601431200,23476,23476,23476,23476
1601431500,23467,23500,23467,23500
1601431800,23502,23502,23502,23502
1601432100,23566,23610,23566,23607
1601432700,23652,23652,23652,23652
1601433000,23678,23698,23678,23698
1601433300,23745,23745,23745,23745
1601433600,23700,23700,23699,23699
1601435400,23560,23560,23503,23503
1601436300,23545,23545,23545,23545
1601442600,23482,23482,23482,23482
1601443500,23470,23470,23450,23450
1601443800,23411,23411,23395,23395
1601444700,23380,23380,23380,23380
1601445900,23312,23312,23312,23312
1601446500,23345,23345,23335,23335
1601447700,23405,23405,23405,23405
1601449500,23449,23449,23449,23449
1601451300,23510,23510,23510,23510
1601459100,23402,23402,23402,23402
1601463300,23461,23461,23460,23460
1601471400,23530,23530,23530,23530
1601473800,23581,23581,23581,23581
1601474100,23609,23609,23609,23609
1601474400,23630,23630,23630,23630
1601475000,23648,23648,23648,23648
1601475300,23664,23664,23664,23664
1601475600,23669,23669,23669,23669
1601481000,23660,23660,23658,23658
1601492100,23728,23728,23725,23725
1601860500,23855,23911,23844,23911
1601860800,23857,23871,23857,23870
1601861100,23866,23876,23865,23869
1601861400,23834,23834,23739,23789
1601861700,23702,23702,23654,23678
1601862000,23671,23671,23671,23671
1601862300,23693,23694,23693,23694
1601862600,23702,23711,23648,23648
1601862900,23650,23687,23650,23687
1601863200,23700,23720,23700,23720
1601863500,23700,23725,23700,23725
1601863800,23699,23710,23690,23690
1601864100,23718,23730,23717,23730
1601864700,23751,23759,23751,23759
1601865000,23766,23779,23766,23779
1601865300,23745,23750,23730,23730
1601865600,23730,23730,23717,23717
1601865900,23727,23747,23726,23747
1601866200,23762,23767,23762,23767
1601866500,23767,23767,23749,23749
1601866800,23742,23742,23742,23742
1601867100,23752,23753,23752,23753
1601867700,23736,23736,23736,23736
1601868900,23755,23755,23755,23755
1601869200,23742,23742,23742,23742
1601869800,23752,23752,23752,23752
1601870100,23732,23732,23714,23718
1601874000,23742,23742,23702,23724
1601874600,23729,23729,23729,23729
1601874900,23700,23700,23700,23700
1601875200,23735,23735,23735,23735
1601876400,23744,23748,23744,23748
1601876700,23755,23805,23755,23805
1601877000,23802,23802,23790,23790
1601877600,23782,23782,23747,23750
1601877900,23739,23739,23739,23739
1601878200,23729,23745,23729,23745
1601878800,23725,23725,23715,23715
1601879100,23724,23724,23724,23724
1601882100,23723,23723,23704,23704
1601882700,23658,23658,23658,23658
1601883900,23674,23677,23674,23677
1601884200,23680,23683,23670,23675
1601884500,23689,23692,23689,23692
1601886300,23737,23742,23726,23726
1601889900,23742,23742,23742,23742
1601891100,23761,23761,23761,23761
1601893200,23743,23743,23743,23743
1601894100,23758,23758,23758,23758
1601894700,23760,23760,23760,23760
1601895300,23770,23770,23770,23770
1601895900,23780,23784,23778,23784
1601896800,23769,23769,23766,23766
1601897100,23763,23763,23763,23763
1601897700,23768,23768,23768,23768
1601898300,23770,23777,23770,23777
1601898600,23761,23761,23761,23761
1601899200,23752,23752,23748,23748
1601901300,23771,23771,23768,23768
1601902200,23770,23771,23770,23771
1601902800,23773,23773,23773,23773
1601903100,23766,23766,23760,23760
1601903400,23753,23753,23753,23753
1601903700,23758,23758,23758,23758
1601904600,23785,23800,23777,23781
1601904900,23783,23811,23783,23811
1601905200,23808,23808,23790,23790
1601905500,23797,23800,23791,23791
1601906100,23780,23780,23780,23780
1601907300,23820,23820,23820,23820
