time,open,high,low,close,Volume,Volume MA
1664414100,16911,16911,16911,16911,4,NaN
1664415000,16913,16913,16913,16913,2,NaN
1664415600,17538,17538,17538,17538,1,NaN
1664416200,17600,17600,17600,17600,1,NaN
1664430000,17433,17433,17433,17433,1,NaN
1664433000,17150,17150,17150,17150,1,NaN
1664435700,17100,17100,17100,17100,2,NaN
1664436000,17084,17094,17084,17094,8,NaN
1664436300,17094,17094,17072,17094,25,NaN
1664437200,17090,17095,17090,17095,8,NaN
1664437500,17095,17104,17095,17104,12,NaN
1664437800,17100,17100,17100,17100,1,NaN
1664438100,17104,17120,17104,17120,15,NaN
1664438700,17125,17156,17125,17156,27,NaN
1664500500,17234,17234,17221,17221,15,NaN
1664501100,17260,17260,17260,17260,1,NaN
1664501400,17220,17262,17220,17262,2,NaN
1664501700,17362,17362,17362,17362,1,NaN
1664502000,17325,17325,17300,17303,36,NaN
1664502900,17245,17247,17202,17223,33,NaN
1664503500,17232,17232,17223,17223,6,NaN
1664503800,17236,17237,17171,17171,12,NaN
1664504100,17108,17135,17106,17106,8,NaN
1664504400,17071,17088,17066,17088,10,NaN
1664504700,17092,17152,17092,17152,4,NaN
1664505000,17155,17155,17120,17120,22,NaN
1664505300,17123,17150,17123,17149,43,NaN
1664505600,17151,17172,17151,17172,38,NaN
1664505900,17242,17242,17242,17242,1,NaN
1664506200,17263,17263,17263,17263,1,NaN
1664506500,17286,17288,17286,17288,3,NaN
1664507100,17250,17250,17225,17225,101,NaN
1664508000,17187,17187,17187,17187,1,NaN
1664508300,17215,17220,17210,17216,12,NaN
1664509200,17207,17207,17207,17207,1,NaN
1664514300,17164,17164,17159,17162,7,NaN
1664514600,17166,17183,17150,17150,5,NaN
1664514900,17191,17230,17191,17215,3,NaN
1664515200,17208,17208,17208,17208,1,NaN
1664515800,17180,17212,17180,17212,4,NaN
1664516100,17200,17200,17190,17190,2,NaN
1664516400,17212,17232,17212,17232,5,NaN
1664516700,17238,17253,17237,17237,8,NaN
1664517300,17230,17230,17227,17227,2,NaN
1664517600,17257,17257,17256,17256,4,NaN
1664518200,17259,17271,17251,17251,4,NaN
1664518500,17225,17225,17225,17225,1,NaN
1664518800,17220,17220,17220,17220,1,NaN
1664519100,17230,17242,17230,17242,2,NaN
1664520000,17200,17200,17200,17200,1,NaN
1664520300,17238,17238,17237,17237,2,NaN
1664520600,17251,17251,17251,17251,1,NaN
1664521200,17260,17263,17258,17263,60,NaN
1664521500,17287,17314,17287,17314,32,NaN
1664521800,17331,17331,17331,17331,1,NaN
1664522400,17316,17316,17316,17316,1,NaN
1664522700,17334,17334,17334,17334,14,NaN
1664523300,17295,17295,17290,17290,4,NaN
1664523600,17300,17304,17300,17304,4,NaN
1664523900,17277,17277,17254,17254,8,NaN
1664524200,17256,17256,17238,17238,29,NaN
1664524500,17244,17245,17240,17243,9,NaN
1664524800,17247,17248,17247,17248,2,NaN
1664525100,17246,17246,17204,17204,5,NaN
1664525400,17217,17239,17217,17239,85,NaN
1664525700,17240,17240,17240,17240,1,NaN
1664526000,17225,17225,17225,17225,1,NaN
1664526300,17228,17233,17225,17225,19,NaN
1664529300,17237,17237,17237,17237,2,NaN
1664529600,17237,17237,17233,17233,2,NaN
1664531100,17245,17247,17245,17247,2,NaN
1664531400,17246,17246,17246,17246,1,NaN
1664535900,17210,17210,17210,17210,1,NaN
1664537700,17187,17187,17170,17170,2,NaN
1664538300,17183,17183,17183,17183,1,NaN
1664538600,17154,17154,17154,17154,1,NaN
1664541000,17204,17204,17192,17192,4,NaN
1664543100,17188,17188,17188,17188,1,NaN
1664544600,17217,17217,17217,17217,1,NaN
1664545800,17201,17201,17201,17201,1,NaN
1664547900,17214,17214,17214,17214,1,NaN
1664548800,17264,17264,17264,17264,1,NaN
1664549700,17266,17280,17266,17280,2,NaN
1664550300,17318,17320,17318,17320,2,NaN
1664551200,17328,17328,17322,17322,2,NaN
1664551500,17310,17310,17310,17310,1,NaN
1664551800,17306,17306,17306,17306,1,NaN
1664552400,17272,17272,17272,17272,1,NaN
1664553000,17263,17263,17263,17263,1,NaN
1664560200,17228,17228,17228,17228,1,NaN
1664561100,17225,17225,17225,17225,1,NaN
1664759700,17034,17044,16999,17044,31,NaN
1664760000,17050,17064,17050,17053,11,NaN
1664760300,17053,17053,17053,17053,1,NaN
1664760600,17117,17121,17117,17121,3,NaN
1664760900,17122,17164,17122,17163,3,NaN
1664761200,17117,17160,17117,17160,12,NaN
1664761500,17212,17229,17212,17229,33,NaN
1664761800,17212,17278,17212,17278,59,NaN
1664762100,17255,17255,17243,17243,2,NaN
1664762400,17225,17225,17225,17225,2,NaN
1664763000,17170,17175,17153,17153,3,NaN
1664763300,17162,17162,17152,17152,2,NaN
1664763600,17110,17110,17088,17098,5,NaN
1664763900,17086,17086,17066,17066,5,NaN
1664764800,17108,17115,17108,17111,4,NaN
1664765100,17108,17108,17108,17108,1,NaN
1664765700,17133,17133,17090,17090,3,NaN
1664766000,17050,17072,17041,17041,54,NaN
1664766300,17038,17077,17038,17068,6,NaN
1664766600,17070,17070,17070,17070,1,NaN
1664767200,17083,17084,17070,17070,20,NaN
1664767500,17050,17050,17030,17030,13,NaN
1664767800,17020,17040,17020,17040,33,NaN
1664768100,17060,17070,17060,17070,6,NaN
1664768400,17052,17059,17052,17058,30,NaN
1664768700,17064,17064,17064,17064,1,NaN
1664769000,17052,17052,17052,17052,1,NaN
1664769300,17052,17052,17052,17052,1,NaN
1664773200,17039,17039,17025,17025,8,NaN
1664773500,17016,17016,16970,16970,122,NaN
1664773800,16965,17000,16950,16978,64,NaN
1664774100,16976,16976,16950,16950,40,NaN
1664774400,16966,16972,16965,16972,6,NaN
1664774700,16950,16950,16950,16950,5,NaN
1664775000,16954,16954,16954,16954,1,NaN
1664775600,16989,17000,16989,17000,13,NaN
1664775900,17030,17038,17030,17038,6,NaN
1664776200,17050,17139,17049,17139,29,NaN
1664776500,17130,17130,17086,17086,49,NaN
1664776800,17117,17141,17106,17141,43,NaN
1664777100,17191,17191,17174,17174,21,NaN
1664777400,17160,17160,17144,17144,26,NaN
1664777700,17135,17143,17135,17143,11,NaN
1664778000,17120,17120,17098,17108,30,NaN
1664778600,17085,17085,17085,17085,1,NaN
1664779500,17076,17090,17076,17090,26,NaN
1664780100,17122,17122,17122,17122,7,NaN
1664780400,17095,17095,17095,17095,1,NaN
1664781000,17085,17085,17080,17080,2,NaN
1664781600,17122,17122,17110,17112,27,NaN
1664781900,17104,17104,17104,17104,1,NaN
1664782800,17094,17107,17091,17091,127,NaN
1664783400,17114,17114,17101,17101,12,NaN
1664783700,17101,17102,17101,17101,104,NaN
1664784000,17090,17090,17080,17080,11,NaN
1664784300,17072,17072,17072,17072,2,NaN
1664784600,17079,17079,17079,17079,10,NaN
1664785200,17096,17096,17096,17096,3,NaN
1664785500,17093,17093,17093,17093,1,NaN
1664788800,17112,17112,17112,17112,1,NaN
1664789100,17115,17115,17115,17115,1,NaN
1664791200,17109,17109,17109,17109,5,NaN
1664793000,17155,17160,17149,17149,12,NaN
1664793900,17139,17139,17139,17139,1,NaN
1664796900,17160,17160,17160,17160,20,NaN
1664797200,17158,17160,17158,17160,7,NaN
1664798100,17160,17168,17160,17168,10,NaN
1664798400,17178,17178,17178,17178,1,NaN
1664799000,17171,17171,17168,17169,11,NaN
1664799300,17172,17172,17170,17171,11,NaN
1664799600,17188,17188,17188,17188,2,NaN
1664800800,17201,17201,17201,17201,1,NaN
1664801100,17208,17212,17208,17212,5,NaN
1664801400,17220,17221,17215,17215,7,NaN
1664801700,17212,17213,17206,17213,14,NaN
1664802000,17206,17209,17206,17209,3,NaN
1664802600,17210,17220,17210,17220,3,NaN
1664803800,17200,17200,17148,17154,31,NaN
1664804100,17145,17152,17135,17135,46,NaN
1664804400,17129,17170,17129,17170,17,NaN
1664804700,17172,17208,17172,17207,66,NaN
1664805000,17203,17204,17203,17204,3,NaN
1664805300,17203,17206,17200,17200,11,NaN
1664805600,17210,17256,17210,17256,9,NaN
1664805900,17252,17275,17249,17273,24,NaN
1664806200,17263,17270,17263,17264,8,NaN
1664806800,17270,17281,17270,17274,12,NaN
1664807100,17285,17305,17285,17294,57,NaN
1664807400,17295,17310,17295,17300,52,NaN
1664807700,17308,17313,17295,17295,15,NaN
1664808000,17295,17295,17277,17292,79,NaN
1664808300,17295,17307,17293,17301,28,NaN
1664808900,17287,17287,17284,17284,18,NaN
1664809500,17278,17278,17278,17278,1,NaN
1664810400,17290,17290,17290,17290,2,NaN
1664810700,17287,17287,17287,17287,1,NaN
1664811900,17280,17280,17280,17280,1,NaN
1664814900,17298,17298,17298,17298,10,NaN
1664815200,17306,17306,17304,17304,13,NaN
1664815800,17295,17295,17290,17290,11,NaN
1664816400,17313,17313,17313,17313,10,NaN
1664816700,17313,17316,17313,17314,14,NaN
1664817000,17315,17315,17309,17313,20,NaN
1664818200,17330,17330,17330,17330,1,NaN
1664818500,17320,17320,17320,17320,1,NaN
1664820900,17330,17330,17330,17330,2,NaN
1664821200,17338,17338,17338,17338,1,NaN
1664821800,17347,17347,17347,17347,2,NaN
1664822100,17349,17349,17349,17349,1,NaN
1664823000,17348,17348,17348,17348,1,NaN
1664823300,17355,17355,17355,17355,1,NaN
1664932500,17763,17800,17763,17800,27,NaN
1664932800,17852,17857,17820,17820,6,NaN
1664933100,17819,17831,17812,17814,22,NaN
1664933400,17802,17830,17694,17694,86,NaN
1664933700,17730,17748,17730,17744,104,NaN
1664934000,17729,17738,17700,17738,90,NaN
1664934300,17789,17790,17780,17789,23,NaN
1664934600,17792,17841,17792,17805,9,NaN
1664934900,17819,17880,17817,17856,19,NaN
1664935200,17859,17888,17859,17866,16,NaN
1664935500,17838,17839,17838,17839,20,NaN
1664935800,17852,17852,17852,17852,10,NaN
1664936100,17873,17900,17873,17891,44,NaN
1664936400,17902,17994,17902,17980,5,NaN
1664936700,17975,17978,17957,17978,91,NaN
1664937000,17964,17966,17950,17950,22,NaN
1664937300,18000,18000,17998,17998,5,NaN
1664937600,17963,17963,17956,17956,13,NaN
1664937900,17930,17930,17930,17930,20,NaN
1664938200,17926,17926,17926,17926,1,NaN
1664938500,17957,17967,17955,17967,80,NaN
1664938800,17980,17980,17975,17976,50,NaN
1664939100,17968,17968,17968,17968,2,NaN
1664939400,18001,18001,17998,17998,10,NaN
1664939700,17982,18018,17979,18018,12,NaN
1664940000,18023,18023,18023,18023,1,NaN
1664940300,18031,18031,18031,18031,1,NaN
1664941800,18031,18038,18031,18038,4,NaN
1664942100,18022,18022,18022,18022,3,NaN
1664946000,18062,18063,18040,18040,3,NaN
1664946300,18028,18028,18028,18028,1,NaN
1664946600,18020,18020,18020,18020,5,NaN
1664946900,18068,18100,18068,18100,5,NaN
1664947200,18120,18120,18106,18106,8,NaN
1664947500,18124,18180,18124,18149,204,NaN
1664947800,18143,18148,18130,18130,9,NaN
1664948100,18150,18150,18150,18150,3,NaN
1664948400,18141,18141,18141,18141,1,NaN
1664948700,18143,18143,18120,18120,9,NaN
1664949600,18153,18154,18153,18154,10,NaN
1664949900,18148,18148,18138,18138,2,NaN
1664950200,18121,18121,18121,18121,88,NaN
1664950500,18150,18153,18150,18153,6,NaN
1664950800,18162,18165,18161,18165,31,NaN
1664951100,18186,18188,18185,18188,16,NaN
1664951700,18200,18210,18180,18180,7,NaN
1664952000,18186,18197,18172,18175,41,NaN
1664952900,18150,18150,18150,18150,3,NaN
1664953200,18153,18154,18130,18130,13,NaN
1664954400,18106,18110,18093,18095,118,NaN
1664954700,18096,18112,18096,18112,7,NaN
1664955300,18122,18122,18122,18122,10,NaN
1664956200,18126,18130,18126,18130,21,NaN
1664956500,18115,18115,18106,18111,101,NaN
1664956800,18115,18124,18107,18109,115,NaN
1664957100,18110,18110,18101,18108,82,NaN
1664957400,18140,18140,18116,18118,130,NaN
1664957700,18097,18100,18073,18073,44,NaN
1664958000,18076,18076,18050,18052,4,NaN
1664958300,18046,18099,18045,18099,18,NaN
1664961300,18111,18111,18111,18111,22,NaN
1664962800,18068,18068,18068,18068,1,NaN
1664963700,18062,18062,18062,18062,1,NaN
1664964900,18071,18071,18071,18071,29,NaN
1664965200,18062,18062,18062,18062,1,NaN
1664966100,18071,18072,18071,18071,20,NaN
1664966400,18072,18072,18072,18072,1,NaN
1664967300,18085,18085,18085,18085,10,NaN
