time,open,high,low,close,MA,MA,Volume,Volume MA,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1463739900,19393,19393,19393,19393,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1463966100,19320,19320,19320,19320,NaN,NaN,1,NaN,19393,NaN,NaN,NaN,NaN,NaN
1463966400,19283,19283,19283,19283,NaN,NaN,1,NaN,19393,NaN,NaN,NaN,NaN,NaN
1463967000,19380,19380,19380,19380,NaN,NaN,1,NaN,19283,NaN,NaN,NaN,NaN,NaN
1463969700,19462,19462,19462,19462,NaN,NaN,1,NaN,19283,NaN,NaN,NaN,NaN,NaN
1463970600,19456,19461,19456,19461,NaN,NaN,2,NaN,19304.48,NaN,NaN,NaN,NaN,NaN
1463971800,19453,19453,19453,19453,NaN,NaN,1,NaN,19323.3824,NaN,NaN,NaN,NaN,NaN
1463972700,19430,19430,19430,19430,NaN,NaN,1,NaN,19340.016512,NaN,NaN,NaN,NaN,NaN
1464012300,19400,19400,19400,19400,19398,19398,1,NaN,19354.654530559998,NaN,NaN,NaN,NaN,NaN
1464054300,19280,19280,19280,19280,19374.4,19385.444444444445,1,NaN,19462,NaN,NaN,NaN,NaN,NaN
1464054600,19288,19300,19288,19300,19359.52,19383.222222222223,2,NaN,19443.8,NaN,NaN,NaN,NaN,NaN
1464056400,19303,19303,19303,19303,19348.216,19385.444444444445,8,NaN,19427.42,NaN,NaN,NaN,NaN,NaN
1464067800,19297,19297,19297,19297,19337.9728,19376.222222222223,2,NaN,19412.678,NaN,NaN,NaN,NaN,NaN
1464069900,19264,19264,19264,19264,19323.17824,19354.222222222223,1,NaN,19399.4102,NaN,NaN,NaN,NaN,NaN
1464072000,19296,19296,19295,19296,19317.742592000002,19335.88888888889,19,NaN,19383.160976,NaN,NaN,NaN,NaN,NaN
1464073500,19275,19275,19275,19275,19309.194073600003,19316.11111111111,6,NaN,19368.86165888,NaN,NaN,NaN,NaN,NaN
1464075300,19340,19341,19340,19341,19315.555258880002,19306.222222222223,3,NaN,19356.2782598144,NaN,NaN,NaN,NaN,NaN
1464075600,19402,19402,19402,19402,19332.844207104,19306.444444444445,1,NaN,19264,NaN,NaN,NaN,NaN,NaN
1464077100,19396,19396,19396,19396,19345.4753656832,19319.333333333332,8,NaN,19277.8,NaN,NaN,NaN,NaN,NaN
1464084000,19453,19453,19453,19453,19366.98029254656,19336.333333333332,1,3.1,19290.22,NaN,NaN,NaN,NaN,NaN
1464138900,19718,19720,19718,19720,19437.584234037247,19382.666666666668,2,3.15,19309.7536,NaN,NaN,NaN,65.36259541984732,34.06488549618321
1464139200,19748,19748,19748,19748,19499.667387229798,19432.777777777777,10,3.6,19367.188096,NaN,NaN,NaN,66.31008206330597,33.13305978898008
1464139800,19788,19788,19770,19770,19553.733909783838,19489,47,5.9,19428.118000640003,NaN,NaN,NaN,67.64114695482112,31.82399597005196
1464143400,19879,19879,19879,19879,19618.78712782707,19553.777777777777,21,6.9,19492.896760524804,NaN,NaN,NaN,69.2540686907627,28.584531270574594
1464144900,19938,19938,19938,19938,19682.629702261656,19627.444444444445,8,7.25,19570.117408419843,NaN,NaN,NaN,70.93954575805887,27.01754110685527
1464145200,19910,19910,19910,19910,19728.103761809325,19690.666666666668,25,8.4,19643.693926735876,NaN,NaN,NaN,69.04862790329894,28.962913509943327
1464145500,19913,19913,19913,19913,19765.08300944746,19747.444444444445,23,9.5,19702.5551413887,NaN,NaN,NaN,69.14139632080911,28.87610496250941
1464145800,19924,19924,19924,19924,19796.866407557965,19806.11111111111,1,9.5,19749.64411311096,NaN,NaN,NaN,69.49429427727947,28.545878794856694
1464146100,19906,19906,19906,19906,19818.69312604637,19856.444444444445,16,10.25,19787.31529048877,NaN,NaN,NaN,68.15181826452734,29.926214327835122
1464146400,19928,19928,19928,19928,19840.554500837097,19879.555555555555,1,10.25,19817.452232391013,NaN,NaN,NaN,68.9241553651537,29.20048606495787
1464146700,19919,19919,19919,19919,19856.243600669677,19898.555555555555,1,10.2,19841.56178591281,NaN,NaN,NaN,68.21183037394061,29.93219271953323
1464147600,19910,19910,19910,19910,19866.99488053574,19914.11111111111,1,9.85,19860.84942873025,NaN,NaN,NaN,67.47774982748169,30.686246876644297
1464157800,19954,19954,19954,19954,19884.395904428595,19922.444444444445,98,14.65,19876.2795429842,NaN,NaN,NaN,69.18438768535276,29.07595514228233
1464158100,19960,19960,19960,19960,19899.516723542874,19924.88888888889,1,14.65,19891.82363438736,NaN,NaN,NaN,69.41476914233114,28.858579584713635
1464158700,19940,19940,19940,19940,19907.6133788343,19928.222222222223,1,13.75,19905.45890750989,NaN,NaN,NaN,67.64042368861101,30.677060830775687
1464159000,19942,19942,19942,19942,19914.49070306744,19931.444444444445,1,13.5,19916.36712600791,NaN,NaN,NaN,67.72725943387495,30.59474005456668
1464159300,19930,19930,19930,19930,19917.592562453952,19932.11111111111,2,13.45,19925.093700806327,NaN,NaN,NaN,66.59853473478246,31.751429869010313
1464159600,19905,19905,19905,19905,19915.07404996316,19932,2,13.5,19960,NaN,NaN,NaN,64.2503347639802,34.15780849321126
1464159900,19898,19898,19898,19898,19911.65923997053,19928.666666666668,1,13.15,19954.5,NaN,0.22954573028591999,NaN,63.58950397743013,34.83501192509137
1464160500,19927,19927,19927,19927,19914.727391976423,19929.555555555555,1,13.15,19947.72,NaN,0.21529320263153462,37.59590122885891,65.15251715075287,33.33963041482515
1464161700,19920,19920,19920,19920,19915.781913581137,19930.666666666668,2,13.15,19941.7536,NaN,0.19582376939208057,37.25864908196367,64.44955426237019,34.05886227252645
1464163500,19920,19920,19920,19920,19916.62553086491,19926.88888888889,1,12.7,19936.503168,NaN,0.17277230358734408,36.938259542413185,64.44955426237019,34.05886227252645
1464175800,19983,19983,19983,19983,19929.90042469193,19929.444444444445,1,10.4,19898,NaN,0.14802170116013924,36.97434485831614,67.90305961237581,30.750255006632933
1464183600,19993,19995,19993,19995,19942.920339753542,19935.555555555555,2,9.45,19906.5,NaN,0.12106734344699,37.068974433116395,68.5162822577133,30.162761230209295
1464183900,20001,20001,20001,20001,19954.536271802834,19942.11111111111,1,9.1,19917.12,NaN,0.09166797538875171,37.1897057645382,68.82971311256158,29.862480935666095
1464185400,20050,20050,20050,20050,19973.62901744227,19955.444444444445,1,7.9,19928.8632,NaN,0.06111716396450695,37.54584740108824,71.28699827531435,27.50829563120642
1464227100,19860,19860,19860,19860,19950.903213953814,19950.444444444445,1,6.8,20050,NaN,0.027860367822206134,36.111452163575095,53.93288805377963,45.15567956094318
1464227400,19860,19860,19860,19860,19932.722571163053,19946.222222222223,1,6.8,20050,NaN,-0.006906722016393196,34.748776687937614,53.93288805377963,45.15567956094317
1464229800,19832,19832,19832,19832,19912.57805693044,19935.666666666668,1,6.05,20031,NaN,-0.04230834816797646,33.24430536063558,51.87095990167966,47.25245302101301
1464234600,19862,19862,19862,19862,19902.46244554435,19929.222222222223,1,6.05,20007.12,NaN,-0.07567554248267716,32.01377648063597,53.86041065973951,45.29923666160088
1464244500,19909,19909,19909,19909,19903.76995643548,19928,1,6.05,19986.1056,NaN,-0.10606997801110851,31.138624011633624,56.804922148207126,42.40835434825291
1464244800,19885,19885,19885,19885,19900.015965148385,19917.11111111111,10,6.5,19967.612928,NaN,-0.13333756002823827,30.115885627720008,54.92097990569673,44.31838837269774
1464246300,19926,19926,19926,19926,19905.212772118706,19909.444444444445,50,4.1,19951.33937664,NaN,-0.1564277367420902,29.397447811226847,57.458135738120205,41.82404272569446
1464247500,19927,19927,19927,19927,19909.570217694964,19901.222222222223,20,5.05,19937.0186514432,NaN,-0.17448117773650296,28.721054219263742,57.51951965996793,41.763694553027975
1464249000,19960,19960,19960,19960,19919.65617415597,19891.222222222223,1,5.05,19832,NaN,-0.18716212420854972,28.280636157805287,59.54710017187236,39.77032601051058
1464250200,19927,19927,19926,19926,19920.924939324777,19898.555555555555,25,6.25,19844.8,NaN,-0.19436121307212728,27.56522666867185,56.616394080752855,42.73462606740095
1464313500,19880,19880,19880,19880,19912.739951459822,19900.777777777777,1,6.2,19856.32,NaN,-0.1971625119428716,26.510046354486597,52.90798064987074,46.48554813271724
1464314400,19878,19878,19878,19878,19905.79196116786,19905.88888888889,4,6.3,19866.688,NaN,-0.19604890977941714,25.49161873254874,52.74985011917519,46.64549127493724
1464316800,19877,19877,19877,19877,19900.033568934286,19907.555555555555,1,6.3,19876.0192,NaN,-0.19071259748431377,24.515726714210707,52.6670025932203,46.72928846178086
1464318600,19887,19887,19887,19887,19897.42685514743,19905.11111111111,1,6.3,19877,NaN,-0.181509080006198,23.66554577921345,53.43680188978364,45.9693075740792
1464320400,19878,19878,19878,19878,19893.541484117944,19904.333333333332,20,7.2,19960,NaN,-0.1716530848267017,22.775826084938444,52.625966875356326,46.789154116599654
1464325500,19904,19904,19904,19904,19895.633187294356,19901.88888888889,20,8.15,19951.8,NaN,-0.1609734714312466,22.139347010628114,54.71549809672555,44.725420212187075
1464327300,20038,20038,20038,20038,19924.106549835484,19914.222222222223,15,8.85,19878,NaN,-0.14800441496638503,22.40705635561567,63.45918470898131,36.08968300628584
1464327600,20040,20040,20040,20040,19947.285239868386,19923.11111111111,1,8.8,19894,NaN,-0.13410279738104156,22.672393993141817,63.569696690827236,35.98053540349012
1464328200,20100,20100,20100,20100,19977.82819189471,19942.444444444445,10,9.25,19911.52,NaN,-0.11932311693767181,23.240857284689465,66.74567094772188,32.84377167080941
1464328800,20108,20108,20108,20108,20003.86255351577,19967.777777777777,16,10,19937.9072,NaN,-0.10329337432853355,23.820924356363655,67.14764299289382,32.446762365677415
1464330300,20115,20115,20115,20115,20026.090042812615,19994.11111111111,4,10.15,19965.122048,NaN,-0.0862211497722237,24.40800491506451,67.50937766641657,32.089493662287886
1464330600,20115,20116,20115,20116,20044.072034250094,20020.666666666668,14,10.8,19992.10007936,NaN,-0.06870064677551466,24.971078746437023,67.56308597680435,32.036448433787626
1464331500,20117,20117,20117,20117,20058.657627400076,20046.222222222223,9,11.2,20016.880063488,NaN,-0.05095295966240585,25.51160848159944,67.61942954542425,31.980800481908595
1464332100,20060,20060,20060,20060,20058.92610192006,20066.444444444445,1,11.2,20036.9040507904,NaN,-0.03431252790088377,25.38200017166144,61.23721363086254,38.400748425546446
1464333300,20090,20090,20090,20090,20065.14088153605,20087.11111111111,1,11.2,20052.92324063232,NaN,-0.0184822255806971,25.451048097269105,63.16341692975792,36.49253554340361
1464356100,20165,20165,20165,20165,20085.11270522884,20101.222222222223,1,10.75,20060,NaN,-0.002680084463966259,25.94141377087856,67.42341231896098,32.27232779886902
1464362700,20155,20161,20155,20161,20100.290164183072,20114.666666666668,2,8.35,20081,NaN,0.012183277200601994,26.298921157441203,66.3465424708389,33.354057209594544
1464363600,20168,20168,20158,20158,20111.83213134646,20121.11111111111,4,7.55,20097.8,NaN,0.02577569865747311,26.677581836434985,66.40695014662087,32.80256836434367
1464574200,20190,20190,20190,20190,20127.465705077168,20130.222222222223,1,7.55,20111.84,NaN,0.038552459313560015,27.160178382695868,66.53056128167427,31.072019309941034
1464575400,20201,20201,20195,20195,20140.972564061733,20139.11111111111,2,6.4,20127.472,NaN,0.05033419170156985,27.679715383773697,67.15750890090185,30.48998001448387
1464576000,20200,20200,20200,20200,20152.778051249385,20148.444444444445,1,6.4,20142.177600000003,NaN,0.061032689184031284,28.173275534797636,66.56094629144019,30.219136406113677
1464578400,20330,20331,20330,20331,20188.422440999508,20172.222222222223,4,6.4,20153.94208,NaN,0.07209796429265561,29.272898815308203,73.14099438011993,24.272695083831284
1464580500,20275,20275,20275,20275,20205.737952799605,20196.11111111111,5,6.6,20189.353664000002,NaN,0.0823831014401061,29.702184437155534,67.19146863024469,30.287343929816817
1464586500,20200,20200,20200,20200,20204.590362239684,20208.333333333332,1,6.6,20331,NaN,0.09027256076842852,29.384464312739386,60.27894310182641,37.45924424041775
1464588600,20230,20260,20230,20260,20215.672289791746,20218.88888888889,2,5.7,20317.9,NaN,0.09633156362911402,29.39468837265116,63.445785509384145,34.472729467668266
1464589800,20260,20260,20260,20260,20224.537831833397,20229.88888888889,2,4.8,20306.11,NaN,0.1002627573840115,29.404401229567345,63.445785509384145,34.472729467668266
1464592500,20200,20220,20200,20220,20223.630265466716,20236.777777777777,4,4.25,20295.499,NaN,0.10073030558584276,28.877439068812755,58.29591216798722,39.7915562571805
1464658500,20240,20240,20240,20240,20226.904212373374,20242.333333333332,1,4.25,20285.949099999998,NaN,0.097992124373138,28.491292530798336,59.45077774868407,38.68965231651919
1464659100,20280,20280,20280,20280,20237.5233698987,20251.777777777777,1,3.8,20200,NaN,0.092607687467019,28.34550649411682,61.68452200886554,36.55834660972141
1464659700,20332,20346,20332,20346,20259.21869591896,20268,2,3.1,20208,NaN,0.08486841079517973,28.537253887748903,65.03034251343976,33.36596399796229
1464662100,20412,20412,20412,20412,20289.774956735168,20277,1,2.95,20224.56,NaN,0.07792030239518746,29.009124948749722,67.97412544863339,30.557181685146222
1464662400,20356,20356,20356,20356,20303.019965388135,20286,1,2.3,20250.801600000003,NaN,0.07101700520676105,28.968306434197626,63.220827202609975,35.4131827637383
1464663000,20382,20382,20382,20382,20318.81597231051,20306.222222222223,1,1.9,20273.369376000002,NaN,0.064820279984133,29.04976410155108,64.43623193018178,34.242918549626694
1464664500,20408,20408,20405,20405,20336.052777848407,20322.333333333332,50,4.35,20292.77766336,NaN,0.05911200802268315,29.245308677966296,65.63174104260212,33.091811021268676
1464664800,20419,20419,20419,20419,20352.642222278726,20340,1,4.35,20309.4687904896,NaN,0.05327495924079941,29.48114671146094,65.8736784269138,32.47308308191259
1464665400,20444,20444,20444,20444,20370.91377782298,20364.88888888889,5,4.55,20326.993784011265,NaN,0.047807623182892243,29.81911857615642,67.0323376248372,31.370554750014623
1464671700,20482,20482,20482,20482,20393.131022258385,20391.777777777777,1,4.5,20348.05490288924,NaN,0.042586845212639356,30.30697641050665,68.73097456034917,29.754207725482463
1464677100,20551,20552,20551,20552,20424.90481780671,20422,5,4.55,20374.84392231139,NaN,0.03825547562703315,31.04869885311795,71.57125329063861,27.051525369666628
1464678900,20440,20440,20440,20440,20427.923854245368,20432.444444444445,1,4.55,20410.275137849112,NaN,0.032916283385182064,30.7863355470678,62.07485906424882,36.61218720561802
1464681600,20378,20378,20370,20370,20416.339083396295,20427.777777777777,2,4.55,20552,NaN,0.0262989083317672,30.025924386572278,57.091227731808914,41.70122799763904
1464681900,20324,20324,20324,20324,20397.871266717037,20424.222222222223,20,5.5,20533.8,NaN,0.018708545037404177,28.995969179179298,54.08748233572979,44.76850601838462
1464687300,20367,20367,20367,20367,20391.69701337363,20422.555555555555,5,5.55,20508.624,NaN,0.011109938247706475,28.24287294475125,56.34739135875858,42.56490761329867
1464692400,20341,20341,20341,20341,20381.557610698903,20415.444444444445,2,5.4,20486.46912,NaN,0.003664058400066916,27.35253859651135,54.635729852869616,44.30961015151496
1464693000,20330,20330,20330,20330,20371.24608855912,20405.555555555555,2,5.45,20466.9728256,NaN,-0.0035755730494662964,26.432242925236427,53.90647266934834,45.05294454019204
1464694200,20336,20337,20336,20337,20364.396870847297,20393.666666666668,2,5.45,20449.816086528,NaN,-0.010160596803422383,25.598727127427154,54.31494241325492,44.653696190493015
1464694800,20353,20354,20353,20354,20362.31749667784,20379.444444444445,4,5.55,20434.71815614464,NaN,-0.01592797959549861,24.907854346145093,55.326970647371176,43.664514963860604
1464695100,20360,20360,20360,20360,20361.85399734227,20358.11111111111,2,5.45,20421.431977407283,NaN,-0.0222822487496138,24.287894460452993,55.69162632976897,43.308091552879674
1464695400,20360,20360,20360,20360,20361.483197873815,20349.222222222223,2,5.5,20409.74014011841,NaN,-0.0291200816812087,23.698932569045496,55.69162632976897,43.30809155287968
1464695700,20364,20364,20364,20364,20361.986558299053,20348.555555555555,2,5.55,20399.4513233042,NaN,-0.03695660668224685,23.165901524740868,55.957193324688134,43.04851985622972
1464703200,20343,20343,20343,20343,20358.189246639242,20350.666666666668,1,5.5,20390.397164507696,NaN,-0.04584607191063459,22.476557150692276,54.163170092376475,44.8744205567815
1464707100,20301,20301,20301,20301,20346.751397311393,20343.333333333332,1,5.5,20382.429504766773,NaN,-0.05588757774735662,21.47274106682946,50.73851911216828,48.35992314743092
1464743700,20299,20299,20299,20299,20337.201117849116,20338.666666666668,5,5.7,20371.029374099424,NaN,-0.06658464597582955,20.502793284809044,50.57821935004002,48.523071228624445
1464744000,20318,20318,20317,20317,20333.160894279292,20337.222222222223,5,5.9,20359.504674243515,NaN,-0.07730992759412689,19.732613876793256,52.09179789658604,47.03701632209752
1464747300,20441,20441,20441,20441,20354.728715423433,20348.777777777777,1,3.45,20299,NaN,-0.08556508800489745,19.826180579807623,60.27911738921626,38.8609490507408
1464757800,20400,20400,20400,20400,20363.782972338748,20353.88888888889,1,3.45,20313.2,NaN,-0.09203347695489691,19.565375976180555,56.84037089999503,42.34875222225332
1464761700,20392,20395,20392,20395,20370.026377871,20357.777777777777,89,7.65,20325.98,NaN,-0.09742936054547288,19.25070877945002,56.18208634864986,43.01642777005426
1464762600,20381,20382,20381,20382,20372.4211022968,20360.222222222223,42,9.7,20337.482,NaN,-0.10152165023319168,18.857662712286253,55.00853715522608,43.759111874978686
1464763800,20391,20391,20391,20391,20376.13688183744,20363.222222222223,13,10.1,20347.8338,NaN,-0.10372233490295255,18.54678076228606,55.635625412632805,43.14920005001712
1464766200,20341,20341,20338,20338,20368.509505469952,20362.666666666668,80,14.05,20441,NaN,-0.10467186186704944,17.79847563483694,51.211046360169945,47.67041926358482
1464788700,20286,20286,20286,20286,20352.00760437596,20361,1,14,20430.7,NaN,-0.10479893382021818,17.12671220532693,47.32412754791003,51.642234843596945
1464789900,20330,20330,20330,20330,20347.60608350077,20364.444444444445,1,13.05,20413.336,NaN,-0.10350623401613798,16.385873322781375,50.6596924805886,48.37212236950124
1464791400,20318,20318,20314,20318,20341.684866800617,20364.555555555555,3,12.95,20398.055679999998,NaN,-0.10248366489476299,15.573294682986532,49.46084780401671,49.59387882378184
1464792600,20340,20340,20340,20340,20341.347893440492,20353.333333333332,1,12.9,20384.6089984,NaN,-0.10070429204203976,14.955252603510885,51.13456184730698,47.9514695659709
1464830700,20322,20322,20322,20322,20337.478314752392,20344.666666666668,1,12.85,20372.775918592,NaN,-0.09745485362148085,14.22372015671894,49.71654793233998,49.394828768488914
1464832200,20446,20446,20446,20446,20359.182651801915,20350.333333333332,12,13.35,20286,NaN,-0.09206438150273052,14.369382624743897,58.13516753008147,41.124985382677835
1464832500,20440,20440,20440,20440,20375.346121441533,20356.777777777777,1,13.2,20302,NaN,-0.08482213322497209,14.457874015229374,57.643611595337966,41.622797018436515
1464832800,20432,20432,20432,20432,20386.676897153226,20361.333333333332,12,13.7,20316.4,NaN,-0.07548789851255341,14.473339189177898,56.96756473318501,42.30744747326929
1464834300,20429,20429,20429,20429,20395.14151772258,20371.444444444445,1,13.65,20329.36,NaN,-0.06446107383432317,14.461395626185666,56.70504919624773,42.57330386847895
1464834600,20397,20397,20397,20397,20395.513214178063,20383.777777777777,1,13.6,20341.024,NaN,-0.05268448548214897,14.16711786275052,53.915426174863356,45.398428541523685
1464843900,20426,20426,20426,20426,20401.61057134245,20394.444444444445,38,15.45,20351.5216,NaN,-0.040680672622147564,14.093815085653986,55.981216492041206,43.363395420635506
1464844200,20437,20437,20437,20437,20408.68845707396,20407.666666666668,15,16.15,20360.96944,NaN,-0.02930621848402091,14.101424479516234,56.75520688055179,42.60092884173317
1464850800,20453,20453,20431,20431,20413.150765659168,20417.777777777777,30,17.4,20369.472496000002,NaN,-0.018172548995824524,14.221768308451141,57.32534363772322,41.080251701067446
1464851700,20485,20485,20485,20485,20427.520612527333,20435.88888888889,1,17.2,20379.49579648,NaN,-0.007176060771789649,14.555749730388422,57.488644852891646,37.61140593163261
1464854100,20477,20477,20477,20477,20437.416490021868,20439.333333333332,1,17.2,20394.2663849728,NaN,0.003195081264991706,14.790471482660527,56.741465155469314,38.422270250280086
1464863400,20507,20507,20507,20507,20451.333192017493,20446.777777777777,2,17.25,20406.969091076608,NaN,0.013114069232269565,15.219988831097092,58.85249401600247,36.54725248379648
1464864000,20520,20520,20520,20520,20465.066553613993,20456.555555555555,5,13.05,20422.97403650435,NaN,0.022307945803095607,15.71538055165847,59.74848388737084,35.75143345980606
1464878100,20490,20490,20490,20490,20470.053242891194,20463.333333333332,1,11,20440.43870993357,NaN,0.029828663835299606,15.857663378248239,56.746863656755956,38.97912702737146
1464879600,20492,20492,20492,20492,20474.442594312954,20473.88888888889,1,10.4,20454.75974214553,NaN,0.03476483068347138,16.00777341406596,56.898814531721754,38.84219100473926
1464917400,20616,20616,20616,20616,20502.754075450364,20495,1,6.45,20466.502988559332,NaN,0.03974125795495389,16.934212728472993,64.93767357783636,31.597682642917803
