time,open,high,low,close,MA,MA,Volume,Volume MA,"HSI2!, HKEX: Compare","HSIZ2019, HKEX: Compare","HSI1!, HKEX: Compare",ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1564768200,26550,26550,26550,26550,NaN,NaN,1,NaN,NaN,26550,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1564967400,26394,26394,26394,26394,NaN,NaN,21,NaN,NaN,26394,NaN,26546.88,NaN,NaN,NaN,NaN,NaN
1564967700,26394,26504,26368,26368,NaN,NaN,7,NaN,NaN,26368,NaN,26539.7248,NaN,NaN,NaN,NaN,NaN
1564968000,26373,26392,26373,26391,NaN,NaN,21,NaN,NaN,26391,NaN,26532.855808,NaN,NaN,NaN,NaN,NaN
1564968300,26380,26393,26360,26393,NaN,NaN,7,NaN,NaN,26393,NaN,26522.48445952,NaN,NaN,NaN,NaN,NaN
1564968600,26419,26419,26300,26300,NaN,NaN,9,NaN,NaN,26300,NaN,26504.6857027584,NaN,NaN,NaN,NaN,NaN
1564968900,26245,26248,26225,26233,NaN,NaN,11,NaN,NaN,26233,NaN,26476.71713248256,NaN,NaN,NaN,NaN,NaN
1564969200,26226,26254,26226,26254,NaN,NaN,3,NaN,NaN,26254,NaN,26451.545419234306,NaN,NaN,NaN,NaN,NaN
1564969500,26240,26243,26240,26243,26347.333333333332,26347.333333333332,2,NaN,NaN,26243,NaN,26428.890877310874,NaN,NaN,NaN,NaN,NaN
1564970100,26315,26355,26315,26355,26348.866666666665,26325.666666666668,13,NaN,NaN,26355,NaN,26408.501789579786,NaN,NaN,NaN,NaN,NaN
1564970400,26290,26320,26290,26320,26343.09333333333,26317.444444444445,15,NaN,NaN,26320,NaN,26390.151610621808,NaN,NaN,NaN,NaN,NaN
1564970700,26336,26385,26336,26385,26351.474666666665,26319.333333333332,5,NaN,NaN,26385,NaN,26385,NaN,NaN,NaN,NaN,NaN
1564971000,26331,26331,26296,26296,26340.37973333333,26308.777777777777,2,NaN,NaN,26296,NaN,26369,NaN,NaN,NaN,NaN,NaN
1564971300,26242,26242,26242,26242,26320.703786666665,26292,1,NaN,NaN,26242,NaN,26354.6,NaN,NaN,NaN,NaN,NaN
1564971600,26238,26238,26238,26238,26304.163029333333,26285.11111111111,2,NaN,NaN,26238,NaN,26341.64,NaN,NaN,NaN,NaN,NaN
1564971900,26180,26180,26165,26165,26276.330423466665,26277.555555555555,12,NaN,NaN,26165,NaN,26320.443199999998,NaN,NaN,NaN,NaN,NaN
1564972200,26172,26172,26150,26150,26251.064338773333,26266,2,NaN,NaN,26150,NaN,26296.581152,NaN,NaN,NaN,NaN,NaN
1564973400,26146,26146,26146,26146,26230.051471018665,26255.222222222223,1,NaN,NaN,26146,NaN,26272.48816768,NaN,NaN,NaN,NaN,NaN
1564973700,26157,26157,26099,26120,26208.04117681493,26229.11111111111,17,NaN,NaN,26120,NaN,26241.2602974976,NaN,NaN,NaN,NaN,NaN
1564974300,26125,26125,26100,26114,26189.232941451944,26206.222222222223,11,8.15,NaN,26114,NaN,26215.65344394803,NaN,NaN,NaN,NaN,NaN
1564974600,26100,26109,26062,26062,26163.786353161555,26170.333333333332,10,8.6,NaN,26062,NaN,26184.922755158426,NaN,NaN,NaN,24.254966887417222,50
1564974900,26069,26070,26055,26070,26145.029082529243,26145.222222222223,3,7.7,NaN,26070,NaN,26158.93820412674,NaN,NaN,NaN,23.94202649234475,49.956992946843286
1564975200,26035,26035,25990,25990,26114.023266023396,26117.222222222223,9,7.8,NaN,25990,NaN,26125.150563301395,NaN,NaN,NaN,22.32496390790818,52.070546320295165
1564975500,25985,26015,25985,26015,26094.218612818717,26092.444444444445,3,6.9,NaN,26015,NaN,26097.120450641116,NaN,NaN,NaN,21.74521844472154,51.15116124567356
1564982100,26095,26095,26095,26095,26094.374890254974,26084.666666666668,1,6.6,NaN,26095,NaN,26095,NaN,NaN,NaN,27.06196295589281,47.6758764082753
1564982400,26105,26120,26105,26110,26097.49991220398,26080.222222222223,32,7.75,NaN,26110,NaN,25985,NaN,NaN,NaN,28.656432206700362,46.63365314564038
1564982700,26098,26098,26098,26098,26097.599929763186,26074.88888888889,38,9.1,NaN,26098,NaN,25987.7,NaN,NaN,NaN,28.343369605488384,46.76146850962177
1564983300,26103,26108,26103,26108,26099.679943810548,26073.555555555555,85,13.2,NaN,26108,NaN,25990.346,NaN,NaN,NaN,29.02354128682201,46.31760411797079
1564984500,26086,26086,26086,26086,26096.94395504844,26070.444444444445,1,13.15,NaN,26086,NaN,25992.93908,NaN,NaN,NaN,28.399276953100365,46.98341464538046
1564984800,26073,26088,26073,26088,26095.15516403875,26073.333333333332,50,15,NaN,26088,NaN,25995.4802984,NaN,NaN,NaN,27.967541820849483,47.5866924713564
1564985400,26066,26066,26055,26055,26087.124131231,26071.666666666668,5,14.5,NaN,26055,NaN,25997.970692432,NaN,NaN,NaN,27.01641822946509,47.82334690519626
1564985700,26050,26050,26050,26050,26079.699304984802,26078.333333333332,1,14.3,NaN,26050,NaN,26000.41127858336,NaN,NaN,NaN,26.87067322949048,48.10482338514221
1564986000,26052,26052,26052,26052,26074.159443987843,26082.444444444445,2,14.3,NaN,26052,NaN,26002.803053011692,NaN,NaN,NaN,27.036406040894995,47.995803543529874
1564988100,26055,26056,26055,26055,26070.327555190273,26078,100,19.25,NaN,26055,NaN,26005.146991951457,NaN,NaN,NaN,27.38287343741502,47.76789562130041
1564990200,26069,26071,26069,26071,26070.46204415222,26073.666666666668,2,19.25,NaN,26071,NaN,26007.444052112427,NaN,NaN,NaN,28.683785913309478,46.8315608034539
1564990500,26059,26059,26059,26059,26068.169635321778,26069.333333333332,16,19.45,NaN,26059,NaN,26009.69517107018,NaN,NaN,NaN,28.246666668928565,47.387820262196456
1564992000,26079,26079,26079,26079,26070.335708257422,26066.11111111111,4,19.55,NaN,26079,NaN,26011.901267648776,NaN,NaN,NaN,30.11507628709891,46.153872582672065
1564992600,26047,26047,26047,26047,26065.66856660594,26061.777777777777,1,19.55,NaN,26047,NaN,26014.0632422958,NaN,NaN,NaN,28.84984513436482,48.41612147133511
