time,open,high,low,close
1540516800,24930,24930,24930,24930
1541559600,25520,25520,25520,25520
1545898800,24766,24766,24766,24766
1546408200,24340,24340,24340,24340
1546409100,24339,24340,24339,24340
1546410900,24350,24350,24350,24350
1558404300,26555,26555,26555,26555
1558487400,27377,27377,27377,27377
1562030700,28523,28523,28523,28523
1570500900,25906,25906,25906,25906
1570522500,25486,25486,25486,25486
1574832000,26615,26615,26615,26615
1577156400,27688,27688,27688,27688
1577762400,27962,27962,27962,27962
1577931900,28273,28273,28273,28273
1578020400,28282,28282,28282,28282
1578066900,28100,28100,28100,28100
1578360900,28049,28049,28049,28049
1579066200,28408,28408,28408,28408
1579068600,28408,28408,28408,28408
1579763100,27370,27370,27370,27370
1579763400,27390,27390,27370,27370
1580263800,26943,26943,26943,26943
1580276700,26955,26955,26955,26955
1580277900,26800,26800,26800,26800
1580352300,26310,26310,26310,26310
1580352600,26285,26285,26285,26285
1580353200,26313,26313,26313,26313
1580353500,26339,26339,26339,26339
1580692500,25800,25800,25800,25800
1580961000,26800,26800,26800,26800
1581317400,26881,26881,26881,26881
1581319800,26857,26857,26857,26857
1581390900,26939,26939,26939,26939
1582011300,27045,27045,27045,27045
1582875000,25794,25794,25794,25794
1582875600,25736,25736,25736,25736
1583131800,25701,25701,25700,25700
1583213700,25914,25914,25914,25914
1584339000,22619,22619,22619,22619
1584511500,22274,22274,22274,22274
1585122600,22925,22925,22925,22925
1585192200,22750,22750,22750,22750
1585206300,22567,22567,22567,22567
1585315800,22318,22318,22318,22318
1585795200,22453,22453,22453,22453
1585806900,22644,22644,22644,22644
1585811100,22795,22795,22795,22795
1587433500,23619,23619,23619,23619
1587436500,23225,23225,23225,23225
1587436800,23177,23177,23177,23177
1587695700,23377,23377,23377,23377
1587696000,23388,23398,23388,23398
1587711900,23398,23398,23398,23398
1588138200,24100,24100,24100,24100
1588555500,23280,23280,23280,23280
1588557600,23280,23280,23280,23280
1588561800,23213,23213,23210,23210
1588562400,23210,23210,23210,23210
1588570800,23138,23138,23138,23138
1588599600,22910,22910,22910,22910
1588642200,23150,23150,23150,23150
1588647900,23187,23187,23181,23181
1588648200,23183,23183,23179,23179
1588664400,23365,23365,23365,23365
1588704900,23420,23420,23420,23420
1588727700,23248,23250,23248,23250
1588728600,23450,23464,23450,23463
1588728900,23472,23472,23472,23472
1588731300,23460,23460,23460,23460
1588734000,23452,23452,23452,23452
1588741500,23525,23581,23525,23581
1588743300,23584,23584,23584,23584
1588743900,23605,23605,23605,23605
1588744200,23601,23601,23601,23601
1588745100,23611,23611,23605,23605
1588746900,23668,23668,23668,23668
1588772400,23546,23546,23546,23546
1588900800,23692,23692,23692,23692
1588910100,23685,23685,23685,23685
1588914300,23676,23676,23676,23676
1589159700,23697,23697,23697,23697
1589160900,24176,24180,24176,24180
1589161500,24261,24261,24261,24261
1589164200,24185,24185,24185,24185
1589165700,24178,24187,24178,24187
1589167500,24187,24187,24187,24187
1589168400,24187,24187,24187,24187
1589173800,24150,24150,24145,24145
1589176200,24140,24140,24140,24140
1589185500,24060,24060,24060,24060
1589198700,23810,23810,23810,23810
1589204400,23850,23850,23850,23850
1589247000,23840,23866,23840,23866
1589247600,23716,23716,23716,23716
1589249700,23738,23743,23738,23743
1589255700,23609,23614,23609,23614
1589259600,23674,23674,23674,23674
1589261400,23707,23715,23706,23714
1589261700,23704,23704,23701,23701
1589262000,23697,23703,23697,23703
1589262300,23709,23710,23709,23710
1589265300,23619,23623,23619,23623
1589265900,23638,23638,23638,23638
1589268000,23712,23713,23712,23713
1589271000,23678,23683,23678,23683
1589333400,23493,23493,23493,23493
1589339100,23714,23714,23714,23714
1589356800,23642,23642,23642,23642
1589419500,23507,23507,23507,23507
1589420100,23380,23380,23380,23380
1589422200,23264,23271,23264,23271
1589425500,23380,23380,23380,23380
1589433000,23309,23309,23309,23309
1589434500,23272,23272,23270,23270
1589435700,23285,23285,23285,23285
1589441100,23305,23305,23305,23305
1589444400,23249,23249,23248,23248
1589506200,23331,23383,23305,23383
1589506500,23309,23309,23287,23287
1589508000,23305,23307,23237,23237
1589511900,23264,23270,23264,23265
1589512500,23268,23278,23268,23278
1589525400,23253,23269,23253,23269
1589528100,23249,23249,23249,23249
1589528700,23247,23247,23247,23247
1589529000,23260,23260,23260,23260
1589530800,23227,23227,23227,23227
1589531100,23237,23237,23237,23237
