time,open,high,low,close,Volume,Volume MA
1635327000,25496,25496,25496,25496,1,NaN
1635327300,25483,25500,25483,25500,4,NaN
1635330300,25480,25480,25480,25480,1,NaN
1635330900,25492,25492,25492,25492,1,NaN
1635332100,25456,25456,25456,25456,1,NaN
1635333900,25482,25482,25482,25482,1,NaN
1635334800,25467,25467,25467,25467,1,NaN
1635337200,25488,25488,25488,25488,10,NaN
1635341400,25506,25506,25506,25506,1,NaN
1635341700,25567,25567,25567,25567,1,NaN
1635342000,25573,25600,25573,25600,13,NaN
1635342300,25600,25600,25584,25584,20,NaN
1635342600,25600,25612,25597,25597,46,NaN
1635343800,25610,25610,25610,25610,1,NaN
1635344100,25596,25600,25594,25600,12,NaN
1635344400,25604,25604,25599,25599,3,NaN
1635345000,25579,25579,25579,25579,2,NaN
1635345300,25574,25579,25574,25579,28,NaN
1635346200,25551,25554,25551,25554,15,NaN
1635346500,25545,25545,25545,25545,19,NaN
1635346800,25551,25553,25551,25553,29,NaN
1635347100,25570,25570,25570,25570,3,NaN
1635347400,25585,25585,25583,25583,12,NaN
1635348300,25519,25519,25519,25519,2,NaN
1635348900,25503,25503,25503,25503,1,NaN
1635354600,25563,25563,25563,25563,1,NaN
1635358200,25585,25585,25585,25585,1,NaN
1635358800,25581,25581,25581,25581,1,NaN
1635359100,25585,25585,25585,25585,1,NaN
1635383700,25602,25603,25602,25603,4,NaN
1635384000,25583,25590,25561,25561,18,NaN
1635384600,25570,25579,25532,25532,31,NaN
1635384900,25600,25637,25600,25623,12,NaN
1635385200,25660,25687,25654,25660,8,NaN
1635385500,25640,25640,25605,25607,5,NaN
1635385800,25650,25650,25621,25621,2,NaN
1635386100,25600,25608,25600,25608,2,NaN
1635386400,25582,25582,25570,25580,3,NaN
1635386700,25597,25626,25582,25582,11,NaN
1635387000,25619,25619,25619,25619,4,NaN
1635387300,25620,25620,25599,25601,5,NaN
1635387600,25597,25597,25534,25534,42,NaN
1635387900,25520,25520,25477,25499,72,NaN
1635388200,25499,25502,25455,25455,56,NaN
1635388500,25473,25486,25450,25472,98,NaN
1635389100,25505,25539,25505,25531,8,NaN
1635389400,25480,25480,25480,25480,1,NaN
1635389700,25510,25510,25510,25510,1,NaN
1635390000,25514,25514,25514,25514,1,NaN
1635390600,25456,25458,25440,25458,35,NaN
1635390900,25455,25455,25455,25455,1,NaN
1635391200,25473,25473,25473,25473,1,NaN
1635392700,25490,25490,25490,25490,1,NaN
1635393300,25526,25529,25526,25529,55,NaN
1635397200,25550,25595,25550,25595,12,NaN
1635397500,25568,25568,25568,25568,1,NaN
1635397800,25544,25544,25544,25544,1,NaN
1635398100,25558,25558,25558,25558,1,NaN
1635399600,25565,25565,25565,25565,1,NaN
1635399900,25575,25575,25574,25574,10,NaN
1635400800,25553,25553,25541,25541,11,NaN
1635401100,25531,25536,25531,25536,12,NaN
1635401400,25518,25518,25518,25518,1,NaN
1635401700,25520,25528,25520,25528,2,NaN
1635402600,25500,25500,25500,25500,8,NaN
1635402900,25488,25488,25451,25451,11,NaN
1635403200,25411,25411,25400,25400,11,NaN
1635403500,25416,25416,25416,25416,1,NaN
1635404400,25486,25486,25486,25486,1,NaN
1635405000,25498,25498,25498,25498,1,NaN
1635406800,25479,25479,25476,25476,5,NaN
1635407400,25463,25463,25463,25463,1,NaN
1635407700,25463,25463,25463,25463,1,NaN
1635408000,25448,25477,25440,25476,6,NaN
1635408600,25438,25438,25438,25438,1,NaN
1635412500,25429,25429,25429,25429,1,NaN
1635413100,25386,25386,25386,25386,2,NaN
1635414300,25401,25401,25401,25401,1,NaN
1635416700,25425,25435,25425,25435,24,NaN
1635418200,25440,25440,25440,25440,1,NaN
1635420300,25421,25421,25421,25421,1,NaN
1635420600,25420,25420,25420,25420,1,NaN
1635420900,25425,25425,25425,25425,1,NaN
1635428100,25389,25398,25388,25398,3,NaN
1635428400,25370,25370,25370,25370,1,NaN
1635429000,25402,25430,25401,25430,12,NaN
1635429300,25436,25438,25435,25435,7,NaN
1635429900,25457,25457,25457,25457,1,NaN
1635430200,25456,25456,25456,25456,1,NaN
1635430500,25453,25454,25453,25454,5,NaN
1635430800,25454,25454,25454,25454,1,NaN
1635432600,25454,25454,25454,25454,1,NaN
1635433800,25447,25447,25400,25400,2,NaN
1635434100,25461,25461,25461,25461,3,NaN
1635434700,25457,25457,25456,25456,4,NaN
1635440100,25456,25456,25456,25456,1,NaN
1635445500,25496,25500,25496,25500,30,NaN
1635470100,25506,25506,25350,25365,25,NaN
1635470400,25362,25362,25362,25362,1,NaN
1635470700,25373,25381,25373,25381,3,NaN
1635471000,25401,25418,25360,25418,25,NaN
1635471300,25388,25388,25275,25284,31,NaN
1635471600,25267,25283,25267,25274,22,NaN
1635471900,25300,25300,25300,25300,1,NaN
1635472200,25320,25350,25317,25317,5,NaN
1635472500,25338,25338,25294,25294,5,NaN
1635472800,25280,25335,25268,25334,7,NaN
1635473100,25321,25322,25321,25322,9,NaN
1635473400,25342,25370,25342,25370,6,NaN
