time,open,high,low,close,Volume,Volume MA
1638235200,6066,6071,6066,6071,11,NaN
1638235500,6077,6085,6077,6085,30,NaN
1638237300,6069,6069,6069,6069,1,NaN
1638237900,6084,6084,6084,6084,10,NaN
1638239400,6035,6035,6035,6035,100,NaN
1638241500,6052,6052,6052,6052,1,NaN
1638249000,6030,6030,6030,6030,2,NaN
1638249300,6005,6005,6005,6005,50,NaN
1638249600,6000,6000,6000,6000,51,NaN
1638249900,6000,6000,6000,6000,1,NaN
1638250500,6000,6000,5997,5997,53,NaN
1638250800,5995,5995,5990,5990,3,NaN
1638251100,5985,5985,5985,5985,50,NaN
1638252300,5953,5953,5947,5947,2,NaN
1638252900,5976,5976,5976,5976,1,NaN
1638256800,6025,6025,6025,6025,1,NaN
1638259200,6047,6047,6047,6047,21,NaN
1638259500,6022,6027,6019,6027,29,NaN
1638259800,6035,6035,6035,6035,12,NaN
1638260700,6041,6041,6041,6041,1,21.5
1638264600,6006,6006,6006,6006,1,21
1638288300,5980,5980,5980,5980,1,19.55
1638322200,6040,6040,6040,6040,1,19.55
1638325800,6116,6116,6116,6116,2,19.15
1638330000,6098,6098,6098,6098,1,14.2
1638335100,6132,6132,6132,6132,9,14.6
1638345600,6044,6058,6044,6057,32,16.1
1638346800,6050,6050,6050,6050,2,13.7
1638347100,6048,6048,6048,6048,20,12.15
1638369000,6068,6068,6068,6068,1,12.15
1638371400,6103,6103,6103,6103,1,9.55
1638374700,6123,6123,6123,6123,1,9.45
1638407700,6002,6002,5997,5997,4,7.15
1638408000,5988,5988,5988,5988,1,7.1
1638408600,5990,5990,5990,5990,1,7.1
1638408900,6014,6016,6014,6016,10,7.55
1638409200,6035,6035,6035,6035,1,6.55
1638409500,6039,6039,6039,6039,1,5.15
1638411900,5989,5989,5989,5989,1,4.6
1638414600,5996,5996,5996,5996,1,4.6
1638422100,5980,5980,5980,5980,1,4.6
1638428700,6030,6030,6030,6030,1,4.6
1638432300,6021,6023,6018,6018,17,5.4
1638438000,6017,6017,6017,6017,1,5.35
1638439200,6011,6011,6011,6011,1,5.35
1638448800,5970,5970,5967,5967,2,5
1638460500,5962,5962,5962,5962,1,3.45
1638468300,5944,5944,5944,5944,1,3.4
1638470700,5858,5858,5850,5850,2,2.5
1638471000,5840,5840,5840,5840,1,2.5
1638493800,5950,5950,5950,5950,1,2.5
1638494400,5942,5942,5939,5939,61,5.5
1638495000,5925,5925,5925,5925,1,5.35
1638495300,5927,5927,5927,5927,1,5.35
1638495900,5900,5900,5900,5900,1,5.35
1638496800,5925,5925,5921,5921,9,5.3
1638497100,5911,5913,5907,5909,9,5.7
1638497400,5903,5911,5903,5908,8,6.05
1638497700,5910,5910,5910,5910,5,6.25
1638498000,5906,5906,5897,5897,4,6.4
1638498300,5895,5896,5892,5892,6,6.65
1638498600,5908,5908,5908,5908,1,6.65
1638498900,5905,5911,5903,5911,6,6.1
1638499200,5916,5920,5916,5917,3,6.2
1638499500,5912,5928,5912,5925,61,9.2
1638500100,5909,5909,5909,5909,5,9.35
1638500400,5886,5886,5886,5886,3,9.45
1638500700,5888,5889,5888,5889,2,9.5
1638501000,5885,5885,5879,5881,8,9.8
1638501300,5884,5884,5884,5884,1,9.8
1638501600,5877,5877,5877,5877,1,9.8
1638501900,5878,5883,5878,5883,5,7
1638502500,5881,5881,5881,5881,1,7
1638503400,5902,5902,5902,5902,2,7.05
1638507600,5897,5897,5897,5897,1,7.05
1638507900,5896,5896,5892,5892,35,8.35
1638508200,5883,5890,5883,5890,4,8.1
1638508800,5912,5913,5912,5913,3,7.85
1638509400,5918,5938,5917,5938,9,8.05
1638510000,5960,5960,5960,5960,1,7.9
1638510600,5956,5956,5956,5956,1,7.65
1638510900,5948,5948,5948,5948,1,7.65
1638511200,5950,5950,5949,5949,3,7.5
1638511500,5950,5952,5949,5952,3,7.5
1638511800,5949,5953,5948,5953,7,4.8
1638512100,5951,5951,5946,5946,2,4.65
1638512400,5948,5948,5948,5948,1,4.55
1638512700,5947,5950,5947,5950,2,4.55
1638513300,5949,5949,5949,5949,2,4.25
1638513600,5951,5951,5944,5945,9,4.65
1638516300,5947,5948,5947,5947,6,4.9
1638516600,5939,5946,5938,5943,27,6
1638517200,5930,5930,5930,5930,1,6
1638517500,5928,5928,5928,5928,1,5.95
1638517800,5928,5928,5922,5922,4,6.1
1638518100,5918,5920,5918,5920,6,4.65
1638518700,5941,5941,5941,5941,1,4.5
1638519300,5945,5945,5945,5945,1,4.4
1638519600,5938,5940,5938,5940,11,4.5
1638537000,5912,5912,5912,5912,1,4.5
1638539100,5907,5907,5907,5907,1,4.5
1638539400,5900,5900,5900,5900,1,4.5
1638541800,5868,5868,5868,5868,1,4.4
1638542100,5813,5813,5788,5788,3,4.4
1638543000,5700,5700,5666,5666,2,4.15
1638543300,5688,5688,5688,5688,1,4.1
1638543900,5670,5670,5658,5658,2,4.15
1638544800,5698,5698,5695,5695,2,4.15
