time,open,high,low,close,Volume,Volume MA
1640913300,5707,5707,5702,5702,31,NaN
1640914200,5689,5690,5674,5674,71,NaN
1640914500,5677,5680,5676,5679,25,NaN
1641172500,5726,5726,5723,5723,2,NaN
1641172800,5720,5720,5720,5720,10,NaN
1641173100,5729,5735,5729,5735,5,NaN
1641173400,5739,5747,5737,5747,13,NaN
1641174000,5707,5707,5707,5707,1,NaN
1641174300,5678,5682,5678,5682,50,NaN
1641174900,5694,5694,5694,5694,5,NaN
1641180900,5626,5626,5626,5626,1,NaN
1641187500,5643,5643,5643,5643,1,NaN
1641188400,5658,5658,5658,5658,1,NaN
1641197100,5649,5649,5649,5649,100,NaN
1641221100,5569,5569,5569,5569,30,NaN
1641258900,5675,5675,5672,5674,4,NaN
1641259800,5677,5682,5673,5673,13,NaN
1641260700,5640,5640,5639,5640,3,NaN
1641261000,5659,5659,5659,5659,280,NaN
1641261300,5655,5655,5655,5655,8,32.7
1641262800,5598,5598,5598,5598,1,31.2
1641263700,5595,5595,5595,5595,1,27.7
1641265800,5568,5569,5568,5569,2,26.55
1641272400,5573,5578,5573,5577,6,26.75
1641273000,5613,5614,5613,5614,4,26.45
1641273900,5617,5617,5617,5617,1,26.25
1641275400,5616,5616,5616,5616,1,25.65
1641276000,5612,5612,5612,5612,5,25.85
1641276300,5600,5600,5600,5600,5,23.6
1641277500,5593,5593,5593,5593,2,23.45
1641277800,5591,5591,5591,5591,1,23.45
1641279600,5573,5573,5573,5573,1,23.45
1641306600,5550,5550,5550,5550,1,23.45
1641307800,5515,5515,5515,5515,2,18.55
1641345300,5481,5490,5481,5490,6,17.35
1641345900,5500,5500,5500,5500,1,17.2
1641346200,5501,5507,5473,5473,97,21.4
1641346500,5457,5461,5457,5461,11,21.8
1641347100,5440,5440,5440,5440,1,7.85
1641347400,5440,5441,5435,5436,16,8.25
1641347700,5430,5430,5430,5430,5,8.45
1641348000,5420,5425,5401,5401,4,8.6
1641348300,5398,5400,5375,5380,21,9.55
1641348600,5390,5390,5390,5390,2,9.35
1641350100,5386,5386,5386,5386,1,9.2
1641353100,5400,5400,5400,5400,1,9.2
1641358800,5390,5390,5390,5390,1,9.2
1641359100,5385,5385,5385,5385,2,9.05
1641359400,5380,5380,5380,5380,4,9
1641360000,5380,5380,5380,5380,1,8.95
1641360300,5375,5375,5375,5375,2,9
1641363900,5370,5370,5370,5370,1,9
1641364500,5359,5359,5359,5359,5,9.2
1641364800,5365,5365,5365,5365,1,9.15
1641365700,5373,5373,5373,5373,1,8.9
1641366000,5361,5361,5361,5361,5,9.1
1641367500,5347,5347,5347,5347,5,4.5
1641368100,5339,5339,5333,5333,6,4.25
1641369000,5317,5317,5315,5315,5,4.45
1641369300,5315,5315,5315,5315,3,3.8
1641370200,5328,5328,5328,5328,1,3.6
1641370500,5324,5327,5324,5327,30,4.9
1641377400,5339,5339,5339,5339,1,3.9
1641383100,5342,5342,5342,5342,1,3.85
1641388200,5330,5330,5330,5330,1,3.85
1641390900,5342,5342,5342,5342,2,3.9
1641394200,5445,5445,5445,5445,1,3.9
1641398400,5440,5440,5440,5440,1,3.85
1641401100,5424,5424,5424,5424,1,3.7
1641431700,5298,5298,5298,5298,1,3.7
1641432000,5311,5311,5308,5308,11,4.15
1641432300,5305,5310,5303,5310,29,5.55
1641432600,5338,5338,5338,5338,1,5.35
1641432900,5349,5349,5349,5349,8,5.7
1641433500,5348,5348,5348,5348,3,5.8
1641434700,5304,5304,5303,5303,22,6.65
1641435000,5285,5285,5285,5285,1,6.45
1641436800,5261,5261,5261,5261,3,6.3
1641439500,5322,5322,5322,5322,2,6.15
1641439800,5315,5315,5315,5315,2,6.1
1641440400,5331,5331,5331,5331,1,6.1
1641448200,5310,5310,5310,5310,1,4.65
1641449700,5303,5303,5303,5303,1,4.65
1641453600,5342,5342,5342,5342,10,5.1
1641453900,5361,5361,5361,5361,50,7.55
1641454500,5395,5395,5395,5395,50,9.95
1641454800,5406,5406,5406,5406,1,9.95
1641455400,5400,5400,5400,5400,5,10.15
1641456000,5401,5401,5401,5401,5,10.35
1641456300,5399,5400,5399,5400,11,10.85
1641467700,5386,5386,5386,5386,1,10.35
1641476400,5395,5395,5395,5395,1,8.95
1641477300,5391,5391,5391,5391,1,8.95
1641479400,5410,5410,5410,5410,1,8.6
1641480000,5448,5448,5448,5448,1,8.5
1641483900,5432,5432,5432,5432,1,7.45
1641484800,5445,5445,5445,5445,1,7.45
1641485100,5452,5452,5452,5452,1,7.35
1641490200,5484,5484,5484,5484,1,7.3
1641518100,5474,5474,5467,5467,28,8.6
1641518400,5458,5468,5458,5468,2,8.65
1641518700,5471,5473,5471,5473,3,8.75
1641519300,5472,5472,5472,5472,1,8.75
1641519600,5454,5454,5443,5443,2,8.35
1641519900,5435,5435,5435,5435,1,5.9
1641520500,5445,5445,5445,5445,1,3.45
1641523500,5410,5410,5410,5410,1,3.45
1641527100,5436,5436,5436,5436,1,3.25
1641537600,5490,5490,5490,5490,4,3.2
1641539700,5486,5487,5486,5487,5,2.9
1641540900,5508,5508,5508,5508,5,3.1
1641570300,5508,5508,5508,5508,1,3.1
1641777600,5500,5500,5500,5500,4,3.25
1641780000,5586,5589,5586,5589,43,5.35
1641780300,5582,5583,5582,5583,3,5.45
1641781500,5617,5617,5617,5617,2,5.5
1641782700,5639,5639,5639,5639,2,5.55
1641783900,5644,5644,5644,5644,1,5.55
1641784800,5611,5611,5611,5611,1,5.55
1641786900,5611,5611,5611,5611,2,4.25
1641791700,5590,5590,5590,5590,1,4.2
1641792300,5612,5612,5612,5612,1,4.1
1641792600,5616,5622,5616,5622,2,4.15
1641794400,5603,5603,5603,5603,2,4.15
1641798000,5623,5623,5623,5623,2,4.2
1641799200,5644,5644,5644,5644,2,4.25
1641803100,5614,5614,5614,5614,4,4.4
1641826500,5550,5550,5550,5550,1,4.4
1641828900,5550,5550,5550,5550,1,4.25
1641837900,5514,5514,5514,5514,1,4.05
1641863700,5600,5600,5597,5597,2,3.9
1641864000,5594,5594,5583,5583,2,3.95
1641864600,5592,5596,5563,5596,153,11.4
1641865200,5596,5596,5596,5596,1,9.3
1641867600,5641,5647,5641,5647,2,9.25
1641867900,5650,5650,5650,5650,3,9.3
1641868800,5617,5617,5617,5617,1,9.25
1641869400,5625,5625,5625,5625,1,9.25
1641870300,5619,5619,5619,5619,2,9.3
1641872100,5661,5661,5661,5661,2,9.3
1641872700,5656,5656,5656,5656,1,9.3
1641873000,5656,5656,5656,5656,1,9.3
1641877500,5662,5662,5662,5662,1,9.25
1641879000,5640,5640,5640,5640,1,9.2
1641879300,5650,5650,5650,5650,1,9.15
1641879600,5635,5635,5635,5635,1,9.1
1641880200,5635,5635,5635,5635,1,8.95
1641885300,5601,5601,5601,5601,4,9.1
1641899400,5652,5652,5652,5652,2,9.15
1641911400,5656,5656,5656,5656,1,9.15
1641912000,5685,5685,5685,5685,2,9.15
1641912900,5702,5715,5702,5715,3,9.2
1641913200,5718,5730,5718,5730,9,2
1641913500,5734,5734,5734,5734,1,2
1641915300,5753,5753,5753,5753,1,1.95
1641921000,5780,5780,5780,5780,5,2.05
1641922200,5778,5778,5778,5778,1,2.05
1641950400,5768,5768,5760,5760,22,3.1
1641950700,5758,5758,5757,5757,12,3.6
1641951000,5786,5786,5786,5786,1,3.55
1641951900,5795,5795,5795,5795,2,3.6
1641952200,5795,5811,5795,5810,486,27.85
1641952500,5809,5809,5807,5807,7,28.15
1641952800,5800,5821,5800,5821,54,30.8
1641953400,5820,5820,5809,5809,6,31.05
1641954000,5814,5814,5814,5814,5,31.25
1641954300,5810,5810,5810,5810,5,31.45
1641955500,5820,5820,5820,5820,3,31.4
1641956100,5816,5818,5815,5818,62,34.4
1641956400,5811,5821,5811,5816,66,37.65
1641956700,5816,5825,5816,5823,68,40.95
1641957000,5818,5825,5818,5820,57,43.65
1641957300,5818,5822,5813,5822,69,46.65
1641957600,5825,5829,5823,5827,44,48.8
1641958200,5840,5840,5840,5840,2,48.85
1641959100,5836,5836,5836,5836,1,48.65
1641959400,5829,5829,5829,5829,1,48.65
1641963600,5831,5831,5829,5829,107,52.9
1641964800,5835,5835,5835,5835,1,52.35
1641966000,5842,5846,5842,5846,2,52.4
1641966300,5850,5858,5850,5857,8,52.7
1641966600,5859,5859,5859,5859,1,28.45
1641967500,5858,5861,5858,5861,6,28.4
