time,open,high,low,close,Volume,Volume MA
1627867800,6776,6776,6776,6776,2,NaN
1627885200,6768,6768,6768,6768,10,NaN
1627886100,6784,6784,6784,6784,10,NaN
1627888200,6785,6785,6785,6785,1,NaN
1627890000,6769,6769,6769,6769,1,NaN
1627953900,6788,6788,6783,6787,5,NaN
1627954200,6694,6694,6690,6690,4,NaN
1627973100,6701,6701,6701,6701,2,NaN
1628212500,6741,6741,6741,6741,20,NaN
1629360600,5991,5991,5991,5991,1,NaN
1629441600,5911,5911,5910,5910,6,NaN
1629441900,5898,5898,5898,5898,8,NaN
1629789900,6402,6402,6402,6402,1,NaN
1629790200,6406,6406,6405,6405,6,NaN
1629900900,6413,6413,6413,6413,1,NaN
1630391700,6525,6525,6522,6522,60,NaN
1630465800,6726,6726,6726,6726,1,NaN
1630467900,6748,6748,6748,6748,2,NaN
1630473600,6722,6722,6722,6722,2,NaN
1630504800,6787,6787,6787,6787,1,7.2
1630505100,6797,6797,6797,6797,1,7.15
1630505700,6792,6792,6792,6792,1,6.7
1630506000,6820,6820,6820,6820,1,6.25
1630506300,6804,6804,6804,6804,1,6.25
1630632600,6725,6725,6725,6725,1,6.25
1630635900,6725,6725,6725,6725,1,6.05
1630638900,6725,6725,6725,6725,1,5.9
1630640100,6740,6740,6740,6740,1,5.85
1630646400,6715,6715,6715,6715,1,4.9
1630669800,6730,6730,6730,6730,1,4.9
1630892700,6765,6778,6765,6778,2,4.7
1630997400,6900,6900,6900,6900,1,4.35
1631065200,6931,6931,6931,6931,1,4.35
1631071500,6861,6861,6861,6861,1,4.1
1631073300,6827,6827,6827,6827,1,4.1
1631080200,6861,6861,6861,6861,1,1.15
1631080800,6861,6861,6861,6861,1,1.15
1631087100,6835,6835,6835,6835,1,1.1
1631151000,6686,6686,6686,6686,1,1.05
1631151600,6686,6686,6686,6686,2,1.1
1631152800,6695,6695,6695,6695,1,1.1
1631170800,6600,6600,6600,6600,1,1.1
1631171700,6620,6620,6620,6620,1,1.1
1631173200,6550,6550,6550,6550,1,1.1
1631174400,6550,6550,6550,6550,1,1.1
1631175000,6540,6540,6535,6537,4,1.25
1631175300,6542,6542,6531,6531,12,1.8
1631201700,6651,6651,6651,6651,1,1.8
1631239800,6686,6686,6686,6686,1,1.8
1631285700,6680,6680,6680,6680,1,1.8
1631501700,6561,6561,6561,6561,1,1.75
1631505300,6561,6561,6561,6561,1,1.75
1631512800,6532,6532,6532,6532,3,1.85
1631520000,6600,6600,6600,6600,1,1.85
1631584500,6565,6566,6565,6566,2,1.9
1631586600,6617,6617,6609,6613,136,8.65
1631589000,6580,6580,6580,6580,1,8.65
1631589900,6600,6600,6600,6600,1,8.65
1631590500,6595,6595,6595,6595,1,8.65
1631598000,6580,6580,6580,6580,1,8.6
1631605500,6478,6480,6478,6479,3,8.7
1631605800,6483,6485,6482,6482,4,8.85
1631606100,6483,6489,6483,6489,3,8.95
1631607000,6493,6494,6493,6494,10,9.4
1631670600,6366,6366,6366,6366,1,9.4
1631670900,6366,6366,6366,6366,1,9.25
1631671200,6337,6337,6337,6337,1,8.7
1631672400,6417,6417,6409,6409,2,8.75
1631686200,6300,6300,6300,6300,1,8.75
1631689200,6315,6315,6315,6315,5,8.95
1631690400,6314,6314,6314,6314,5,9.15
1631756100,6309,6309,6309,6309,1,9.15
1631768100,6309,6309,6309,6309,1,9.05
1631768700,6220,6220,6220,6220,1,9.05
1631772600,6178,6178,6178,6178,1,9
1631844600,6377,6377,6377,6377,20,3.2
1631845800,6345,6345,6345,6345,1,3.2
1631847600,6398,6398,6398,6398,1,3.2
1631858400,6407,6407,6407,6407,1,3.2
1632100500,6353,6353,6353,6353,1,3.2
1632102600,6295,6295,6295,6295,1,3.1
1632102900,6292,6292,6266,6266,20,3.9
1632103200,6264,6264,6261,6261,5,4
1632103500,6243,6243,6235,6235,7,3.85
1632103800,6221,6227,6221,6227,4,4
1632104400,6193,6193,6193,6193,1,4
1632105900,6198,6198,6198,6198,1,4
1632107700,6198,6198,6198,6198,1,3.95
1632119700,6245,6245,6245,6245,1,3.95
1632123300,6270,6270,6270,6270,6,4
1632123600,6262,6262,6262,6262,2,3.85
1632204000,6193,6193,6193,6193,1,3.85
1632362700,6382,6382,6382,6382,1,3.85
1632363600,6374,6374,6374,6374,1,3.85
1632367800,6274,6274,6274,6274,3,3.95
1632376800,6285,6285,6283,6283,16,3.75
1632448500,6244,6244,6244,6244,20,4.7
1632464700,6232,6232,6232,6232,20,5.65
1632492600,6066,6066,6066,6066,1,5.65
1632712800,6155,6155,6155,6155,1,5.65
1632714300,6127,6127,6127,6127,19,6.55
1632720600,6114,6114,6114,6114,1,5.6
1632726000,6109,6109,6109,6109,3,5.5
1632728100,6097,6097,6097,6097,1,5.2
1632794100,6169,6169,6169,6169,2,5.1
1632797400,6215,6215,6215,6215,1,5.1
1632798900,6239,6239,6239,6239,1,5.1
1632812700,6237,6237,6237,6237,1,5.1
1632879600,6078,6078,6078,6078,1,5.1
1632880500,6082,6083,6082,6083,4,5
1632880800,6083,6083,6083,6083,7,5.25
1632884400,6067,6067,6067,6067,5,5.45
1632887700,6095,6095,6095,6095,1,5.45
1632893400,6130,6130,6130,6130,1,5.45
1632894900,6149,6149,6149,6149,1,5.35
1632897900,6150,6150,6150,6150,1,4.6
1632902100,6168,6168,6168,6168,6,3.9
1632903600,6141,6141,6141,6141,1,2.95
1632929100,6076,6076,6076,6076,1,2.95
1632980400,6089,6089,6089,6089,1,2.95
1632981600,6100,6100,6100,6100,1,2.05
1632984300,6111,6111,6111,6111,1,2.05
1632990300,6075,6075,6075,6075,1,1.95
1632993600,6081,6081,6081,6081,1,1.95
1633025100,6119,6119,6119,6119,1,1.9
1633310100,6033,6033,6033,6033,1,1.9
1633311900,6021,6021,6016,6016,2,1.95
1633314000,5985,5985,5985,5985,1,1.95
1633318200,5985,5985,5985,5985,1,1.95
1633334100,5974,5974,5974,5974,1,1.8
1633334400,5979,5979,5979,5979,1,1.5
1633396500,5846,5846,5846,5846,1,1.3
1633397700,5847,5847,5847,5847,1,1.3
1633431600,5926,5926,5926,5926,1,1.3
1633483200,5991,5992,5991,5992,6,1.55
1633483800,5978,5978,5978,5978,1,1.55
1633484700,5900,5900,5900,5900,1,1.3
1633489800,5877,5877,5877,5877,4,1.45
1633496700,5920,5920,5920,5920,1,1.45
1633500300,5900,5900,5900,5900,1,1.45
1633531200,5920,5920,5920,5920,1,1.45
1633569300,5964,5964,5964,5964,1,1.45
1633592100,6179,6179,6179,6179,2,1.5
1633592400,6187,6187,6185,6185,4,1.65
1633619400,6280,6280,6277,6277,2,1.7
1633620600,6300,6300,6300,6300,1,1.7
1633655700,6304,6304,6301,6303,5,1.85
1633656900,6244,6244,6240,6240,2,1.9
1633657200,6249,6249,6249,6249,1,1.9
1633657500,6233,6238,6228,6228,4,2.05
1633657800,6238,6238,6234,6234,2,2.1
1633915200,6306,6306,6306,6306,1,2.1
1633916700,6334,6334,6334,6334,1,2.1
1633917900,6355,6357,6355,6357,2,2.15
1633924500,6420,6420,6420,6420,27,3.2
1633932600,6384,6388,6384,6388,5,3.4
1633932900,6383,6384,6383,6383,11,3.9
1633971900,6320,6320,6320,6320,1,3.75
1633972500,6310,6310,6310,6310,1,3.75
1633972800,6300,6300,6300,6300,1,3.75
1633973100,6290,6290,6290,6290,1,3.75
1634004600,6300,6300,6300,6300,4,3.9
1634018100,6236,6236,6232,6232,5,4.05
1634018400,6231,6231,6223,6223,9,4.3
1634018700,6222,6222,6221,6221,2,4.3
1634019600,6212,6212,6212,6212,1,4.3
1634020200,6210,6210,6210,6210,1,4.1
1634020500,6200,6200,6200,6200,1,4.05
1634022300,6195,6195,6195,6195,1,4.05
1634027100,6195,6195,6195,6195,1,3.9
1634260800,6254,6254,6254,6254,20,4.8
1634278200,6289,6289,6289,6289,1,4.8
1634302200,6312,6312,6312,6312,1,4.8
1634304600,6301,6301,6301,6301,1,4.75
1634312700,6369,6369,6369,6369,1,3.45
1634313000,6369,6369,6369,6369,1,3.25
1634313600,6360,6360,6357,6360,3,2.85
1634313900,6358,6358,6358,6358,1,2.85
1634314800,6373,6373,6373,6373,2,2.9
1634315700,6343,6343,6343,6343,2,2.95
1634316300,6357,6357,6357,6357,3,3.05
1634317500,6337,6337,6337,6337,3,3
1634520900,6250,6250,6250,6250,1,2.8
1634533200,6235,6242,6235,6242,15,3.1
1634535000,6220,6220,6220,6220,1,3.05
1634537400,6208,6208,6208,6208,1,3.05
1634543400,6294,6294,6294,6294,4,3.2
1634543700,6298,6298,6298,6298,1,3.2
1634544300,6354,6358,6354,6355,13,3.8
1634544600,6373,6373,6373,6373,15,4.5
1634552100,6345,6345,6345,6345,2,3.6
1634552400,6341,6341,6341,6341,1,3.6
1634566800,6365,6365,6365,6365,1,3.6
1634607000,6364,6364,6364,6364,1,3.6
1634609400,6436,6436,6436,6436,1,3.6
1634609700,6444,6444,6444,6444,1,3.6
1634610000,6455,6456,6455,6456,5,3.7
1634610300,6457,6457,6457,6457,1,3.7
1634610600,6463,6463,6463,6463,2,3.7
