time,open,high,low,close,Volume,Volume MA
1614303900,9013,9020,8998,9006,14,NaN
1614304200,9003,9003,9000,9000,2,NaN
1614306300,9146,9150,9143,9150,16,NaN
1614307500,9109,9109,9107,9107,6,NaN
1614307800,9121,9121,9116,9116,5,NaN
1614308100,9095,9095,9095,9095,2,NaN
1614308400,9066,9066,9050,9050,22,NaN
1614308700,9059,9064,9057,9064,12,NaN
1614316500,9010,9010,9010,9010,5,NaN
1614316800,9007,9007,9007,9007,2,NaN
1614317700,8966,8966,8966,8966,4,NaN
1614319500,9018,9018,9016,9016,3,NaN
1614323100,8951,8951,8951,8951,3,NaN
1614323400,8945,8945,8945,8945,1,NaN
1614324000,8953,8953,8953,8953,3,NaN
1614325800,8930,8935,8930,8933,10,NaN
1614326100,8937,8947,8937,8947,9,NaN
1614326400,8930,8953,8930,8953,2,NaN
1614327000,8959,8959,8959,8959,7,NaN
1614331800,8977,8977,8977,8977,1,6.45
1614332400,8992,8992,8992,8992,1,5.8
1614340500,8923,8923,8923,8923,1,5.75
1614340800,8928,8928,8928,8928,1,5
1614349800,9018,9018,9018,9018,1,4.75
1614561900,9200,9200,9200,9200,1,4.55
1614564000,9246,9246,9246,9246,1,4.5
1614567300,9170,9170,9162,9162,2,3.5
1614568200,9124,9131,9124,9131,6,3.2
1614570000,9196,9199,9196,9199,2,3.05
1614575400,9239,9239,9239,9239,4,3.15
1614576600,9217,9217,9204,9204,5,3.2
1614578400,9222,9222,9222,9222,3,3.2
1614578700,9253,9253,9246,9246,3,3.2
1614585300,9253,9253,9252,9252,6,3.45
1614585900,9267,9267,9267,9267,1,3.35
1614610200,9311,9311,9311,9311,1,2.9
1614648600,9502,9502,9502,9502,1,2.5
1614662400,9280,9280,9280,9280,1,2.45
1614662700,9235,9235,9235,9235,1,2.15
1614666900,9275,9275,9275,9275,5,2.35
1614699300,9256,9256,9256,9256,1,2.35
1614735000,9135,9135,9135,9135,1,2.35
1614741900,9246,9246,9246,9246,5,2.55
1614743700,9242,9242,9242,9242,1,2.55
1614747600,9236,9236,9201,9201,2,2.6
1614748500,9200,9200,9200,9200,1,2.6
1614753000,9249,9249,9249,9249,1,2.55
1614753300,9280,9280,9280,9280,2,2.35
1614753600,9289,9300,9289,9300,2,2.35
1614753900,9310,9310,9303,9303,2,2.25
1614779400,9220,9220,9220,9220,1,2.05
1614822000,9031,9052,9031,9052,10,2.4
1614823200,9069,9069,9069,9069,1,2.3
1614824100,8982,8982,8982,8982,1,2.05
1614824400,8975,8975,8975,8975,3,2.15
1614825600,8926,8926,8926,8926,1,2.15
1614825900,8956,8956,8956,8956,1,2.15
1614836400,8850,8850,8850,8850,5,2.35
1614837300,8840,8840,8840,8840,1,2.35
1614840600,8833,8833,8833,8833,1,2.15
1614842100,8882,8882,8882,8882,1,2.15
1614849600,8780,8780,8780,8780,1,2.15
1614863700,8780,8780,8780,8780,1,1.95
1614878700,8783,8783,8783,8783,1,1.95
1614883800,8609,8609,8609,8609,1,1.9
1614906900,8450,8476,8400,8413,6,2.15
1614907800,8434,8434,8403,8403,6,2.4
1614908100,8410,8410,8408,8408,2,2.4
1614908700,8531,8535,8531,8535,6,2.6
1614909900,8400,8400,8400,8400,1,2.55
1614911700,8458,8458,8458,8458,3,2.65
1614912600,8565,8565,8565,8565,5,2.4
1614912900,8617,8617,8617,8617,1,2.4
1614913200,8636,8666,8636,8666,3,2.5
1614913500,8645,8645,8641,8641,5,2.6
1614913800,8655,8655,8655,8655,1,2.6
1614914100,8619,8619,8619,8619,2,2.65
1614914400,8598,8598,8598,8598,1,2.45
1614920400,8627,8644,8627,8644,2,2.5
1614920700,8634,8634,8621,8621,2,2.55
1614921000,8600,8600,8600,8600,1,2.55
1614927900,8634,8634,8634,8634,1,2.55
1614930900,8600,8600,8600,8600,1,2.55
1614931500,8571,8571,8571,8571,1,2.55
1614932100,8541,8541,8541,8541,2,2.6
1614932700,8537,8537,8537,8537,1,2.35
1615166100,8735,8735,8714,8714,2,2.15
1615167000,8670,8670,8670,8670,1,2.1
1615167300,8670,8670,8613,8613,3,1.95
1615167900,8560,8560,8538,8538,2,2
