time,open,high,low,close,Volume,Volume MA
1617154200,8269,8269,8268,8268,11,NaN
1617157800,8160,8160,8160,8160,1,NaN
1617159000,8148,8148,8148,8148,1,NaN
1617160500,8171,8171,8171,8171,2,NaN
1617198300,8193,8193,8193,8193,1,NaN
1617240000,8320,8320,8320,8320,1,NaN
1617240600,8313,8313,8310,8310,11,NaN
1617242400,8373,8416,8371,8412,11,NaN
1617243000,8431,8446,8431,8434,13,NaN
1617244500,8411,8411,8411,8411,1,NaN
1617245100,8413,8413,8411,8411,6,NaN
1617247500,8432,8432,8432,8432,5,NaN
1617253500,8444,8444,8444,8444,1,NaN
1617255600,8452,8452,8452,8452,1,NaN
1617760800,8491,8491,8478,8478,3,NaN
1617761100,8499,8499,8499,8499,4,NaN
1617772500,8431,8431,8431,8431,5,NaN
1617775800,8444,8444,8444,8444,1,NaN
1617778200,8412,8412,8412,8412,1,NaN
1617778800,8397,8397,8397,8397,5,4.25
1617779100,8392,8392,8392,8392,1,3.75
1617779400,8396,8396,8396,8396,3,3.85
1617780000,8395,8395,8395,8395,3,3.95
1617786900,8360,8360,8360,8360,1,3.9
1617808500,8285,8285,8285,8285,1,3.9
1617810900,8275,8275,8275,8275,1,3.9
1617844800,8313,8313,8313,8313,1,3.4
1617845400,8319,8343,8314,8343,20,3.85
1617859800,8462,8462,8456,8456,8,3.6
1617863100,8467,8470,8467,8470,7,3.9
1617863400,8471,8475,8468,8468,8,4
1617868200,8422,8422,8422,8422,5,4
1617931800,8450,8450,8450,8450,2,4.05
1617932100,8438,8438,8438,8438,5,4.25
1617932400,8435,8435,8435,8435,2,4.2
1617932700,8390,8390,8390,8390,1,4.05
1617933000,8377,8377,8377,8377,1,3.85
1617937800,8317,8317,8317,8317,5,4.05
1617938700,8325,8325,8325,8325,1,4.05
1617944700,8322,8322,8322,8322,1,3.85
1617945300,8312,8312,8312,8312,5,4.05
1617947100,8263,8263,8263,8263,5,4.15
1617947400,8246,8251,8246,8251,10,4.5
1617947700,8242,8242,8242,8242,3,4.6
1617949500,8276,8276,8276,8276,2,4.65
1617953700,8265,8265,8265,8265,3,4.75
1617955800,8240,8240,8240,8240,2,4.8
