time,open,high,low,close,Volume,Volume MA
1635830700,6380,6380,6380,6380,1,NaN
1635915300,6310,6310,6310,6310,1,NaN
1635915900,6237,6237,6237,6237,1,NaN
1636098600,6265,6265,6265,6265,1,NaN
1636122900,6221,6221,6221,6221,1,NaN
1636337400,6211,6212,6211,6212,2,NaN
1636352400,6196,6196,6196,6196,6,NaN
1636356000,6196,6196,6196,6196,1,NaN
1636358100,6198,6198,6198,6198,5,NaN
1636444500,6222,6222,6222,6222,2,NaN
1636446000,6220,6220,6220,6220,1,NaN
1636531500,6353,6353,6353,6353,2,NaN
1636597800,6346,6346,6346,6346,1,NaN
1636611900,6421,6421,6421,6421,1,NaN
1636615200,6499,6499,6499,6499,1,NaN
1636617300,6473,6473,6473,6473,1,NaN
1636618200,6457,6457,6457,6457,3,NaN
1636686000,6545,6545,6545,6545,6,NaN
1636686900,6520,6520,6520,6520,1,NaN
1636688400,6547,6550,6547,6550,28,3.3
1636693500,6532,6532,6532,6532,1,3.3
1636694400,6527,6527,6527,6527,1,3.3
1636695000,6520,6520,6520,6520,1,3.3
1636702200,6565,6565,6565,6565,3,3.4
1636705500,6577,6577,6577,6577,1,3.4
1636987200,6601,6601,6601,6601,1,3.35
1637219400,6470,6470,6470,6470,1,3.1
1637221500,6461,6461,6461,6461,2,3.15
1637236800,6446,6446,6446,6446,1,2.95
1637247300,6346,6346,6346,6346,1,2.9
1637302200,6433,6433,6433,6433,10,3.35
1637548500,6433,6433,6433,6433,1,3.3
1637548800,6432,6432,6432,6432,1,3.3
1637551800,6412,6412,6412,6412,1,3.3
1637562300,6406,6406,6404,6404,2,3.35
1637599500,6246,6246,6246,6246,1,3.35
1637762700,6247,6247,6244,6244,3,3.35
1637768700,6290,6290,6290,6290,1,3.1
1637803500,6308,6308,6308,6308,1,3.1
1637804400,6307,6307,6307,6307,1,1.75
1637892600,6250,6250,6250,6250,1,1.75
1637902800,6200,6200,6200,6200,1,1.75
1637905200,6200,6200,6200,6200,1,1.75
1637905500,6200,6201,6200,6201,2,1.7
1637912400,6167,6167,6167,6167,1,1.7
1637942400,6046,6046,6046,6046,1,1.7
1638149700,6180,6180,6180,6180,1,1.7
1638150000,6210,6210,6210,6210,1,1.65
1638150300,6211,6211,6211,6211,1,1.65
1638150600,6220,6220,6220,6220,1,1.65
1638170400,6108,6108,6108,6108,1,1.2
1638172500,6107,6107,6107,6107,1,1.2
1638199800,6000,6000,6000,6000,1,1.2
1638237900,6092,6092,6092,6092,1,1.2
1638239100,6050,6050,6050,6050,4,1.3
1638239400,6037,6037,6037,6037,1,1.3
1638240000,6011,6011,6011,6011,1,1.2
1638249600,6000,6008,5998,6008,3,1.3
1638250200,6010,6010,6010,6010,1,1.3
1638250800,5994,5994,5994,5994,2,1.35
1638251700,5988,5988,5982,5983,20,2.3
1638252000,5971,5971,5966,5966,2,2.35
1638252300,5961,5961,5946,5946,4,2.5
1638252600,5941,5941,5941,5941,1,2.45
1638253500,5990,5990,5990,5990,1,2.45
1638257400,6020,6020,6020,6020,1,2.45
1638259200,6046,6051,6046,6051,2,2.5
1638260700,6042,6042,6042,6042,1,2.5
1638273600,6059,6059,6059,6059,1,2.5
1638275100,6064,6064,6064,6064,1,2.5
1638280800,6069,6069,6069,6069,1,2.5
1638287700,5987,5987,5987,5987,1,2.5
1638322200,6050,6050,6050,6050,1,2.5
1638325800,6121,6121,6121,6121,1,2.5
1638335100,6129,6129,6129,6129,1,2.35
1638346800,6051,6051,6051,6051,1,2.35
1638407700,6001,6001,5996,5996,2,2.4
1638408000,5991,5991,5991,5991,1,2.3
1638408600,5986,5986,5976,5976,3,2.4
