time,open,high,low,close,Volume,Volume MA
1653960600,4343,4356,4343,4356,2,NaN
1653962100,4343,4343,4343,4343,1,NaN
1653965700,4411,4411,4411,4411,1,NaN
1653966300,4420,4420,4420,4420,1,NaN
1653973200,4443,4443,4443,4443,1,NaN
1653975300,4460,4460,4460,4460,1,NaN
1653978300,4500,4510,4500,4510,3,NaN
1653978600,4511,4511,4511,4511,1,NaN
1653979500,4488,4488,4488,4488,1,NaN
1653982200,4456,4456,4456,4456,1,NaN
1653984600,4501,4501,4477,4477,2,NaN
1653984900,4513,4513,4513,4513,1,NaN
1653985200,4524,4524,4524,4524,3,NaN
1653985500,4543,4543,4543,4543,1,NaN
1654004400,4458,4458,4458,4458,1,NaN
1654005900,4425,4425,4425,4425,1,NaN
1654013100,4482,4482,4482,4482,1,NaN
1654017600,4440,4440,4440,4440,1,NaN
1654052100,4408,4408,4408,4408,1,NaN
1654062300,4386,4386,4386,4386,1,1.3
1654063200,4397,4397,4397,4397,1,1.25
1654066500,4421,4421,4421,4421,2,1.3
1654066800,4420,4420,4420,4420,3,1.4
1654067400,4431,4431,4431,4431,15,2.1
1654086900,4449,4449,4449,4449,1,2.1
1654094100,4380,4380,4380,4380,2,2.15
1654095900,4379,4379,4379,4379,1,2.05
1654096800,4350,4350,4350,4350,1,2.05
1654101000,4342,4342,4341,4341,7,2.35
1654101300,4345,4349,4345,4349,5,2.55
1654101600,4344,4344,4344,4344,1,2.5
1654101900,4340,4340,4340,4340,1,2.5
1654133100,4337,4337,4337,4337,10,2.85
1654133400,4366,4366,4366,4366,10,3.3
1654136400,4366,4368,4366,4367,4,3.45
1654138200,4355,4356,4355,4356,2,3.5
1654147200,4352,4356,4352,4356,2,3.55
1654149600,4383,4385,4383,4385,9,3.95
1654149900,4384,4384,4384,4384,1,3.95
1654150500,4391,4391,4391,4391,1,3.95
1654151100,4399,4399,4399,4399,1,3.95
1654152300,4399,4399,4399,4399,1,3.9
1654153500,4416,4416,4416,4416,1,3.8
1654154400,4412,4412,4412,4412,1,3.1
1654154700,4413,4413,4413,4413,2,3.15
1654155000,4411,4411,4411,4411,2,3.15
1654158000,4410,4410,4410,4410,1,3.15
1654164900,4440,4440,4440,4440,1,3.15
1654165500,4431,4431,4431,4431,1,2.85
1654175100,4424,4424,4424,4424,1,2.65
1654176300,4416,4416,4416,4416,1,2.65
1654178100,4448,4448,4448,4448,1,2.65
1654179000,4456,4460,4456,4460,2,2.25
1654181100,4465,4465,4465,4465,1,1.8
1654183800,4520,4520,4520,4520,2,1.7
1654184700,4538,4538,4538,4538,1,1.65
1654185600,4538,4538,4538,4538,1,1.6
1654185900,4537,4537,4532,4534,3,1.3
1654186800,4548,4548,4548,4548,3,1.4
1654187700,4558,4558,4558,4558,1,1.4
1654189200,4547,4547,4547,4547,1,1.4
1654478100,4502,4502,4486,4486,3,1.5
1654478400,4478,4478,4478,4478,1,1.5
1654478700,4470,4470,4470,4470,1,1.5
1654479000,4430,4430,4430,4430,1,1.45
1654479300,4448,4448,4448,4448,3,1.5
1654480800,4475,4475,4475,4475,1,1.5
1654481100,4483,4483,4483,4483,1,1.5
1654482000,4500,4500,4500,4500,1,1.5
1654482300,4488,4488,4488,4488,2,1.55
1654484400,4491,4491,4491,4491,1,1.55
1654484700,4493,4493,4493,4493,1,1.55
1654485900,4498,4498,4498,4498,1,1.5
1654487100,4508,4508,4508,4508,1,1.5
1654494000,4517,4517,4517,4517,1,1.45
1654495800,4524,4524,4524,4524,4,1.6
1654497300,4539,4540,4539,4540,60,4.55
1654501200,4540,4540,4540,4540,1,4.45
1654502100,4606,4606,4606,4606,1,4.35
1654503000,4621,4623,4616,4620,15,5.05
1654503300,4619,4629,4619,4629,38,6.9
1654503600,4634,4634,4634,4634,1,6.8
1654503900,4648,4650,4648,4650,30,8.25
1654522200,4665,4665,4665,4665,2,8.3
1654522500,4690,4690,4690,4690,4,8.45
1654523700,4690,4690,4690,4690,2,8.4
1654524000,4696,4700,4696,4700,3,8.5
1654528500,4647,4647,4647,4647,5,8.7
1654529400,4645,4645,4645,4645,1,8.7
1654532100,4588,4588,4588,4588,1,8.65
1654534800,4608,4608,4608,4608,1,8.65
1654536900,4620,4620,4620,4620,5,8.85
1654564500,4586,4586,4584,4584,11,9.35
1654564800,4579,4579,4579,4579,1,9.35
1654565400,4601,4601,4601,4601,1,9.35
1654566000,4650,4650,4650,4650,1,9.2
1654567500,4607,4607,4607,4607,1,6.25
1654568400,4620,4620,4620,4620,1,6.25
1654570200,4627,4627,4627,4627,1,6.25
1654570500,4624,4624,4614,4622,49,7.95
1654570800,4620,4624,4612,4612,55,8.8
