time,open,high,low,close,Volume,Volume MA
1625033100,8159,8159,8155,8155,9,NaN
1625033400,8156,8156,8155,8155,2,NaN
1625034900,8155,8155,8155,8155,1,NaN
1625035200,8160,8160,8160,8160,2,NaN
1625036100,8163,8163,8163,8163,1,NaN
1625037000,8162,8162,8161,8161,2,NaN
1625037300,8157,8157,8153,8153,3,NaN
1625037900,8151,8151,8151,8151,1,NaN
1625039700,8144,8144,8144,8144,1,NaN
1625166300,8144,8144,8144,8144,1,NaN
1625189400,8028,8028,8028,8028,1,NaN
1625189700,8034,8034,8000,8003,13,NaN
1625190300,7972,7972,7972,7972,1,NaN
1625192700,7914,7920,7914,7920,3,NaN
1625193000,7916,7919,7916,7917,10,NaN
1625193300,7923,7925,7923,7925,4,NaN
1625202000,7905,7905,7905,7905,13,NaN
1625205900,7883,7884,7883,7884,12,NaN
1625207100,7860,7860,7859,7859,32,NaN
1625208900,7866,7866,7865,7865,3,5.75
1625210100,7869,7869,7864,7864,6,5.6
1625210400,7866,7866,7866,7866,3,5.65
1625212200,7868,7868,7868,7868,1,5.65
1625212500,7873,7873,7873,7873,5,5.8
1625447700,7804,7804,7804,7804,6,6.05
1625448000,7766,7766,7765,7765,2,6.05
1625448600,7803,7803,7747,7747,9,6.35
1625449200,7820,7820,7820,7820,1,6.35
1625468400,7705,7705,7705,7705,1,6.35
1625535000,7689,7689,7660,7660,4,6.5
1625537100,7693,7698,7693,7698,10,6.95
1625537700,7698,7698,7686,7686,2,6.4
1625538000,7674,7675,7674,7675,4,6.55
1625549700,7592,7592,7592,7592,1,6.45
1625551200,7568,7568,7568,7568,1,6
1625551500,7575,7575,7575,7575,1,5.85
1625553600,7611,7611,7611,7611,1,5.25
1625554500,7645,7645,7645,7645,1,4.7
1625557800,7622,7622,7622,7622,6,3.4
1625581800,7560,7560,7560,7560,2,3.35
1625621400,7508,7536,7504,7508,20,4.05
1625621700,7513,7519,7513,7519,9,4.35
1625622600,7515,7515,7515,7515,1,4.35
1625623500,7583,7583,7583,7583,1,4.15
1625623800,7579,7579,7565,7565,12,4.45
1625627700,7581,7581,7581,7581,1,4.4
