time,open,high,low,close,Volume,Volume MA
1611884100,9644,9644,9644,9644,1,NaN
1611884400,9677,9677,9677,9677,1,NaN
1611885000,9644,9644,9644,9644,1,NaN
1611928800,9445,9445,9445,9445,1,NaN
1612143300,9488,9488,9488,9488,1,NaN
1612156500,9688,9688,9688,9688,1,NaN
1612160100,9767,9767,9767,9767,1,NaN
1612181700,9771,9771,9771,9771,1,NaN
1612228500,9852,9852,9852,9852,1,NaN
1612228800,9888,9888,9888,9888,1,NaN
1612250400,9955,9955,9955,9955,1,NaN
1612329900,10100,10100,10100,10100,1,NaN
1612345500,10058,10058,10058,10058,1,NaN
1612409700,9785,9785,9785,9785,1,NaN
1612419300,9798,9798,9798,9798,1,NaN
1612451100,9854,9854,9854,9854,1,NaN
1612753800,9845,9845,9845,9845,1,NaN
1612838700,9813,9813,9813,9813,1,NaN
1612864200,9935,9935,9935,9935,1,NaN
1612892700,9988,9988,9988,9988,1,1
1612921200,10044,10044,10044,10044,1,1
1612922100,10077,10077,10077,10077,1,1
1613011500,10198,10198,10198,10198,1,1
1613616300,10692,10692,10692,10692,1,1
1613661900,10411,10411,10411,10411,1,1
1613720400,10511,10511,10511,10511,1,1
1613732100,10598,10605,10598,10605,2,1.05
1613970900,10180,10180,10180,10180,1,1.05
1613980500,9998,9998,9998,9998,1,1.05
1614135600,9520,9520,9520,9520,3,1.15
1614135900,9505,9505,9505,9505,1,1.15
1614137700,9475,9475,9475,9475,1,1.15
1614147300,9218,9218,9218,9218,1,1.15
1614147600,9280,9280,9280,9280,2,1.2
1614148200,9350,9350,9350,9350,1,1.2
1614175800,9342,9342,9342,9342,1,1.2
1614215700,9514,9514,9514,9514,1,1.2
1614309600,9032,9032,9032,9032,1,1.2
1614317400,8978,8978,8978,8978,2,1.25
1614317700,8922,8922,8922,8922,1,1.25
1614320100,9011,9011,9011,9011,1,1.25
1614352200,8990,8990,8990,8990,1,1.25
1614824100,8996,8996,8996,8996,1,1.25
1614837600,8832,8832,8832,8832,1,1.25
1615169100,8440,8440,8440,8440,1,1.25
