time,open,high,low,close,Volume,Volume MA
1630375500,6358,6358,6358,6358,3,NaN
1630379100,6317,6317,6317,6317,2,NaN
1630390200,6496,6496,6496,6496,1,NaN
1630390500,6531,6531,6531,6531,2,NaN
1630391100,6524,6524,6524,6524,12,NaN
1630391400,6552,6552,6537,6537,2,NaN
1630392300,6514,6514,6514,6514,1,NaN
1630394700,6542,6542,6542,6542,1,NaN
1630413900,6551,6551,6551,6551,1,NaN
1630459200,6650,6650,6649,6649,16,NaN
1630460400,6617,6617,6617,6617,20,NaN
1630461300,6683,6683,6683,6683,2,NaN
1630462800,6679,6679,6679,6679,1,NaN
1630464000,6685,6685,6685,6685,1,NaN
1630466100,6735,6735,6735,6735,1,NaN
1630466400,6753,6753,6753,6753,1,NaN
1630467000,6740,6740,6740,6740,1,NaN
1630467600,6745,6745,6745,6745,1,NaN
1630477200,6699,6699,6699,6699,1,NaN
1630477500,6703,6703,6703,6703,1,3.55
1630478400,6694,6694,6694,6694,1,3.45
1630478700,6697,6697,6697,6697,1,3.4
1630479000,6691,6692,6691,6692,2,3.45
1630481700,6695,6695,6695,6695,1,3.4
1630482300,6683,6683,6683,6683,1,2.85
1630514100,6844,6844,6844,6844,1,2.8
1630517400,6848,6848,6848,6848,1,2.8
1630545300,6814,6814,6814,6814,3,2.9
1630546200,6880,6880,6880,6880,1,2.9
1630547100,6886,6886,6886,6886,1,2.15
1630551000,6800,6800,6800,6800,1,1.2
1630551900,6805,6805,6805,6805,1,1.15
1630553100,6777,6777,6777,6777,1,1.15
1630558800,6794,6794,6794,6794,3,1.25
1630559400,6793,6793,6793,6793,10,1.7
1630559700,6779,6779,6779,6779,4,1.85
1630561500,6777,6777,6777,6777,3,1.95
1630569600,6813,6813,6813,6813,1,1.95
1630632600,6750,6750,6715,6721,3,2.05
1630632900,6725,6725,6725,6725,1,2.05
1630635300,6745,6745,6745,6745,1,2.05
1630636200,6731,6731,6712,6712,2,2.1
1630640400,6730,6730,6730,6730,1,2.05
1630645800,6720,6720,6720,6720,1,2.05
1630650600,6680,6681,6680,6681,3,2.15
1630651200,6693,6700,6693,6700,2,2.2
1630651800,6694,6694,6694,6694,1,2.2
1630653300,6696,6696,6696,6696,1,2.1
1630660500,6716,6716,6716,6716,1,2.1
1630663200,6721,6721,6721,6721,1,2.1
1630663800,6719,6719,6719,6719,1,2.1
1630890900,6672,6672,6669,6669,2,2.15
1630891200,6686,6686,6686,6686,20,3.1
1630891500,6696,6696,6696,6696,1,3
1630892400,6715,6715,6715,6715,1,2.55
1630892700,6759,6770,6759,6770,2,2.45
1630895700,6744,6744,6744,6744,1,2.35
1630898400,6753,6753,6752,6752,2,2.4
1630906200,6760,6760,6760,6760,1,2.3
1630906500,6759,6759,6759,6759,3,2.4
1630913100,6768,6768,6768,6768,1,2.4
1630914300,6768,6768,6768,6768,1,2.35
1630924200,6816,6816,6816,6816,1,2.35
1630977600,6836,6836,6836,6836,1,2.35
1630978500,6850,6850,6850,6850,1,2.25
1630978800,6855,6855,6855,6855,1,2.2
1630979400,6847,6847,6847,6847,1,2.2
1630983000,6940,6940,6940,6940,1,2.2
1630983900,6938,6938,6938,6938,1,2.2
1630984500,6902,6902,6902,6902,1,2.2
1630991700,6914,6914,6914,6914,1,2.2
1630992300,6914,6914,6914,6914,1,2.15
1630993800,6909,6909,6909,6909,1,1.2
1630996200,6900,6900,6900,6900,1,1.2
1630997100,6900,6900,6900,6900,1,1.2
1630998300,6900,6900,6900,6900,1,1.15
1631001600,6888,6888,6888,6888,1,1.15
1631008200,6871,6871,6871,6871,1,1.1
1631008500,6872,6872,6872,6872,1,1.1
1631009100,6879,6879,6879,6879,1,1
1631026800,6916,6916,6916,6916,1,1
1631033700,6938,6938,6938,6938,1,1
1631040300,6960,6960,6960,6960,1,1
1631064600,6896,6896,6896,6896,1,1
1631064900,6906,6906,6906,6906,1,1
1631067600,6919,6919,6919,6919,1,1
1631068200,6874,6874,6874,6874,1,1
1631068500,6875,6884,6875,6884,2,1.05
1631071200,6868,6868,6868,6868,1,1.05
1631071800,6835,6835,6835,6835,1,1.05
1631072400,6820,6827,6815,6827,3,1.15
1631072700,6821,6821,6821,6821,1,1.15
1631077500,6831,6831,6831,6831,1,1.15
1631077800,6838,6838,6838,6838,1,1.15
1631078100,6846,6846,6846,6846,30,2.6
1631079000,6857,6857,6857,6857,1,2.6
1631080200,6864,6864,6864,6864,1,2.6
1631085300,6834,6838,6834,6838,2,2.65
1631087100,6835,6835,6835,6835,1,2.65
1631088300,6860,6860,6860,6860,1,2.65
1631089200,6855,6855,6855,6855,1,2.65
1631097000,6878,6878,6878,6878,1,2.65
1631108100,6828,6828,6828,6828,1,2.65
1631109300,6780,6780,6780,6780,1,2.65
1631110200,6784,6784,6784,6784,1,2.65
1631110800,6838,6838,6838,6838,1,2.65
1631111100,6770,6770,6770,6770,1,2.65
1631150100,6720,6720,6720,6720,1,2.6
1631151000,6680,6705,6680,6705,3,2.7
1631151300,6710,6710,6710,6710,1,2.7
1631153100,6680,6680,6680,6680,1,2.6
1631153700,6711,6711,6711,6711,1,2.6
1631154600,6688,6688,6688,6688,1,2.6
1631156100,6680,6680,6680,6680,1,2.6
