time,open,high,low,close,Volume,Volume MA
1632971400,6051,6051,6051,6051,3,NaN
1632972000,6065,6065,6065,6065,1,NaN
1632972600,6049,6049,6049,6049,1,NaN
1632978000,6073,6073,6065,6065,6,NaN
1632978600,6080,6080,6080,6080,45,NaN
1632980400,6092,6092,6092,6092,2,NaN
1632981300,6093,6095,6092,6095,5,NaN
1632982800,6135,6139,6125,6125,3,NaN
1632983100,6111,6111,6111,6111,2,NaN
1632985200,6102,6102,6089,6089,56,NaN
1632985800,6080,6080,6078,6078,3,NaN
1632986100,6087,6087,6086,6086,4,NaN
1632986400,6088,6088,6086,6087,6,NaN
1632986700,6085,6085,6074,6075,14,NaN
1632987900,6071,6071,6071,6071,3,NaN
1632988500,6063,6063,6063,6063,8,NaN
1632989100,6086,6086,6086,6086,7,NaN
1632989400,6076,6078,6076,6078,2,NaN
1632989700,6077,6077,6071,6071,14,NaN
1632990000,6071,6072,6071,6072,13,9.9
1632990300,6073,6073,6071,6071,7,10.1
1632997800,6060,6060,6060,6060,1,10.1
1633009800,6145,6145,6145,6145,1,10.1
1633310100,6091,6091,6036,6036,14,10.5
1633311000,6061,6061,6055,6057,3,8.4
1633311600,6002,6002,5994,5994,15,9.05
1633313400,5947,5947,5947,5947,1,8.85
1633313700,5990,5990,5990,5990,1,8.75
1633314000,5980,5980,5980,5980,1,8.7
1633315800,6028,6044,6028,6044,20,6.9
1633316100,6021,6021,6021,6021,3,6.9
1633316400,6029,6032,6010,6010,20,7.7
1633316700,6028,6028,6020,6020,7,7.75
1633319100,5989,5989,5989,5989,3,7.2
1633324200,6019,6019,6019,6019,3,7.2
1633325100,6018,6018,6018,6018,3,6.95
1633326600,6003,6003,6003,6003,3,6.75
1633330500,5975,5975,5975,5975,1,6.7
1633348200,5967,5967,5966,5966,6,6.3
1633348500,5963,5965,5963,5965,3,5.8
1633357800,5890,5890,5890,5890,1,5.5
1633361700,5865,5865,5865,5865,1,5.5
1633365300,5870,5870,5867,5867,15,6.2
1633365600,5861,5867,5860,5867,9,5.95
1633365900,5860,5872,5860,5869,10,6.3
1633366200,5872,5877,5864,5877,12,6.15
1633396500,5868,5869,5845,5845,12,6.7
1633397100,5846,5848,5846,5848,5,6.9
1633397400,5844,5844,5842,5842,6,7.15
1633397700,5868,5868,5868,5868,1,6.2
1633400400,5887,5887,5887,5887,2,6.15
1633401000,5924,5924,5924,5924,1,5.2
1633413300,5941,5941,5937,5937,2,4.95
1633413900,5942,5942,5942,5942,1,4.85
1633421100,5947,5949,5945,5949,23,5.85
1633421400,5941,5941,5939,5939,18,6.6
1633482900,5991,5992,5982,5982,16,7.25
1633483200,5999,6000,5997,5997,25,8.45
1633484700,5906,5906,5906,5906,1,8.2
1633485000,5870,5870,5870,5870,1,8.1
1633496400,5900,5900,5900,5900,1,8.1
1633497300,5937,5937,5937,5937,1,8.1
1633498200,5920,5920,5920,5920,1,7.4
1633499700,5904,5904,5904,5904,1,7
1633500000,5900,5900,5900,5900,1,6.55
1633502700,5903,5903,5903,5903,1,6
1633503300,5900,5900,5900,5900,1,5.45
1633503900,5875,5875,5875,5875,1,5.25
1633506600,5875,5875,5875,5875,1,5
1633507200,5873,5873,5871,5871,14,5.65
1633507500,5871,5871,5856,5856,44,7.75
1633507800,5867,5867,5865,5865,13,8.35
1633508100,5865,5865,5861,5861,13,8.9
1633526700,5862,5862,5862,5862,1,8.9
1633527900,5900,5900,5900,5900,1,7.8
1633569300,5987,5990,5986,5989,49,9.35
1633569600,5996,5996,5994,5994,4,8.75
1633570200,5997,6045,5997,6044,31,9.05
1633570500,6045,6062,6045,6062,6,9.3
1633571400,6080,6080,6080,6080,1,9.3
1633572000,6060,6060,6054,6054,2,9.35
1633572300,6070,6070,6070,6070,1,9.35
1633572900,6069,6069,6065,6065,2,9.4
1633573200,6071,6080,6071,6080,2,9.45
1633575000,6114,6114,6114,6114,1,9.45
1633575300,6120,6120,6120,6120,1,9.45
1633577400,6106,6106,6106,6106,1,9.45
1633578300,6095,6095,6095,6095,1,9.45
1633585800,6101,6101,6100,6100,6,9.7
1633587600,6125,6128,6125,6128,2,9.1
1633589400,6142,6142,6142,6142,1,6.95
1633590900,6151,6151,6151,6151,1,6.35
1633592100,6180,6180,6180,6180,1,5.75
1633594500,6165,6165,6160,6160,2,5.8
1633616700,6240,6240,6240,6240,2,5.85
1633619100,6280,6280,6280,6280,1,3.45
1633620000,6282,6282,6282,6282,1,3.3
1633621800,6320,6320,6320,6320,1,1.8
1633656000,6295,6295,6283,6283,17,2.35
1633656600,6281,6281,6260,6260,7,2.65
1633657200,6220,6251,6220,6248,5,2.8
1633659600,6188,6188,6180,6180,2,2.85
1633661400,6200,6200,6200,6200,1,2.8
1633662900,6198,6198,6198,6198,1,2.75
1633665000,6140,6140,6140,6140,2,2.8
1633671600,6170,6170,6170,6170,1,2.8
1633675800,6182,6182,6182,6182,2,2.85
1633677900,6180,6180,6180,6180,5,3.05
1633914900,6284,6296,6268,6296,29,4.2
1633915200,6297,6309,6292,6309,6,4.4
1633915500,6313,6313,6313,6313,1,4.4
1633915800,6312,6348,6312,6348,14,5.05
1633916700,6335,6335,6330,6330,2,5.1
1633917000,6362,6362,6362,6362,1,5.05
1633917300,6357,6357,6357,6357,3,5.1
1633918200,6374,6374,6367,6367,8,5.45
1633918800,6378,6380,6378,6380,2,5.5
1633923900,6413,6413,6413,6413,1,5.5
1633924500,6426,6426,6425,6425,5,4.9
1633931400,6408,6408,6408,6408,1,4.6
1633936800,6371,6371,6371,6371,2,4.45
1633937400,6380,6380,6380,6380,1,4.4
1633938600,6400,6400,6400,6400,1,4.4
1633949700,6395,6395,6395,6395,1,4.4
1633950600,6386,6386,6386,6386,1,4.35
1633961100,6360,6360,6360,6360,1,4.35
1633970100,6320,6320,6320,6320,1,4.3
1633972800,6300,6300,6300,6300,1,4.1
1634001300,6275,6275,6256,6256,27,4
1634001600,6245,6267,6245,6267,12,4.3
1634001900,6256,6256,6256,6256,1,4.3
1634002200,6230,6242,6230,6242,3,3.75
1634002500,6226,6226,6218,6226,3,3.8
1634002800,6223,6223,6223,6223,1,3.8
1634003100,6274,6274,6274,6274,1,3.7
1634003400,6290,6290,6290,6290,1,3.35
1634005800,6260,6260,6260,6260,1,3.3
1634008200,6260,6260,6260,6260,1,3.3
1634008500,6250,6250,6250,6250,1,3.1
1634018100,6230,6230,6230,6230,2,3.15
1634018400,6222,6222,6220,6220,2,3.15
1634019000,6224,6224,6224,6224,1,3.15
1634019300,6218,6218,6210,6210,2,3.2
1634019600,6208,6208,6208,6208,1,3.2
1634019900,6206,6206,6206,6206,4,3.35
1634020500,6196,6196,6196,6196,1,3.35
1634023800,6190,6190,6190,6190,1,3.35
1634025000,6188,6188,6188,6188,1,3.35
1634025600,6214,6214,6211,6211,24,3.2
1634260500,6268,6269,6268,6269,2,2.7
1634261400,6261,6261,6261,6261,1,2.7
1634261700,6256,6270,6256,6270,2,2.65
1634262300,6235,6235,6235,6235,1,2.55
1634262600,6230,6247,6230,6247,2,2.6
1634264100,6246,6275,6246,6275,4,2.75
1634265600,6265,6265,6265,6265,1,2.75
1634266800,6248,6248,6246,6246,2,2.8
1634279700,6273,6273,6273,6273,1,2.8
1634283300,6292,6292,6292,6292,1,2.8
1634285100,6310,6311,6309,6311,22,3.8
1634286300,6335,6335,6335,6335,1,3.75
1634309100,6350,6350,6350,6350,1,3.75
1634310000,6360,6360,6360,6360,1,3.7
1634310900,6360,6360,6360,6360,1,3.7
1634312400,6357,6357,6357,6357,2,3.6
1634317500,6313,6313,6313,6313,2,3.65
1634317800,6320,6320,6320,6320,1,3.65
1634318100,6341,6341,6341,6341,3,3.75
1634320800,6344,6344,6344,6344,1,2.6
1634520000,6331,6331,6331,6331,2,2.6
1634520600,6285,6286,6278,6281,5,2.8
1634520900,6254,6254,6239,6239,23,3.85
1634521500,6236,6237,6227,6237,4,4
1634521800,6245,6258,6245,6245,3,4.05
1634522100,6262,6262,6262,6262,1,3.9
1634522400,6248,6257,6248,6257,3,4
1634523900,6230,6230,6230,6230,1,3.95
1634524200,6232,6232,6228,6228,3,4.05
1634524500,6241,6241,6241,6241,1,4.05
1634524800,6226,6226,6226,6226,1,3
1634525100,6212,6212,6212,6212,1,3
1634525700,6222,6222,6222,6222,1,3
1634527200,6237,6237,6237,6237,1,3
1634528700,6246,6246,6246,6246,1,3
1634533200,6238,6240,6238,6240,2,3
1634533800,6222,6223,6222,6223,2,3
1634535900,6215,6215,6215,6215,1,3
1634538300,6225,6225,6225,6225,1,2.9
1634538600,6228,6228,6228,6228,1,2.9
1634540100,6237,6237,6237,6237,19,3.75
1634543100,6281,6281,6281,6281,1,3.55
1634543700,6292,6312,6292,6312,18,3.3
1634544000,6315,6315,6315,6315,2,3.2
1634544300,6346,6348,6345,6346,21,4.1
1634544600,6358,6359,6357,6357,42,6.15
1634545200,6351,6352,6351,6352,9,6.45
1634556300,6348,6348,6348,6348,1,6.45
1634564400,6350,6350,6350,6350,1,6.35
1634565900,6358,6358,6358,6358,1,6.35
1634569800,6380,6380,6380,6380,1,6.35
1634570400,6378,6380,6378,6380,2,6.4
1634571300,6383,6383,6383,6383,1,6.4
1634573100,6400,6400,6400,6400,1,6.4
1634573700,6406,6406,6406,6406,2,6.45
1634580000,6406,6406,6406,6406,1,6.4
1634582100,6408,6408,6408,6408,1,6.35
1634606100,6377,6377,6353,6353,34,8
1634606400,6358,6358,6358,6358,2,8.05
1634606700,6354,6354,6354,6354,10,8.5
1634607000,6360,6363,6360,6363,3,7.7
1634607900,6365,6379,6365,6379,2,7.75
1634608200,6407,6407,6407,6407,1,6.9
1634608500,6416,6416,6416,6416,1,6.85
1634609400,6431,6437,6431,6437,5,6.05
1634609700,6442,6445,6442,6444,101,9
1634610000,6443,6443,6443,6443,5,8.8
1634610300,6448,6448,6445,6445,17,9.6
1634610600,6457,6458,6455,6458,25,10.8
1634610900,6454,6454,6454,6454,5,11
1634611200,6452,6452,6452,6452,1,11
1634611500,6450,6454,6450,6450,11,11.45
1634611800,6455,6455,6452,6452,16,12.2
1634612100,6453,6453,6453,6453,10,12.65
1634612400,6444,6455,6444,6455,6,12.85
1634613300,6475,6475,6475,6475,1,12.85
1634614200,6480,6480,6480,6480,1,12.85
1634615100,6467,6468,6466,6466,193,20.8
1634615400,6457,6457,6457,6457,6,21
1634619600,6467,6467,6467,6467,1,20.55
1634620200,6466,6468,6466,6468,15,21.15
1634620500,6473,6474,6471,6471,42,23.15
1634622900,6464,6464,6464,6464,5,23.35
1634624400,6489,6489,6489,6489,1,23.35
1634625000,6494,6494,6494,6494,1,23.15
1634625600,6491,6494,6491,6494,4,18.3
1634626800,6502,6502,6502,6502,5,18.3
1634627100,6500,6500,6500,6500,2,17.55
1634630100,6512,6512,6512,6512,1,16.35
1634630400,6512,6513,6512,6513,5,16.35
1634630700,6501,6501,6501,6501,5,16.55
1634631000,6516,6516,6509,6510,19,16.95
1634631900,6525,6525,6525,6525,1,16.2
1634639100,6530,6530,6530,6530,1,15.75
1634646000,6543,6544,6543,6544,5,15.7
1634652600,6566,6660,6566,6660,21,16.7
1634652900,6574,6581,6574,6581,5,16.9
1634653200,6569,6569,6569,6569,1,7.3
1634653500,6579,6579,6579,6579,1,7.05
1634653800,6578,6578,6578,6578,2,7.1
1634659800,6600,6600,6600,6600,1,6.4
1634692500,6627,6627,6571,6603,45,6.55
1634692800,6611,6632,6611,6632,30,7.8
1634693100,6631,6640,6629,6629,15,8.5
1634693400,6645,6678,6645,6678,4,8.65
1634693700,6648,6648,6635,6635,5,8.7
1634694000,6630,6630,6620,6620,12,9.05
1634694300,6613,6618,6613,6618,4,9.15
1634694600,6630,6649,6630,6649,4,9.3
1634694900,6635,6635,6635,6635,10,9.55
1634695800,6635,6635,6635,6635,1,9.35
1634696400,6615,6615,6615,6615,1,8.45
1634696700,6620,6620,6620,6620,1,8.45
1634697000,6622,6622,6622,6622,1,8.45
1634697300,6618,6618,6618,6618,1,8.25
1634698200,6659,6659,6659,6659,20,8.2
1634698500,6667,6667,6667,6667,60,10.95
1634698800,6667,6667,6666,6666,22,12
1634699700,6694,6694,6694,6694,1,12
1634700000,6703,6705,6703,6705,2,12
1634700300,6709,6709,6709,6709,2,12.05
1634700600,6713,6726,6713,6726,6,10.1
1634701200,6716,6716,6716,6716,1,8.65
1634701500,6711,6716,6711,6716,3,8.05
1634706000,6725,6725,6725,6725,42,9.95
1634706300,6718,6718,6718,6718,1,9.75
1634706600,6715,6722,6715,6722,4,9.35
1634707500,6723,6723,6723,6723,1,9.2
1634708100,6728,6728,6728,6728,1,9.05
1634708400,6736,6736,6736,6736,1,8.6
1634709300,6727,6727,6727,6727,2,8.65
1634710500,6714,6714,6711,6711,6,8.9
1634710800,6712,6712,6712,6712,1,8.9
1634711100,6705,6705,6705,6705,1,8.9
1634712000,6712,6712,6712,6712,5,9.1
1634712900,6687,6687,6687,6687,3,8.25
1634713200,6688,6688,6688,6688,1,5.3
1634714700,6698,6700,6698,6700,2,4.3
1634715900,6699,6699,6696,6696,6,4.55
1634716200,6694,6694,6693,6693,2,4.55
1634716500,6694,6694,6694,6694,4,4.65
1634716800,6706,6706,6706,6706,1,4.4
1634717100,6706,6706,6705,6705,7,4.7
1634717400,6704,6704,6704,6704,2,4.65
1634718000,6720,6722,6720,6720,23,3.7
1634718300,6726,6726,6726,6726,51,6.2
1634721300,6724,6724,6723,6723,6,6.3
1634721600,6723,6723,6722,6722,3,6.4
1634721900,6723,6723,6723,6723,4,6.55
1634722200,6723,6723,6723,6723,11,7.05
1634722500,6723,6723,6723,6723,2,7.05
1634727600,6736,6736,6736,6736,1,6.8
1634729100,6735,6735,6735,6735,1,6.8
1634736600,6738,6738,6730,6730,3,6.9
1634737800,6700,6700,6688,6700,7,7
1634738100,6701,6701,6701,6701,1,6.9
1634738400,6697,6697,6697,6697,1,6.9
1634739300,6710,6710,6710,6710,1,6.85
1634739600,6715,6715,6715,6715,1,6.6
1634739900,6724,6724,6724,6724,1,6.55
1634740800,6720,6746,6720,6746,23,7.5
1634745600,6710,6710,6710,6710,1,7.5
1634779800,6688,6688,6680,6685,6,7.45
1634780100,6715,6715,6715,6715,1,7.4
1634780700,6691,6693,6680,6688,14,6.95
1634781000,6700,6700,6700,6700,12,5
1634781300,6696,6699,6695,6696,12,5.3
1634781600,6690,6697,6690,6697,12,5.75
1634781900,6681,6681,6681,6681,1,5.6
1634782200,6690,6690,6688,6688,6,5.35
1634782500,6679,6679,6676,6676,3,5.4
1634782800,6670,6670,6670,6670,1,5.4
1634783100,6680,6690,6680,6689,10,5.85
1634783400,6703,6703,6697,6697,6,6
