time,open,high,low,close,Volume,Volume MA
1620177300,8151,8151,8151,8151,5,NaN
1620178200,8144,8144,8144,8144,1,NaN
1620191100,8124,8124,8124,8124,1,NaN
1620195600,8103,8103,8103,8103,1,NaN
1620197100,8104,8104,8104,8104,1,NaN
1620633000,7861,7861,7861,7861,1,NaN
1620696600,7600,7600,7600,7600,1,NaN
1620696900,7544,7544,7544,7544,1,NaN
1620806400,7819,7819,7819,7819,1,NaN
1620806700,7794,7794,7794,7794,1,NaN
1620956700,7455,7455,7455,7455,1,NaN
1620959100,7477,7477,7477,7477,1,NaN
1620975600,7553,7553,7553,7553,1,NaN
1621300800,7720,7720,7720,7720,1,NaN
1621914900,7930,7930,7930,7930,1,NaN
1621964400,7990,7990,7990,7990,2,NaN
1621992900,8000,8000,8000,8000,8,NaN
1621993200,7990,7990,7990,7990,1,NaN
1622084700,8060,8060,8060,8060,5,NaN
1622095200,8060,8060,8060,8060,1,1.8
1622181000,8008,8008,8008,8008,1,1.6
1622424900,7970,7970,7970,7970,15,2.3
1622437500,7980,7980,7980,7980,1,2.3
1622438400,7970,7970,7970,7970,1,2.3
1622682900,8207,8207,8207,8207,1,2.3
1622698800,8210,8210,8210,8210,1,2.3
1622701500,8188,8188,8188,8188,1,2.3
1623030900,8000,8000,8000,8000,3,2.4
1623306000,7970,7970,7970,7970,1,2.4
1623342000,8003,8003,8003,8003,1,2.4
1623392700,7973,7973,7973,7973,5,2.6
1623720900,7968,7968,7968,7968,1,2.6
1623722400,7880,7880,7880,7880,2,2.65
1623893400,7760,7760,7760,7760,2,2.7
1623910500,7851,7851,7851,7851,1,2.7
1623914700,7869,7869,7869,7869,1,2.65
1623917400,7878,7878,7878,7878,1,2.3
1623980700,8052,8052,8052,8052,1,2.3
1623981900,8023,8023,8023,8023,5,2.3
1624325700,7861,7861,7861,7861,4,2.45
1624326900,7850,7850,7850,7850,1,2.45
1624347300,7818,7818,7816,7816,4,1.9
1624425000,7955,7955,7955,7955,10,2.35
1624430700,8003,8003,8003,8003,2,2.4
1624431300,8003,8003,8003,8003,3,2.5
1624602600,8220,8220,8220,8220,2,2.55
1624609500,8222,8222,8222,8222,1,2.55
