time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1512004500,29457,29462,29444,29444,3,NaN,NaN,-0.7222222222222222
1512004800,29445,29450,29443,29443,7,NaN,29462,-0.2857142857142857
1512005100,29428,29440,29414,29440,6,NaN,29462,0.46153846153846156
1512005400,29402,29434,29398,29404,8,NaN,29456.24,0.05555555555555555
1512005700,29399,29415,29392,29392,58,NaN,29448.0864,-0.30434782608695654
1512006000,29380,29380,29338,29338,5,NaN,29439.112576,-1
1512006300,29301,29301,29240,29240,15,NaN,29420.91231232,-1
1512006600,29267,29352,29264,29342,25,NaN,29384.729849856,0.8522727272727273
1512006900,29357,29383,29354,29379,13,NaN,29240,0.7586206896551724
1512007200,29360,29400,29360,29386,8,NaN,29254.3,0.65
1512007500,29362,29378,29355,29378,14,NaN,29271.784,0.6956521739130435
1512007800,29373,29375,29362,29367,10,NaN,29287.16992,-0.46153846153846156
1512008100,29380,29396,29380,29396,3,NaN,29300.7095296,1
1512008400,29375,29380,29375,29380,3,NaN,29312.624386048,1
1512008700,29383,29388,29380,29385,5,NaN,29323.10945972224,0.25
1512009000,29400,29435,29400,29435,10,NaN,29332.33632455557,1
1512009300,29412,29428,29412,29428,3,NaN,29346.70923911779,1
1512009600,29415,29415,29387,29392,13,NaN,29359.0699456413,-0.8214285714285714
1512009900,29384,29389,29380,29383,9,NaN,29369.700153251517,-0.1111111111111111
1512010200,29377,29422,29372,29422,9,11.35,29435,0.9
1512010500,29417,29418,29417,29418,5,11.45,29428.7,1
1512010800,29384,29384,29384,29384,1,11.15,29423.03,NaN
1512011100,29365,29373,29365,29373,5,11.1,29418,1
1512011400,29368,29368,29328,29328,2,10.8,29411.64,-1
1512011700,29320,29325,29319,29325,3,8.05,29399.9304,0.8333333333333334
1512012000,29350,29365,29350,29365,2,7.9,29386.981536,1
1512012300,29366,29369,29366,29369,2,7.25,29376.10449024,1
1512012600,29360,29360,29360,29360,1,6.05,29369,NaN
1512012900,29359,29359,29350,29350,3,5.55,29369,-1
1512013200,29324,29330,29324,29330,4,5.35,29361,1
1512013800,29333,29333,29333,29333,1,4.7,29359,NaN
1512014100,29338,29345,29338,29345,2,4.3,29352.6,1
1512018000,29370,29382,29370,29382,5,4.4,29319,1
1512018300,29399,29415,29399,29415,6,4.55,29325.3,1
1512018600,29413,29425,29404,29420,9,4.75,29336.064,0.3333333333333333
1512018900,29406,29412,29406,29412,4,4.45,29348.51504,1
1512019200,29407,29407,29395,29395,2,4.4,29359.222934399997,-1
1512019500,29406,29406,29379,29379,8,4.15,29368.431723584,-1
1512019800,29345,29350,29345,29350,2,3.8,29425,1
1512020100,29350,29358,29330,29330,5,3.6,29417,-0.7142857142857143
1512020400,29339,29342,29339,29342,3,3.5,29406.56,1
