time,open,high,low,close,Volume,Volume MA,ParabolicSAR,ATR
1574989800,26605,26605,26605,26605,1,NaN,NaN,NaN
1574990100,26664,26664,26612,26612,3,NaN,26605,NaN
1574990400,26670,26670,26670,26670,2,NaN,26605,NaN
1574990700,26679,26721,26674,26703,7,NaN,26612,NaN
1574991000,26710,26725,26662,26683,7,NaN,26627.26,NaN
1574991300,26675,26706,26669,26682,9,NaN,26642.8984,NaN
1574991600,26675,26675,26561,26561,24,NaN,26725,NaN
1574991900,26555,26570,26550,26563,23,NaN,26708.6,NaN
1574992200,26552,26552,26500,26501,11,NaN,26689.568,NaN
1574992500,26503,26564,26503,26550,14,NaN,26663.02848,NaN
1574992800,26541,26559,26540,26559,4,NaN,26640.2044928,NaN
1574993100,26575,26576,26563,26575,4,NaN,26620.575863808,NaN
1574993400,26587,26587,26568,26577,8,NaN,26603.69524287488,NaN
1574993700,26555,26558,26551,26558,4,NaN,26589.177908872396,44
1574994000,26545,26545,26530,26530,3,NaN,26587,42.857142857142854
1574994300,26525,26527,26509,26526,33,NaN,26574.82,41.295918367346935
1574994600,26517,26524,26500,26524,7,NaN,26564.3452,40.20335276967929
1574994900,26521,26521,26478,26478,11,NaN,26555.336872,40.61739900041648
1574995200,26492,26512,26491,26512,3,NaN,26542.96297248,40.144727643243876
1574995500,26523,26526,26523,26523,3,9.05,26532.5688968832,38.27724709729789
1574995800,26495,26495,26495,26495,2,9.1,26526,37.54315801891947
1574996100,26491,26511,26491,26511,2,9.05,26526,36.290075303282364
1574996400,26509,26509,26472,26481,11,9.5,26518.32,36.48364135304791
1574996700,26489,26500,26489,26495,4,9.35,26511,35.2348098278302
1574997000,26480,26480,26466,26466,9,9.45,26509,34.78946626869947
1574997300,26450,26457,26441,26447,8,9.4,26500.4,34.09021867807808
1574997600,26454,26469,26454,26469,5,8.45,26488.52,33.22663162964393
1574997900,26449,26449,26435,26435,5,7.55,26479.016,33.281872227526506
1574998200,26454,26460,26451,26451,5,7.25,26470.2128,32.69030992556033
1574998500,26436,26440,26432,26440,5,6.8,26463.17024,31.71243064516316
1574998800,26432,26432,26406,26422,7,6.95,26460,31.875828456222933
1574999100,26423,26426,26423,26426,3,6.9,26449.2,29.88469785220701
1574999400,26434,26442,26434,26438,5,6.75,26406,28.892933719906512
1574999700,26442,26442,26442,26442,2,6.65,26409.6,27.11486702562748
1575003600,26440,26440,26423,26430,9,6.95,26412.84,26.535233666654086
1575003900,26420,26430,26420,26425,4,5.5,26415.756,25.354145547607366
1575004200,26420,26420,26407,26418,7,5.5,26442,24.828849437063983
1575004500,26420,26420,26409,26409,3,5.1,26438.5,23.8410744772737
1575004800,26406,26423,26406,26423,3,5.1,26435.35,23.35242630032558
1575005100,26419,26426,26419,26425,7,5.3,26431.827999999998,22.184395850302327
1575005400,26430,26430,26430,26430,2,5.3,26406,20.956939003852163
1575005700,26406,26406,26398,26398,2,5.3,26430,21.74572907500558
1575006000,26400,26400,26400,26400,1,4.8,26430,20.335319855362325
1575006600,26420,26428,26418,26419,6,4.9,26398,20.88279700855073
1575006900,26426,26429,26425,26429,4,4.65,26400,20.105454365082824
1575007200,26435,26435,26435,26435,1,4.3,26403.48,19.097921910434053
1575007800,26402,26402,26401,26401,2,4.15,26435,20.16235605968876
1575008100,26412,26419,26412,26419,4,4.1,26435,20.00790205542528
1575008400,26420,26425,26420,26425,2,3.95,26431.6,19.007337622894905
1575008700,26420,26420,26420,26420,1,3.75,26428.539999999997,18.006813506973838
1575009000,26435,26475,26435,26475,6,3.7,26401,20.64918397076142
1575009300,26478,26478,26456,26456,2,3.65,26408.4,20.745670829992747
1575009600,26447,26452,26447,26452,2,3.5,26416.752,19.90669434213612
1575009900,26440,26442,26433,26435,8,3.8,26424.10176,19.84193046055497
1575010200,26444,26449,26443,26443,5,3.6,26430.569548800002,19.42464971337247
1575010500,26436,26436,26436,26436,1,3.45,26478,18.537174733845866
1575010800,26434,26443,26421,26430,6,3.4,26473.8,18.78451939571402
1575011100,26420,26420,26420,26420,1,3.3,26467.464,18.15705372459159
1575011400,26400,26400,26388,26388,2,3.25,26460.81904,19.14583560140648
1575011700,26400,26400,26398,26398,2,3,26449.1679936,18.63541877273459
1575012000,26419,26419,26406,26406,2,3,26439.381114624,18.804317431824977
1575012300,26405,26418,26402,26418,6,3.2,26431.16013628416,18.604009043837475
1575012600,26428,26433,26428,26433,2,3.25,26388,18.346579826420513
1575013200,26435,26435,26435,26435,1,3,26392.5,17.17896698167619
1575013500,26433,26433,26433,26433,1,2.85,26397.6,16.094755054413604
1575013800,26419,26419,26419,26419,1,2.85,26402.088,15.945129693384061
1575014100,26420,26420,26410,26410,3,2.9,26406.03744,15.520477572428055
1575014400,26413,26413,26413,26413,1,2.75,26409.5129472,14.62615774582605
1575015000,26428,26440,26427,26440,5,2.9,26410,15.51000362112419
1575015900,26439,26450,26404,26408,8,3.25,26450,17.687860505329603
1575018900,26460,26460,26460,26460,1,3,26404,20.138727612091774
1575019200,26462,26468,26462,26467,3,3.05,26404,19.271675639799504
1575020100,26474,26474,26474,26474,1,3,26411.68,18.395127379813825
1575020400,26464,26464,26464,26464,1,2.65,26420.4048,17.795475424112837
1575021000,26465,26465,26465,26465,1,2.45,26427.908128,16.59579860810478
1575024300,26466,26468,26466,26468,2,2.5,26434.36099008,15.624670136097295
1575027000,26490,26490,26490,26490,1,2.25,26439.9104514688,16.080050840661773
1575027600,26488,26488,26488,26488,1,2.25,26447.924779233792,15.074332923471646
1575028800,26490,26498,26490,26498,3,2.3,26454.656814556387,14.711880571795101
1575029700,26477,26477,26477,26477,1,2.25,26462.45858793624,15.161031959524022
1575030600,26485,26485,26485,26485,1,2.2,26468.856042107716,14.649529676700878
1575032400,26478,26478,26478,26478,1,1.95,26474.101954528327,14.103134699793673
1575032700,26477,26477,26474,26474,4,2.05,26498,13.38148222123698
