time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1514510100,29978,29978,29978,29978,1,NaN,NaN,NaN
1514510400,29834,29895,29834,29880,7,NaN,29978,0.7540983606557377
1514511000,29908,29908,29908,29908,1,NaN,29978,NaN
1514511300,29920,29920,29920,29920,2,NaN,29963.6,NaN
1514511600,29921,29921,29915,29915,2,NaN,29950.64,-1
1514511900,29915,29915,29906,29906,2,NaN,29938.976,-1
1514512500,29900,29906,29900,29906,2,NaN,29928.4784,1
1514512800,29860,29860,29860,29860,1,NaN,29919.03056,NaN
1514513400,29866,29866,29866,29866,1,NaN,29910.527503999998,NaN
1514513700,29884,29884,29884,29884,1,NaN,29902.874753599997,NaN
1514514900,29904,29904,29904,29904,1,NaN,29834,NaN
1514515200,29895,29897,29895,29897,4,NaN,29841,1
1514515500,29935,29949,29935,29945,9,NaN,29847.3,0.7142857142857143
1514515800,29955,29955,29950,29951,4,NaN,29859.504,-0.8
1514516100,29962,29965,29962,29965,5,NaN,29872.87344,1
1514516700,29950,29950,29950,29950,1,NaN,29887.6136896,NaN
1514517300,29953,29953,29953,29953,1,NaN,29899.995499263998,NaN
1514518200,29965,29965,29965,29965,1,NaN,29910.396219381757,NaN
1514518500,29963,29963,29963,29963,1,NaN,29919.132824280678,NaN
1514518800,29969,29969,29969,29969,1,2.4,29926.47157239577,NaN
1514519100,29965,29967,29964,29964,6,2.65,29934.126689364533,-0.3333333333333333
1514519400,29980,29980,29980,29980,3,2.45,29940.403885278916,NaN
1514523900,29970,29970,29970,29970,1,2.45,29948.323108223132,NaN
1514524800,29963,29963,29915,29915,5,2.6,29980,-1
1514525100,29918,29918,29918,29918,2,2.6,29973.5,NaN
1514525400,29908,29908,29901,29901,2,2.6,29967.65,-1
1514525700,29901,29901,29900,29901,3,2.65,29959.652000000002,0
1514526000,29915,29915,29915,29915,1,2.65,29951.300720000003,NaN
1514526300,29912,29912,29912,29912,1,2.65,29944.118619200002,NaN
1514527200,29926,29926,29926,29926,1,2.65,29937.942012512,NaN
1514531400,29952,29952,29952,29952,2,2.7,29900,NaN
1514531700,29952,29952,29952,29952,1,2.55,29905.2,NaN
1514532600,29951,29951,29951,29951,2,2.2,29909.88,NaN
1514533200,29930,29930,29930,29930,1,2.05,29914.092,NaN
1514533800,29935,29935,29935,29935,1,1.85,29917.8828,NaN
1514534400,29944,29948,29944,29948,3,1.95,29921.29452,1
1514535600,29900,29900,29893,29893,3,2.05,29952,-1
1514535900,29905,29905,29900,29900,2,2.1,29948,-1
1514547000,29933,29933,29933,29933,1,2.1,29942.5,NaN
1514547900,29936,29936,29936,29936,1,2.1,29937.55,NaN
1514548200,29928,29928,29928,29928,1,1.85,29936,NaN
1514550000,29940,29940,29940,29940,1,1.75,29893,NaN
1514556900,29952,29952,29952,29952,1,1.75,29897.7,NaN
1514558700,29925,29925,29925,29925,2,1.6,29904.216,NaN
1514559300,29915,29915,29915,29915,1,1.55,29909.95008,NaN
1514562000,29925,29925,29925,29925,1,1.5,29914.9960704,NaN
1514562900,29925,29925,29925,29925,1,1.4,29915,NaN
1514565000,29925,29925,29925,29925,1,1.4,29919.44,NaN
1514565600,29927,29927,29927,29927,1,1.4,29923.3472,NaN
1514566200,29943,29943,29943,29943,1,1.4,29925,NaN
1514566500,29951,29951,29951,29951,1,1.35,29927,NaN
1514855700,29976,30005,29976,30005,29,2.75,29930,1
1514856000,30030,30052,30030,30052,3,2.8,29940.5,1
1514856300,30078,30078,30059,30059,6,3.05,29958.34,-1
1514856600,30080,30250,30080,30233,9,3.45,29979.8788,0.9
