time,open,high,low,close,Volume,Volume MA,ParabolicSAR,ATR
1577755200,28313,28313,28313,28313,2,NaN,NaN,NaN
1577755500,28329,28329,28312,28312,3,NaN,28312,NaN
1577755800,28321,28357,28321,28357,3,NaN,28312,NaN
1577756100,28315,28328,28298,28298,3,NaN,28357,NaN
1577756400,28325,28325,28288,28288,5,NaN,28357,NaN
1577756700,28295,28302,28269,28291,12,NaN,28348.72,NaN
1577757000,28274,28274,28274,28274,4,NaN,28337.5592,NaN
1577757300,28254,28254,28254,28254,1,NaN,28327.960912,NaN
1577757600,28291,28292,28285,28285,3,NaN,28316.127166079998,NaN
1577757900,28278,28278,28265,28265,3,NaN,28306.1868195072,NaN
1577758200,28250,28250,28250,28250,1,NaN,28297.83692838605,NaN
1577758500,28271,28271,28271,28271,1,NaN,28289.22628127656,NaN
1577759100,28238,28238,28225,28225,4,NaN,28282.16555064678,NaN
1577759400,28223,28223,28200,28200,4,NaN,28271,28.071428571428573
1577759700,28196,28210,28190,28210,8,NaN,28256.8,27.494897959183675
1577760000,28220,28220,28211,28211,2,NaN,28243.44,26.245262390670554
1577760600,28217,28223,28217,28223,2,NaN,28232.752,25.227743648479798
1577760900,28215,28215,28213,28213,2,NaN,28224.2016,24.140047673588384
1577761200,28208,28208,28179,28179,6,NaN,28223,24.844329982617783
1577761500,28175,28180,28175,28178,4,3.65,28215,23.426877841002227
1577761800,28198,28198,28190,28190,7,3.9,28208,23.182100852359213
1577762100,28200,28220,28200,28220,3,3.9,28175,23.66909364861927
1577762400,28218,28240,28218,28235,8,4.15,28179.5,23.549872673717893
1577762700,28227,28228,28220,28221,4,4.2,28186.76,22.939167482738043
1577763000,28231,28231,28215,28215,4,4.15,28193.1488,22.44351266254247
1577763900,28222,28225,28222,28225,3,3.7,28198.770944,21.554690329503725
1577764200,28233,28250,28233,28250,5,3.75,28203.71843072,21.800783877396317
1577764500,28253,28255,28248,28255,35,5.45,28210.1978504192,20.743585029010866
1577764800,28240,28249,28240,28249,4,5.5,28217.36619435213,20.33332895551009
1577765400,28236,28236,28215,28215,4,5.55,28255,21.309519744402227
1577765700,28225,28225,28225,28225,1,5.55,28251,20.501696905516354
