time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1511542200,30039,30039,30039,30039,1,NaN,NaN,NaN
1511745300,29955,29955,29875,29880,11,NaN,30039,-0.9375
1511745600,29890,29890,29870,29870,2,NaN,30039,-1
1511745900,29850,29860,29850,29860,3,NaN,30018.72,1
1511746200,29845,29850,29800,29800,18,NaN,29995.0992,-0.9
1511746500,29759,29830,29759,29830,6,NaN,29963.883328,1
1511746800,29804,29804,29732,29751,10,NaN,29927.00432896,-0.7361111111111112
1511747100,29736,29768,29710,29757,8,NaN,29888.003463168,0.3620689655172414
1511747400,29730,29730,29730,29730,4,NaN,29852.402770534398,NaN
1511747700,29743,29770,29743,29770,2,NaN,29823.92221642752,1
1511748000,29750,29750,29730,29730,5,NaN,29801.137773142014,-1
1511748300,29725,29740,29700,29728,7,NaN,29782.91021851361,0.075
1511748600,29672,29672,29672,29672,1,NaN,29766.32817481089,NaN
1511748900,29674,29712,29670,29712,5,NaN,29747.46253984871,0.9047619047619048
1511749200,29750,29750,29748,29748,2,NaN,29670,-1
1511749500,29750,29750,29744,29745,3,NaN,29670,-0.8333333333333334
1511749800,29754,29762,29754,29762,2,NaN,29678,1
1511750400,29733,29737,29733,29737,2,NaN,29688.08,1
1511750700,29769,29803,29769,29803,6,NaN,29696.9504,1
1511751000,29791,29791,29785,29785,4,5.1,29711.797344000002,-1
1511751900,29740,29740,29740,29740,1,5.1,29724.565715840003,NaN
1511752200,29720,29720,29720,29720,1,4.6,29803,NaN
1511753700,29780,29780,29780,29780,4,4.7,29794.7,NaN
1511754600,29755,29755,29755,29755,1,4.6,29787.23,NaN
1511758800,29756,29756,29730,29730,2,3.8,29780.506999999998,-1
1511759100,29745,29747,29745,29747,23,4.65,29774.456299999998,1
1511759700,29752,29752,29752,29752,1,4.2,29769.01067,NaN
1511760000,29750,29750,29750,29750,1,3.85,29764.109603,NaN
1511760300,29745,29745,29745,29745,1,3.7,29759.6986427,NaN
1511760600,29727,29727,29700,29700,3,3.75,29755.728778430002,-1
1511761200,29700,29710,29700,29710,2,3.6,29749.041325018403,1
1511761500,29692,29726,29692,29726,2,3.35,29743.156366016196,1
1511761800,29719,29752,29719,29752,4,3.5,29692,1
1511762700,29700,29700,29700,29700,1,3.3,29692,NaN
1511763600,29697,29697,29685,29685,2,3.3,29752,-1
1511764200,29705,29705,29688,29688,2,3.25,29745.3,-1
1511764500,29678,29678,29673,29673,2,3.25,29739.27,-1
1511764800,29683,29683,29683,29683,1,3.2,29731.317600000002,NaN
1511765100,29705,29712,29705,29712,2,3,29724.319488,1
1511765700,29740,29750,29740,29750,2,2.9,29673,1
1511766000,29765,29769,29765,29769,2,2.95,29680.7,1
1511766600,29750,29750,29742,29742,5,3.15,29691.296000000002,-1
1511766900,29747,29754,29747,29754,4,3.15,29700.62048,1
1511767200,29760,29760,29760,29760,1,3.15,29708.8260224,NaN
1511767500,29738,29751,29738,29751,3,3.2,29716.046899712,1
1511767800,29747,29753,29747,29753,2,2.15,29722.40127174656,1
1511768700,29746,29746,29746,29746,1,2.15,29727.993119136972,NaN
1511769000,29741,29741,29739,29739,2,2.2,29732.913944840537,-1
1511769600,29745,29745,29745,29745,1,2.2,29737.244271459673,NaN
1511769900,29751,29751,29751,29751,1,2.1,29739,NaN
1511770200,29761,29780,29761,29780,6,2.3,29742.6,1
1511770500,29775,29786,29775,29786,5,2.45,29747.836,1
1511770800,29794,29794,29794,29794,1,2.3,29753.94224,NaN
1511771100,29794,29806,29794,29799,6,2.55,29761.1526368,0.4166666666666667
1511774100,29821,29822,29821,29822,2,2.55,29770.122109440003,1
1511775000,29823,29823,29823,29823,1,2.5,29780.497687552,NaN
1511775600,29821,29821,29821,29821,2,2.5,29788.9981500416,NaN
1511776200,29856,29856,29856,29856,1,2.5,29795.79852003328,NaN
1511777100,29852,29852,29852,29852,1,2.45,29807.838816026626,NaN
1511777400,29842,29842,29839,29839,2,2.45,29817.4710528213,-1
1511777700,29843,29843,29843,29843,1,2.4,29825.17684225704,NaN
1511779500,29861,29861,29861,29861,1,2.2,29831.34147380563,NaN
1511780100,29871,29871,29871,29871,2,2.1,29837.273179044503,NaN
1511781300,29873,29875,29872,29872,4,2.25,29844.0185432356,-0.3333333333333333
1511781600,29870,29870,29870,29870,1,2.15,29850.21483458848,NaN
1511782500,29857,29858,29854,29855,5,2.3,29875,-0.5
