time,open,high,low,close,Volume,Volume MA,ParabolicSAR,ATR
1544201700,26150,26153,26148,26149,6,NaN,NaN,NaN
1544404200,25900,25900,25900,25900,9,NaN,26153,NaN
1544404500,25800,25872,25800,25872,25,NaN,26153,NaN
1544404800,25843,25843,25736,25740,23,NaN,26110.64,NaN
1544405100,25778,25806,25778,25800,9,NaN,26058.1904,NaN
1544405400,25833,25865,25798,25865,14,NaN,26013.083744,NaN
1544405700,25856,25856,25784,25784,7,NaN,25974.29201984,NaN
1544406000,25769,25795,25768,25794,10,NaN,25940.9311370624,NaN
1544406300,25801,25822,25801,25819,5,NaN,25912.240777873663,NaN
1544406600,25799,25811,25799,25800,4,NaN,25887.56706897135,NaN
1544406900,25770,25771,25707,25738,19,NaN,25866.347679315364,NaN
1544407200,25700,25757,25700,25744,11,NaN,25840.852050624904,NaN
1544407500,25725,25731,25720,25723,7,NaN,25815.49868151242,NaN
1544407800,25713,25723,25687,25717,13,NaN,25794.708918840184,70.64285714285714
1544408100,25690,25718,25680,25680,7,NaN,25773.167135072148,68.31122448979592
1544408400,25678,25681,25658,25666,12,NaN,25754.53370805772,65.0747084548105
1544408700,25640,25662,25620,25620,4,NaN,25735.226966446175,63.7122292794669
1544409000,25628,25629,25628,25629,2,NaN,25712.18157315694,59.80421290236212
1544409300,25600,25608,25600,25608,6,NaN,25693.745258525552,57.60391198076483
1544409600,25600,25607,25600,25605,11,10.2,25674.99620682044,54.0607754107102
1544409900,25630,25671,25630,25671,9,10.35,25600,54.91357716708804
1544410200,25690,25690,25680,25690,5,10.15,25600,52.348321655153185
1544410500,25665,25678,25665,25678,2,9,25610.8,50.39487010835653
1544411100,25630,25648,25630,25648,4,8.05,25620.304,50.22380795775963
1544411400,25629,25629,25612,25612,7,7.95,25690,49.20782167506252
1544411700,25627,25635,25627,25628,8,7.65,25682.2,47.33583441255805
1544412000,25643,25660,25643,25659,4,7.5,25675.18,46.2404176688039
1544412300,25650,25661,25643,25661,3,7.15,25668.862,44.22324497817505
