time,open,high,low,close,Volume,Volume MA,ParabolicSAR,ATR
1241183400,14863,14863,14863,14863,1,NaN,NaN,NaN
1551316500,28769,28769,28698,28698,9,NaN,14863,NaN
1551316800,28699,28703,28680,28695,27,NaN,14863,NaN
1551317100,28699,28711,28675,28700,13,NaN,16253.6,NaN
1551317400,28711,28770,28711,28770,13,NaN,17505.14,NaN
1551317700,28770,28777,28705,28705,11,NaN,18856.9232,NaN
1551318000,28720,28750,28720,28730,10,NaN,20245.733952000002,NaN
1551318300,28740,28765,28737,28737,12,NaN,21440.111198720002,NaN
1551318600,28765,28790,28765,28767,10,NaN,22467.275630899203,NaN
1551318900,28776,28835,28776,28835,12,NaN,23478.91152995533,NaN
1551319200,28836,28836,28793,28800,6,NaN,24443.007454563372,NaN
1551319500,28830,28850,28830,28839,7,NaN,25321.605963650698,NaN
1551319800,28860,28907,28850,28907,16,NaN,26027.28477092056,NaN
1551320100,28910,28910,28885,28885,20,NaN,26603.22781673645,1035.2857142857142
1551320400,28903,28908,28866,28891,67,NaN,27064.58225338916,964.3367346938775
1551320700,28893,28921,28893,28905,5,NaN,27433.665802711326,897.5983965014576
1551321000,28899,28899,28872,28872,8,NaN,27731.13264216906,835.8413681799249
1551321300,28884,28884,28884,28884,1,NaN,27969.106113735248,776.9955561670731
1551321600,28918,28918,28910,28910,4,NaN,28159.4848909882,723.9244450122821
1551321900,28928,28944,28896,28903,9,13.05,28311.787912790558,675.6441275114048
1551322200,28890,28923,28890,28914,13,13.65,28438.230330232447,629.7409755463044
1551322500,28912,28912,28879,28879,4,13.4,28539.38426418596,587.259477292997
1551322800,28865,28883,28865,28880,3,12.2,28620.307411348767,546.5980860577829
1551323100,28855,28855,28834,28834,7,11.9,28685.045929079013,510.8410799107984
1551323400,28827,28845,28827,28827,5,11.5,28736.83674326321,475.63814563145564
1551323700,28828,28828,28776,28790,12,11.55,28944,445.37827808635166
1551324000,28780,28812,28780,28812,3,11.2,28927.2,415.8512582230408
1551324300,28805,28825,28805,28825,4,10.8,28912.08,387.57616834996645
1551325200,28804,28807,28797,28797,5,10.55,28898.472,361.8921563249688
1551325500,28805,28805,28805,28805,1,10,28886.2248,336.61414515889965
1551326100,28821,28821,28813,28820,7,10.05,28875.20232,313.7131347904068
