time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1582852500,26302,26302,26212,26237,16,NaN,NaN,-0.7222222222222222
1582852800,26199,26199,26059,26066,30,NaN,26302,-0.95
1582853100,26060,26060,26015,26039,22,NaN,26302,-0.4666666666666667
1582853400,26071,26182,26071,26180,15,NaN,26267.56,0.9819819819819819
1582853700,26153,26200,26150,26183,13,NaN,26237.252800000002,0.6
1582854000,26184,26223,26180,26200,18,NaN,26015,0.37209302325581395
1582854300,26250,26308,26249,26302,21,NaN,26035.8,0.8813559322033898
1582854600,26302,26302,26242,26242,10,NaN,26068.464,-1
1582854900,26248,26290,26222,26282,13,NaN,26097.20832,0.5
1582855200,26262,26268,26234,26234,11,NaN,26122.5033216,-0.8235294117647058
1582855500,26219,26240,26219,26240,5,NaN,26144.762923008002,1
1582855800,26208,26300,26208,26300,7,NaN,26164.35137224704,1
1582856100,26292,26301,26230,26230,11,NaN,26181.589207577395,-0.8732394366197183
1582856400,26234,26245,26212,26212,4,NaN,26196.758502668108,-0.6666666666666666
1582856700,26205,26206,26159,26169,16,NaN,26308,-0.7659574468085106
1582857000,26141,26146,26114,26139,6,NaN,26293.1,-0.0625
1582857300,26129,26129,26110,26117,3,NaN,26271.608,-0.631578947368421
1582857600,26139,26139,26113,26119,9,NaN,26248.98288,-0.7692307692307693
1582857900,26100,26109,26080,26109,6,NaN,26229.5252768,0.3103448275862069
1582858200,26129,26146,26110,26144,11,12.35,26205.601232512,0.4166666666666667
1582858500,26102,26110,26088,26091,8,11.95,26185.505035310078,-0.5
1582858800,26080,26080,26058,26058,18,11.35,26168.624229660465,-1
1582859100,26072,26072,26040,26072,24,11.45,26148.71186832158,0
1582859400,26061,26078,26038,26038,7,11.05,26126.969494657264,-0.575
1582859700,26047,26047,26025,26025,8,10.8,26109.17559572581,-1
1582860000,26002,26013,25976,25976,21,10.95,26092.340476580648,-0.7027027027027027
1582860300,25966,25991,25966,25991,7,10.25,26069.07238126452,1
1582860600,25967,25997,25955,25997,17,10.6,26048.457905011615,0.7142857142857143
1582860900,26003,26090,26003,26064,12,10.55,25955,0.7011494252873564
1582861200,26048,26048,26036,26041,7,10.35,25955,-0.5833333333333334
1582861500,26048,26048,26040,26040,3,10.25,25968.5,-1
1582861800,26052,26075,26052,26075,15,10.65,25980.65,1
1582862100,26066,26116,26066,26116,9,10.55,25991.585000000003,1
1582865700,26110,26110,26110,26110,1,10.4,26006.5148,NaN
1582866000,26068,26076,26019,26029,16,10.4,26116,-0.6842105263157895
1582866300,25994,26000,25981,25990,13,10.75,26110,-0.21052631578947367
