time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1522286100,30095,30096,30095,30096,2,NaN,NaN,1
1522286400,29935,29953,29935,29953,2,NaN,30096,1
1522286700,29950,29977,29950,29977,2,NaN,30096,1
1522287000,29963,29963,29963,29963,1,NaN,30079.9,NaN
1522287300,29860,29869,29838,29838,6,NaN,30065.41,-0.7096774193548387
1522287600,29777,29777,29722,29722,6,NaN,30038.1208,-1
1522287900,29720,29723,29671,29671,13,NaN,29993.863888,-0.9423076923076923
1522288200,29669,29694,29658,29688,8,NaN,29942.20566592,0.5277777777777778
1522288500,29691,29723,29638,29638,17,NaN,29891.048646054398,-0.6235294117647059
1522288800,29600,29632,29580,29607,19,NaN,29840.43891684352,0.1346153846153846
1522289100,29623,29653,29613,29613,5,NaN,29788.351133474815,-0.25
1522289400,29628,29628,29580,29600,4,NaN,29746.680906779853,-0.5833333333333334
1522289700,29606,29649,29605,29649,3,NaN,29713.34472542388,0.9772727272727273
1522290000,29643,29669,29643,29654,3,NaN,29686.675780339105,0.4230769230769231
1522290300,29621,29621,29600,29619,5,NaN,29669,-0.09523809523809523
1522290600,29633,29674,29633,29654,4,NaN,29580,0.5121951219512195
1522290900,29679,29700,29679,29700,3,NaN,29589.4,1
1522291200,29713,29730,29713,29730,5,NaN,29602.672000000002,1
1522291500,29755,29805,29755,29805,8,NaN,29620.49792,1
1522291800,29825,29825,29789,29789,4,6,29650.0182528,-1
1522292100,29787,29787,29754,29754,4,6.1,29681.514967296,-1
1522292400,29784,29784,29736,29736,3,6.15,29707.34227318272,-1
1522292700,29744,29775,29744,29775,4,6.25,29728.52066400983,1
1522293000,29735,29735,29735,29735,1,6.25,29825,NaN
1522293300,29718,29718,29650,29650,20,6.95,29816,-1
1522293600,29653,29670,29652,29659,22,7.75,29796.08,0.3333333333333333
1522293900,29664,29682,29664,29678,10,7.6,29778.5504,0.7777777777777778
1522294200,29703,29703,29703,29703,1,7.25,29763.124352,NaN
1522294500,29668,29670,29668,29670,2,6.5,29749.549429759998,1
1522294800,29694,29694,29694,29694,1,5.6,29737.603498188797,NaN
1522295100,29702,29708,29702,29705,12,5.95,29727.09107840614,0.5
1522295400,29725,29742,29725,29742,4,5.95,29650,1
1522299600,29700,29722,29700,29722,25,7.05,29659.2,1
1522299900,29742,29761,29742,29750,9,7.35,29667.48,0.42105263157894735
1522300500,29755,29776,29755,29776,2,7.2,29678.7024,1
1522300800,29789,29789,29778,29778,4,7.2,29692.324064,-1
1522301100,29747,29766,29747,29766,2,7.15,29707.79221376,1
1522301400,29812,29856,29812,29843,12,7.5,29720.7854595584,0.7045454545454546
1522301700,29880,29880,29854,29854,2,7.2,29745.12407683789,-1
1522302000,29856,29903,29856,29897,32,8.6,29772.09926147031,0.8723404255319149
1522302300,29894,29932,29894,29930,34,10.1,29798.279409176248,0.9473684210526315
1522302600,29900,29900,29844,29844,7,10.3,29825.023527341,-1
1522302900,29850,29850,29850,29850,1,10.15,29844,NaN
1522303200,29872,29872,29872,29872,1,10.15,29844,NaN
1522303500,29890,29890,29890,29890,1,9.2,29850,NaN
1522303800,29907,29921,29907,29920,3,8.25,29866.4,0.9285714285714286
1522304100,29913,29929,29903,29929,11,8.3,29879.52,0.6153846153846154
1522304400,29915,29950,29913,29950,9,8.7,29890.016,0.9459459459459459
1522304700,29966,29966,29954,29963,3,8.75,29902.0128,-0.25
1522305000,29961,29965,29953,29953,4,8.9,29913,-0.6666666666666666
1522305300,29976,30020,29976,30015,16,9.1,29923.6,0.8863636363636364
1522305600,30000,30003,29959,29959,8,9.3,29942.879999999997,-0.9318181818181818
1522305900,29948,29948,29895,29922,22,9.15,30020,-0.49056603773584906
1522306200,29921,29921,29870,29870,4,8.9,30007.5,-1
1522306500,29867,29867,29855,29855,3,8.95,29991,-1
1522306800,29876,29876,29876,29876,1,8.8,29971.96,NaN
1522307100,29930,29930,29930,29930,1,8.75,29955.5856,NaN
1522307400,29880,29880,29880,29880,1,8.2,29941.503615999998,NaN
1522308300,29850,29861,29831,29861,18,9,29930,0.36666666666666664
1522308900,29888,29901,29888,29901,6,7.7,29914.16,1
1522309500,29913,29913,29913,29913,1,6.05,29831,NaN
1522309800,29919,29919,29919,29919,1,5.75,29839.2,NaN
1522310100,29887,29887,29887,29887,1,5.75,29848.776,NaN
1522310400,29854,29854,29854,29854,2,5.8,29919,NaN
1522310700,29844,29865,29792,29822,21,6.8,29912.5,-0.3013698630136986
1522311000,29843,29843,29843,29843,1,6.7,29898.04,NaN
1522311600,29860,29870,29860,29870,2,6.25,29885.3152,1
1522311900,29865,29865,29865,29865,1,5.85,29874.117376000002,NaN
1522718100,29666,29755,29666,29710,17,6.55,29870,0.4943820224719101
1522718400,29744,29757,29736,29745,7,6.7,29865,0.047619047619047616
1522718700,29738,29744,29700,29717,10,6.4,29837.14,-0.4772727272727273
1522719000,29730,29770,29720,29735,16,6.8,29813.1804,0.1
1522719300,29742,29789,29742,29789,5,5.95,29792.575144000002,1
1522719600,29770,29800,29770,29799,12,6.35,29666,0.9666666666666667
1522719900,29750,29764,29750,29760,4,6.4,29679.4,0.7142857142857143
1522720200,29745,29747,29740,29740,4,6.55,29691.460000000003,-0.7142857142857143
1522720500,29700,29700,29650,29651,11,7.05,29800,-0.98
1522720800,29650,29650,29650,29650,1,7.05,29785,NaN
1522721100,29623,29623,29592,29604,23,7.3,29771.5,-0.6129032258064516
1522721400,29590,29639,29590,29617,13,7.65,29749.96,0.5510204081632653
1522721700,29658,29660,29658,29660,2,7.7,29727.565599999998,1
1522722000,29610,29610,29600,29600,2,7.75,29708.306416,-1
1522722600,29600,29600,29591,29600,4,7.9,29691.74351776,0
1522722900,29640,29659,29640,29650,3,7.95,29677.4994252736,0.5263157894736842
1522723200,29658,29723,29658,29719,4,7.1,29590,0.9384615384615385
1522723500,29760,29760,29706,29706,8,7.45,29603.3,-1
1522723800,29700,29714,29700,29711,3,7.5,29622.104,0.7857142857142857
1522724100,29666,29684,29666,29684,2,7.55,29638.65152,1
1522724400,29727,29751,29727,29751,5,6.95,29653.2133376,1
1522724700,29740,29740,29732,29732,2,6.7,29666,-1
1522725000,29739,29743,29688,29688,5,6.45,29677.28,-0.9272727272727272
1522725300,29730,29730,29730,29730,1,5.7,29687.2064,NaN
1522725600,29714,29750,29714,29750,5,5.7,29688,1
1522726200,29713,29735,29700,29700,13,5.75,29696.64,-0.37142857142857144
1522726500,29720,29732,29720,29730,3,5.7,29700,0.8333333333333334
1522726800,29701,29704,29695,29695,7,5.85,29760,-0.6666666666666666
1522727400,29719,29719,29719,29719,1,5.35,29753.5,NaN
1522727700,29725,29725,29721,29721,2,5.4,29747.65,-1
