time,open,high,low,close,Volume,Volume MA,ParabolicSAR,ATR
1244054400,17686,17686,17686,17686,1,NaN,NaN,NaN
1553822100,28658,28658,28658,28658,1,NaN,17686,NaN
1553822400,28649,28650,28649,28649,10,NaN,17686,NaN
1553822700,28650,28652,28633,28650,8,NaN,18783.2,NaN
1553823000,28638,28660,28638,28660,3,NaN,19770.68,NaN
1553823300,28661,28678,28661,28678,2,NaN,20837.398400000002,NaN
1553823600,28698,28720,28670,28670,10,NaN,21935.082624000002,NaN
1553823900,28672,28672,28660,28660,4,NaN,23020.669404160002,NaN
1553824500,28666,28666,28666,28666,1,NaN,23932.562299494402,NaN
1553824800,28622,28622,28595,28595,5,NaN,24698.552331575298,NaN
1553825100,28634,28678,28634,28678,4,NaN,25341.98395852325,NaN
1553825400,28685,28695,28683,28695,5,NaN,25882.466525159532,NaN
1553825700,28693,28729,28693,28728,4,NaN,26336.471881134006,NaN
1553826000,28750,28761,28746,28750,7,NaN,26767.126942529885,810.5714285714286
1553826300,28775,28820,28775,28820,103,NaN,27165.90155402391,757.6734693877551
1553826600,28796,28815,28780,28780,6,NaN,27496.721243219126,706.4110787172011
1553826900,28783,28795,28780,28795,5,NaN,27761.3769945753,657.0245730945438
1553827200,28800,28800,28770,28798,4,NaN,27973.101595660242,612.2371035877907
1553827500,28798,28805,28790,28790,13,NaN,28142.481276528193,569.577310474377
1553827800,28802,28818,28800,28818,7,10.15,28277.985021222554,530.8932168690643
1553828100,28830,28857,28826,28857,7,10.45,28386.388016978042,495.75798709270254
1553828400,28880,28880,28860,28866,6,10.7,28480.510413582433,461.98955944322375
1553828700,28866,28889,28864,28886,7,10.55,28560.408330865946,430.7760194829935
1553829000,28886,28888,28868,28871,4,10.35,28626.126664692758,401.4348752342083
1553829300,28889,28889,28852,28852,4,10.4,28678.701331754208,375.4038127174791
1553829600,28869,28869,28852,28852,6,10.6,28720.761065403367,349.8035403805164
1553829900,28888,28888,28888,28888,2,10.2,28754.408852322693,327.38900178190806
1553830200,28872,28872,28858,28858,2,10.1,28781.327081858155,306.1469302260575
1553830500,28853,28853,28848,28848,3,10.2,28802.861665486525,284.9935780670534
1553830800,28853,28861,28853,28861,7,10.3,28820.08933238922,265.56546534797815
1553831100,28841,28842,28841,28842,2,10.2,28833.871465911376,248.0250749659797
1553831400,28849,28849,28840,28840,8,10.35,28889,230.95185532555257
1553831700,28830,28832,28830,28832,5,10.4,28884.1,215.16957994515596
1553835600,28858,28871,28858,28869,12,10.65,28877.608,202.58603852050194
1553835900,28872,28875,28869,28875,9,5.95,28830,188.54417862618038
1553836500,28865,28865,28863,28863,2,5.75,28834.5,175.93388015288178
1553836800,28871,28887,28871,28887,7,5.85,28838.55,165.08146014196168
1553837100,28885,28885,28874,28874,7,6,28844.363999999998,154.21849870325013
1553837400,28885,28888,28885,28888,2,5.45,28849.48032,144.20289165301799
1553837700,28890,28912,28889,28912,12,5.7,28854.873075199997,135.61697082065956
1553838000,28898,28927,28898,28905,7,5.7,28864.013383168,128.00147290489818
1553838300,28900,28900,28896,28896,2,5.5,28875.35097419776,119.50136769740546
1553838600,28915,28915,28903,28905,6,5.45,28884.647798842165,112.32269857616221
1553838900,28905,28923,28905,28923,5,5.5,28892.271195050576,105.5853629635792
1553839200,28923,28923,28918,28918,3,5.45,28898.522379941474,98.4006941804664
1553839500,28900,28904,28892,28904,5,5.4,28927,93.2292160247188
1553839800,28891,28891,28891,28891,1,5.35,28923.5,87.49855773723888
1553840100,28898,28898,28898,28898,1,5.3,28919.6,81.74866075600754
1553840400,28916,28944,28916,28944,4,5.35,28891,79.19518498772129
1553840700,28947,28951,28945,28951,12,5.6,28896.3,74.03838606002692
1553841000,28954,28961,28942,28942,48,7.9,28902.863999999998,70.107072770025
1553841300,28936,28936,28936,28936,2,7.6,28911.00304,65.52799614359465
1553841600,28920,28920,28917,28917,2,7.45,28961,62.2045678476236
1553841900,28923,28925,28923,28925,4,7.05,28956.6,58.33281300136478
1553842500,28900,28900,28900,28900,1,6.65,28952.64,55.95189778698158
1553842800,28900,28916,28900,28916,3,6.7,28946.3232,53.09819080219718
1553843100,28910,28910,28910,28910,1,6.4,28940.764415999998,49.73403431632595
1553843400,28932,28936,28932,28936,5,6.3,28900,48.0387461508741
1553844000,28918,28918,28918,28918,1,6.25,28903.6,45.893121425811664
1553844300,28927,28930,28925,28925,4,5.85,28906.84,43.47218418111083
1553844600,28948,28948,28948,28948,1,5.55,28909.756,42.00988531103149
1553844900,28950,28950,28950,28950,3,5.6,28914.34528,39.15203636024353
1553845500,28943,28945,28943,28945,3,5.45,28919.3369408,36.85546233451185
1553846100,28942,28942,28930,28930,5,5.45,28923.629769088,35.29435788204672
1553846400,28925,28929,28925,28929,3,5.45,28950,33.13047517618624
1553846700,28911,28998,28911,28998,18,6.1,28911,36.978298377887214
1553847000,28967,28967,28928,28928,9,6.5,28911,39.33699135089527
1553847300,28925,28925,28889,28889,6,6.75,28998,39.312920540117034
1553847600,28893,28905,28893,28903,5,6.8,28987.1,37.64771193010868
1553847900,28899,28899,28880,28880,4,6.4,28977.289999999997,36.60144679224378
1553850900,28876,28876,28848,28865,7,4.35,28965.615199999997,36.27277202136922
1553851200,28870,28870,28853,28853,2,4.35,28949.149071999997,34.89614544841428
1553851500,28876,28876,28873,28873,2,4.35,28934.988201919998,34.046420773527544
1553853000,28862,28862,28862,28862,1,4.2,28922.809853651197,32.40024786113272
1553853900,28850,28850,28850,28850,1,4.2,28912.33647414003,30.94308729962324
1553854500,28843,28843,28840,28840,3,4.2,28903.329367760423,29.447152492507293
1553856000,28843,28843,28841,28841,3,4.3,28893.196668918754,27.558070171613913
1553856300,28855,28855,28855,28855,1,4.1,28884.685201891753,26.589636587927206
1553857800,28898,28898,28890,28890,2,4.15,28840,27.761805403075265
1553858100,28898,28898,28898,28898,1,4,28845.8,26.350247874284175
1553859000,28900,28900,28900,28900,1,4,28851.02,24.61094445469245
1553859900,28912,28912,28912,28912,2,3.95,28856.8976,23.710162707928703
1553860500,28914,28914,28914,28914,1,3.85,28864.611936,22.15943680021951
1553861100,28921,28921,28921,28921,1,3.65,28872.514026240002,21.076619885918117
1553862900,28912,28912,28912,28912,1,3.55,28881.2415015168,20.21400417978111
1553863500,28930,28930,28930,28930,1,2.7,28888.398031243778,20.055861024082457
1553863800,28933,28934,28933,28934,3,2.4,28896.718424995022,18.909013808076566
1553864100,28930,28938,28930,28938,10,2.6,28904.17473999602,18.129798536071096
1553864400,28942,28949,28942,28949,2,2.45,28910.939791996814,17.62052721206602
1553865300,28935,28935,28935,28935,3,2.4,28918.551833597452,17.361918125489876
1553865900,28950,28950,28950,28950,1,2.1,28924.64146687796,17.193209687954884
1553866200,28971,28971,28931,28931,4,2.2,28929.71317350237,18.822266138815248
1553866500,28930,28930,28907,28907,8,2.5,28971,19.192104271757014
1553866800,28896,28908,28896,28908,7,2.8,28971,18.678382538060085
1553867400,28908,28908,28908,28908,1,2.8,28962,17.34421235677008
1553868300,28950,28950,28946,28946,3,2.8,28954.08,19.105340045572216
1553869800,28932,28936,28922,28922,3,2.8,28950,19.454958613745628
1553870100,28917,28923,28917,28923,2,2.85,28950,18.493890141335225
1553870400,28908,28908,28869,28869,9,3.2,28943.52,21.030040845525566
1553870700,28878,28878,28878,28878,1,3.2,28933.0872,20.17075221370231
1553871000,28852,28852,28852,28852,3,3.3,28924.114992000003,20.587127055580716
1553871600,28900,28912,28900,28912,5,3.45,28912.576593280002,23.40233226589638
1553871900,28912,28912,28912,28912,1,3.45,28852,21.730737104046636
1553872200,28920,28920,28920,28920,1,3.45,28858,20.7499701680433
1553872500,28922,28922,28922,28922,1,3.45,28865.44,19.410686584611636
1553872800,28923,28923,28923,28923,1,3.45,28873.358399999997,18.095637542853662
1553873100,28927,28927,28927,28927,1,3.35,28881.301055999997,17.088806289792686
1553873400,28939,28942,28935,28935,4,3.05,28889.526865919997,16.93960584052178
1553874900,28932,28932,28932,28932,1,3,28900.021492736,15.943919709055937
1553876100,28915,28921,28915,28915,3,3,28908.417194188798,16.019354015551944
1553876400,28924,28924,28924,28924,1,3,28915,15.517971585869661
1553876700,28932,28932,28932,28932,2,2.9,28915,14.980973615450399
1553877000,28955,28955,28955,28955,2,2.6,28920.4,15.553761214346798
1553877900,28957,28957,28957,28957,2,2.35,28927.32,14.585635413322025
1553878500,28961,28971,28961,28971,9,2.75,28933.256,14.543804312370453
1554081000,29365,29365,29365,29365,8,3,28940.8048,41.64781829005828
1554081300,29286,29286,29197,29228,37,4.7,28961,50.67297412648269
1554081600,29229,29229,29197,29197,7,4.95,29041.8,49.33919026030536
1554081900,29210,29333,29210,29333,15,5.25,29106.44,55.52924809885497
1554082200,29287,29310,29281,29306,26,6.5,29158.152,55.27715894893676
1554082500,29304,29334,29292,29328,17,7.2,29199.5216,54.32879045258414
1554082800,29357,29358,29314,29340,11,7.5,29232.61728,53.591019705970986
1554083100,29365,29388,29341,29363,21,8.5,29259.093824,53.19166115554449
1554083400,29378,29400,29350,29354,11,9,29284.8750592,52.96368535871988
1554083700,29353,29382,29353,29382,8,9.35,29307.90004736,51.251993547382746
1554084000,29320,29322,29300,29300,18,10.2,29400,53.448279722569694
1554084300,29290,29309,29280,29309,9,10.6,29390,51.70197402810043
1554084600,29321,29398,29321,29393,12,11,29280,54.36611874037897
1554084900,29396,29420,29349,29350,18,11.85,29280,55.55425311606619
1554085200,29347,29347,29342,29345,4,11.9,29296.8,52.15752075063289
1554085500,29374,29392,29370,29392,7,12.2,29311.584,51.78912641130197
1554085800,29400,29411,29380,29380,5,12.35,29324.59392,50.304188810494686
1554086100,29402,29413,29390,29390,3,12.4,29336.0426496,49.06817532403078
1554086400,29409,29409,29400,29406,3,12.45,29346.117531648,46.92044851517144
1554086700,29413,29444,29410,29437,11,12.55,29354.98342785024,46.28327362123061
1554087000,29440,29455,29440,29449,17,13,29367.445747951206,44.26303979114271
1554087300,29444,29444,29411,29411,5,11.4,29381.454428279012,43.81567980606109
1554087600,29390,29408,29380,29408,7,11.4,29455,42.90027410562816
1554087900,29412,29412,29367,29367,7,11,29447.5,43.05025452665472
1554088200,29375,29375,29366,29366,2,9.8,29437.84,40.618093489036525
1554088500,29399,29399,29399,29399,1,9,29427.7824,40.073943954105346
1554088800,29402,29406,29400,29400,3,8.6,29419.132864,37.71151938595496
1554089100,29396,29396,29378,29378,3,7.7,29411.69426304,36.589268001243894
1554089400,29377,29377,29357,29357,6,7.45,29406,35.475748858297905
1554089700,29362,29368,29362,29368,3,7.2,29398.16,33.7274810827052
1554090000,29355,29355,29345,29345,3,6.45,29391.5744,32.96123243394054
1554090300,29369,29369,29361,29367,6,6.3,29383.191008,32.32114440294479
1554090900,29362,29362,29362,29362,2,5.8,29376.31662656,30.36963408844873
1554094800,29361,29372,29354,29372,31,6.45,29345,29.486088796416677
1554095100,29343,29343,29340,29340,4,6.45,29372,29.665653882386916
1554095400,29347,29347,29330,29330,6,6.4,29372,28.76096431935928
1554095700,29342,29360,29342,29360,5,6.4,29366.96,28.849466867976474
1554096000,29374,29377,29374,29377,3,6.4,29330,28.003076377406728
1554096300,29388,29388,29375,29375,2,6.35,29334.7,26.93142806473482
1554096600,29388,29389,29380,29380,3,5.95,29341.096,26.007754631539477
1554097200,29352,29352,29352,29352,2,5.2,29347.80256,26.1500578721438
1554097500,29358,29358,29343,29346,4,5.15,29389,25.35362516699067
1554098100,29365,29365,29365,29365,2,4.9,29384.4,24.899794797919906
1554098400,29350,29350,29350,29350,2,4.65,29380.260000000002,24.192666598068485
1554099000,29343,29343,29343,29343,1,4.6,29376.534000000003,22.964618983920737
1554099300,29354,29354,29354,29354,1,4.6,29373.180600000003,22.110003342212114
1554100200,29377,29377,29377,29377,1,4.5,29343,22.173574532054108
1554100500,29387,29387,29387,29387,1,4.4,29346.4,21.30403349405024
1554100800,29369,29369,29369,29369,1,4.15,29351.272,21.068031101618082
1554101400,29368,29375,29368,29375,3,4.15,29355.55936,20.063171737216788
1554101700,29387,29390,29387,29390,2,4.1,29359.3322368,19.701516613129876
1554102600,29389,29389,29389,29389,1,3.85,29363.625723648,18.365693997906313
1554102900,29382,29382,29382,29382,1,3.8,29367.31812233728,17.553858712341576
1554103200,29384,29384,29384,29384,1,2.3,29370.49358521006,16.44286880431718
1554103500,29384,29384,29384,29384,1,2.15,29373.224483280654,15.26837817543738
1554103800,29392,29392,29392,29392,1,1.9,29375.573055621364,14.74920830576328
1554104700,29405,29405,29395,29395,2,1.75,29378.201366721947,14.624264855351617
1554105000,29390,29403,29390,29400,3,1.75,29383.025120711998,14.508245937112216
1554105300,29400,29400,29400,29400,1,1.7,29386.98059898384,13.471942655889915
1554105600,29393,29393,29383,29383,3,1.7,29405,13.72394675189778
1554105900,29379,29379,29375,29375,2,1.7,29402.8,13.31509341247651
1554106200,29370,29375,29370,29375,3,1.65,29399.464,12.72115816872819
1554106800,29380,29380,29378,29378,2,1.65,29395.33904,12.16964687096189
1554107100,29375,29375,29375,29375,2,1.65,29391.7915744,11.514672094464611
1554110100,29362,29380,29362,29380,10,2.1,29388.740753984,11.977909802002854
1554110400,29379,29380,29379,29380,2,2.15,29384.46223334656,11.19377338757408
1554111600,29374,29374,29374,29374,1,2.15,29380.86827601111,10.82278957417593
1554111900,29374,29374,29365,29365,2,2.2,29380,10.692590318877649
1554112200,29362,29362,29362,29362,1,2.2,29377.12,10.14311958181496
1554112500,29370,29371,29370,29371,3,2.2,29374.7008,10.06146818311389
1554112800,29365,29372,29365,29372,2,2.2,29372.668672,9.84279188432004
1554113400,29375,29375,29375,29375,2,2.25,29362,9.354021035440038
1554115500,29357,29357,29357,29357,1,2.25,29375,9.971590961480034
1554116100,29366,29366,29365,29365,5,2.45,29375,9.902191607088602
1554116700,29360,29360,29360,29360,2,2.5,29373.2,9.55203506372513
1554117000,29372,29372,29372,29372,2,2.55,29357,9.726889702030478
1554117300,29372,29372,29372,29372,1,2.5,29358.5,9.032111866171158
1554119700,29391,29391,29391,29391,1,2.4,29359.85,9.74410387573036
1554120900,29399,29399,29399,29399,1,2.4,29363.588,9.619525027463906
1554121200,29397,29397,29397,29397,1,2.3,29368.54568,9.075273239787913
1554122100,29406,29406,29406,29406,1,2.25,29372.809284799998,9.069896579803062
1554122400,29406,29406,29406,29406,4,2.3,29378.119799231998,8.422046824102845
1554123600,29405,29405,29405,29405,1,2.25,29382.58063135488,7.891900622381213
1554125400,29418,29424,29405,29405,3,2.3,29386.327730338096,8.685336292211126
1554125700,29412,29412,29408,29408,3,1.95,29393.10873887724,8.56495512848176
1554126000,29396,29396,29380,29380,4,2.05,29424,9.953172619304492
1554126300,29376,29376,29372,29372,4,2.2,29419.6,9.813660289354171
1554126600,29377,29377,29377,29377,1,2.15,29413.888,9.469827411543159
1554126900,29375,29375,29375,29375,1,2.15,29408.86144,8.936268310718647
1554127500,29360,29360,29360,29360,3,2.15,29404.4380672,9.369392002810173
1554127800,29353,29361,29353,29361,2,2.15,29398.216737792,9.271578288323733
1554128400,29375,29375,29366,29366,6,2.35,29390.98205974528,9.609322696300609
1554130500,29418,29418,29418,29418,2,2.4,29353,12.637228217993423
1554131400,29425,29425,29425,29425,1,2.2,29359.5,12.23456905956532
1554132000,29440,29443,29440,29443,3,2.25,29367.36,12.646385555310655
1554132300,29423,29423,29423,29423,1,2.2,29377.9496,13.171643729931322
1554132600,29418,29418,29415,29415,7,2.5,29387.056656,12.8022406063648
1554132900,29422,29422,29422,29422,2,2.55,29394.888724160002,12.387794848767314
1554133500,29437,29437,29437,29437,3,2.65,29401.624302777604,12.57438093099822
1554133800,29432,29440,29432,29440,3,2.75,29407.41690038874,12.247639435926919
1554134100,29436,29440,29436,29440,3,2.85,29412.398534334316,11.65852233336071
1554135300,29420,29420,29420,29420,2,2.75,29416.68273952751,12.254342166692087
1554135900,29433,29433,29433,29433,1,2.75,29420,12.307603440499795
1554137100,29446,29446,29446,29446,1,2.65,29420,12.357060337606953
1554137400,29450,29455,29450,29455,5,2.75,29424.16,12.11727031349217
1554137700,29445,29449,29445,29449,2,2.65,29429.7112,11.9660367196713
1554167700,29440,29482,29434,29469,10,2.95,29482,14.539891239694779
1554168000,29470,29490,29470,29485,12,3.5,29434,15.001327579716579
1554168300,29470,29470,29465,29465,3,3.6,29434,15.358375609736823
1554168600,29450,29485,29450,29485,15,4.2,29439.6,16.76134878046991
1554168900,29465,29475,29444,29444,17,4.95,29490,18.492681010436343
1554169200,29443,29443,29396,29413,8,5.05,29485.4,20.600346652548033
1554169500,29418,29445,29409,29439,5,5.2,29475,21.700321891651747
1554169800,29415,29453,29415,29453,5,5.4,29465.52,22.86458461367662
1554170100,29460,29475,29460,29473,9,5.7,29396,22.802828569842575
1554170400,29475,29496,29475,29490,12,6.25,29403.9,22.816912243425246
1554170700,29467,29467,29459,29459,3,6.05,29414.952,23.401418511752013
1554171000,29466,29475,29430,29430,8,6.35,29424.677760000002,24.944174332341156
1554171300,29425,29470,29421,29470,5,6.45,29496,26.662447594316784
1554171600,29438,29438,29438,29438,2,6.4,29488.5,27.043701337579872
1554171900,29456,29456,29456,29456,1,6.3,29481.75,26.39772267060988
1554172200,29430,29430,29420,29420,3,6.35,29475.675,27.083599622709176
1554172500,29446,29446,29446,29446,1,6.35,29468.994,27.006199649658523
1554173100,29410,29410,29376,29376,21,7.35,29463.114719999998,30.077185388968626
1554173400,29375,29401,29370,29400,13,7.75,29450.918659199997,30.14310071832801
1554173700,29382,29382,29382,29382,1,7.7,29437.971673727996,29.27573638130458
1554174300,29417,29440,29416,29440,14,7.9,29370,31.32746949692568
1554174600,29438,29450,29438,29445,3,7.45,29377,29.946935961430988
1554175200,29415,29415,29415,29415,1,7.35,29385.76,29.950726249900203
1554175500,29410,29410,29410,29410,1,6.65,29393.4688,28.168531517764475
1554175800,29420,29430,29420,29430,2,5.9,29400.252544,27.5850649807813
1554176400,29423,29425,29416,29416,3,5.65,29406.222238719998,26.61470319643978
1554177000,29413,29413,29413,29413,1,5.45,29411.4755700736,24.92793868240837
1554177300,29417,29440,29417,29440,4,5.4,29413,25.075943062236345
1554181200,29445,29445,29445,29445,2,5.05,29413,23.641947129219464
1554181800,29450,29450,29450,29450,1,4.5,29417,22.310379477132358
1554182400,29443,29449,29443,29449,2,4.45,29420.96,21.216780943051475
1554182700,29456,29456,29455,29456,7,4.4,29424.444799999997,20.201296589976373
1554183000,29450,29456,29450,29456,3,4.3,29428.862527999998,19.186918262120916
1554183300,29424,29424,29424,29424,1,4.25,29456,20.102138386255138
1554183900,29440,29440,29440,29440,1,4.25,29456,19.80912850152263
1554184200,29425,29425,29425,29425,1,4.15,29452.8,19.46561932284244
1554184500,29410,29412,29410,29412,2,4.2,29449.92,19.14664651406798
1554184800,29420,29420,29408,29408,2,3.25,29445.1296,18.636171763063125
1554185100,29404,29410,29400,29410,4,2.8,29439.931456,18.019302351415757
1554186000,29432,29432,29432,29432,1,2.8,29433.54242304,18.303637897743204
1554186600,29442,29442,29442,29442,1,2.15,29400,17.71052090504726
1554188100,29433,29437,29429,29429,3,2.15,29404.2,17.374055126115312
1554189600,29443,29443,29443,29443,1,2.15,29407.98,17.13305118853565
1554190200,29423,29423,29423,29423,1,2.15,29412.182399999998,17.33783324649739
1554190800,29450,29450,29450,29450,1,2.1,29415.880512,18.02798801460472
1554191400,29444,29454,29444,29454,2,2.05,29420.65724032,17.454560299275812
1554191700,29460,29469,29460,29469,4,2.2,29425.9920818688,17.279234563613254
1554192000,29470,29475,29454,29463,11,2.55,29433.733507132416,17.545003523355167
1554192300,29473,29473,29453,29453,4,2.65,29441.986805705932,17.720360414544082
1554192900,29476,29490,29476,29490,12,3.2,29448.589444564746,19.097477527790936
1554193200,29496,29496,29486,29486,3,3.25,29453,18.447657704377296
1554193500,29490,29510,29490,29510,8,3.3,29461.6,18.84425358263606
1554196500,29504,29505,29504,29505,2,3.25,29471.28,17.926806898162056
1554197400,29505,29505,29505,29505,1,3.25,29479.023999999998,16.646320691150482
1554197700,29512,29512,29512,29512,2,3.3,29485.2192,15.957297784639733
1554198300,29503,29503,29503,29503,1,3.3,29490.57536,15.460347942879752
1554199200,29510,29510,29510,29510,1,3.25,29494.860288,14.856037375531198
1554199500,29520,29520,29520,29520,2,3.25,29498.2882304,14.509177562993255
1554200400,29538,29541,29538,29541,10,3.55,29502.630584320003,14.972807737065166
1554201000,29553,29558,29553,29558,9,3.95,29510.304467456,15.117607184417654
1554201300,29550,29550,29550,29550,2,4,29519.8435739648,14.609206671244964
1554201600,29557,29557,29556,29556,2,3.95,29527.47485917184,14.06569190901318
1554202200,29549,29549,29549,29549,1,3.95,29533.579887337473,13.560999629797953
1554202800,29551,29552,29550,29550,3,4.05,29538.463909869977,12.806642513383812
