time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1519404900,30916,30931,30916,30931,4,NaN,NaN,1
1519607400,30930,30930,30930,30930,1,NaN,30931,NaN
1519607700,31066,31156,31066,31151,18,NaN,30916,0.9444444444444444
1519608000,31142,31150,31136,31150,5,NaN,30930,0.5714285714285714
1519608300,31134,31150,31134,31150,3,NaN,30952.6,1
1519608600,31150,31202,31150,31202,13,NaN,30972.94,1
1519608900,31187,31188,31170,31170,7,NaN,31000.4272,-0.9444444444444444
1519609200,31113,31113,31049,31059,17,NaN,31024.615936,-0.84375
1519609500,31063,31063,31063,31063,2,NaN,31045.90202368,NaN
1519609800,31018,31028,30996,30996,6,NaN,31202,-0.6875
1519610100,30968,30971,30968,30971,3,NaN,31181.4,1
1519610400,31019,31019,30981,30981,5,NaN,31155.792,-1
1519610700,31000,31000,30950,30950,9,NaN,31133.256960000002,-1
1519611000,30938,30992,30938,30992,2,NaN,31107.600985600002,1
1519611300,31016,31016,31016,31016,1,NaN,31080.464827904,NaN
1519611600,31052,31057,31052,31057,3,NaN,31057.670455439362,1
1519611900,31082,31082,31059,31059,2,NaN,30938,-1
1519612200,31090,31090,31076,31076,2,NaN,30952.4,-1
1519612500,31100,31110,31100,31110,6,NaN,30968.912,1
1519612800,31107,31107,31107,31107,1,5.5,30988.66432,NaN
1519613100,31082,31082,31080,31080,3,5.45,31005.6513152,-1
1519613400,31110,31121,31110,31121,3,5.55,31020.260131072002,1
1519613700,31080,31080,31080,31080,1,4.7,31036.378510100483,NaN
1519614000,31118,31120,31118,31120,2,4.55,31049.917948484406,1
1519614600,31138,31152,31138,31152,5,4.65,31061.291076726902,1
1519615800,31164,31164,31160,31160,2,4.1,31077.61868291606,-1
1519616100,31139,31139,31132,31132,2,3.85,31094.89494633285,-1
1519616400,31122,31122,31122,31122,1,3.05,31108.71595706628,NaN
1519621500,31088,31088,31088,31088,1,3,31164,NaN
1519621800,31075,31075,31075,31075,1,2.75,31156.4,NaN
1519622400,31103,31103,31103,31103,1,2.65,31146.632,NaN
1519623300,31142,31142,31140,31140,2,2.5,31075,-1
1519623600,31147,31169,31147,31168,5,2.3,31081.7,0.9545454545454546
1519624500,31166,31166,31166,31166,1,2.25,31092.176,NaN
1519625100,31161,31186,31161,31186,4,2.4,31101.39488,1
1519625400,31190,31200,31179,31179,6,2.55,31113.2395968,-0.5238095238095238
1519626000,31168,31168,31168,31168,2,2.55,31127.121261311997,NaN
1519626600,31146,31146,31146,31146,1,2.5,31138.781859502076,NaN
1519626900,31136,31136,31136,31136,1,2.25,31200,NaN
1519627500,31108,31108,31108,31108,1,2.25,31193.6,NaN
1519627800,31153,31162,31153,31162,2,2.2,31183.327999999998,1
1519628100,31162,31178,31162,31178,3,2.2,31108,1
1519628400,31172,31172,31172,31172,1,2.2,31115,NaN
1519628700,31163,31163,31150,31150,2,2.2,31121.3,-1
1519629000,31142,31142,31142,31142,1,2,31126.97,NaN
1519629300,31168,31169,31168,31169,2,2,31132.073,1
1519629600,31172,31172,31172,31172,1,1.95,31136.6657,NaN
1519630200,31163,31163,31163,31163,1,1.95,31140.79913,NaN
1519630500,31179,31179,31179,31179,2,2,31144.519217,NaN
1519631100,31180,31180,31168,31168,34,3.65,31148.656910960002,-1
1519631400,31145,31145,31132,31132,12,4.2,31180,-1
1519632000,31112,31145,31112,31145,3,4.25,31180,1
1519632300,31123,31123,31123,31123,1,4.05,31171.84,NaN
1519632600,31120,31120,31105,31105,4,4.2,31164.659200000002,-1
1519632900,31100,31100,31090,31090,2,4.1,31156.306912,-1
1519633500,31168,31168,31167,31167,2,3.9,31090,-1
1519638000,31198,31198,31198,31198,1,3.85,31090,NaN
1519638300,31208,31208,31208,31208,1,3.85,31102.96,NaN
1519638600,31201,31201,31201,31201,1,3.85,31117.6656,NaN
1519638900,31200,31200,31200,31200,1,3.85,31130.312416,NaN
1519645500,31227,31227,31227,31227,1,3.8,31141.18867776,NaN
1519645800,31227,31227,31227,31227,1,3.7,31154.9184893184,NaN
1519646400,31235,31235,31235,31235,1,3.7,31166.451531027455,NaN
1519646700,31250,31250,31250,31250,1,3.65,31178.790255442513,NaN
1519652700,31243,31243,31242,31242,2,3.7,31193.03220435401,-1
1519654200,31230,31230,31230,31230,1,3.65,31204.42576348321,NaN
1519654800,31234,31234,31234,31234,1,3.65,31213.540610786567,NaN
1519656900,31246,31246,31246,31246,1,3.65,31220.832488629254,NaN
1519657800,31229,31229,31229,31229,1,3.6,31226.665990903402,NaN
1519658100,31200,31200,31200,31200,1,1.95,31250,NaN
1519658700,31180,31180,31160,31160,6,1.65,31245,-1
1519659000,31150,31150,31147,31147,2,1.6,31234.8,-1
1519659300,31138,31138,31138,31138,1,1.6,31222.507999999998,NaN
1519659900,31189,31189,31175,31175,2,1.5,31208.986719999997,-1
1519660800,31187,31187,31187,31187,1,1.45,31197.628844799998,NaN
1519661100,31217,31226,31217,31226,4,1.55,31138,1
1519661700,31230,31235,31230,31235,30,3,31146.8,1
1519662600,31272,31272,31267,31267,12,3.55,31157.384,-1
1519662900,31266,31270,31264,31270,16,4.3,31173.430239999998,0.6666666666666666
1519663800,31280,31294,31280,31294,3,4.4,31187.230006399997,1
1519664100,31260,31260,31260,31260,1,4.4,31204.313205376,NaN
1519694100,31373,31417,31373,31417,13,5,31218.66309251584,1
1519694400,31422,31430,31417,31423,6,5.25,31254.36373586299,0.07692307692307693
1519694700,31421,31435,31420,31435,5,5.45,31289.49098869039,0.9333333333333333
1519695000,31404,31414,31380,31380,8,5.75,31318.592790952312,-0.7058823529411765
1519695300,31352,31382,31352,31371,6,6,31341.87423276185,0.6333333333333333
1519695600,31350,31425,31350,31415,8,6.35,31435,0.8666666666666667
1519695900,31350,31350,31320,31320,4,6.5,31426.5,-1
1519696200,31330,31330,31326,31326,2,6.55,31425,-1
1519696500,31323,31356,31320,31355,5,6.75,31412.4,0.8888888888888888
1519696800,31350,31369,31350,31369,3,6.6,31401.312,1
1519697100,31375,31384,31375,31384,2,6.6,31391.55456,1
1519697400,31377,31377,31370,31370,2,6.65,31384,-1
1519697700,31316,31330,31316,31330,2,6.65,31384,1
1519698000,31318,31318,31310,31310,2,6.7,31377,-1
1519698600,31312,31316,31312,31316,2,6.6,31366.28,1
1519698900,31300,31300,31250,31250,8,5.5,31357.2752,-1
1519699200,31230,31232,31230,31232,4,5.1,31337.965664,1
1519699500,31252,31252,31248,31250,3,4.45,31316.3725312,-0.5
1519699800,31248,31248,31248,31248,1,4.35,31299.09802496,NaN
1519700100,31213,31213,31213,31213,1,4.35,31285.278419968,NaN
1519700400,31200,31200,31171,31171,6,4,31270.822735974398,-1
1519700700,31200,31200,31200,31200,2,3.8,31250.85818877952,NaN
1519701000,31188,31188,31150,31150,3,3.7,31234.886551023614,-1
1519701300,31100,31100,31088,31097,5,3.55,31217.90924081889,-0.25
1519701600,31130,31151,31130,31151,4,3.45,31191.927392655114,1
1519702200,31188,31199,31188,31199,3,3.2,31088,1
1519702800,31210,31210,31210,31210,2,3.1,31099.1,NaN
1519703100,31196,31197,31196,31197,2,3.1,31112.408,1
1519703700,31228,31242,31228,31239,4,3.05,31124.119039999998,0.7857142857142857
1519707600,31212,31212,31212,31212,1,2.95,31140.622374399998,NaN
1519707900,31166,31166,31138,31138,3,3,31242,-1
1519708200,31125,31125,31125,31125,1,2.95,31231.6,NaN
1519708500,31126,31162,31126,31162,3,3,31218.807999999997,1
1519709400,31080,31080,31080,31080,3,3.05,31207.55104,NaN
1519709700,31138,31138,31138,31138,1,3,31189.6938944,NaN
1519710300,31128,31128,31128,31128,1,2.65,31174.336749184,NaN
1519710900,31082,31082,31082,31082,1,2.5,31161.12960429824,NaN
