time,open,high,low,close,Volume,Volume MA,ParabolicSAR,ATR
1551459300,28412,28412,28400,28400,5,NaN,NaN,NaN
1551661800,28580,28580,28580,28580,7,NaN,28400,NaN
1551662100,28616,28616,28507,28527,48,NaN,28400,NaN
1551662400,28540,28552,28532,28532,12,NaN,28425.92,NaN
1551662700,28533,28549,28521,28548,11,NaN,28448.7296,NaN
1551663000,28560,28570,28481,28570,17,NaN,28468.802047999998,NaN
1551663300,28554,28554,28530,28551,6,NaN,28481,NaN
1551663600,28527,28558,28510,28530,11,NaN,28481,NaN
1551663900,28514,28550,28514,28530,12,NaN,28497.2,NaN
1551664200,28524,28530,28515,28530,6,NaN,28510,NaN
1551664500,28550,28555,28510,28510,4,NaN,28616,NaN
1551664800,28549,28565,28549,28565,6,NaN,28605.4,NaN
1551665400,28530,28570,28530,28570,7,NaN,28595.86,NaN
1551665700,28556,28556,28556,28556,1,NaN,28587.274,52.57142857142857
1551666000,28575,28575,28562,28568,7,NaN,28579.5466,50.173469387755105
1551666300,28600,28602,28597,28597,3,NaN,28510,49.018221574344025
1551666600,28560,28560,28559,28559,3,NaN,28519.2,48.231205747605166
1551666900,28541,28560,28541,28560,4,NaN,28527.48,46.14326247991908
1551667500,28585,28597,28576,28577,13,NaN,28534.932,45.49017230278201
1551667800,28585,28593,28585,28593,2,9.25,28541,43.38373142401186
1551668100,28598,28598,28590,28593,3,9.15,28547.1,40.85632203658245
1551668400,28569,28600,28569,28600,4,9,28552.59,40.15229903396942
1551668700,28588,28588,28588,28588,1,6.65,28557.531,38.141420531543034
1551669000,28607,28643,28607,28633,14,6.75,28561.977899999998,39.34560477928996
1551669300,28630,28630,28630,28630,2,6.3,28571.700552,36.74949015219782
1551669600,28636,28665,28635,28665,13,6.1,28580.256485759997,36.62452656989798
1551669900,28680,28682,28680,28682,8,6.2,28592.120577753598,35.222774672048125
1551670200,28673,28740,28673,28740,9,6.1,28606.50128531302,37.49257648118755
1551670500,28750,28789,28746,28789,20,6.5,28630.531053956678,38.314535303959865
1551670800,28800,28815,28787,28815,10,6.7,28662.224843165342,37.57778278224844
1551671100,28850,28850,28818,28828,19,7.45,28692.779874532273,37.39365544065926
1551671400,28830,28900,28830,28900,12,7.75,28724.223899625817,39.865537194897875
1551671700,28881,28930,28880,28930,5,7.65,28759.379119700654,40.58942739526231
1551675300,28867,28867,28867,28867,1,7.65,28793.50329576052,42.19018258131501
1551675600,28903,28930,28903,28925,9,7.75,28820.802636608416,43.67659811122108
1551675900,28938,29000,28938,28960,18,8.5,28842.64210928673,45.91398396041957
1551676200,28922,28922,28885,28901,10,8.85,28874.113687429384,47.99155653467532
1551676500,28907,28907,28885,28891,8,9.05,29000,46.13501678219851
1551676800,28862,28862,28860,28860,2,8.5,28988.5,45.053944154898616
1551677100,28860,28860,28850,28850,2,8.5,28973.08,42.55009100097728
1551677400,28840,28855,28815,28836,13,9,28955.8488,42.36794164376462
1551677700,28838,28839,28838,28839,3,8.95,28933.312992,39.555945812067144
1551678000,28828,28828,28828,28828,1,8.95,28914.38291328,37.51623539691949
1551678300,28857,28857,28857,28857,1,8.3,28898.4816471552,36.907932868568096
1551678600,28860,28860,28852,28852,4,8.4,28885.12458361037,34.84308052081323
1551679200,28859,28859,28769,28769,9,8.2,28873.90465023271,38.78286048361229
1551679500,28793,28797,28750,28766,10,8.3,28860,39.369799020497126
1551679800,28747,28747,28719,28735,9,8.3,28859,39.91481337617591
1551680100,28738,28754,28737,28754,5,7.55,28831,38.42089813502049
1551680400,28740,28759,28740,28755,3,7.2,28808.6,37.033691125376166
1551680700,28759,28759,28759,28759,1,6.3,28790.68,34.674141759277866
1551681000,28767,28770,28752,28752,7,6.05,28776.344,33.483131633615166
1551681300,28736,28736,28703,28703,4,6,28770,34.59147937407123
1551681600,28702,28718,28694,28718,7,6.3,28770,33.83494513306614
1551681900,28727,28727,28715,28715,2,5.95,28754.8,32.27530619498999
1551682500,28729,28740,28729,28740,2,5.15,28742.64,31.755641466776417
1551683100,28714,28730,28714,28730,3,4.8,28740,31.34452421914953
1551683400,28722,28755,28722,28755,4,4.6,28694,31.462772489210277
1551683700,28757,28757,28730,28730,5,4.75,28700.1,31.14400302569526
1551684000,28730,28740,28730,28740,2,4.75,28706.928,29.633717095288457
1551684300,28745,28745,28745,28745,11,4.65,28712.93664,27.874165874196425
1551684600,28724,28724,28719,28719,3,4.65,28718.2242432,27.740296883182396
1551684900,28701,28710,28700,28710,4,4.8,28757,27.11598996295508
1551685200,28718,28723,28718,28723,5,5,28751.3,26.107704965601148
1551685500,28730,28730,28730,28730,1,4.85,28746.17,24.742868896629638
1551685800,28705,28705,28705,28705,1,4.45,28741.553,24.761235404013235
1551686100,28697,28697,28677,28680,13,4.6,28737.3977,24.992575732298004
1551686400,28650,28650,28600,28638,5,4.4,28730.149976,28.92167746570529
1551686700,28644,28652,28644,28648,20,5.15,28711.92897936,27.855843361012056
1551687000,28638,28638,28620,28620,5,5.25,28696.2589222496,27.86614026379691
1551687300,28618,28630,28614,28630,5,5.45,28682.782673134654,27.018558816382846
1551687900,28623,28640,28623,28640,4,5.3,28671.1930988958,26.3029474723555
1551690900,28645,28658,28645,28656,101,10.15,28661.22606505039,25.709879795758678
1551691500,28654,28654,28648,28648,2,9.9,28600,24.444888381775915
1551692700,28629,28629,28620,28620,3,9.95,28605.4,24.69882492593478
1551693000,28634,28634,28634,28634,1,9.9,28610.260000000002,23.934623145510866
1551693300,28625,28645,28625,28645,2,9.85,28614.634000000002,23.653578635117235
1551694500,28644,28645,28644,28645,3,9.8,28618.570600000003,22.035465875466002
1551694800,28643,28643,28643,28643,1,9.6,28622.113540000002,20.604361170075574
1551696600,28635,28635,28635,28635,1,9.55,28625.302186,19.70404965792732
1551697800,28645,28645,28645,28645,1,9.05,28628.1719674,19.010903253789653
1551698700,28652,28652,28652,28652,1,8.95,28630.75477066,18.15298159280468
1551699000,28665,28665,28665,28665,1,8.8,28633.079293594,17.784911479032917
1551699900,28681,28681,28681,28681,2,8.65,28636.909778362722,17.657417801959138
1551702300,28680,28680,28680,28680,5,8.85,28643.08240939194,16.467602244676343
1551702600,28686,28686,28685,28685,4,9,28648.390872077067,15.719916370056605
1551703200,28683,28683,28682,28682,3,8.5,28654.408332544735,14.81135091505256
1551703800,28676,28676,28676,28676,1,8.3,28659.46299933758,14.181968706834521
1551704400,28674,28674,28674,28674,2,7.4,28663.708919443565,13.311828084917769
1551704700,28684,28684,28684,28684,1,7.2,28667.275492332596,13.075268935995071
1551705300,28692,28692,28692,28692,1,7,28670.27141355938,12.712749726281137
1551705600,28688,28688,28688,28688,1,6.85,28674.182559118693,12.090410460118198
1551706500,28692,28703,28692,28701,3,1.95,28677.389698477327,12.298238284395469
1551706800,28710,28710,28710,28710,1,1.9,28682.51175878186,12.062649835510078
1551707100,28711,28711,28711,28711,1,1.8,28688.00940702549,11.272460561545072
1551707400,28710,28710,28710,28710,1,1.8,28692.60752562039,10.538713378577567
1551708000,28700,28700,28700,28700,2,1.8,28696.286020496314,10.500233851536311
1551708300,28695,28695,28695,28695,1,1.7,28711,10.107360004998004
1551708900,28684,28684,28684,28684,1,1.7,28709.4,10.171120004641002
1551709800,28667,28667,28667,28667,1,1.7,28706.352000000003,10.658897147166645
1551710100,28661,28668,28661,28668,2,1.75,28700.84272,10.397547350940457
1551710400,28672,28673,28672,28673,2,1.8,28694.4678848,10.012008254444709
1551710700,28650,28650,28650,28650,2,1.85,28689.113023232,10.939721950555802
1551711000,28630,28630,28630,28630,2,1.85,28682.072679050238,11.586884668373244
1551711300,28640,28640,28640,28640,1,1.65,28671.65814324019,11.47353576348944
1551711600,28650,28650,28650,28650,1,1.5,28663.326514592154,11.36828320895448
1551711900,28630,28630,28627,28627,2,1.45,28656.661211673723,12.19912012260059
1551712200,28615,28625,28615,28625,4,1.6,28650.72896933898,12.184897256700548
1551713100,28642,28650,28642,28650,3,1.65,28615,13.100261738364795
1551713400,28630,28630,28630,28630,1,1.65,28615,13.593100185624452
1551714000,28600,28600,28600,28600,1,1.65,28650,14.765021600936992
1551714600,28610,28610,28602,28602,2,1.7,28645,14.424662915155778
1551714900,28598,28598,28598,28598,1,1.6,28640.5,13.680044135501793
1551715200,28577,28577,28577,28577,1,1.6,28635.4,14.202898125823094
1551715500,28550,28550,28549,28549,4,1.75,28627.224000000002,15.188405402550016
1551715800,28545,28549,28545,28549,2,1.8,28614.708160000002,14.389233588082158
1551716100,28543,28543,28543,28543,1,1.75,28602.160691200002,13.790002617504863
1551716700,28538,28538,28530,28530,2,1.8,28590.328552960003,13.733573859111658
1551717000,28520,28530,28495,28495,5,2,28578.262842368003,15.25260429774654
1551717300,28499,28499,28499,28499,1,2,28561.610273894403,14.448846847907502
1551717600,28486,28491,28456,28466,9,2.35,28548.288219115522,16.488214930199824
1551717900,28457,28457,28457,28457,1,2.3,28529.830575292417,15.95334243518555
1551718200,28430,28440,28425,28425,4,2.4,28515.064460233934,17.099532261243727
1551718500,28408,28408,28377,28388,9,2.75,28497.051568187147,19.306708528297747
1551748500,28533,28556,28528,28556,12,3.3,28377,29.927657919133622
1551748800,28563,28563,28449,28449,7,3.6,28377,35.932825210624074
