time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1527729000,30012,30012,30012,30012,1,NaN,NaN,NaN
1527729300,30012,30012,29711,29834,15,NaN,29711,-0.5913621262458472
1527729600,29862,29865,29850,29850,7,NaN,29711,-0.8
1527729900,29845,29852,29845,29852,2,NaN,29711,1
1527730200,29863,29903,29863,29888,6,NaN,29741.1,0.625
1527730500,29846,29851,29838,29851,3,NaN,29768.19,0.38461538461538464
1527730800,29889,29919,29889,29909,5,NaN,29792.571,0.6666666666666666
1527731100,29880,29880,29799,29855,9,NaN,30012,-0.30864197530864196
1527731400,29848,29883,29848,29883,4,NaN,29990.7,1
1527731700,29860,29860,29834,29855,3,NaN,29971.53,-0.19230769230769232
1527732000,29871,29890,29871,29890,2,NaN,29954.277,1
1527732300,29910,29920,29910,29920,2,NaN,29938.7493,1
1527732600,29913,29925,29913,29921,3,NaN,29799,0.6666666666666666
1527732900,29909,29918,29901,29901,4,NaN,29811.6,-0.47058823529411764
1527733200,29885,29885,29879,29879,2,NaN,29822.94,-1
1527733500,29870,29873,29870,29873,3,NaN,29833.146,1
1527733800,29880,29900,29880,29900,2,NaN,29842.3314,1
1527734100,29860,29860,29860,29860,1,NaN,29850.59826,NaN
1527734400,29866,29873,29866,29870,4,NaN,29858.038434,0.5714285714285714
1527735000,29888,29902,29888,29902,3,4.05,29860,1
1527735300,29904,29904,29904,29904,1,4.05,29866,NaN
1527735600,29920,29941,29920,29928,6,3.6,29871.9,0.38095238095238093
1527735900,29935,29950,29935,29941,6,3.55,29880.192000000003,0.4
1527736200,29954,29962,29954,29955,6,3.75,29889.96512,0.125
1527736500,29941,29941,29941,29941,1,3.5,29901.4907008,NaN
1527736800,29967,30008,29967,29988,10,3.85,29911.172188672,0.5121951219512195
1527737100,29987,29987,29968,29981,5,3.85,29928.601194711042,-0.3157894736842105
1527737400,29980,29985,29980,29984,4,3.6,29942.892979663055,0.8
1527737700,29985,29988,29985,29988,2,3.5,29954.612243323703,1
1527738300,29973,29973,29973,29973,1,3.4,29964.222039525437,NaN
1527738600,29960,29960,29950,29950,5,3.55,30008,-1
1527738900,29940,29940,29940,29940,1,3.5,30002.2,NaN
1527742800,29940,29949,29939,29949,3,3.5,29994.736,0.9
1527743100,29947,29955,29942,29955,4,3.5,29986.932960000002,0.6153846153846154
1527743400,29954,29964,29954,29964,2,3.5,29980.222345600003,1
1527743700,29966,29992,29966,29992,2,3.45,29939,1
1527744000,29988,29988,29984,29984,2,3.45,29944.3,-1
1527744300,30010,30018,30005,30018,7,3.75,29949.07,0.6153846153846154
1527744600,30019,30020,30013,30013,5,3.8,29957.3416,-0.8571428571428571
1527744900,30028,30028,30028,30028,1,3.7,29966.113776,NaN
1527745200,30020,30020,30020,30020,1,3.7,29976.01557184,NaN
1527745500,30030,30038,30030,30030,5,3.65,29984.333080345597,0
1527745800,30029,30035,30029,30035,4,3.55,29993.99312588339,1
1527746100,30032,30032,30000,30000,8,3.65,30038,-1
1527746400,30005,30005,29980,29980,6,3.9,30035,-1
1527747000,30001,30001,30001,30001,1,3.45,30032,NaN
1527747300,30025,30041,30023,30041,9,3.65,29980,0.8888888888888888
1527747600,30040,30063,30038,30063,7,3.8,29986.1,0.92
1527747900,30063,30064,30063,30064,2,3.8,29995.327999999998,1
1527749100,30052,30052,30052,30052,1,3.8,30004.942079999997,NaN
1527749400,30062,30068,30062,30068,2,3.65,30013.210188799996,1
1527749700,30063,30089,30063,30089,8,4,30021.976558591996,1
1527750000,30090,30105,30063,30091,9,4.3,30034.040778045437,0.023809523809523808
1527750600,30084,30084,30084,30084,1,4.15,30048.23262243635,NaN
1527750900,30084,30096,30076,30076,8,4.45,30059.58609794908,-0.4
1527751200,30078,30078,30072,30072,2,4.45,30068.66887835926,-1
1527751500,30095,30138,30095,30120,17,5.2,30072,0.5813953488372093
1527751800,30123,30220,30113,30201,19,5.8,30072,0.7289719626168224
1527752100,30203,30232,30195,30220,16,6.35,30095,0.4594594594594595
1527752400,30208,30230,30208,30230,6,6.6,30113,1
1527752700,30234,30256,30234,30256,13,7.2,30136.8,1
1527753000,30247,30247,30230,30230,7,7.3,30160.64,-1
1527753300,30211,30211,30194,30194,3,7.25,30179.712,-1
1527753600,30216,30229,30180,30212,15,7.6,30256,-0.08163265306122448
1527753900,30214,30240,30214,30240,10,7.8,30248.4,1
1527754200,30288,30300,30261,30300,14,8.45,30180,0.3076923076923077
1527754500,30297,30329,30297,30301,6,8.3,30192,0.125
1527754800,30294,30294,30294,30294,1,8,30208.44,NaN
1527755100,30288,30305,30288,30305,2,8,30222.907199999998,1
1527758100,30255,30263,30244,30258,6,8.25,30235.638335999996,0.15789473684210525
1527758400,30250,30250,30246,30246,2,8.25,30329,-1
1527759000,30288,30288,30288,30288,1,7.9,30320.7,NaN
1527760500,30256,30256,30256,30256,1,7.5,30313.23,NaN
1527760800,30263,30263,30241,30241,11,8,30306.506999999998,-1
1527761100,30243,30243,30243,30243,5,7.85,30298.646159999997,NaN
1527761700,30238,30238,30238,30238,1,7.8,30291.728620799997,NaN
1527762000,30240,30240,30240,30240,5,7.2,30284.206613887996,NaN
1527762300,30236,30236,30218,30218,30,7.75,30277.737687943678,-1
1527762600,30221,30221,30213,30214,51,9.5,30268.17965787269,-0.875
1527762900,30218,30218,30218,30218,1,9.25,30258.247319455604,NaN
1527763200,30225,30225,30225,30225,5,8.85,30250.102801953595,NaN
1527763500,30223,30226,30215,30215,31,10.05,30243.42429760195,-0.7272727272727273
1527764100,30244,30244,30244,30244,1,9.95,30213,NaN
1527764700,30213,30213,30213,30213,1,9.25,30244,NaN
1527765300,30224,30231,30224,30231,4,8.95,30244,1
1527765600,30219,30219,30219,30219,1,8.3,30240.9,NaN
1527766800,30253,30260,30253,30260,4,8.2,30213,1
1527768000,30254,30254,30250,30250,3,8.3,30217.7,-1
1527768300,30250,30251,30250,30251,5,8.45,30221.93,1
1527768600,30242,30242,30241,30241,4,8.35,30225.737,-1
1527768900,30238,30238,30238,30238,2,8.35,30229.1633,NaN
1527769800,30235,30235,30235,30235,1,8.35,30232.24697,NaN
1527770400,30243,30243,30243,30243,1,8.35,30235,NaN
1527771000,30220,30220,30220,30220,1,7.85,30260,NaN
1527771600,30210,30210,30200,30200,3,7.75,30256,-1
1527771900,30178,30178,30178,30178,1,7.75,30249.28,NaN
1527772200,30169,30175,30150,30175,21,8.55,30239.300799999997,0.24
1527772500,30177,30177,30155,30155,2,7.15,30225.012671999997,-1
1527772800,30138,30138,30125,30125,5,4.85,30213.010644479997,-1
1527773400,30118,30118,30086,30086,8,5.2,30197.168728473596,-1
1527773700,30118,30118,30118,30118,1,5,30174.934982778876,NaN
1527774000,30140,30140,30111,30111,3,3.6,30157.1479862231,-1
1527774300,30105,30124,30105,30105,5,3.8,30142.91838897848,0
1527774600,30100,30100,30098,30098,3,3.9,30140,-1
1527774900,30107,30107,30107,30107,1,3.75,30129.2,NaN
1527775200,30122,30122,30122,30122,1,3.75,30086,NaN
1527775500,30107,30107,30090,30090,8,3.95,30089.6,-1
1527775800,30108,30108,30108,30108,1,3.85,30090,NaN
1527776700,30125,30136,30125,30136,2,3.7,30090,1
1527777000,30160,30160,30160,30160,1,3.55,30095.52,NaN
1527777900,30094,30094,30090,30090,2,3.55,30160,-1
1527778200,30070,30086,30063,30082,8,3.9,30160,0.5217391304347826
1527778500,30072,30072,30070,30070,2,3.95,30148.36,-1
1527778800,30081,30081,30081,30081,1,3.95,30138.1168,NaN
1527779700,30070,30070,30060,30060,3,3.95,30129.102784,-1
1527780300,30106,30106,30106,30106,2,4,30119.42839424,NaN
1527780900,30106,30140,30106,30140,2,3.05,30060,1
1527781200,30160,30186,30160,30186,6,3.25,30068,1
1527781500,30191,30191,30191,30191,1,3.05,30082.16,NaN
1527781800,30164,30164,30164,30164,1,2.7,30097.3976,NaN
1527782700,30158,30158,30158,30158,1,2.7,30110.501936,NaN
1527783000,30132,30132,30132,30132,1,2.6,30121.77166496,NaN
1527783600,30154,30154,30154,30154,1,2.4,30131.4636318656,NaN
1527783900,30138,30138,30138,30138,1,2.3,30191,NaN
1527784200,30118,30121,30118,30121,2,2.35,30185.7,1
1527784800,30155,30164,30155,30164,3,2.45,30177.576,1
1527785100,30167,30171,30167,30171,2,2.15,30118,1
1527785700,30167,30183,30166,30183,5,2.35,30123.3,0.9411764705882353
1527815700,30235,30265,30225,30234,22,3.35,30130.464,-0.025
1527816000,30241,30275,30239,30258,11,3.85,30149.29904,0.4722222222222222
1527816300,30247,30254,30245,30245,3,3.9,30169.4111936,-0.2222222222222222
