time,open,high,low,close,Volume,Volume MA,ParabolicSAR,ATR
1559265000,27100,27100,27100,27100,1,NaN,NaN,NaN
1559265300,26850,26850,26781,26804,6,NaN,27100,NaN
1559265600,26814,26814,26800,26810,10,NaN,27100,NaN
1559265900,26793,26819,26793,26819,14,NaN,27068.1,NaN
1559266200,26845,26858,26818,26858,10,NaN,27039.39,NaN
1559266500,26839,26928,26839,26928,45,NaN,27013.551,NaN
1559266800,26940,26953,26930,26933,19,NaN,26990.2959,NaN
1559267100,26937,26944,26881,26905,12,NaN,26969.36631,NaN
1559267400,26910,26929,26878,26919,12,NaN,26953,NaN
1559267700,26923,26923,26923,26923,1,NaN,26944,NaN
1559268300,26925,26925,26900,26900,2,NaN,26929,NaN
1559268600,26918,26918,26899,26899,2,NaN,26781,NaN
1559268900,26931,26931,26886,26886,8,NaN,26794.7,NaN
1559269200,26914,26914,26891,26891,3,NaN,26811.056,53.42857142857143
1559269500,26896,26896,26896,26896,1,NaN,26825.44928,49.96938775510204
1559269800,26870,26870,26839,26840,13,NaN,26838.1153664,50.471574344023324
1559270100,26847,26870,26847,26870,6,NaN,26931,49.00931903373594
1559270400,26875,26875,26838,26838,5,NaN,26922.6,48.15151053132623
1559270700,26850,26850,26850,26850,1,NaN,26912.448,45.56925977908865
1559271000,26846,26875,26846,26875,7,8.9,26903.51424,44.38574122343946
1559271300,26880,26888,26859,26867,7,9.2,26895.6525312,43.286759707479504
1559271600,26835,26835,26824,26831,19,9.85,26888.734227456,43.266276871230964
1559271900,26837,26851,26834,26834,5,9.6,26888,41.604399951857324
1559272200,26822,26841,26822,26825,5,9.15,26879.04,39.989799955296085
1559272500,26809,26830,26800,26830,12,9.25,26869.9136,39.27624281563208
1559272800,26846,26860,26845,26845,7,7.35,26800,38.61365404308693
1559273100,26819,26822,26819,26822,4,6.6,26800,37.712678754295005
1559273700,26835,26835,26835,26835,1,6.05,26806,35.94748741470251
1559274000,26845,26845,26845,26845,1,5.5,26811.4,34.09409545650947
1559274300,26822,26822,26822,26822,1,5.5,26816.260000000002,33.30166006675879
1559274600,26850,26867,26850,26864,7,5.75,26820.634000000002,34.13725577627602
1559274900,26847,26860,26847,26860,5,5.9,26822,32.91316607797059
1559278500,26896,26896,26896,26896,1,5.55,26827.4,33.1336542152584
1559278800,26855,26860,26851,26860,3,5.55,26837.004,33.98125034273995
1559279100,26845,26860,26840,26840,4,5.7,26896,32.98258960397281
1559279400,26840,26840,26831,26831,3,5.2,26890.4,31.269547489403326
1559280000,26825,26825,26825,26825,1,4.95,26883.272,29.464579811588802
1559280300,26823,26825,26809,26809,9,5.15,26875.11392,28.50282411076103
1559280600,26820,26820,26815,26815,2,5.2,26864.5356928,27.252622388563815
1559280900,26811,26822,26808,26820,6,5.15,26855.649981952,26.3060065036664
1559281200,26814,26824,26809,26810,5,5.05,26847.07298520064,25.49843461054737
1559281500,26800,26800,26770,26770,16,4.9,26840.039847864526,26.534260709793987
1559281800,26762,26776,26762,26776,7,5,26826.031878291622,25.63895637338013
1559282100,26758,26771,26752,26771,19,5.7,26813.225502633297,25.52188806099583
1559282400,26773,26781,26773,26776,3,5.25,26800.980402106637,24.413181770924698
1559282700,26787,26800,26787,26800,4,5.1,26752,24.383668787287217
1559283000,26793,26798,26780,26780,4,5.1,26756.8,24.07054958819527
1559283300,26768,26776,26764,26776,12,5.65,26761.12,23.494081760467036
1559283600,26778,26780,26775,26775,8,6,26764,22.17307592043368
1559283900,26766,26766,26755,26764,5,6.2,26800,22.017856211831276
1559284200,26770,26770,26749,26749,4,6.05,26795.5,21.94515219670047
1559284500,26750,26760,26750,26760,2,5.9,26789.92,21.163355611221867
1559284800,26768,26773,26758,26758,4,6.05,26785.009599999998,20.72311592470602
1559285100,26749,26758,26749,26757,5,6.15,26780.688447999997,19.885750501512728
1559285400,26750,26750,26740,26740,5,6.2,26776.885834239998,19.67962546569039
1559285700,26745,26745,26745,26745,1,6.1,26771.7218174464,18.631080789569644
1559286000,26738,26738,26738,26738,1,6.1,26767.280763003902,17.800289304600383
1559286300,26725,26746,26725,26740,5,5.9,26762.595840923277,18.028840068557496
1559286600,26710,26710,26694,26708,15,6.55,26755.828589557088,20.026780063660535
1559286900,26690,26700,26690,26700,6,6.55,26746,19.882010059113355
1559287200,26701,26701,26688,26691,4,6.5,26734.8,19.39043791203383
1559287500,26697,26700,26680,26683,12,6.3,26725.44,19.43397806117427
1559287800,26679,26679,26652,26655,11,6.5,26716.352,20.260122485376108
1559288100,26651,26673,26651,26673,7,5.9,26703.4816,20.384399450706386
1559288400,26685,26685,26685,26685,1,5.8,26692.98528,19.785513775655932
1559288700,26695,26695,26695,26695,1,5.65,26651,19.086548505966224
1559289000,26668,26668,26660,26660,4,5.65,26655.4,20.223223612682922
1559289300,26664,26669,26664,26669,6,5.35,26659.36,19.42156478320557
1559289600,26660,26683,26660,26683,2,5.05,26695,19.677167298690886
1559289900,26687,26701,26687,26701,5,5.05,26660,19.55736963449868
1559290200,26678,26678,26678,26678,2,4.95,26660,19.80327180346306
1559290500,26690,26690,26680,26680,5,5.1,26664.1,19.24589524607284
1559290800,26668,26668,26661,26661,2,5,26701,19.228331299924783
1559291100,26678,26679,26665,26665,5,5,26697,19.140593349930157
1559294100,26665,26666,26649,26649,7,5.1,26693.4,18.987693824935146
1559294400,26622,26622,26600,26611,7,5.4,26688.072,21.13142998029692
1559295000,26593,26593,26589,26589,2,5.45,26675.74192,21.193470695989998
1559295300,26580,26590,26580,26590,3,5.35,26661.8632128,20.393937074847855
1559295900,26598,26598,26598,26598,1,4.65,26647.127834496,19.508655855215864
1559296500,26586,26586,26586,26586,1,4.4,26635.04482428672,18.972323294129016
1559296800,26590,26590,26590,26590,1,4.25,26625.13675591511,17.90287163026266
1559297100,26595,26595,26595,26595,1,3.7,26617.01213985039,16.981237942386755
1559297400,26595,26598,26595,26598,2,3.25,26610.34995467732,15.982578089359132
1559297700,26598,26598,26598,26598,1,2.95,26604.886962835404,14.840965368690622
1559298000,26584,26584,26584,26584,1,2.95,26600.40730952503,14.780896413784149
1559298300,26588,26588,26588,26588,1,2.95,26598,14.010832384228138
1559299800,26577,26577,26577,26577,1,2.8,26594.76,13.795772928211843
1559300400,26594,26594,26594,26594,1,2.55,26577,14.024646290482425
1559301900,26600,26600,26600,26600,1,2.5,26577,13.45145726973368
1559302200,26604,26606,26601,26601,3,2.4,26579.76,12.91921032189556
1559303100,26588,26588,26588,26588,1,2.35,26583.4336,12.924981013188736
1559303400,26588,26588,26588,26588,1,2.15,26586.592896000002,12.001768083675255
1559304000,26592,26592,26592,26592,1,2.1,26588,11.430213220555595
1559304600,26598,26598,26598,26598,1,1.9,26588,11.042340847658767
1559304900,26606,26606,26606,26606,1,1.6,26590.52,10.825030787111713
1559305800,26603,26603,26603,26603,1,1.3,26592.6872,10.266100016603733
1559306700,26633,26633,26633,26633,1,1.25,26594.550992,11.67566430113204
1559307000,26631,26631,26631,26631,1,1.15,26600.70283328,10.984545422479751
1559308800,26617,26617,26616,26616,2,1.2,26605.8703799552,11.27136360658834
1559309400,26612,26615,26588,26588,5,1.4,26633,12.466266206117742
1559309700,26578,26578,26576,26576,2,1.45,26628.5,12.432961477109332
1559310600,26580,26591,26580,26591,2,1.5,26622.2,12.616321371601524
1559310900,26610,26617,26610,26617,4,1.6,26576,13.57229841648713
1559311200,26625,26625,26625,26625,1,1.6,26580,13.174277101023762
1559311500,26640,26640,26640,26640,1,1.6,26585.4,13.304685879522065
1559311800,26638,26638,26638,26638,1,1.6,26593.044,12.49720831669906
1559312100,26630,26640,26630,26630,5,1.8,26599.617840000003,12.318836294077698
1559312400,26640,26654,26640,26654,6,2.05,26605.271342400003,13.153205130215005
1559312700,26657,26657,26657,26657,1,2.05,26613.067927616,12.427976192342504
1559313000,26660,26667,26660,26667,5,2.15,26620.975700645122,12.254549321460896
1559313300,26666,26672,26666,26672,3,2.25,26630.1805605161,11.807795798499402
1559313600,26659,26659,26659,26659,3,2.35,26638.54444841288,11.892953241463731
1559313900,26647,26661,26642,26661,3,2.45,26672,12.400599438502036
1559314200,26670,26680,26670,26680,2,2.5,26642,12.87198519289475
1559314500,26669,26669,26669,26669,1,2.5,26642,12.73827196483084
1559314800,26675,26680,26675,26680,2,2.55,26645.8,12.614109681628637
1559315100,26661,26661,26661,26661,3,2.65,26649.22,13.070244704369449
1559315400,26659,26659,26656,26656,2,2.7,26652.298000000003,12.493798654057345
1559315700,26667,26667,26667,26667,1,2.65,26655.0682,12.387098750196106
1559316000,26671,26675,26671,26675,2,2.5,26656,12.073734553753527
1559316600,26700,26700,26694,26695,5,2.65,26658.4,12.997039228485418
1559316900,26679,26679,26679,26679,1,2.6,26663.392,13.211536426450746
1559317200,26679,26685,26679,26685,2,2.5,26667.78496,12.696426681704263
1559318400,26681,26681,26681,26681,2,2.55,26671.6507648,12.075253347296817
1559318700,26678,26678,26678,26678,1,2.55,26675.052673024,11.427020965347044
1559319000,26677,26677,26677,26677,1,2.55,26700,10.68223375353654
1559319300,26682,26682,26678,26678,2,2.4,26697.7,10.276359913998217
1559319600,26678,26678,26678,26678,1,2.15,26695.63,9.542334205855486
1559319900,26668,26668,26668,26668,2,2.2,26693.767,9.575024619722951
1559320200,26665,26665,26665,26665,1,2,26690.67496,9.105380004028454
1559320500,26670,26674,26660,26660,4,2.05,26687.0804656,9.454995718026423
1559321400,26671,26671,26671,26671,1,1.95,26682.747591104,9.56535316673882
1559321700,26655,26655,26655,26655,4,2,26679.107976527357,10.024970797686048
1559524200,26520,26520,26520,26520,1,1.95,26674.768540752433,18.95175859785133
1559524500,26666,26711,26666,26710,41,3.95,26520,31.240918698004805
1559524800,26696,26697,26686,26686,5,4.1,26520,30.72371021957589
1559525100,26692,26739,26691,26733,14,4.65,26539.1,32.314873775320464
1559525400,26708,26708,26650,26650,11,5.1,26563.088,35.935239934226146
1559525700,26628,26676,26626,26669,19,6,26584.19744,36.93986565321
1559526000,26664,26729,26664,26729,13,6.55,26602.7737472,38.94416096369499
1559526300,26750,26766,26737,26737,22,7.4,26619.120897536002,38.80529232343106
1559526600,26740,26740,26720,26734,10,7.85,26639.68397188096,37.4620571574717
1559526900,26742,26742,26686,26686,13,8.4,26657.368215817627,38.786195931938
1559527200,26666,26680,26660,26660,11,8.85,26766,37.87289622251386
1559527500,26680,26703,26668,26668,5,9.05,26755.4,38.23911792090572
1559527800,26675,26675,26643,26643,7,9.35,26745.86,37.793466640841025
1559528100,26640,26640,26620,26640,5,9.5,26733.5168,36.736790452209526
1559528400,26643,26643,26620,26633,5,9.7,26717.624448000002,35.75559113419456
1559528700,26610,26620,26583,26583,20,10.6,26703.95702528,36.77304891032352
1559529000,26585,26592,26560,26592,28,11.95,26684.6039012352,36.432116845300406
1559529300,26590,26592,26550,26550,11,12.3,26662.175199012865,36.8298227849218
1559529600,26530,26569,26520,26569,9,12.7,26639.74015921029,37.699121157427385
1559529900,26562,26620,26562,26617,10,13,26520,39.14918393189686
1559530200,26581,26581,26560,26580,5,13.2,26520,40.424242222475655
1559530500,26588,26600,26588,26600,6,11.45,26530,38.96536777801311
1559530800,26593,26593,26576,26576,5,11.45,26539,37.896412936726456
1559531100,26560,26572,26550,26550,7,11.1,26547.1,37.04666915553172
1559531400,26550,26581,26550,26576,8,10.95,26620,36.61476421585088
1559531700,26552,26552,26548,26548,3,10.15,26613,35.999423914718676
1559532000,26554,26592,26554,26592,7,9.85,26605.2,36.57089363509591
