time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1530235200,28261,28290,28261,28280,10,NaN,NaN,0.6551724137931034
1530235500,28261,28262,28260,28261,7,NaN,28290,0
1530235800,28298,28358,28266,28329,5,NaN,28260,0.33695652173913043
1530236100,28350,28350,28315,28340,12,NaN,28260,-0.2857142857142857
1530236400,28380,28390,28346,28370,18,NaN,28266,-0.22727272727272727
1530236700,28378,28378,28331,28343,5,NaN,28280.88,-0.7446808510638298
1530237000,28359,28359,28359,28359,1,NaN,28293.9744,NaN
1530237300,28333,28333,28290,28327,8,NaN,28390,-0.13953488372093023
1530237600,28340,28376,28340,28340,10,NaN,28380,0
1530237900,28337,28431,28337,28411,13,NaN,28290,0.7872340425531915
1530238200,28410,28465,28410,28465,8,NaN,28304.1,1
1530238500,28455,28462,28436,28436,6,NaN,28323.408,-0.7307692307692307
1530238800,28450,28458,28450,28458,3,NaN,28340.39904,1
1530239100,28494,28524,28494,28520,8,NaN,28355.3511552,0.8666666666666667
1530239400,28505,28590,28505,28590,8,NaN,28378.961993472003,1
1530239700,28600,28600,28556,28570,8,NaN,28412.728074516483,-0.6818181818181818
1530240000,28556,28622,28554,28590,7,NaN,28446.437021103517,0.5
1530240300,28630,28660,28630,28660,6,NaN,28481.549616882814,1
1530240600,28663,28663,28633,28633,8,NaN,28517.23969350625,-1
1530241200,28670,28670,28588,28588,5,7.8,28546.391754805,-1
1530241500,28570,28580,28566,28580,39,9.25,28670,0.7142857142857143
1530241800,28550,28550,28549,28549,12,9.5,28670,-1
1530242100,28585,28615,28585,28608,5,9.5,28655.48,0.7666666666666667
1530242400,28585,28594,28585,28594,2,9,28642.7024,1
1530242700,28615,28615,28605,28605,3,8.25,28631.458112,-1
1530243000,28608,28608,28604,28604,2,8.1,28621.56313856,-1
1530243600,28569,28582,28569,28582,3,8.2,28615,1
1530243900,28600,28614,28600,28614,2,7.9,28549,1
1530244200,28630,28633,28630,28633,2,7.5,28555.5,1
1530244500,28614,28614,28614,28614,3,7,28564.8,NaN
1530248400,28600,28617,28600,28617,3,6.75,28572.984,1
1530248700,28633,28643,28633,28643,2,6.55,28580.18592,1
1530249000,28657,28671,28655,28655,10,6.9,28588.9798912,-0.125
1530249300,28661,28677,28650,28677,5,6.75,28602.103108608,0.5925925925925926
1530249600,28680,28680,28650,28650,9,6.8,28615.58454905856,-1
1530249900,28671,28671,28668,28670,5,6.65,28628.467639246846,-0.3333333333333333
1530250200,28669,28682,28600,28625,9,6.75,28682,-0.5365853658536586
1530250500,28595,28595,28592,28592,2,6.55,28682,-1
1530250800,28626,28626,28626,28626,1,6.2,28682,NaN
1530251100,28633,28633,28625,28625,2,6.05,28671.2,-1
1530251400,28651,28659,28640,28659,3,4.25,28661.696,0.42105263157894735
1530251700,28653,28703,28653,28698,14,4.35,28592,0.9
1530252000,28711,28711,28680,28680,5,4.35,28603.1,-1
1530252300,28695,28695,28668,28668,8,4.65,28616.048,-1
1530252600,28662,28692,28657,28692,7,4.85,28627.44224,0.8571428571428571
1530252900,28672,28714,28672,28714,6,5.05,28637.4691712,1
1530253200,28706,28720,28705,28705,7,5.25,28648.183487232,-0.06666666666666667
1530253500,28702,28702,28691,28691,2,5.25,28659.67412927488,-1
1530253800,28705,28705,28678,28679,4,5.35,28669.3262685909,-0.9629629629629629
1530254100,28661,28670,28646,28652,9,5.65,28720,-0.375
1530254400,28672,28672,28672,28672,1,5.55,28712.6,NaN
1530254700,28681,28715,28681,28715,6,5.75,28646,1
1530255000,28697,28710,28697,28710,4,5.45,28652.9,1
1530255300,28702,28707,28702,28707,2,5.3,28659.11,1
1530255600,28702,28740,28702,28734,10,5.35,28664.699,0.8421052631578947
1530255900,28720,28720,28689,28708,4,5.3,28673.73512,-0.3870967741935484
1530256200,28705,28722,28705,28722,5,5.1,28681.6869056,1
1530256500,28715,28715,28697,28697,7,5.35,28688.684476928,-1
1530256800,28700,28720,28700,28711,8,5.7,28694.84233969664,0.55
1530257100,28716,28716,28716,28716,1,5.65,28697,NaN
1530257700,28698,28698,28690,28690,2,5.6,28740,-1
1530258000,28704,28715,28704,28715,2,5,28735,1
1530258300,28700,28700,28698,28699,5,5,28730.5,-0.5
1530258600,28719,28720,28716,28716,3,4.75,28726.45,-0.75
1530258900,28715,28725,28715,28725,2,4.5,28690,1
1530259200,28728,28730,28721,28721,6,4.5,28693.5,-0.7777777777777778
1530259500,28697,28720,28697,28720,2,4.25,28730,1
1530259800,28725,28733,28725,28728,4,4.35,28697,0.375
1530260100,28726,28726,28718,28718,2,4.25,28697,-1
1530260400,28733,28733,28733,28733,1,3.85,28700.6,NaN
1530260700,28732,28732,28698,28698,8,4.2,28733,-1
1530263700,28695,28695,28695,28695,1,3.95,28733,NaN
1530264000,28712,28712,28709,28709,2,3.85,28732,-1
1530264300,28720,28720,28720,28720,1,3.8,28727.56,NaN
1530265500,28723,28723,28723,28723,1,3.35,28723.6528,NaN
1530266700,28718,28718,28718,28718,1,3.2,28723,NaN
1530267000,28718,28718,28718,28718,1,3,28723,NaN
1530267300,28716,28716,28716,28716,2,2.75,28719.64,NaN
1530267900,28700,28700,28638,28638,5,2.6,28718,-1
1530268200,28635,28658,28631,28631,4,2.75,28716,-0.14814814814814814
1530268500,28674,28674,28674,28674,1,2.7,28702.4,NaN
1530268800,28641,28641,28641,28641,1,2.65,28690.976000000002,NaN
1530269400,28638,28638,28638,28638,1,2.45,28681.37984,NaN
1530269700,28630,28636,28625,28625,5,2.55,28673.3190656,-0.45454545454545453
1530270000,28608,28614,28608,28610,4,2.65,28664.621633792,0.3333333333333333
1530270600,28620,28620,28620,28620,2,2.45,28653.2973070336,NaN
1530271200,28640,28642,28640,28642,2,2.45,28644.23784562688,1
1530271500,28632,28632,28632,28632,1,2.3,28642,NaN
1530272100,28642,28642,28642,28642,1,2.25,28608,NaN
1530273300,28645,28645,28645,28645,1,2.25,28611.4,NaN
1530273600,28666,28670,28666,28670,2,1.95,28615.432,1
1530274200,28686,28686,28686,28686,1,1.95,28623.07152,NaN
1530275100,28673,28673,28673,28673,1,1.9,28633.140076800002,NaN
1530275400,28647,28647,28629,28629,4,2.05,28686,-1
1530275700,28618,28618,28614,28614,3,2.15,28680.3,-1
1530276900,28630,28630,28614,28614,4,2.3,28672.344,-1
1530277200,28599,28599,28599,28599,1,2.3,28665.34272,NaN
1530277500,28591,28591,28591,28591,1,2.25,28656.0547392,NaN
1530277800,28595,28595,28595,28595,15,2.75,28645.645980928002,NaN
1530278100,28597,28597,28597,28597,2,2.65,28636.90262397952,NaN
1530278400,28608,28616,28608,28616,2,2.7,28629.5582041428,1
1530278700,28607,28607,28607,28607,2,2.75,28623.38889147995,NaN
1530279000,28620,28635,28620,28633,4,2.9,28591,0.8666666666666667
1530279300,28640,28640,28640,28640,1,2.7,28595.4,NaN
1530280200,28642,28642,28642,28642,1,2.55,28600.752,NaN
1530280500,28607,28607,28607,28607,1,2.5,28606.52672,NaN
1530280800,28611,28611,28611,28611,1,2.45,28642,NaN
1530281700,28590,28590,28590,28590,1,2.45,28638.9,NaN
1530282000,28595,28595,28595,28595,1,2.45,28633.032000000003,NaN
1530282600,28558,28590,28558,28589,3,2.55,28627.86816,0.96875
1530283200,28608,28608,28608,28608,1,2.5,28618.0866176,NaN
1530284100,28626,28628,28621,28628,4,2.65,28558,0.2857142857142857
1530284700,28649,28649,28649,28649,1,2.65,28565,NaN
1530285300,28648,28648,28648,28648,1,2.5,28575.08,NaN
1530285900,28650,28660,28650,28660,3,2.5,28583.9504,1
1530286200,28640,28640,28640,28640,1,2.35,28594.597344,NaN
1530286800,28647,28653,28647,28653,2,2.4,28603.75371584,1
1530287400,28640,28640,28633,28633,2,2.45,28611.6281956224,-1
1530287700,28625,28625,28620,28620,3,1.85,28618.400248235266,-1
1530288000,28620,28620,28620,28620,1,1.8,28660,NaN
1530288300,28655,28655,28655,28655,1,1.75,28656,NaN
1530288600,28637,28637,28637,28637,2,1.75,28655,NaN
1530288900,28642,28642,28642,28642,1,1.6,28655,NaN
1530289500,28637,28637,28628,28628,3,1.7,28651.5,-1
1530290700,28617,28617,28610,28610,2,1.75,28648.35,-1
1530291300,28618,28633,28618,28633,2,1.8,28643.748,1
1530580200,28377,28377,28377,28377,3,1.9,28639.698239999998,NaN
1530580500,28416,28416,28250,28293,55,4.6,28633,-0.7409638554216867
1530580800,28290,28300,28264,28266,8,4.95,28571.72,-0.6666666666666666
1530581100,28280,28280,28280,28280,4,5,28520.2448,NaN
1530581400,28304,28320,28136,28160,50,7.45,28477.005632,-0.782608695652174
1530581700,28133,28133,27980,28025,44,9.45,28415.62461824,-0.7058823529411765
1530582000,28049,28100,28019,28033,47,11.75,28328.499694592,-0.19753086419753085
1530582300,27985,27989,27800,27800,35,13.45,28258.7997556736,-0.9788359788359788
1530582600,27807,27934,27807,27880,22,14.4,28167.03980453888,0.5748031496062992
1530582900,27900,27910,27828,27828,10,14.85,28093.631843631105,-0.8780487804878049
1530583200,27801,27868,27801,27838,12,15.35,28034.905474904885,0.5522388059701493
1530583500,27823,27870,27809,27849,9,15.7,27987.92437992391,0.4262295081967213
1530583800,27849,27926,27849,27924,14,16.25,27950.339503939125,0.974025974025974
1530584100,27910,28023,27910,28023,13,16.85,27800,1
1530584400,28031,28060,28019,28053,33,18.45,27822.3,0.5365853658536586
1530584700,28042,28053,28010,28030,5,18.6,27850.824,-0.27906976744186046
1530585000,28010,28014,27959,27959,15,19.3,27875.92512,-0.9272727272727272
1530585300,27958,27990,27892,27926,29,20.6,28060,-0.32653061224489793
1530585600,27880,27904,27870,27891,16,21.3,28043.2,0.3235294117647059
1530585900,27940,27950,27920,27920,7,21.55,28022.416,-0.6666666666666666
1530586200,27900,27930,27868,27880,16,22.2,28004.126080000002,-0.3225806451612903
1530586500,27879,27879,27852,27852,5,19.7,27985.0684288,-1
1530586800,27830,27859,27830,27859,2,19.4,27963.777480192002,1
1530587100,27828,27828,27770,27770,14,19.9,27939.69753375744,-1
1530587400,27783,27810,27783,27810,5,17.65,27905.75802700595,1
1530587700,27808,27808,27775,27775,6,15.75,27878.60642160476,-1
1530588000,27772,27850,27770,27846,9,13.85,27856.885137283807,0.925
1530588300,27846,27900,27846,27900,3,12.25,27770,1
1530588600,27902,27902,27877,27877,2,11.25,27770,-1
1530588900,27880,27880,27880,27880,1,10.8,27785.84,NaN
1530589200,27869,27926,27865,27926,18,11.1,27799.7792,0.9344262295081968
1530589500,27938,27950,27933,27947,8,11.05,27817.450112000002,0.5294117647058824
1530589800,27948,27948,27930,27933,4,10.55,27838.65809408,-0.8333333333333334
1530590100,27930,27956,27930,27956,7,10.25,27856.4727990272,1
1530594000,27937,27937,27937,27937,1,8.65,27874.387695202306,NaN
1530594300,27871,27913,27871,27913,2,8.5,27956,1
1530594600,28000,28037,27984,28037,16,8.55,27871,0.6981132075471698
1530594900,28036,28036,27996,28003,14,7.8,27871,-0.825
1530595200,27992,27992,27968,27969,6,7.3,27887.6,-0.9583333333333334
1530595500,27989,28053,27973,28053,17,7.8,27902.539999999997,0.8
