time,open,high,low,close,Volume,Volume MA,ParabolicSAR,ATR
1561684500,28500,28500,28500,28500,1,NaN,NaN,NaN
1561684800,28512,28512,28489,28496,11,NaN,28489,NaN
1561685100,28509,28518,28495,28495,21,NaN,28489,NaN
1561685400,28497,28497,28450,28460,11,NaN,28518,NaN
1561685700,28461,28470,28420,28430,18,NaN,28518,NaN
1561686000,28410,28420,28398,28420,10,NaN,28506.24,NaN
1561686300,28412,28412,28383,28404,5,NaN,28491.0864,NaN
1561686600,28403,28410,28403,28410,3,NaN,28473.792576,NaN
1561686900,28439,28439,28430,28430,2,NaN,28459.26576384,NaN
1561687200,28442,28449,28427,28449,7,NaN,28383,NaN
1561687500,28456,28456,28456,28456,1,NaN,28389.6,NaN
1561687800,28420,28426,28416,28426,4,NaN,28397.568,NaN
1561688100,28416,28426,28412,28425,7,NaN,28404.57984,NaN
1561688400,28428,28444,28403,28403,8,NaN,28456,26.571428571428573
1561688700,28403,28405,28383,28405,5,NaN,28450.7,26.244897959183675
1561689000,28407,28407,28395,28395,4,NaN,28444,25.22740524781341
1561689300,28403,28403,28350,28350,12,NaN,28436.68,27.21116201582674
1561689600,28359,28363,28351,28363,5,NaN,28424.5448,26.19607901469626
1561689900,28373,28394,28373,28394,3,NaN,28414.108528,26.53921622793224
1561690200,28379,28379,28375,28376,4,7.1,28405.13333408,26.000700783079935
1561690500,28340,28340,28340,28340,1,7.1,28397.4146673088,26.71493644143137
1561690800,28355,28355,28355,28355,3,6.7,28388.22832053939,25.878155267043415
1561691100,28356,28359,28356,28358,4,5.85,28380.511789253087,24.315429890826028
1561691400,28362,28396,28362,28396,7,5.65,28340,25.292899184338456
1561691700,28396,28396,28396,28396,1,4.8,28345.6,23.486263528314282
1561692000,28372,28372,28372,28372,2,4.4,28350.64,23.522958990577546
1561692300,28371,28371,28371,28371,2,4.25,28355.176,21.91417620553629
1561692600,28392,28392,28392,28392,2,4.2,28359.2584,21.848877905140842
1561692900,28400,28400,28400,28400,2,4.2,28362.932559999997,20.859672340487926
1561693500,28404,28404,28404,28404,1,3.9,28367.3806528,19.655410030453076
1561694100,28396,28396,28396,28396,1,3.9,28372.507361408,18.822880742563573
1561698600,28375,28375,28374,28375,7,4.05,28404,19.04981783238046
1561699200,28394,28400,28394,28400,2,3.8,28401,19.474830844353285
1561699500,28401,28401,28386,28386,3,3.55,28374,19.155200069756624
1561700100,28390,28390,28390,28390,1,3.35,28376.7,18.07268577905972
1561700700,28370,28370,28369,28370,3,3.3,28401,18.281779651984028
