time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1527264600,30152,30152,30152,30152,2,NaN,NaN,NaN
1527470100,30374,30374,30374,30374,1,NaN,30152,NaN
1527470400,30328,30330,30318,30330,4,NaN,30152,0.16666666666666666
1527470700,30330,30330,30327,30327,4,NaN,30174.2,-1
1527471000,30300,30300,30220,30220,6,NaN,30194.18,-1
1527471300,30211,30211,30160,30160,2,NaN,30374,-1
1527471600,30131,30151,30130,30146,6,NaN,30352.6,0.7142857142857143
1527471900,30151,30151,30151,30151,19,NaN,30325.888,NaN
1527472200,30140,30140,30140,30140,1,NaN,30302.381439999997,NaN
1527472500,30200,30200,30200,30200,2,NaN,30281.695667199998,NaN
1527472800,30220,30220,30220,30220,1,NaN,30263.492187136,NaN
1527473100,30230,30258,30230,30258,4,NaN,30130,1
1527473400,30265,30320,30265,30320,8,NaN,30142.8,1
1527473700,30340,30350,30320,30320,5,NaN,30164.064,-0.6666666666666666
1527474300,30350,30360,30350,30360,2,NaN,30190.09504,1
1527474600,30312,30312,30300,30300,4,NaN,30217.2798336,-1
1527474900,30310,30310,30310,30310,1,NaN,30240.115060224,NaN
1527475500,30305,30305,30305,30305,1,NaN,30259.29665058816,NaN
1527475800,30308,30308,30308,30308,1,NaN,30275.409186494053,NaN
1527476100,30323,30327,30323,30327,2,3.8,30288.943716655005,1
1527476400,30350,30353,30350,30353,3,3.85,30300.312721990205,1
1527476700,30347,30355,30345,30354,9,4.25,30309.862686471773,0.7
1527477000,30336,30337,30336,30337,8,4.45,30317.884656636288,1
1527477300,30352,30400,30352,30400,7,4.6,30324.62311157448,1
1527477600,30408,30408,30397,30397,3,4.45,30336,-1
1527477900,30374,30374,30370,30370,2,4.45,30350.4,-1
1527478200,30308,30319,30308,30319,2,4.25,30408,1
1527483600,30357,30357,30357,30357,1,3.35,30398,NaN
1527483900,30351,30351,30350,30350,2,3.4,30389,-1
1527484200,30348,30348,30348,30348,1,3.35,30380.9,NaN
1527485100,30339,30339,30339,30339,1,3.35,30373.61,NaN
1527486900,30380,30380,30380,30380,2,3.25,30308,NaN
1527487200,30400,30400,30400,30400,1,2.9,30315.2,NaN
1527488100,30350,30350,30350,30350,1,2.7,30325.376,NaN
1527488700,30354,30354,30354,30354,2,2.7,30334.33088,NaN
1527489000,30360,30360,30360,30360,1,2.55,30342.2111744,NaN
1527489300,30389,30389,30389,30389,1,2.55,30349.145833472,NaN
1527489600,30390,30390,30390,30390,1,2.55,30355.24833345536,NaN
1527489900,30400,30400,30400,30400,1,2.55,30360.61853344072,NaN
1527490200,30407,30424,30407,30424,3,2.6,30365.344309427834,1
1527490500,30418,30418,30418,30418,1,2.5,30373.556106107935,NaN
1527490800,30415,30415,30415,30415,2,2.15,30380.618251252825,NaN
1527491100,30450,30450,30450,30450,1,1.8,30386.69169607743,NaN
1527491400,30445,30445,30445,30445,1,1.5,30396.82102470504,NaN
1527492600,30420,30420,30420,30420,1,1.4,30405.329660752235,NaN
1527492900,30400,30420,30400,30412,4,1.5,30450,0.6
1527493200,30416,30430,30416,30430,4,1.6,30445,1
1527493500,30429,30432,30429,30432,4,1.75,30440.5,1
1527494700,30401,30401,30400,30400,3,1.8,30436.45,-1
1527495600,30375,30375,30375,30375,1,1.8,30432.805,NaN
1527495900,30359,30359,30359,30359,1,1.8,30425.8684,NaN
1527556200,30260,30260,30260,30260,1,1.75,30416.506824,NaN
1527556500,30252,30252,30150,30152,9,2.15,30391.46573216,-0.9803921568627451
1527556800,30150,30150,30150,30150,1,2.15,30348.0019003712,NaN
1527557100,30147,30163,30144,30159,7,2.4,30312.361558304383,0.631578947368421
1527557400,30200,30278,30185,30240,21,3.4,30278.689246643506,0.43010752688172044
1527557700,30200,30210,30190,30210,5,3.6,30278,0.5
1527558000,30248,30267,30248,30260,4,3.75,30144,0.631578947368421
1527558600,30285,30300,30285,30300,2,3.8,30156.3,1
1527558900,30269,30269,30250,30260,3,3.8,30173.543999999998,-0.47368421052631576
1527559200,30250,30250,30250,30250,1,3.8,30188.718719999997,NaN
1527559500,30235,30235,30235,30235,1,3.75,30202.072473599997,NaN
1527560100,30230,30230,30228,30228,2,3.8,30213.823776767997,-1
1527560400,30227,30229,30227,30229,10,4.25,30224.164923555836,1
1527560700,30230,30230,30230,30230,1,4.25,30300,NaN
1527561000,30250,30250,30250,30250,1,4.1,30293,NaN
1527561600,30229,30240,30229,30240,3,4.05,30286.7,1
1527562200,30245,30245,30245,30245,2,3.95,30279.776,NaN
1527562500,30220,30220,30220,30220,1,3.85,30273.68288,NaN
1527563100,30216,30216,30200,30200,3,3.95,30266.1672768,-1
1527563400,30229,30229,30195,30195,10,4.4,30255.580512512,-1
1527563700,30175,30180,30175,30180,2,4.45,30244.676020259838,1
1527564000,30168,30168,30140,30140,5,4.25,30230.740816207872,-1
1527564300,30129,30131,30129,30131,2,4.3,30212.592652966297,1
1527564600,30128,30128,30110,30110,2,4.05,30195.87412237304,-1
1527564900,30139,30139,30139,30139,1,3.05,30178.69929789843,NaN
1527565200,30142,30143,30142,30143,2,2.9,30164.959438318743,1
1527565500,30162,30162,30162,30162,1,2.75,30110,NaN
1527566100,30172,30172,30172,30172,2,2.75,30115.2,NaN
1527570600,30163,30163,30163,30163,3,2.75,30122.016,NaN
1527570900,30176,30176,30176,30176,1,2.75,30128.01408,NaN
1527571200,30145,30145,30145,30145,1,2.75,30134.7321088,NaN
1527571500,30136,30136,30136,30136,1,2.7,30176,NaN
1527571800,30168,30168,30168,30168,1,2.25,30172,NaN
1527573600,30160,30160,30158,30158,2,2.3,30168.4,-1
1527573900,30158,30170,30152,30170,4,2.45,30136,0.6666666666666666
1527574200,30184,30184,30184,30184,1,2.35,30139.4,NaN
1527574800,30200,30200,30192,30192,2,2.35,30144.752,-1
1527575400,30150,30150,30150,30150,1,2.35,30200,NaN
1527575700,30130,30130,30121,30121,3,2.35,30200,-1
1527576000,30110,30110,30101,30101,3,2,30190.52,-1
1527576300,30090,30102,30090,30100,3,2.05,30177.9872,0.8333333333333334
1527576600,30120,30123,30116,30116,4,2,30163.909248,-0.5714285714285714
1527577200,30076,30076,30076,30076,1,1.95,30152.08376832,NaN
1527577500,30126,30126,30126,30126,5,2.1,30138.3886900224,NaN
1527577800,30130,30130,30126,30126,2,2.15,30076,-1
1527578100,30135,30135,30135,30135,1,2.1,30081.4,NaN
1527578400,30110,30110,30110,30110,1,2.1,30087.832000000002,NaN
1527578700,30098,30098,30090,30090,4,2.2,30135,-1
1527579000,30076,30080,30069,30080,4,2.25,30130.5,0.36363636363636365
1527579300,30060,30068,30054,30068,3,2.35,30123.12,0.5714285714285714
1527579600,30050,30050,30050,30050,3,2.45,30113.443199999998,NaN
1527579900,30050,30050,30038,30038,22,3.5,30103.292287999997,-1
1527580200,30033,30047,30033,30047,3,3.6,30091.53967616,1
1527580500,30058,30058,30058,30058,1,3.55,30079.831740928,NaN
1527580800,30054,30065,30051,30065,3,3.5,30070.4653927424,0.7857142857142857
1527581100,30063,30076,30063,30076,3,3.6,30033,1
1527582000,30050,30050,30050,30050,1,3.55,30037.3,NaN
1527582300,30063,30063,30045,30045,3,3.65,30041.17,-1
1527585300,30027,30027,30001,30001,2,3.6,30076,-1
1527585600,30019,30020,30019,30020,3,3.6,30068.5,1
1527586200,29988,29988,29977,29977,2,3.55,30061.75,-1
1527586500,30004,30004,30004,30004,1,3.4,30051.58,NaN
1527587100,29979,29979,29979,29979,1,3.4,30042.630400000002,NaN
1527587400,29985,29985,29985,29985,1,3.2,30034.754752,NaN
1527588000,30021,30021,30021,30021,1,3.15,30027.82418176,NaN
