time,open,high,low,close,Volume,Volume MA,ParabolicSAR,ATR
1560530700,26751,26760,26751,26760,2,NaN,NaN,NaN
1560734100,26880,27030,26880,27015,10,NaN,26751,NaN
1560734400,27005,27072,27005,27063,11,NaN,26751,NaN
1560734700,27070,27070,27039,27039,11,NaN,26789.52,NaN
1560735000,27021,27070,27020,27070,6,NaN,26823.4176,NaN
1560735300,27039,27173,27039,27173,18,NaN,26853.247488,NaN
1560735600,27188,27230,27188,27220,15,NaN,26898.01283968,NaN
1560735900,27250,27258,27250,27258,6,NaN,26951.1307853312,NaN
1560736200,27198,27219,27198,27219,3,NaN,27006.367243971585,NaN
1560736500,27250,27250,27241,27241,2,NaN,27051.661140056698,NaN
1560736800,27242,27242,27230,27230,2,NaN,27088.802134846494,NaN
1560737100,27218,27218,27214,27214,4,NaN,27119.257750574125,NaN
1560737400,27218,27250,27199,27199,3,NaN,27144.231355470783,NaN
1560737700,27200,27200,27200,27200,1,NaN,27164.70971148604,59.07142857142857
1560738000,27113,27113,27098,27099,5,NaN,27258,62.13775510204082
1560738300,27158,27158,27158,27158,1,NaN,27242,61.913629737609334
1560738600,27123,27123,27081,27100,7,NaN,27227.6,62.99122761349438
1560738900,27118,27118,27095,27095,3,NaN,27210.007999999998,60.134711355387644
1560739200,27102,27113,27102,27113,5,NaN,27194.527039999997,57.1250891157171
1560740100,27080,27080,27080,27080,2,5.85,27180.903795199996,55.40186846459445
1560741300,27060,27060,27027,27027,6,6.05,27166.777263871998,55.23030643140913
1560741600,27000,27012,26997,27008,6,5.85,27144.41290165248,53.428141686308486
1560741900,27002,27002,26968,26978,3,5.45,27117.878579355034,52.468988708715024
1560742200,26977,26977,26976,26976,2,5,27087.90286348403,48.864060943806805
1560742500,27010,27014,27010,27014,2,4.8,27063.922290787224,48.08805659067775
1560742800,27020,27020,27020,27020,1,3.95,27044.73783262978,45.08176683420077
1560743100,27030,27030,27030,27030,1,3.25,26968,42.57592634604357
1560747600,27068,27068,27068,27068,2,3.05,26974.2,42.249074464183316
1560747900,27058,27079,27058,27079,3,3.05,26985.456000000002,40.731283431027364
1560748500,27091,27091,27091,27091,2,3.05,26998.552160000003,38.6790489002397
1560748800,27074,27074,27066,27067,5,3.2,27013.343814400003,37.70197397879401
1560749100,27050,27050,27050,27050,1,3.05,27025.768804096002,36.223261551737295
1560749700,27043,27043,27043,27043,4,3.1,27036.20579544064,34.1358857266132
1560750000,27035,27035,27030,27030,2,3.15,27091,32.62617960328369
1560750300,27023,27041,27023,27041,2,3,27084.9,31.581452488763425
1560750600,27046,27046,27046,27046,1,3,27077.472,29.682777310994606
1560750900,27047,27047,27047,27047,1,2.7,27070.935360000003,27.634007503066417
1560751200,27024,27024,27024,27024,1,2.6,27065.183116800003,27.303006967133104
1560751800,27003,27003,27003,27003,1,2.4,27060.121142784003,26.852792183766457
1560752100,27000,27000,27000,27000,3,2.45,27052.124182794243,25.149021313497425
1560752400,27010,27010,27010,27010,1,2.2,27043.784313547163,24.06694836253332
1560752700,27000,27000,27000,27000,1,1.95,27036.778823379616,23.062166336638082
1560753000,26980,26980,26970,26970,2,1.9,27030.89421163888,23.557725884021075
1560753300,26960,26960,26960,26960,1,1.85,27019.93325354388,22.589316892305284
1560753600,26986,26986,26975,26975,5,2,27007.946602835105,22.832937114283478
1560753900,26975,26975,26975,26975,1,2,26998.357282268084,21.2020130346918
