time,open,high,low,close,Volume,Volume MA,ParabolicSAR,ATR
1535678100,27710,27710,27680,27680,5,NaN,NaN,NaN
1535678400,27679,27680,27638,27666,9,NaN,27710,NaN
1535678700,27664,27685,27663,27677,6,NaN,27710,NaN
1535679000,27703,27749,27702,27734,12,NaN,27638,NaN
1535679300,27725,27734,27700,27700,4,NaN,27649.1,NaN
1535679600,27670,27680,27656,27665,7,NaN,27749,NaN
1535679900,27670,27705,27650,27705,4,NaN,27739.7,NaN
1535680200,27696,27748,27696,27748,4,NaN,27650,NaN
1535680500,27735,27746,27735,27746,2,NaN,27650,NaN
1535680800,27724,27724,27685,27687,9,NaN,27659.8,NaN
1535681100,27673,27684,27665,27680,10,NaN,27748,NaN
1535681400,27673,27673,27673,27673,1,NaN,27739.7,NaN
1535681700,27676,27676,27661,27661,3,NaN,27732.23,NaN
1535682000,27681,27681,27681,27681,1,NaN,27723.682399999998,34.92857142857143
1535682300,27692,27692,27692,27692,1,NaN,27716.160512,33.21938775510204
1535682900,27709,27748,27709,27748,7,NaN,27661,34.846574344023324
1535683200,27763,27806,27763,27772,22,NaN,27669.7,36.50039046230737
1535683500,27758,27758,27734,27734,10,NaN,27686.056,36.60750542928542
1535683800,27728,27728,27701,27701,3,NaN,27700.44928,36.34982647005074
1535684100,27718,27741,27718,27738,4,6.2,27701,36.610553150761405
1535684400,27745,27745,27723,27723,2,6.05,27701,35.566942211421306
1535684700,27757,27805,27756,27783,14,6.3,27713.6,38.88358919631979
1535685000,27804,27808,27786,27786,4,6.2,27723,37.89190425372552
1535685300,27780,27780,27750,27750,6,5.9,27734.9,37.75676823560227
1535685600,27750,27757,27742,27757,3,5.85,27808,36.13128479020211
1535685900,27751,27765,27751,27757,3,5.65,27801.4,34.5504787337591
1535686500,27783,27783,27783,27783,1,5.5,27795.460000000003,33.93973025277631
1535686800,27808,27810,27802,27802,3,5.45,27742,33.44403523472086
1535687100,27798,27808,27796,27808,7,5.7,27748.8,31.912318432240795
1535687400,27818,27828,27815,27828,7,5.6,27754.92,31.061438544223595
1535687700,27830,27830,27828,27828,3,5.25,27763.689599999998,28.98562150535048
1535691600,27825,27865,27810,27810,9,5.65,27772.973056,30.843791397825445
1535691900,27850,27850,27830,27830,3,5.65,27787.69736704,31.49780629798077
1535692200,27848,27848,27831,27831,3,5.75,27800.0657883136,30.53367727669643
1535692500,27840,27860,27835,27838,9,6.15,27810.455262183426,30.42412889978954
1535692800,27833,27833,27820,27820,6,6.1,27819.18242023408,29.536691121233144
1535693100,27839,27855,27837,27847,6,5.3,27820,29.926927469716492
1535693400,27855,27882,27855,27872,8,5.2,27820,30.28928979330817
1535693700,27865,27865,27854,27854,3,5.2,27831.16,29.411483379500446
1535694000,27850,27850,27830,27830,4,5.2,27882,29.02494885239327
1535694600,27828,27828,27819,27820,4,5.3,27876.8,27.73745250579375
1535694900,27819,27822,27808,27808,4,4.8,27869.863999999998,26.756205898237056
1535695200,27800,27830,27795,27823,13,5.25,27861.203039999997,27.345048334077266
1535695500,27790,27790,27788,27788,5,5.2,27850.610553599996,27.89183059592889
1535695800,27798,27799,27798,27799,3,5.2,27839.340653951997,26.685271267648258
1535696100,27817,27817,27812,27813,4,5.25,27830.099336240637,26.064894748530524
1535696700,27830,27833,27826,27830,5,5.45,27788,25.63168798077834
1535697000,27837,27837,27811,27824,5,5.55,27792.5,25.657995982151316
1535697300,27818,27818,27810,27810,3,5.35,27797.84,24.82528198342622
1535697600,27800,27806,27790,27790,4,5.2,27837,24.48061898461006
1535697900,27783,27800,27783,27800,4,5.25,27832.3,23.94628905713791
1535698500,27803,27803,27803,27803,1,4.85,27826.384,22.450125553056633
1535698800,27795,27795,27756,27772,7,5.05,27821.17792,24.203688013552586
1535699100,27752,27769,27752,27769,12,5.5,27812.053011199998,23.903424584013116
1535699400,27775,27779,27770,27770,7,5.4,27802.444529408,22.910322828012177
1535699700,27767,27767,27744,27758,11,5.65,27794.37340470272,23.13101405458274
1535700000,27740,27740,27730,27732,7,5.7,27785.30619185623,23.47879876496969
1535700300,27735,27735,27735,27735,1,5.35,27774.244953484984,22.016027424614713
1535700600,27720,27720,27690,27690,10,5.7,27765.39596278799,23.657739751427947
1535700900,27694,27700,27694,27700,4,5.7,27750.31677023039,22.682186912040237
1535701200,27718,27726,27718,27726,3,5.65,27738.253416184314,22.919173561180223
1535701500,27741,27741,27741,27741,1,5.5,27690,22.353518306810205
1535701800,27750,27766,27750,27763,5,5.1,27695.1,22.54255271346662
1535702100,27749,27749,27749,27749,1,4.9,27703.608,21.932370376790434
1535702400,27742,27765,27742,27747,4,4.95,27711.09504,22.008629635591117
1535702700,27751,27753,27751,27753,5,5,27717.6836352,20.865156090191753
1535703000,27741,27753,27741,27753,5,5,27723.481598976,20.231930655178054
1535703300,27748,27752,27748,27748,3,4.9,27728.58380709888,19.14393560837962
1535703900,27760,27773,27760,27773,2,4.85,27733.073750247015,19.56222592206679
1535706900,27758,27758,27758,27758,3,4.8,27738.66342521243,19.23635264191916
1535708100,27711,27711,27711,27711,1,4.65,27773,21.219470310353504
1535709300,27698,27700,27698,27700,2,4.7,27766.8,20.632365288185394
1535709600,27683,27683,27680,27680,3,4.5,27758.543999999998,20.587196339029294
1535710200,27677,27677,27677,27677,1,3.95,27747.54784,19.33096802909863
1535710800,27683,27683,27673,27673,4,3.8,27736.2601856,18.66447031273444
1535711400,27688,27688,27688,27688,1,3.3,27724.873352192,18.40272243325341
1535712300,27695,27695,27695,27695,1,3,27715.53614879744,17.588242259449594
1535712600,27709,27709,27709,27709,2,3.05,27673,17.33193924091748
1535714100,27710,27710,27710,27710,1,2.6,27676.6,16.16537215228052
1535715000,27688,27688,27688,27688,1,2.45,27680.608,16.58213128426048
1535715300,27675,27675,27675,27675,1,2.35,27710,16.32626476395616
1535715600,27694,27694,27694,27694,1,2.35,27706.5,16.517245852245004
1535716200,27683,27683,27683,27683,2,2.2,27703.35,16.123156862798933
1535716500,27675,27675,27675,27675,1,2.2,27700.515,15.542931372599009
1535718900,27660,27660,27650,27650,3,2.15,27697.963499999998,16.218436274556222
1535719200,27652,27670,27644,27670,4,2.1,27692.207879999998,16.917119397802207
1535720700,27664,27664,27664,27664,1,1.9,27685.4587768,16.13732515510205
1535721300,27670,27670,27670,27670,1,1.8,27679.654548047998,15.413230501166192
1535722200,27689,27689,27689,27689,1,1.75,27644,15.669428322511465
1535722800,27698,27698,27698,27698,1,1.65,27648.5,15.193040585189218
1535723400,27698,27698,27698,27698,1,1.65,27654.44,14.107823400532846
1535723700,27714,27714,27714,27714,2,1.65,27659.6672,14.242978871923357
1535724000,27734,27734,27734,27734,1,1.55,27667.273792,14.654194666785974
1535724300,27750,27765,27750,27765,4,1.7,27677.94998528,15.821752190586976
1535724600,27780,27840,27780,27840,8,1.9,27693.6189879296,20.048769891259333
1535724900,27832,27852,27806,27806,14,2.55,27722.89519034368,21.90242918474081
1535725200,27820,27820,27802,27802,3,2.65,27748.716152274945,21.62368424297361
1535726100,27808,27808,27808,27808,1,2.6,27769.372921819955,20.50770679704692
1535726700,27758,27758,27758,27758,1,2.6,27852,22.614299168686426
1535727000,27740,27746,27740,27746,5,2.8,27842.6,22.28470637092311
1535727300,27755,27755,27755,27755,1,2.8,27830.288,21.33579877300003
1535727900,27738,27738,27700,27700,6,3.05,27819.45344,23.7403845749286
1535728200,27700,27707,27700,27700,5,3.2,27802.7299584,22.54464281957656
1535728800,27681,27681,27671,27671,3,3.3,27788.347764224,23.00573976103538
1535729100,27670,27670,27630,27630,6,3.45,27769.57212194816,24.291044063818564
1535729700,27625,27630,27620,27630,4,3.45,27744.44913999749,23.270255202117237
1535730000,27651,27651,27628,27628,3,3.55,27719.559311997993,23.250951259108863
1535730300,27640,27640,27640,27640,1,3.55,27699.647449598393,22.44731188345823
1535730600,27644,27644,27640,27643,3,3.65,27683.717959678714,21.1296467489255
1535730900,27608,27611,27608,27611,2,3.7,27670.974367742972,22.12038626685939
1535731200,27600,27602,27584,27584,9,4.1,27658.379494194378,22.468930104940863
1535731500,27590,27592,27570,27570,6,4.3,27643.5035953555,22.435435097445087
1535731800,27591,27591,27590,27590,2,4.35,27628.8028762844,22.33290401905615
1535732700,27566,27566,27559,27559,3,4.3,27617.04230102752,22.951982303409284
1535733000,27580,27580,27580,27580,1,3.95,27605.433840822014,22.812554996022907
1535733300,27588,27593,27588,27593,2,3.35,27596.14707265761,22.1116582105927
1535733600,27596,27596,27595,27595,2,3.3,27559,20.746539766978938
1535733900,27600,27600,27600,27600,1,3.3,27562.7,19.621786926480443
1535734200,27598,27598,27598,27598,1,3.3,27567.176,18.363087860303267
1535734500,27606,27609,27606,27609,3,3.2,27571.11488,17.83715301313875
1535937300,27670,27680,27646,27660,17,4,27576.4187968,21.634499226485982
1535937600,27687,27708,27687,27688,16,4.5,27592.991789312,23.517749281736986
1535937900,27677,27700,27675,27700,6,4.55,27613.69326723584,23.623624333041487
1535938200,27700,27708,27650,27703,20,5.4,27630.66847913339,26.079079737824237
1535938500,27730,27730,27660,27660,11,5.65,27644.58815288938,29.216288327979647
1535938800,27662,27700,27662,27700,8,5.85,27650,29.986553447409673
1535939100,27704,27704,27698,27700,4,5.9,27660,28.273228201166123
1535939400,27671,27698,27671,27698,2,5.95,27730,28.3251404725114
1535939700,27708,27776,27708,27745,31,7.35,27671,31.87334472447487
1535940000,27742,27742,27655,27655,13,7.9,27776,36.02524867272667
1535940300,27650,27651,27635,27642,5,7.7,27776,34.88058805324619
1535940600,27630,27661,27630,27661,3,7.55,27759.08,34.603403192300036
1535940900,27641,27641,27628,27629,5,7.7,27741.008800000003,34.488874392850036
1535941200,27630,27630,27618,27618,2,7.65,27722.927392,32.882526221932174
1535941500,27610,27610,27580,27580,8,8,27704.04046144,33.24806006322273
1535941800,27581,27602,27575,27602,12,8.5,27679.232369152,32.80177005870682
1535942100,27605,27613,27605,27613,3,8.55,27658.3858953216,31.244500768799192
1535942400,27610,27610,27608,27608,2,8.6,27641.70871625728,29.369893571027823
1535942700,27609,27621,27580,27621,14,9.25,27628.366973005825,30.200615458811548
1535943000,27650,27665,27634,27636,9,9.55,27575,31.18628578318215
1535943300,27648,27650,27640,27650,7,9.05,27580,29.958693941526285
1535943600,27636,27643,27626,27628,6,8.55,27588.5,29.533072945702976
1535944200,27600,27600,27600,27600,2,8.35,27596.15,29.42356773529562
1535944500,27585,27585,27544,27544,17,8.2,27665,31.321884325631647
1535944800,27540,27540,27520,27520,14,8.35,27652.9,30.798892588086527
1535945100,27527,27555,27527,27542,13,8.6,27636.952,31.09897168893749
1535945400,27540,27540,27528,27536,5,8.65,27622.91776,29.877616568299096
1535945700,27535,27535,27530,27530,2,8.65,27610.5676288,28.1720725277063
1535946000,27554,27554,27554,27554,1,7.15,27599.699513344,27.87406734715585
1535946300,27559,27559,27559,27559,1,6.55,27590.13557174272,26.240205393787573
1535946600,27570,27595,27570,27595,5,6.55,27520,26.9373335799456
1535946900,27586,27586,27579,27579,2,6.5,27527.5,26.156095467092346
1535950800,27578,27578,27563,27563,3,6.4,27534.25,25.43066007658575
1535951400,27550,27550,27550,27550,1,6.35,27540.325,24.542755785401052
1535952000,27575,27575,27548,27556,3,6.1,27545.7925,24.71827322930098
1535952300,27555,27570,27555,27570,2,5.6,27548,24.02411085577948
1535952600,27552,27552,27552,27552,1,5.5,27595,23.5938172232238
1535952900,27570,27610,27570,27610,9,5.85,27552,26.051401707279243
1535953200,27625,27625,27625,27625,2,5.25,27552,25.262015871045012
1535953500,27580,27580,27580,27580,1,4.85,27560.76,26.67187188025608
1535953800,27575,27575,27575,27575,1,4.55,27568.4688,25.12388103166636
1535954100,27569,27569,27569,27569,2,4.35,27625,23.75788952940448
1535954400,27566,27566,27562,27562,2,4.35,27619.4,22.5608974201613
1535954700,27570,27572,27570,27572,2,3.6,27612.512000000002,21.663690461578348
1535955000,27581,27581,27581,27581,1,2.95,27606.45056,20.75914114289418
1535955300,27599,27599,27598,27598,2,2.4,27601.1164928,20.562059632687454
1535955600,27610,27640,27610,27640,2,2.25,27562,22.093341087495496
1535955900,27630,27630,27630,27630,3,2.3,27569.8,21.229531009817244
1535956200,27634,27650,27630,27650,5,2.5,27576.82,21.141707366258867
1535956500,27638,27638,27630,27630,4,2.65,27585.601599999998,21.060156840097516
1535956800,27625,27625,27620,27620,2,2.5,27593.329407999998,20.27014563723341
1535957100,27611,27612,27611,27612,3,2.55,27600.12987904,19.465135234573882
1535957400,27622,27623,27622,27623,4,2.6,27606.114293555198,18.860482717818602
