time,open,high,low,close,Volume,Volume MA,ParabolicSAR,ATR
1538097300,27865,27865,27865,27865,1,NaN,NaN,NaN
1538097600,27855,27855,27836,27836,3,NaN,27865,NaN
1538097900,27836,27840,27824,27826,5,NaN,27865,NaN
1538098200,27838,27853,27838,27852,7,NaN,27860.08,NaN
1538098500,27904,27935,27880,27880,16,NaN,27824,NaN
1538098800,27868,27915,27860,27915,11,NaN,27835.1,NaN
1538099100,27925,27925,27870,27890,14,NaN,27845.09,NaN
1538099400,27870,27870,27850,27850,5,NaN,27935,NaN
1538099700,27838,27840,27810,27838,14,NaN,27926.5,NaN
1538100000,27845,27864,27845,27864,5,NaN,27912.52,NaN
1538100300,27856,27856,27817,27848,10,NaN,27900.2176,NaN
1538100600,27800,27811,27800,27811,4,NaN,27889.391488,NaN
1538100900,27837,27886,27837,27882,10,NaN,27800,NaN
1538101200,27900,27900,27847,27859,8,NaN,27800,42.42857142857143
1538101500,27845,27845,27828,27837,7,NaN,27812,41.61224489795918
1538101800,27830,27878,27830,27871,7,NaN,27822.56,42.06851311953352
1538102100,27880,27885,27870,27874,8,NaN,27828,40.13504789670969
1538102400,27868,27899,27868,27899,3,NaN,27830,39.48254447551614
1538102700,27881,27881,27849,27869,6,NaN,27838.4,40.23379129869356
1538103000,27869,27900,27859,27900,9,7.65,27845.792,40.28852049164402
1538103300,27902,27902,27880,27880,7,7.95,27849,38.98219759938373
1538103600,27857,27884,27853,27884,5,8.05,27902,38.41204062799918
1538103900,27892,27915,27877,27877,8,8.2,27853,38.38260915457067
1538104200,27916,27916,27912,27912,2,7.95,27853,38.42670850067277
1538104800,27920,27924,27920,27924,4,7.35,27860.56,36.539086464910426
1538105100,27935,27950,27926,27926,7,7.15,27869.441600000002,35.78629457455968
1538105400,27900,27900,27895,27895,2,6.55,27882.330944,35.44441639066256
1538105700,27922,27922,27922,27922,1,6.35,27893.15799296,34.84124379132952
1538106000,27911,27911,27911,27911,2,5.75,27895,33.138297806234554
1538106300,27910,27910,27910,27910,1,5.55,27903.8,30.84270510578923
1538106600,27905,27905,27905,27905,1,5.1,27950,28.996797598232856
1538106900,27917,27917,27917,27917,2,5,27945.5,27.78274062693051
1538110800,27913,27913,27908,27908,2,4.6,27941.45,26.441116296435474
1538111100,27905,27905,27893,27893,2,4.3,27937.805,25.62389370383294
1538111400,27887,27887,27858,27858,4,4.15,27932.4284,26.293615582130588
1538111700,27857,27862,27840,27862,10,4.3,27922.008424,25.98692875483555
1538112000,27867,27867,27860,27860,2,4,27908.88707616,24.630719558061582
1538112300,27880,27889,27880,27889,4,4.05,27897.865143974403,24.94281101820004
1538112600,27887,27905,27884,27905,3,3.9,27840,24.66118165975718
1538112900,27887,27887,27887,27887,1,3.5,27846.5,24.185382969774526
1538113200,27904,27904,27904,27904,1,3.2,27852.35,23.672141329076346
1538113500,27870,27870,27870,27870,2,3.05,27857.614999999998,24.40984551985661
1538114100,27854,27859,27830,27859,3,2.8,27905,25.523427982723994
1538114400,27864,27864,27860,27860,2,2.8,27897.5,24.05746884110085
1538114700,27847,27847,27800,27800,4,2.8,27890.75,26.624792495307933
1538115000,27799,27806,27763,27763,11,3,27879.86,27.79445017421451
1538115300,27750,27750,27749,27749,3,3.05,27863.4996,26.80913230462776
1538115600,27755,27767,27750,27764,7,3.35,27845.179664,26.17990856858292
1538115900,27769,27774,27768,27774,6,3.55,27829.790917759998,25.02420081368414
1538116200,27783,27783,27779,27779,4,3.7,27816.8643709184,23.87961504127813
1538116500,27760,27760,27757,27757,3,3.8,27806.006071571457,23.745356824043977
1538116800,27740,27747,27718,27747,10,4.2,27796.885100120024,24.834974193755123
1538117100,27746,27768,27744,27764,13,4.75,27782.68578209842,24.77533317991547
1538117400,27766,27766,27742,27742,6,4.95,27771.042341320703,24.719952238492937
1538117700,27729,27743,27714,27714,7,5.1,27768,25.025669935743444
1538118000,27715,27715,27670,27688,15,5.35,27766,26.452407797476052
1538118300,27671,27699,27671,27699,3,5.4,27746.8,26.562950097656334
1538118900,27725,27751,27725,27744,7,5.55,27670,28.379882233538023
