time,open,high,low,close,Volume,Volume MA,ParabolicSAR,ATR
1567796100,26700,26700,26700,26700,2,NaN,NaN,NaN
1567991700,26689,26772,26689,26757,6,NaN,26772,NaN
1567992000,26757,26768,26752,26768,12,NaN,26689,NaN
1567992300,26777,26790,26777,26790,12,NaN,26689,NaN
1567992600,26770,26830,26754,26799,15,NaN,26701.12,NaN
1567992900,26777,26802,26768,26798,9,NaN,26719.1632,NaN
1567993200,26758,26800,26750,26800,6,NaN,26734.680352,NaN
1567993500,26793,26793,26688,26690,9,NaN,26830,NaN
1567993800,26722,26732,26715,26715,5,NaN,26815.8,NaN
1567994100,26706,26706,26673,26673,4,NaN,26803.02,NaN
1567994400,26651,26651,26650,26650,3,NaN,26787.4176,NaN
1567994700,26675,26681,26675,26681,2,NaN,26768.179136,NaN
1567995000,26644,26644,26644,26644,1,NaN,26751.63405696,NaN
1567995300,26645,26649,26645,26649,3,NaN,26734.4126078464,40.92857142857143
1567995600,26700,26714,26700,26714,3,NaN,26719.946590590975,42.64795918367347
1567995900,26705,26727,26705,26725,7,NaN,26644,41.173104956268226
1567996200,26722,26752,26722,26752,3,NaN,26652.3,40.37502603082049
1567997100,26746,26746,26730,26730,4,NaN,26664.264,39.06252417147617
1567997400,26726,26726,26726,26726,1,NaN,26674.79232,36.558058159227876
1567997700,26700,26708,26700,26702,3,5.5,26684.0572416,35.80391114785446
1567998300,26690,26693,26690,26693,3,5.55,26752,34.103631780150565
1567998600,26688,26688,26688,26688,2,5.35,26745.8,32.02480093871124
1567999200,26675,26675,26675,26675,1,4.8,26738.863999999998,30.665886585946147
1567999800,26703,26703,26703,26703,1,4.25,26729.923039999998,30.47546611552142
1568000100,26710,26710,26710,26710,1,3.55,26722.2338144,28.79864710726989
1568000400,26691,26691,26691,26691,1,3.15,26715.621080384,28.098743742464897
1568001000,26680,26680,26680,26680,1,2.9,26710,26.877404903717405
1568001300,26680,26680,26680,26680,1,2.5,26705.1,24.957590267737594
1568005200,26688,26705,26688,26705,3,2.4,26675,24.960619534327765
1568005500,26716,26716,26716,26716,1,2.25,26678,23.963432424732925
1568005800,26724,26724,26721,26721,2,2.2,26682.56,22.823187251537718
1568006100,26727,26739,26727,26733,4,2.3,26688.3616,22.47867387642788
1568006400,26733,26750,26724,26750,5,2.5,26696.463744,22.730197170968747
1568006700,26740,26740,26740,26740,1,2.4,26706.10027008,21.82089737304241
1568007000,26755,26755,26755,26755,1,2.3,26714.002221465602,21.333690417825096
1568007300,26740,26740,26740,26740,1,2,26722.201777172482,20.881283959409018
1568007600,26743,26743,26730,26730,2,1.95,26728.761421737985,20.318335105165517
1568007900,26718,26718,26706,26706,3,1.9,26755,20.581311169082262
1568008200,26700,26700,26697,26697,4,2.05,26750.1,19.75407465700496
1568008800,26689,26689,26689,26689,1,1.95,26743.728,18.914497895790323
1568009700,26705,26705,26705,26705,1,1.85,26736.06608,18.706319474662443
1568010600,26696,26696,26696,26696,1,1.8,26729.4768288,18.013010940757983
1568012400,26720,26720,26720,26720,1,1.8,26723.810072768,18.44065301641813
1568013000,26709,26720,26709,26720,2,1.85,26689,17.90917780095969
1568013300,26708,26708,26702,26702,2,1.9,26692.1,17.91566510089114
1568014200,26688,26688,26688,26688,2,1.95,26720,17.635974736541773
1568014500,26675,26675,26675,26675,1,1.95,26716.8,17.304833683931644
1568014800,26666,26666,26666,26666,1,1.95,26711.784,16.711631277936526
1568015100,26675,26675,26675,26675,3,1.95,26705.37424,16.160800472369633
1568015700,26688,26688,26688,26688,1,1.95,26699.8618464,15.935029010057518
1568016000,26700,26700,26700,26700,1,1.9,26666,15.653955509339124
1568016300,26680,26680,26680,26680,1,1.75,26669.4,15.964387258672044
1568016600,26698,26698,26698,26698,1,1.55,26672.460000000003,16.109788168766897
1568017200,26678,26678,26678,26678,1,1.55,26675.214000000004,16.387660442426405
1568021100,26693,26693,26693,26693,1,1.55,26677.692600000002,16.288541839395947
1568022300,26708,26711,26708,26711,2,1.6,26678,16.410788850867664
1568022900,26726,26726,26726,26726,2,1.6,26681.96,16.31001821866283
1568025600,26715,26715,26715,26715,1,1.5,26688.1256,15.930731203044056
1568026800,26701,26701,26701,26701,2,1.4,26693.428015999998,15.792821831398053
1568028600,26700,26700,26700,26700,1,1.4,26697.98809376,14.736191700583905
1568031300,26717,26717,26717,26717,1,1.4,26700,14.897892293399341
1568032800,26723,26723,26723,26723,1,1.4,26700,14.262328558156531
1568034900,26717,26717,26717,26717,2,1.45,26703.64,13.672162232573921
1568035200,26718,26718,26718,26718,1,1.4,26706.7704,12.76700778739007
1568036700,26719,26719,26719,26719,1,1.35,26709.462544,11.926507231147921
1568037600,26716,26716,26716,26716,2,1.35,26711.77778784,11.288899571780211
1568038200,26732,26742,26732,26742,5,1.55,26713.768897542403,12.339692459510195
1568038500,26748,26748,26748,26748,1,1.55,26716,11.886857283830894
1568040000,26733,26733,26732,26732,4,1.6,26721.76,12.180653192128688
1568041200,26760,26760,26760,26760,1,1.6,26726.4832,13.310606535548066
1568041500,26757,26757,26757,26757,1,1.6,26732,12.574134640151774
1568041800,26770,26780,26770,26780,4,1.75,26737.6,13.318839308712361
1568042100,26770,26770,26769,26769,3,1.85,26746.079999999998,13.15320792951862
1568042400,26777,26777,26777,26777,1,1.85,26752.863999999998,12.78512164883872
1568043300,26780,26780,26780,26780,1,1.85,26758.2912,12.086184388207384
1568043900,26772,26772,26772,26772,1,1.8,26762.63296,11.794314074764
1568044800,26789,26789,26789,26789,1,1.75,26766.106368,12.166148783709428
1568045700,26762,26762,26762,26762,1,1.75,26789,13.22570958487304
1568046000,26749,26749,26749,26749,1,1.7,26789,13.209587471667822
1568046300,26737,26737,26724,26724,2,1.75,26784.2,14.05175979512012
1568046900,26702,26702,26702,26702,1,1.75,26775.772,14.619491238325825
1568047500,26712,26712,26712,26712,1,1.75,26763.96848,14.28952757844541
1568047800,26712,26712,26712,26712,1,1.7,26754.0535232,13.268847037127882
1568048700,26738,26738,26738,26738,1,1.7,26745.724959488,14.178215105904462
1568051100,26737,26737,26737,26737,1,1.7,26738.72896596992,13.236914026911284
1568051400,26751,26757,26751,26757,3,1.75,26702,13.71999159641762
1568055000,26789,26789,26789,26789,1,1.55,26707.5,15.02570648238779
1568077800,26778,26778,26778,26778,8,1.9,26717.28,14.73815601936009
1568078100,26778,26848,26778,26848,24,2.9,26725.8864,18.685430589405797
1568078400,26847,26870,26847,26870,12,3.45,26742.982304,18.99361411873395
1568078700,26888,26920,26888,26915,15,4.15,26763.305135360002,21.208355967395814
