time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1417137300,24042,24056,24042,24050,10,NaN,NaN,0.5714285714285714
1417137600,24042,24042,24042,24042,2,NaN,24056,NaN
1417137900,24048,24049,24044,24044,4,NaN,24056,-0.8
1417138200,24000,24007,24000,24007,3,NaN,24054.6,1
1417138500,24003,24015,24003,24015,2,NaN,24049,1
1417139400,24050,24050,24048,24048,4,NaN,24000,-1
1417139700,24032,24032,24032,24032,1,NaN,24003,NaN
1417140000,24008,24008,23990,23999,14,NaN,24050,-0.5
1417140300,24010,24010,24000,24000,2,NaN,24044,-1
1417140600,23999,23999,23999,23999,1,NaN,24038.6,NaN
1417141200,24008,24008,24000,24000,3,NaN,24033.739999999998,-1
1417141800,23996,23996,23989,23989,3,NaN,24029.365999999998,-1
1417142400,23979,23979,23941,23947,17,NaN,24024.52208,-0.8421052631578947
1417142700,23948,23969,23948,23965,6,NaN,24012.8289888,0.8095238095238095
1417143000,23955,23961,23955,23961,2,NaN,24002.772930368,1
1417143300,23970,23970,23970,23970,2,NaN,23994.12472011648,NaN
1417143600,23971,23971,23969,23969,6,NaN,23986.68725930017,-1
1417143900,23969,23992,23969,23992,4,NaN,23941,1
1417144200,23995,24000,23985,23990,17,NaN,23946.1,-0.3333333333333333
1417144500,24003,24003,23994,23994,6,5.45,23952.568,-1
1417144800,24000,24002,23994,23995,16,5.75,23959.62848,-0.625
1417145100,24002,24002,24002,24002,2,5.75,23965.7004928,NaN
1417146000,24024,24032,24024,24032,4,5.75,23970.922423808,1
1417146300,24040,24055,24038,24038,4,5.8,23980.69483599872,-0.11764705882352941
1417146600,24040,24040,24040,24040,1,5.75,23994.06976551895,NaN
1417146900,24033,24033,24030,24030,2,5.65,24005.037207725538,-1
1417150800,24065,24088,24065,24088,14,6.3,24014.030510334942,1
1417151400,24103,24104,24096,24100,4,5.8,24028.824408267952,-0.375
1417151700,24150,24185,24150,24162,6,6,24043.85952661436,0.34285714285714286
1417152000,24125,24125,24125,24125,1,6,24072.087621291488,NaN
