time,open,high,low,close,Volume,Volume MA
1606727700,26455,26520,26455,26500,6,NaN
1606728000,26466,26466,26466,26466,1,NaN
1606728300,26466,26466,26461,26461,2,NaN
1606728900,26450,26450,26450,26450,2,NaN
1606729200,26455,26460,26455,26460,2,NaN
1606730100,26470,26470,26470,26470,1,NaN
1606731600,26460,26460,26459,26459,2,NaN
1606731900,26473,26473,26473,26473,1,NaN
1606732500,26469,26469,26463,26463,3,NaN
1606733700,26470,26470,26470,26470,1,NaN
1606735200,26455,26458,26455,26458,2,NaN
1606735800,26444,26444,26421,26421,5,NaN
1606736100,26420,26425,26420,26425,4,NaN
1606736700,26434,26447,26434,26447,3,NaN
1606737300,26462,26462,26462,26462,1,NaN
1606737600,26467,26467,26467,26467,2,NaN
1606737900,26466,26478,26466,26478,2,NaN
1606738200,26479,26479,26479,26479,1,NaN
1606738500,26489,26489,26489,26489,1,NaN
1606738800,26500,26500,26500,26500,1,NaN
1606739400,26497,26508,26497,26508,6,NaN
1606739700,26510,26513,26510,26513,2,NaN
1606740000,26500,26500,26500,26500,1,NaN
1606740300,26513,26513,26498,26500,6,NaN
1606740900,26491,26491,26491,26491,2,NaN
1606741500,26495,26495,26495,26495,1,NaN
1606743000,26494,26494,26494,26494,1,NaN
1606743300,26486,26486,26486,26486,1,NaN
1606743900,26498,26498,26498,26498,1,NaN
1606744200,26499,26499,26499,26499,1,NaN
1606745100,26515,26515,26515,26515,2,NaN
1606745700,26503,26503,26503,26503,1,NaN
1606746300,26492,26497,26492,26497,2,NaN
1606746600,26478,26478,26460,26460,3,NaN
1606746900,26430,26457,26430,26457,7,NaN
1606747200,26455,26464,26454,26464,3,NaN
1606747500,26479,26479,26479,26479,1,NaN
1606747800,26465,26465,26460,26460,3,NaN
1606748700,26470,26470,26470,26470,1,NaN
1606749300,26453,26453,26453,26453,1,NaN
1606749600,26450,26457,26450,26457,3,NaN
1606749900,26448,26448,26436,26436,4,NaN
1606750200,26435,26435,26410,26410,4,NaN
1606750500,26403,26404,26400,26400,12,NaN
1606750800,26400,26400,26362,26362,13,NaN
1606751100,26355,26389,26355,26389,4,NaN
1606751400,26386,26386,26385,26385,2,NaN
1606751700,26380,26380,26380,26380,1,NaN
1606752000,26365,26365,26365,26365,1,NaN
1606752900,26390,26394,26361,26361,5,NaN
1606753200,26359,26368,26350,26350,5,NaN
1606753500,26342,26342,26325,26325,9,NaN
1606753800,26310,26317,26300,26300,6,NaN
1606754400,26317,26324,26317,26324,2,NaN
1606754700,26306,26306,26306,26306,1,NaN
1606755000,26318,26318,26318,26318,1,NaN
1606755300,26318,26318,26318,26318,2,NaN
1606755600,26317,26317,26317,26317,2,NaN
1606755900,26328,26328,26328,26328,2,NaN
1606756500,26346,26346,26325,26325,3,NaN
1606756800,26321,26321,26321,26321,2,NaN
1606758000,26337,26337,26337,26337,2,NaN
1606758300,26322,26322,26322,26322,2,NaN
1606758600,26342,26345,26340,26345,4,NaN
1606758900,26345,26345,26342,26342,3,NaN
1606761900,26357,26357,26357,26357,1,NaN
1606762500,26349,26349,26349,26349,1,NaN
1606785300,26420,26510,26420,26460,17,NaN
1606785600,26463,26477,26458,26468,20,NaN
1606785900,26483,26488,26474,26488,14,NaN
1606786200,26448,26448,26415,26435,7,NaN
1606786500,26435,26454,26399,26410,12,NaN
1606786800,26425,26475,26415,26469,13,NaN
1606787100,26480,26489,26464,26489,9,NaN
1606787400,26490,26495,26470,26470,14,NaN
1606787700,26473,26497,26454,26476,36,NaN
1606788000,26467,26480,26448,26480,7,NaN
1606788300,26490,26499,26490,26499,3,NaN
1606788600,26467,26526,26465,26510,24,NaN
1606788900,26516,26541,26516,26530,21,NaN
