time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1451524800,21876,21876,21876,21876,1,NaN,NaN,NaN
1451525100,21915,21915,21915,21915,3,NaN,21876,NaN
1451525400,21930,21969,21930,21969,7,NaN,21876,1
1451525700,21980,21996,21971,21971,9,NaN,21887.16,-0.36
1451526300,21980,21980,21974,21980,3,NaN,21902.3976,0
1451526600,21965,21965,21952,21952,5,NaN,21915.501936,-1
1451526900,21963,21963,21963,21963,1,NaN,21926.77166496,NaN
1451527200,21955,21959,21945,21945,3,NaN,21936.4636318656,-0.7142857142857143
1451527500,21950,21950,21950,21950,1,NaN,21944.798723404416,NaN
1451528100,21973,21973,21973,21973,1,NaN,21945,NaN
1451529000,21941,21941,21940,21940,3,NaN,21996,-1
1451529600,21934,21934,21934,21934,1,NaN,21990.4,NaN
1451529900,21940,21940,21940,21940,2,NaN,21983.632,NaN
1451530200,21928,21928,21928,21928,1,NaN,21977.676160000003,NaN
1451530800,21920,21920,21912,21914,5,NaN,21970.721497600003,-0.75
1451531100,21909,21909,21902,21902,3,NaN,21961.326057984003,-1
1451531400,21895,21895,21880,21880,7,NaN,21950.64736754688,-1
1451531700,21886,21886,21884,21884,2,NaN,21936.517894037504,-1
1451532000,21901,21901,21896,21896,2,NaN,21925.214315230005,-1
1451532300,21882,21882,21882,21882,1,3.05,21916.171452184004,NaN
1451533200,21910,21925,21910,21925,3,3.15,21880,1
1451534100,21906,21915,21906,21914,4,3.2,21882,0.8888888888888888
1451870100,21832,21852,21711,21738,65,6.1,21925,-0.6666666666666666
1451870400,21729,21729,21650,21661,18,6.55,21915,-0.8607594936708861
1451870700,21661,21675,21660,21666,6,6.7,21883.2,0.3333333333333333
1451871000,21678,21684,21650,21650,10,6.95,21855.216,-0.8235294117647058
1451871300,21659,21659,21587,21590,24,8.1,21830.59008,-0.9583333333333334
1451871600,21584,21601,21584,21601,3,8.1,21796.4874688,1
1451871900,21576,21576,21541,21555,14,8.75,21762.489473792,-0.6
1451872200,21518,21518,21474,21480,7,9.05,21722.62136850944,-0.8636363636363636
1451872500,21486,21500,21471,21500,6,9.2,21672.89709480755,0.4827586206896552
1451872800,21477,21477,21450,21450,7,9.5,21632.51767584604,-1
1451873100,21430,21436,21416,21416,6,9.7,21596.01414067683,-0.7
1451873400,21400,21420,21397,21420,8,10.05,21560.011312541465,0.8695652173913043
1451873700,21415,21432,21414,21432,5,10.05,21527.409050033173,0.9444444444444444
1451874000,21433,21450,21433,21440,3,10.05,21501.327240026538,0.4117647058823529
1451874300,21430,21430,21430,21430,1,9.75,21480.46179202123,NaN
1451874600,21405,21432,21405,21432,2,9.75,21463.769433616984,1
1451874900,21409,21417,21405,21417,4,9.85,21450.415546893586,0.6666666666666666
1451875200,21409,21409,21409,21409,1,9.85,21439.732437514867,NaN
1451875500,21421,21421,21406,21406,283,23.85,21431.185950011895,-1
1451875800,21413,21413,21413,21413,1,23.7,21424.348760009518,NaN
1451876100,21420,21420,21420,21420,1,20.5,21397,NaN
1451876400,21403,21403,21364,21376,11,20.15,21420,-0.6923076923076923
1451876700,21364,21364,21350,21350,3,20,21420,-1
1451877000,21360,21360,21340,21343,4,19.7,21411.6,-0.85
1451877300,21322,21329,21310,21310,5,18.75,21401.575999999997,-0.631578947368421
1451877600,21338,21360,21338,21360,6,18.9,21386.92384,1
1451877900,21355,21355,21355,21355,1,18.25,21374.6160256,NaN
