time,open,high,low,close,Volume,Volume MA
1609377600,27230,27230,27230,27230,1,NaN
1609377900,27241,27242,27232,27238,7,NaN
1609378200,27272,27379,27272,27379,13,NaN
1609378500,27375,27375,27338,27350,10,NaN
1609378800,27338,27371,27316,27338,9,NaN
1609379100,27323,27323,27290,27290,12,NaN
1609379400,27336,27337,27334,27334,4,NaN
1609379700,27338,27338,27303,27303,3,NaN
1609380000,27315,27329,27296,27296,5,NaN
1609380300,27297,27321,27297,27311,9,NaN
1609380600,27306,27316,27303,27303,5,NaN
1609380900,27297,27297,27280,27297,7,NaN
1609381500,27280,27288,27258,27288,11,NaN
1609381800,27289,27289,27279,27279,2,NaN
1609382100,27286,27286,27250,27250,5,NaN
1609382400,27261,27261,27242,27243,7,NaN
1609382700,27230,27230,27204,27211,12,NaN
1609383000,27214,27229,27212,27221,26,NaN
1609383300,27230,27230,27227,27227,4,NaN
1609383600,27244,27244,27227,27227,2,NaN
1609383900,27236,27239,27200,27200,11,NaN
1609384200,27208,27225,27208,27225,4,NaN
1609384500,27265,27265,27265,27265,1,NaN
1609384800,27263,27278,27263,27278,6,NaN
1609385100,27280,27299,27280,27299,3,NaN
1609385400,27298,27325,27298,27325,16,NaN
1609385700,27303,27318,27303,27318,2,NaN
1609386000,27330,27330,27330,27330,3,NaN
1609386300,27309,27318,27309,27318,4,NaN
1609386600,27302,27302,27295,27295,5,NaN
1609386900,27299,27299,27280,27295,13,NaN
1609387200,27300,27300,27283,27283,77,NaN
1609387500,27289,27289,27289,27289,1,NaN
1609387800,27270,27270,27270,27270,1,NaN
1609388100,27277,27277,27277,27277,1,NaN
1609388700,27249,27249,27247,27247,2,NaN
1609722900,27178,27178,27126,27131,9,NaN
1609723200,27129,27166,27129,27166,19,NaN
1609723500,27172,27180,27168,27171,11,NaN
1609723800,27199,27238,27183,27238,16,NaN
1609724100,27210,27238,27202,27230,12,NaN
1609724400,27243,27300,27243,27300,23,NaN
1609724700,27289,27350,27286,27350,23,NaN
1609725000,27342,27427,27342,27372,27,NaN
1609725300,27387,27411,27369,27411,12,NaN
1609725600,27420,27450,27397,27403,22,NaN
1609725900,27397,27412,27392,27412,5,NaN
1609726200,27386,27387,27379,27382,9,NaN
1609726500,27391,27402,27387,27398,6,NaN
1609726800,27378,27389,27374,27389,7,NaN
1609727100,27405,27412,27396,27396,3,NaN
1609727400,27413,27420,27406,27406,5,NaN
1609727700,27413,27413,27300,27316,28,NaN
1609728000,27333,27333,27312,27312,5,NaN
1609728300,27331,27343,27326,27326,6,NaN
1609728600,27325,27326,27325,27326,2,NaN
1609728900,27326,27355,27326,27350,5,NaN
1609729200,27347,27350,27347,27348,3,NaN
1609729500,27342,27384,27342,27383,9,NaN
1609729800,27389,27420,27380,27411,9,NaN
1609730100,27415,27425,27415,27425,7,NaN
1609730400,27420,27445,27420,27445,6,NaN
1609730700,27446,27489,27446,27478,9,NaN
1609731000,27490,27490,27467,27488,8,NaN
1609731300,27488,27501,27488,27498,8,NaN
1609731600,27498,27498,27490,27490,4,NaN
1609731900,27490,27490,27483,27483,6,NaN
1609732200,27485,27486,27468,27468,8,NaN
1609732500,27460,27471,27460,27469,6,NaN
1609736400,27452,27480,27452,27475,3,NaN
1609736700,27459,27459,27427,27427,5,NaN
1609737000,27427,27428,27418,27418,3,NaN
1609737300,27428,27428,27423,27424,6,NaN
1609737600,27429,27429,27416,27416,7,NaN
1609737900,27415,27420,27408,27420,9,NaN
1609738200,27434,27434,27360,27375,18,NaN
1609738500,27378,27378,27358,27359,20,NaN
1609738800,27378,27381,27378,27379,3,NaN
1609739100,27368,27370,27368,27370,2,NaN
