time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1477668900,23000,23000,23000,23000,1,NaN,NaN,NaN
1477876500,22800,22808,22768,22808,4,NaN,23000,0.2
1477876800,22848,22883,22848,22883,2,NaN,23000,1
1477877100,22884,22887,22878,22887,5,NaN,22976.8,0.3333333333333333
1477877400,22901,22905,22833,22833,7,NaN,22955.92,-0.9444444444444444
1477877700,22820,22820,22790,22790,2,NaN,22937.127999999997,-1
1477878000,22828,22828,22828,22828,1,NaN,22920.2152,NaN
1477878300,22835,22837,22835,22837,2,NaN,22904.99368,1
1477878600,22840,22840,22840,22840,1,NaN,22891.294311999998,NaN
1477878900,22860,22860,22860,22860,1,NaN,22878.9648808,NaN
1477879200,22865,22883,22865,22883,2,NaN,22768,1
1477879500,22893,22945,22893,22945,3,NaN,22779.5,1
1477880100,22930,22955,22930,22955,3,NaN,22799.36,1
1477880400,22987,22994,22987,22994,2,NaN,22821.1496,1
1477880700,23000,23000,23000,23000,1,NaN,22848.805664,NaN
1477881000,22955,22955,22955,22955,1,NaN,22876.02064448,NaN
1477881300,22940,22940,22940,22940,1,NaN,22898.3369284736,NaN
1477882500,22987,22987,22987,22987,1,NaN,22916.63628134835,NaN
1477882800,23028,23030,23028,23030,2,NaN,22931.641750705647,1
1477883100,23045,23059,23045,23059,4,2.3,22951.31340056452,1
1477884000,23033,23033,23020,23020,2,2.35,22972.850720451614,-1
1477885500,23015,23015,23015,23015,1,2.2,22990.08057636129,NaN
1477886100,23013,23013,23002,23002,2,2.2,23059,-1
1477890000,23025,23025,23025,23025,1,2,23053.3,NaN
1477890300,23034,23034,23034,23034,1,1.7,23048.17,NaN
1477891200,23050,23050,23050,23050,1,1.65,23002,NaN
1477891500,23037,23037,23037,23037,1,1.65,23006.8,NaN
1477894500,23042,23042,23042,23042,1,1.6,23011.12,NaN
1477899300,23002,23003,23002,23003,2,1.65,23050,1
1477899900,22971,22971,22971,22971,1,1.65,23045.2,NaN
1477900500,22957,22957,22945,22945,2,1.65,23036.296000000002,-1
1477900800,22933,22933,22930,22930,3,1.65,23023.514560000003,-1
1477901400,22951,22951,22951,22951,1,1.55,23008.552230400004,NaN
1477902000,22911,22911,22911,22911,2,1.55,22995.983873536003,NaN
1477902300,22915,22915,22915,22915,1,1.55,22980.68677629952,NaN
1477905300,22917,22917,22917,22917,1,1.55,22968.143156565606,NaN
1477905600,22923,22923,22911,22911,2,1.6,22957.857388383796,-1
1477918800,22920,22920,22920,22920,1,1.6,22949.423058474713,NaN
1477919400,22890,22890,22890,22890,1,1.55,22942.506907949264,NaN
1477922100,22888,22888,22888,22888,1,1.4,22932.00552635941,NaN
1477922700,22885,22885,22885,22885,1,1.35,22923.20442108753,NaN
1477924200,22890,22890,22890,22890,1,1.35,22915.563536870024,NaN
1477925100,22878,22878,22878,22878,1,1.3,22909.450829496018,NaN
1477925400,22900,22900,22900,22900,1,1.3,22903.160663596813,NaN
1477925700,22903,22903,22903,22903,3,1.4,22878,NaN
1477927800,22935,22935,22935,22935,1,1.4,22880.5,NaN
1477928100,22937,22937,22937,22937,1,1.4,22887.04,NaN
1477962600,22954,22954,22954,22954,8,1.75,22894.0344,NaN
1477962900,22945,22968,22945,22968,5,1.9,22903.628896000002,1
1477963200,22964,22976,22964,22971,4,2.05,22915.215694720002,0.5833333333333334
1477963500,22980,23095,22980,23090,10,2.45,22927.372555776,0.9565217391304348
1477963800,23073,23090,23073,23090,9,2.75,22960.8980446208,1
1477964100,23057,23057,23057,23057,1,2.75,22980,NaN
1477964400,23099,23100,23080,23080,3,2.8,23003,-0.95
1477964700,23109,23200,23106,23200,12,3.35,23022.4,0.9680851063829787
1477965000,23215,23233,23215,23227,7,3.65,23057.920000000002,0.6666666666666666
1477965300,23240,23273,23231,23273,8,3.95,23092.936,0.7857142857142857
1477965600,23259,23259,23235,23240,12,4.5,23128.948800000002,-0.7916666666666666
1477965900,23245,23245,23233,23233,2,4.55,23157.75904,-1
1477966200,23234,23234,23234,23234,1,4.55,23180.807232,NaN
1477966500,23220,23220,23220,23220,1,4.55,23199.2457856,NaN
1477966800,23223,23224,23223,23224,2,4.6,23213.99662848,1
1477967100,23238,23238,23238,23238,1,4.6,23220,NaN
1477967400,23262,23282,23261,23265,10,5.05,23223,0.14285714285714285
1477967700,23257,23259,23250,23254,6,5.2,23234.8,-0.3333333333333333
1477968300,23248,23255,23248,23255,7,5.5,23244.239999999998,1
1477968600,23278,23278,23262,23262,5,5.7,23248,-1
1477968900,23242,23242,23240,23240,2,5.4,23282,-1
1477969500,23268,23268,23268,23268,1,5.2,23278,NaN
1477970100,23276,23283,23267,23273,8,5.4,23240,-0.1875
1477970400,23281,23300,23263,23263,8,5.3,23244.3,-0.4864864864864865
1477970700,23253,23253,23253,23253,1,4.9,23250.984,NaN
1477971000,23252,23252,23250,23250,6,5.15,23300,-1
1477971300,23240,23243,23230,23230,6,5.3,23295,-0.7692307692307693
1477971600,23240,23241,23236,23236,3,4.85,23287.2,-0.8
1477971900,23233,23235,23220,23220,27,5.85,23280.336,-0.8666666666666667
1477972500,23209,23209,23209,23209,26,6.75,23271.88896,NaN
1477976400,23220,23220,23220,23220,1,6.2,23261.8267264,NaN
1477977900,23224,23224,23224,23224,1,6.15,23253.374450175997,NaN
1477978200,23241,23241,23241,23241,1,6.15,23246.274538147838,NaN
1477979700,23246,23246,23246,23246,1,6.15,23209,NaN
1477980300,23224,23224,23224,23224,1,6.1,23212.7,NaN
1477980900,23235,23235,23235,23235,1,6.1,23216.03,NaN
1477981500,23246,23254,23246,23254,3,5.75,23219.027,1
1477982400,23229,23229,23229,23229,1,5.5,23223.223759999997,NaN
1477982700,23230,23230,23230,23230,1,5.2,23226.916908799998,NaN
1477983900,23240,23250,23240,23250,3,5.1,23229,1
1477984500,23257,23268,23257,23268,8,5.4,23230,1
1477985100,23253,23253,23253,23253,2,5.45,23235.32,NaN
1477985700,23237,23237,23237,23237,3,5.2,23268,NaN
1477986300,23220,23220,23216,23217,9,5.25,23264.9,-0.75
1477986600,23200,23206,23200,23206,5,5.45,23259.032000000003,1
1477986900,23208,23208,23204,23208,3,5.3,23250.76752,0
1477987200,23211,23212,23197,23197,3,5.15,23243.660067200002,-0.9333333333333333
1477987500,23194,23194,23180,23180,3,5.15,23236.194456448004,-1
1477992300,23188,23188,23186,23186,2,3.9,23226.079454287363,-1
1477992600,23183,23183,23183,23183,1,2.65,23217.785152515637,NaN
1477992900,23188,23188,23188,23188,1,2.65,23210.983825062824,NaN
1477995900,23210,23210,23210,23210,1,2.65,23180,NaN
1477997400,23210,23210,23210,23210,2,2.7,23183,NaN
1477997700,23210,23210,23210,23210,1,2.7,23185.7,NaN
1477998900,23195,23195,23195,23195,1,2.7,23188.13,NaN
1478002200,23189,23189,23189,23189,1,2.7,23210,NaN
1478003700,23188,23188,23188,23188,1,2.6,23207.9,NaN
1478004300,23198,23198,23198,23198,2,2.65,23205.512000000002,NaN
1478006400,23188,23188,23180,23180,2,2.7,23203.410560000004,-1
1478007900,23160,23160,23160,23160,1,2.6,23200.133081600005,NaN
1478008500,23150,23150,23150,23150,2,2.3,23193.711788544002,NaN
1478008800,23133,23133,23133,23133,1,2.25,23185.84366660608,NaN
1478009100,23138,23138,23130,23130,3,2.25,23175.274933284865,-1
1478009400,23131,23131,23110,23110,5,2.05,23166.21994662789,-1
1478010600,23105,23105,23105,23105,2,1.9,23154.97595730231,NaN
1478010900,23100,23100,23090,23090,2,1.85,23144.98076584185,-1
1478011500,23080,23080,23080,23080,1,1.75,23133.98461267348,NaN
1478011800,23101,23101,23099,23099,2,1.7,23123.187690138784,-1
1478014200,23116,23116,23116,23116,1,1.65,23080,NaN
1478014500,23113,23113,23113,23113,1,1.65,23083.6,NaN
1478014800,23110,23110,23110,23110,1,1.65,23086.84,NaN
1478049000,22933,22933,22933,22933,2,1.7,23116,NaN
1478049300,22900,22933,22890,22930,8,2,23110,0.6976744186046512
1478049600,22908,22930,22902,22930,6,2.25,23083.6,0.7857142857142857
1478049900,22883,22883,22880,22880,4,2.4,23060.368,-1
1478050500,22900,22911,22880,22881,6,2.65,23035.116479999997,-0.6129032258064516
1478051100,22886,22886,22886,22886,1,2.65,23013.400172799997,NaN
1478051400,22880,22902,22880,22900,9,3,22994.724148608,0.9090909090909091
1478051700,22888,22915,22888,22914,10,3.4,22978.662767802878,0.9629629629629629
1478052000,22899,22903,22850,22851,11,3.9,22964.849980310475,-0.9056603773584906
1478052600,22855,22855,22840,22840,2,3.9,22946.4739834608,-1
1478052900,22833,22839,22830,22839,7,4.2,22927.308666437857,0.6666666666666666
1478053200,22838,22838,22838,22838,2,4.15,22907.846933150286,NaN
1478054400,22851,22851,22851,22851,1,3.95,22892.27754652023,NaN
1478055300,22835,22835,22800,22800,7,4.2,22879.82203721618,-1
1478055600,22829,22829,22829,22829,1,4.15,22863.857629772945,NaN
1478055900,22812,22813,22812,22813,2,4.2,22851.086103818358,1
1478056500,22809,22812,22809,22812,2,4.2,22840.868883054685,1
1478057100,22819,22819,22819,22819,1,4.2,22832.69510644375,NaN
1478058300,22827,22827,22826,22826,2,4.25,22800,-1
1478058600,22828,22828,22828,22828,1,4.25,22802.7,NaN
1478058900,22828,22828,22815,22815,3,4.3,22805.736,-1
1478063100,22825,22825,22825,22825,1,3.95,22808.40768,NaN
1478063400,22828,22828,22828,22828,1,3.7,22810.7587584,NaN
1478064600,22806,22806,22806,22806,1,3.55,22828,NaN
1478064900,22820,22826,22820,22826,3,3.4,22806,1
1478065200,22828,22828,22828,22828,1,3.4,22806,NaN
1478066100,22831,22831,22831,22831,1,3,22808.64,NaN
1478066400,22828,22828,22828,22828,1,2.55,22811.7704,NaN
1478067900,22827,22827,22827,22827,1,2.05,22814.462544,NaN
1478068500,22810,22810,22798,22798,2,2.05,22831,-1
1478069100,22806,22806,22806,22806,1,1.75,22827.7,NaN
1478069700,22790,22790,22789,22789,4,1.85,22824.73,-1
1478070000,22800,22800,22800,22800,1,1.85,22820.4424,NaN
1478070300,22818,22818,22817,22817,2,1.6,22789,-1
1478070900,22828,22828,22828,22828,1,1.6,22791.9,NaN
1478072400,22826,22826,22826,22826,1,1.55,22796.232,NaN
1478073300,22809,22809,22809,22809,1,1.5,22800.04416,NaN
1478075100,22808,22808,22808,22808,1,1.5,22803.3988608,NaN
1478083500,22813,22813,22813,22813,1,1.45,22806.350997504,NaN
1478084400,22830,22830,22830,22830,3,1.55,22808,NaN
1478085300,22840,22840,22840,22840,1,1.45,22811.08,NaN
1478085600,22838,22838,22838,22838,1,1.45,22815.7072,NaN
1478086200,22841,22843,22841,22843,2,1.5,22819.594048,1
1478089500,22845,22845,22845,22845,2,1.55,22823.80711936,NaN
1478091000,22836,22836,22836,22836,1,1.45,22828.045695488,NaN
1478091600,22836,22836,22836,22836,1,1.45,22831.4365563904,NaN
1478097300,22794,22794,22794,22794,2,1.5,22845,NaN
1478098200,22780,22780,22777,22779,3,1.6,22839.9,-0.3333333333333333
1478098500,22785,22785,22785,22785,1,1.6,22832.352000000003,NaN
1478100000,22798,22798,22798,22798,1,1.55,22825.70976,NaN
1478100900,22762,22762,22762,22762,2,1.6,22819.864588800003,NaN
1478101200,22760,22760,22755,22755,5,1.65,22811.763546368,-1
1478135700,22750,22750,22750,22750,2,1.7,22802.68137894912,NaN
1478136000,22738,22738,22738,22738,1,1.65,22793.19873073828,NaN
1478136600,22807,22807,22741,22741,2,1.7,22738,-1
1478136900,22713,22717,22713,22717,2,1.75,22807,1
1478137200,22791,22791,22791,22791,1,1.75,22807,NaN
1478137500,22791,22810,22791,22802,6,2,22713,0.5789473684210527
1478137800,22770,22770,22768,22768,2,2.05,22722.7,-1
1478138100,22810,22833,22810,22833,3,2.05,22731.43,1
1478138400,22845,22848,22845,22848,3,2.15,22743.6184,1
1478138700,22850,22853,22850,22853,3,2.25,22758.231824,1
1478139000,22846,22846,22840,22840,2,2.25,22773.39473216,-1
1478139300,22797,22798,22793,22793,3,2.3,22786.1315750144,-0.8
1478139600,22770,22770,22770,22770,1,2.3,22853,NaN
1478139900,22772,22772,22760,22760,3,2.4,22844.7,-1
1478140200,22782,22782,22772,22772,2,2.4,22834.536,-1
1478141100,22733,22733,22730,22731,4,2.45,22825.59168,-0.6666666666666666
1478141400,22742,22742,22731,22731,2,2.5,22812.2088448,-1
1478141700,22730,22740,22720,22720,8,2.85,22800.699606528,-0.5
1478142000,22700,22700,22682,22682,16,3.55,22787.78766948352,-1
1478142300,22680,22680,22670,22680,90,7.8,22768.745888976486,0
1478143200,22713,22713,22713,22713,1,7.75,22748.99671118119,NaN
1478143800,22726,22733,22726,22733,2,7.8,22733.19736894495,1
1478144700,22760,22763,22760,22763,3,7.85,22670,1
1478145300,22780,22784,22780,22784,2,7.85,22679.3,1
1478149200,22790,22801,22790,22790,4,8,22691.863999999998,0
1478149500,22781,22788,22776,22780,5,7.95,22707.14304,-0.08333333333333333
1478150700,22800,22840,22800,22840,16,8.65,22720.2830144,1
1478151000,22835,22840,22835,22840,2,8.6,22739.437732096,1
1478152200,22830,22830,22830,22830,1,8.5,22755.52769496064,NaN
1478152800,22800,22800,22800,22800,2,8.45,22769.04326376694,NaN
1478154300,22780,22780,22780,22780,1,8.4,22840,NaN
1478155800,22768,22768,22768,22768,1,8.3,22834,NaN
1478156100,22774,22774,22774,22774,2,8.35,22826.08,NaN
1478156700,22755,22755,22755,22755,1,8.25,22819.1104,NaN
1478157600,22738,22738,22733,22733,3,8.3,22810.134944,-1
1478158200,22736,22736,22736,22736,1,8.15,22797.79335296,NaN
1478159100,22715,22715,22715,22715,1,8.1,22787.4264164864,NaN
1478159400,22717,22717,22717,22717,1,7.75,22774.38966151885,NaN
1478160000,22715,22717,22700,22717,6,7.25,22763.699522445455,0.11764705882352941
1478160300,22734,22734,22730,22730,3,2.9,22750.959617956363,-1
1478161200,22737,22737,22737,22737,1,2.9,22740.76769436509,NaN
1478164500,22745,22745,22745,22745,2,2.9,22700,NaN
1478164800,22750,22750,22750,22750,1,2.8,22704.5,NaN
1478165100,22760,22760,22760,22760,1,2.75,22709.96,NaN
1478167800,22784,22784,22784,22784,1,2.6,22716.9656,NaN
1478171400,22788,22788,22788,22788,1,2.4,22727.691104,NaN
1478172000,22800,22800,22782,22782,3,1.75,22738.54670528,-1
1478175600,22773,22773,22773,22773,1,1.7,22750.837364224,NaN
1478180700,22750,22750,22750,22750,1,1.7,22800,NaN
1478181900,22744,22744,22744,22744,1,1.65,22795,NaN
1478182500,22723,22723,22723,22723,1,1.65,22788.88,NaN
1478182800,22727,22727,22727,22727,1,1.65,22779.6568,NaN
1478221800,22601,22601,22601,22601,12,2.15,22771.724848,NaN
1478222100,22601,22633,22601,22633,4,2.3,22744.40887232,1
1478222400,22686,22687,22686,22687,3,2.3,22721.4634527488,1
1478222700,22700,22700,22697,22697,2,2.35,22702.189300308994,-1
1478223000,22630,22630,22625,22625,3,2.45,22700,-1
1478223300,22650,22745,22650,22745,3,2.55,22601,1
1478223600,22740,22755,22739,22755,4,2.45,22615.4,0.9375
1478223900,22743,22743,22725,22725,2,2.4,22632.152000000002,-1
1478224200,22730,22749,22730,22745,5,2.6,22646.893760000003,0.7894736842105263
1478224500,22728,22751,22728,22751,5,2.75,22659.8665088,1
1478224800,22763,22766,22756,22759,5,2.95,22671.282527744002,-0.4
1478225400,22737,22737,22737,22737,1,2.95,22684.542973859843,NaN
1478225700,22737,22737,22737,22737,1,2.95,22695.946957519463,NaN
1478226300,22708,22708,22686,22686,3,3.05,22766,-1
1478226600,22690,22690,22690,22690,1,2.95,22758,NaN
1478227200,22701,22701,22701,22701,1,2.95,22750.8,NaN
1478227800,22683,22683,22683,22683,1,2.95,22744.32,NaN
1478228100,22675,22675,22675,22675,1,2.95,22736.9616,NaN
1478228400,22667,22667,22667,22667,1,2.95,22728.286976,NaN
1478229600,22690,22690,22684,22689,3,3.05,22718.48105984,-0.16666666666666666
1478231100,22677,22678,22677,22678,3,2.6,22710.2440902656,1
1478236800,22678,22678,22678,22678,1,2.45,22703.325035823105,NaN
1478237400,22660,22660,22660,22660,1,2.35,22697.51303009141,NaN
1478241600,22713,22713,22713,22713,1,2.3,22660,NaN
1478242500,22702,22702,22702,22702,1,2.2,22660,NaN
1478243400,22692,22692,22692,22692,1,2.1,22665.3,NaN
1478244900,22679,22679,22679,22679,1,1.95,22670.07,NaN
1478245200,22688,22688,22688,22688,1,1.9,22674.363,NaN
1478246400,22677,22677,22677,22677,1,1.7,22713,NaN
1478247000,22660,22660,22650,22650,4,1.65,22709.4,-1
1478247300,22640,22646,22640,22646,3,1.55,22702.272,1
1478247900,22639,22640,22629,22629,7,1.85,22693.553920000002,-0.9090909090909091
1478250900,22620,22620,22598,22598,4,2,22683.2252928,-1
1478251200,22580,22580,22580,22580,1,1.9,22667.884740096,NaN
1478251500,22574,22574,22574,22574,1,1.9,22650.3077920768,NaN
1478251800,22585,22585,22585,22585,1,1.9,22635.04623366144,NaN
1478252100,22580,22580,22580,22580,1,1.9,22622.836986929153,NaN
1478253000,22560,22560,22555,22555,2,1.95,22613.069589543324,-1
