time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,ADX
1576865100,28017,28017,28017,28017,NaN,NaN,NaN,NaN,NaN,28017,2,NaN,NaN
1577063400,28065,28065,28065,28065,28017,28017,28017,NaN,NaN,28065,1,NaN,NaN
1577063700,28078,28138,28065,28103,28017,NaN,NaN,NaN,NaN,28096,28,NaN,NaN
1577064000,28085,28085,28077,28080,28031.52,NaN,NaN,NaN,NaN,28081.75,3,NaN,NaN
1577064300,28075,28082,28075,28082,28044.2976,NaN,NaN,NaN,NaN,28078.5,2,NaN,NaN
1577064600,28025,28080,28000,28000,28138,NaN,NaN,28138,28138,28026.25,12,NaN,NaN
1577064900,28000,28050,28000,28000,28124.2,NaN,NaN,NaN,NaN,28012.5,6,NaN,NaN
1577065200,28033,28044,28028,28044,28111.78,NaN,NaN,NaN,NaN,28037.25,3,NaN,NaN
1577065500,28042,28060,28021,28022,28100.602,NaN,NaN,NaN,NaN,28036.25,5,NaN,NaN
1577065800,28017,28017,28000,28000,28090.5418,NaN,NaN,NaN,NaN,28008.5,2,NaN,NaN
1577066100,28021,28045,28021,28036,28081.48762,NaN,NaN,NaN,NaN,28030.75,4,NaN,NaN
1577066400,28021,28059,28021,28030,28073.338858,NaN,NaN,NaN,NaN,28032.75,5,NaN,NaN
1577066700,28014,28021,27980,28021,28066.0049722,NaN,NaN,NaN,NaN,28009,12,NaN,NaN
1577067000,28021,28038,28021,28029,28059,NaN,NaN,NaN,NaN,28027.25,3,NaN,NaN
1577067300,28011,28011,27990,27990,28049.52,NaN,NaN,NaN,NaN,28000.5,3,NaN,NaN
1577067600,27985,27995,27982,27982,28041.1776,NaN,NaN,NaN,NaN,27986,4,NaN,NaN
1577067900,28000,28008,28000,28008,28033.836288,NaN,NaN,NaN,NaN,28004,3,NaN,NaN
1577068200,28015,28015,28005,28012,28027.37593344,NaN,NaN,NaN,NaN,28011.75,4,NaN,NaN
1577068500,28000,28025,27990,28017,27980,27980,27980,NaN,NaN,28008,8,NaN,NaN
1577068800,27983,27983,27983,27983,28025,NaN,NaN,28025,28025,27983,1,5.55,NaN
1577069100,27966,27975,27960,27960,28025,NaN,NaN,NaN,NaN,27965.25,5,5.7,NaN
1577069700,27988,27988,27962,27962,28017.2,NaN,NaN,NaN,NaN,27975,2,5.75,NaN
1577070000,27940,27940,27920,27920,28010.336,NaN,NaN,NaN,NaN,27930,3,4.5,NaN
1577070600,27930,27950,27930,27950,27997.68896,NaN,NaN,NaN,NaN,27940,5,4.6,NaN
1577071500,27969,27984,27969,27984,27986.8125056,NaN,NaN,NaN,NaN,27976.5,2,4.6,NaN
1577071800,27970,27978,27970,27978,27920,27920,27920,NaN,NaN,27974,2,4.1,NaN
1577072400,27975,27975,27975,27975,27925.8,NaN,NaN,NaN,NaN,27975,1,3.85,NaN
1577072700,27986,27986,27986,27986,27931.02,NaN,NaN,NaN,NaN,27986,1,3.75,5.687990102733874
1577073000,27988,27991,27988,27991,27937.6176,NaN,NaN,NaN,NaN,27989.5,2,3.6,5.84212832640953
1577077200,27974,27974,27974,27974,27945.091136000003,NaN,NaN,NaN,NaN,27974,1,3.55,5.541577466716459
1577077800,27965,27965,27965,27965,27951.51837696,NaN,NaN,NaN,NaN,27965,1,3.4,5.307377791119945
1577078100,27970,27983,27970,27983,27957.0458041856,NaN,NaN,NaN,NaN,27976.5,3,3.3,5.323904590461738
1577078400,27950,27950,27950,27950,27991,NaN,NaN,27991,27991,27950,1,2.75,5.1785946205816
1577079300,27959,27959,27959,27959,27986.9,NaN,NaN,NaN,NaN,27959,146,9.9,4.861157097887463
1577079600,27975,27975,27975,27975,27983.210000000003,NaN,NaN,NaN,NaN,27975,30,11.25,5.058541927916284
1577079900,27978,27978,27978,27978,27979.889000000003,NaN,NaN,NaN,NaN,27978,6,11.35,5.333027956351221
1577080200,27976,27977,27973,27973,27950,27950,27950,NaN,NaN,27974.75,54,13.9,5.3996024451766065
1577080500,27971,27971,27971,27971,27952.7,NaN,NaN,NaN,NaN,27971,15,14.45,5.383085983631474
1577081100,27959,27959,27959,27959,27955.13,NaN,NaN,NaN,NaN,27959,5,14.3,5.099037797072282
1577081400,27955,27955,27955,27955,27977,NaN,NaN,27977,27977,27955,1,14.3,4.989854644855414
1577081700,27938,27938,27938,27938,27974.8,NaN,NaN,NaN,NaN,27938,1,14.1,5.5172554655482635
1577082600,27958,27958,27958,27958,27970.384,NaN,NaN,NaN,NaN,27958,1,14.05,5.174857756677672
1577082900,27962,27962,27962,27962,27966.497919999998,NaN,NaN,NaN,NaN,27962,1,13.95,4.910671189799619
1577083200,27957,27967,27957,27963,27938,27938,27938,NaN,NaN,27961,90,18.2,4.665355091984286
1577083800,27947,27947,27947,27947,27940.9,NaN,NaN,NaN,NaN,27947,2,18.2,4.65834431059918
1577084100,27950,27953,27941,27953,27967,NaN,NaN,27967,27967,27949.25,4,18.3,4.651834299313009
1577084700,27961,27961,27961,27961,27964.4,NaN,NaN,NaN,NaN,27961,1,18.3,4.38443306948412
1577085600,27964,27964,27964,27964,27941,27941,27941,NaN,NaN,27964,1,18.3,4.282706810067365
1577086200,27958,27958,27958,27958,27943.3,NaN,NaN,NaN,NaN,27958,1,18.25,4.079369945365389
1577086800,27964,27964,27964,27964,27945.37,NaN,NaN,NaN,NaN,27964,1,18.25,4.003936121339567
1577087100,27965,27971,27965,27971,27947.233,NaN,NaN,NaN,NaN,27968,3,18.35,4.296463482952221
1577088300,27961,27961,27961,27961,27950.08504,NaN,NaN,NaN,NaN,27961,1,18.25,4.3271447385449315
1577088600,27961,27961,27959,27959,27952.5948352,NaN,NaN,NaN,NaN,27960,4,18.4,4.2320173454536
1577088900,27955,27961,27950,27961,27971,NaN,NaN,27971,27971,27956.75,7,11.45,4.261258991777981
1577089500,27940,27940,27940,27940,27968.9,NaN,NaN,NaN,NaN,27940,1,10,4.84348274271856
1577093100,27953,27953,27953,27953,27965.432,NaN,NaN,NaN,NaN,27953,1,9.75,4.56185605014618
