time,open,high,low,close,Volume,Volume MA
1611566100,30029,30029,30029,30029,1,NaN
1611567000,30021,30021,30021,30021,3,NaN
1611567600,30015,30015,30015,30015,4,NaN
1611567900,29995,29995,29995,29995,1,NaN
1611568800,29991,29991,29991,29991,1,NaN
1611569100,29997,29997,29997,29997,1,NaN
1611570900,30011,30020,30011,30020,2,NaN
1611571200,30025,30025,30025,30025,1,NaN
1611573000,30033,30033,30033,30033,1,NaN
1611573600,30029,30029,30029,30029,1,NaN
1611574800,30020,30020,30020,30020,1,NaN
1611575100,30000,30000,29972,29972,3,NaN
1611575400,30001,30001,30001,30001,1,NaN
1611575700,29991,29991,29985,29985,3,NaN
1611576000,29982,29982,29982,29982,1,NaN
1611577500,29975,29975,29975,29975,1,NaN
1611577800,29975,29975,29975,29975,2,NaN
1611578100,29965,29965,29950,29950,8,NaN
1611578400,29959,29959,29959,29959,2,NaN
1611578700,29950,29950,29950,29950,1,NaN
1611579300,29915,29918,29915,29918,11,NaN
1611579600,29922,29922,29922,29922,5,NaN
1611580200,29941,29941,29941,29941,1,NaN
1611580500,29952,29952,29944,29944,3,NaN
1611581100,29934,29934,29933,29933,4,NaN
1611581400,29920,29920,29911,29911,3,NaN
1611581700,29910,29910,29910,29910,1,NaN
1611582000,29901,29901,29898,29898,6,NaN
1611582900,29942,29942,29942,29942,1,NaN
1611584400,29957,29966,29957,29966,4,NaN
1611585000,29975,30000,29974,29974,6,NaN
1611585300,29977,29977,29925,29925,5,NaN
1611585900,29922,29922,29903,29903,2,NaN
1611588000,29974,29975,29974,29975,4,NaN
1611588300,29974,29974,29974,29974,1,NaN
1611588600,29952,29952,29952,29952,2,NaN
1611589200,29951,29951,29951,29951,19,NaN
1611589800,29919,29919,29895,29895,10,NaN
1611590100,29893,29893,29861,29861,5,NaN
1611590400,29866,29866,29838,29838,6,NaN
1611590700,29819,29819,29750,29761,16,NaN
1611591000,29760,29783,29760,29777,6,NaN
1611591300,29825,29825,29809,29809,3,NaN
1611591900,29800,29800,29786,29786,3,NaN
1611592200,29780,29780,29779,29779,3,NaN
1611592500,29805,29805,29805,29805,1,NaN
1611592800,29820,29820,29820,29820,1,NaN
1611593100,29820,29820,29812,29812,4,NaN
1611593400,29821,29825,29821,29823,3,NaN
1611593700,29828,29831,29828,29828,3,NaN
1611594600,29835,29835,29835,29835,1,NaN
1611594900,29791,29791,29791,29791,2,NaN
1611595500,29808,29808,29808,29808,1,NaN
1611597000,29824,29824,29824,29824,1,NaN
1611597900,29829,29829,29829,29829,1,NaN
1611598200,29850,29850,29846,29846,3,NaN
1611599400,29865,29865,29865,29865,1,NaN
1611600600,29845,29845,29845,29845,1,NaN
1611600900,29842,29842,29842,29842,1,NaN
1611623700,29851,29852,29830,29830,47,NaN
1611624000,29837,29837,29822,29822,2,NaN
1611624300,29820,29820,29790,29801,10,NaN
1611624600,29787,29830,29761,29830,9,NaN
1611624900,29860,29898,29859,29859,8,NaN
1611625200,29900,29900,29814,29814,4,NaN
1611625500,29813,29813,29778,29782,12,NaN
1611625800,29808,29808,29808,29808,1,NaN
1611626100,29820,29835,29820,29835,2,NaN
1611626400,29840,29840,29750,29751,10,NaN
1611626700,29741,29753,29690,29713,22,NaN
1611627000,29707,29727,29680,29722,28,NaN
1611627300,29727,29741,29644,29645,25,NaN
1611627600,29633,29685,29628,29685,20,NaN
1611627900,29657,29685,29657,29679,5,NaN
1611628200,29661,29668,29659,29668,4,NaN
1611628500,29669,29669,29583,29583,64,NaN
1611628800,29575,29612,29575,29600,10,NaN
1611629100,29617,29617,29578,29595,7,NaN
1611629400,29612,29612,29600,29600,2,NaN
1611629700,29582,29582,29520,29520,35,NaN
1611630000,29510,29519,29465,29492,18,NaN
1611630300,29477,29511,29477,29500,9,NaN
1611630600,29512,29536,29489,29505,8,NaN
