time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1456708500,19307,19307,19248,19248,3,NaN,NaN,-1
1456708800,19242,19257,19220,19257,14,NaN,19307,0.40540540540540543
1456709100,19236,19238,19219,19219,7,NaN,19307,-0.8947368421052632
1456709400,19264,19268,19264,19268,2,NaN,19296.44,1
1456709700,19251,19251,19188,19188,4,NaN,19287.1472,-1
1456710000,19164,19175,19164,19172,3,NaN,19273.266592,0.7272727272727273
1456710300,19167,19167,19155,19155,2,NaN,19255.78393728,-1
1456710600,19160,19175,19133,19133,4,NaN,19237.642828569602,-0.6428571428571429
1456710900,19110,19113,19079,19079,7,NaN,19216.714262855683,-0.9117647058823529
1456711200,19060,19105,19060,19099,4,NaN,19189.171410284547,0.8666666666666667
1456711500,19075,19085,19075,19081,4,NaN,19163.33712822764,0.6
1456711800,19097,19099,19097,19099,2,NaN,19142.669702582112,1
1456712100,19093,19106,19093,19095,3,NaN,19126.13576206569,0.15384615384615385
1456712400,19093,19100,19088,19100,5,NaN,19112.90860965255,0.5833333333333334
1456712700,19070,19076,19064,19064,7,NaN,19106,-0.5
1456713000,19078,19078,19078,19078,1,NaN,19100,NaN
1456713300,19077,19077,19069,19070,4,NaN,19092,-0.875
1456713600,19096,19096,19096,19096,1,NaN,19060,NaN
1456714200,19099,19107,19099,19107,4,NaN,19063.6,1
1456714500,19099,19105,19099,19105,4,4.25,19068.807999999997,1
1456714800,19120,19126,19120,19125,5,4.35,19073.39104,0.8333333333333334
1456715400,19090,19095,19090,19095,2,3.75,19080.7562944,1
1456716000,19082,19082,19079,19079,2,3.5,19126,-1
1456716600,19091,19091,19091,19091,1,3.45,19121.3,NaN
1456716900,19090,19090,19090,19090,26,4.55,19117.07,NaN
1456717200,19084,19084,19084,19084,1,4.45,19113.263,NaN
1456717800,19094,19094,19094,19094,1,4.4,19109.8367,NaN
1456718100,19094,19094,19094,19094,1,4.25,19106.75303,NaN
1456722000,19071,19075,19071,19075,3,4.05,19103.977727,1
1456722300,19050,19050,19032,19032,4,4.05,19100.02039976,-1
1456722900,19036,19036,19036,19036,3,4,19090.4975437936,NaN
1456723200,19054,19054,19054,19054,4,4.1,19082.307887662497,NaN
1456724100,19025,19025,19020,19020,4,4.15,19075.264783389746,-1
1456724400,19010,19010,19000,19010,7,4.25,19066.422418047387,0
1456725600,19026,19026,19010,19010,5,4.15,19054.466382798855,-1
1456725900,19000,19000,18985,18993,4,4.3,19044.66243389506,-0.4666666666666667
1456726200,19003,19003,19003,19003,1,4.15,19032.729947116048,NaN
1456726500,19000,19000,19000,19000,1,4.15,19023.18395769284,NaN
1456726800,18974,18979,18974,18979,2,4.05,19015.547166154272,1
1456727400,18959,18980,18959,18980,42,5.95,19007.23773292342,1
1456727700,18990,19000,18990,19000,2,5.8,18959,1
1456728000,19007,19007,18990,18990,6,6,18959,-1
1456728300,19019,19019,19019,19019,1,5.95,18964.76,NaN
1456728600,19010,19010,19010,19010,1,5.95,18972.3536,NaN
1456728900,19021,19021,19015,19015,2,4.75,18978.884095999998,-1
1456729200,19039,19039,19013,19013,7,5.05,18985.62264064,-1
1456729500,19000,19005,19000,19005,2,5.1,18995.230565324797,1
1456730100,19002,19002,19002,19002,1,5.1,19039,NaN
1456730400,19030,19030,19030,19030,1,5,19035.3,NaN
1456730700,19019,19019,19019,19019,3,4.95,19031.97,NaN
1456731000,19033,19033,19024,19024,4,5,19002,-1
1456731300,19042,19060,19039,19060,6,5.1,19005.1,0.8571428571428571
1456731600,19043,19043,19043,19043,4,5.1,19011.688,NaN
1456731900,19030,19041,19030,19041,2,4.85,19017.485439999997,1
1456732500,19028,19028,19020,19020,2,4.7,19060,-1
1456732800,19005,19005,18990,19000,3,4.65,19056,-0.3333333333333333
1456733100,19009,19025,19009,19025,5,4.85,19048.08,1
1456733400,19030,19030,19030,19030,1,4.85,19041.1104,NaN
1456736700,19026,19026,19026,19026,1,4.8,19034.977152,NaN
1456737300,19036,19036,19036,19036,1,2.75,18990,NaN
1456738500,19009,19009,19009,19009,1,2.7,18994.6,NaN
1456740000,19050,19255,19050,19255,14,3.1,18998.739999999998,1
1456740600,19192,19192,19192,19192,1,3.1,19009,NaN
1456741200,19170,19170,19170,19170,1,3.1,19038.52,NaN
1456741500,19150,19150,19150,19150,1,3.05,19064.4976,NaN
1456741800,19131,19131,19122,19122,2,2.8,19087.357888,-1
1456742100,19140,19140,19140,19140,1,2.75,19107.47494144,NaN
1456742400,19150,19150,19150,19150,1,2.75,19122,NaN
1456742700,19150,19150,19150,19150,1,2.75,19137.96,NaN
1456743600,19144,19144,19143,19143,2,2.7,19255,-1
1456744200,19120,19120,19120,19120,1,2.55,19243.8,NaN
1456745100,19155,19155,19155,19155,1,2.3,19228.944,NaN
1456745400,19180,19181,19180,19181,2,2.2,19215.87072,1
1456745700,19185,19185,19185,19185,1,2.15,19204.366233599998,NaN
1456746300,19194,19194,19194,19194,3,2.2,19194.242285567998,NaN
1456746900,19195,19195,19195,19195,1,2.1,19120,NaN
1456747200,19178,19178,19178,19178,1,1.9,19127.5,NaN
1456749300,19200,19200,19200,19200,1,1.9,19134.25,NaN
1456749600,19194,19200,19194,19196,5,2.1,19142.14,0.3333333333333333
1456750200,19183,19183,19183,19183,1,2.1,19149.0832,NaN
1456752000,19181,19181,19181,19181,1,2.1,19155.193216,NaN
1456752900,19200,19220,19200,19220,3,1.55,19160.570030079998,1
1456753200,19220,19220,19220,19220,1,1.55,19168.8902258688,NaN
1456753500,19207,19207,19207,19207,1,1.55,19176.045594247167,NaN
