time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,PSAR,Long Start,Buy Label,Short Start,Sell Label,,PSAR,Long Start,Buy Label,Short Start,Sell Label,,ADX,RSI
1582852500,26302,26302,26212,26237,NaN,NaN,NaN,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN,NaN,NaN,26263.25,NaN,NaN,NaN,NaN,NaN,26263.25,NaN,NaN
1582852800,26199,26199,26059,26066,NaN,NaN,NaN,NaN,NaN,NaN,30,NaN,26302,NaN,NaN,NaN,NaN,26130.75,26302,NaN,NaN,NaN,NaN,26130.75,NaN,NaN
1582853100,26060,26060,26015,26039,NaN,NaN,NaN,NaN,NaN,NaN,22,NaN,26302,NaN,NaN,NaN,NaN,26043.5,26302,NaN,NaN,NaN,NaN,26043.5,NaN,NaN
1582853400,26071,26182,26071,26180,NaN,NaN,NaN,NaN,NaN,NaN,15,NaN,26235.99,NaN,NaN,NaN,NaN,26126,26233.12,NaN,NaN,NaN,NaN,26126,NaN,NaN
1582853700,26153,26200,26150,26183,NaN,NaN,NaN,NaN,NaN,NaN,13,NaN,26015,26015,26015,NaN,NaN,26171.5,26015,26015,26015,NaN,NaN,26171.5,NaN,NaN
1582854000,26184,26223,26180,26200,NaN,NaN,NaN,NaN,NaN,NaN,18,NaN,26052,NaN,NaN,NaN,NaN,26196.75,26052,NaN,NaN,NaN,NaN,26196.75,NaN,NaN
1582854300,26250,26308,26249,26302,NaN,NaN,NaN,NaN,NaN,NaN,21,NaN,26091.33,NaN,NaN,NaN,NaN,26277.25,26093.04,NaN,NaN,NaN,NaN,26277.25,NaN,NaN
1582854600,26302,26302,26242,26242,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,26147.664200000003,NaN,NaN,NaN,NaN,26272,26153.2288,NaN,NaN,NaN,NaN,26272,NaN,NaN
1582854900,26248,26290,26222,26282,NaN,NaN,NaN,NaN,NaN,NaN,13,NaN,26189.351508000003,NaN,NaN,NaN,NaN,26260.5,26196.564736,NaN,NaN,NaN,NaN,26260.5,NaN,NaN
1582855200,26262,26268,26234,26234,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN,26220.20011592,NaN,NaN,NaN,NaN,26249.5,26222,NaN,NaN,NaN,NaN,26249.5,NaN,NaN
1582855500,26219,26240,26219,26240,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,26308,NaN,NaN,26308,26308,26229.5,26308,NaN,NaN,26308,26308,26229.5,NaN,NaN
1582855800,26208,26300,26208,26300,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,26208,26208,26208,NaN,NaN,26254,26208,26208,26208,NaN,NaN,26254,NaN,NaN
1582856100,26292,26301,26230,26230,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN,26208,NaN,NaN,NaN,NaN,26263.25,26208,NaN,NaN,NaN,NaN,26263.25,NaN,NaN
1582856400,26234,26245,26212,26212,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,26301,NaN,NaN,26301,26301,26225.75,26301,NaN,NaN,26301,26301,26225.75,NaN,NaN
1582856700,26205,26206,26159,26169,NaN,NaN,NaN,NaN,NaN,NaN,16,NaN,26301,NaN,NaN,NaN,NaN,26184.75,26301,NaN,NaN,NaN,NaN,26184.75,NaN,45.78163771712159
1582857000,26141,26146,26114,26139,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,26268.34,NaN,NaN,NaN,NaN,26135,26266.92,NaN,NaN,NaN,NaN,26135,NaN,44.01725087171958
1582857300,26129,26129,26110,26117,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,26228.2116,NaN,NaN,NaN,NaN,26121.25,26224.1024,NaN,NaN,NaN,NaN,26121.25,NaN,42.71710985984957
1582857600,26139,26139,26113,26119,NaN,NaN,NaN,NaN,NaN,NaN,9,NaN,26193.930236,NaN,NaN,NaN,NaN,26127.5,26189.87168,NaN,NaN,NaN,NaN,26127.5,NaN,42.88227957038963
1582857900,26100,26109,26080,26109,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,26169.59046756,NaN,NaN,NaN,NaN,26099.5,26165.910176,NaN,NaN,NaN,NaN,26099.5,NaN,42.22666743820964
1582858200,26129,26146,26110,26144,NaN,NaN,NaN,NaN,NaN,NaN,11,12.35,26080,26080,26080,NaN,NaN,26132.25,26080,26080,26080,NaN,NaN,26132.25,NaN,45.374538701798286
1582858500,26102,26110,26088,26091,NaN,NaN,NaN,NaN,NaN,NaN,8,11.95,26146,NaN,NaN,26146,26146,26097.75,26146,NaN,NaN,26146,26146,26097.75,NaN,41.67179024050789
1582858800,26080,26080,26058,26058,NaN,NaN,NaN,NaN,NaN,NaN,18,11.35,26146,NaN,NaN,NaN,NaN,26069,26146,NaN,NaN,NaN,NaN,26069,NaN,39.50986681823735
1582859100,26072,26072,26040,26072,NaN,NaN,NaN,NaN,NaN,NaN,24,11.45,26125.76,NaN,NaN,NaN,NaN,26064,26124.88,NaN,NaN,NaN,NaN,26064,NaN,40.910445914326885
1582859400,26061,26078,26038,26038,NaN,NaN,NaN,NaN,NaN,NaN,7,11.05,26103.4624,NaN,NaN,NaN,NaN,26053.75,26101.1136,NaN,NaN,NaN,NaN,26053.75,NaN,38.574519339992435
1582859700,26047,26047,26025,26025,NaN,NaN,NaN,NaN,NaN,NaN,8,10.8,26084.478304,NaN,NaN,NaN,NaN,26036,26082.17952,NaN,NaN,NaN,NaN,26036,NaN,37.68842077594532
1582860000,26002,26013,25976,25976,NaN,NaN,NaN,NaN,NaN,NaN,21,10.95,26078,NaN,NaN,NaN,NaN,25991.75,26078,NaN,NaN,NaN,NaN,25991.75,NaN,34.47394670774288
