time,open,high,low,close,Volume,Volume MA
1614302100,29468,29468,29250,29300,5,NaN
1614302400,29201,29277,29201,29239,5,NaN
1614302700,29174,29249,29169,29249,5,NaN
1614303000,29254,29254,29066,29166,19,NaN
1614303300,29140,29155,29087,29100,6,NaN
1614303600,29051,29180,29050,29122,15,NaN
1614303900,29072,29110,29072,29110,6,NaN
1614304200,29095,29224,29095,29224,14,NaN
1614304500,29228,29268,29228,29265,15,NaN
1614304800,29268,29338,29268,29300,14,NaN
1614305100,29231,29289,29231,29253,7,NaN
1614305400,29282,29314,29282,29305,9,NaN
1614305700,29305,29358,29300,29352,9,NaN
1614306000,29368,29400,29331,29400,8,NaN
1614306300,29391,29412,29380,29380,16,NaN
1614306600,29418,29418,29368,29376,6,NaN
1614306900,29372,29372,29324,29324,5,NaN
1614307200,29300,29343,29300,29343,12,NaN
1614307500,29311,29333,29273,29273,13,NaN
1614307800,29258,29321,29258,29260,12,NaN
1614308100,29280,29280,29245,29245,3,NaN
1614308400,29238,29252,29205,29252,7,NaN
1614308700,29300,29300,29300,29300,1,NaN
1614309000,29310,29310,29230,29230,4,NaN
1614309300,29216,29216,29197,29205,6,NaN
1614309600,29200,29200,29175,29200,7,NaN
1614309900,29190,29190,29152,29152,5,NaN
1614310200,29132,29160,29132,29160,4,NaN
1614310500,29190,29190,29190,29190,2,NaN
1614310800,29169,29169,29138,29138,4,NaN
1614311100,29166,29166,29147,29159,5,NaN
1614311700,29180,29186,29180,29186,3,NaN
1614315600,29132,29193,29077,29187,27,NaN
1614315900,29144,29147,29137,29147,4,NaN
1614316200,29147,29147,29092,29092,11,NaN
1614316500,29092,29092,29068,29087,6,NaN
1614316800,29073,29093,29064,29093,4,NaN
1614317100,29092,29092,29050,29050,3,NaN
1614317400,29040,29041,28989,28989,23,NaN
1614317700,28996,29009,28987,28987,9,NaN
1614318000,29001,29100,29001,29100,15,NaN
1614318300,29103,29103,28987,28987,13,NaN
1614318600,28989,28989,28960,28960,9,NaN
1614318900,28975,29019,28960,29019,9,NaN
1614319200,29023,29080,29023,29075,9,NaN
1614319500,29048,29087,29048,29070,16,NaN
1614319800,29090,29090,29050,29060,7,NaN
1614320100,29051,29065,29045,29045,5,NaN
1614320400,29042,29042,29012,29016,5,NaN
1614320700,29050,29092,29041,29092,7,NaN
1614321000,29097,29106,29035,29035,8,NaN
1614321300,29004,29004,28979,28980,12,NaN
1614321600,28977,28988,28977,28977,3,NaN
1614321900,28973,29017,28957,29017,4,NaN
1614322200,28988,28988,28970,28970,2,NaN
1614322500,29007,29007,28966,28966,5,NaN
1614322800,28957,29020,28950,28966,9,NaN
1614323100,28938,28938,28898,28898,23,NaN
1614323400,28908,28910,28882,28908,12,NaN
1614323700,28885,28923,28885,28923,5,NaN
1614324000,28930,28930,28911,28911,4,NaN
1614324300,28940,28965,28940,28962,5,NaN
1614324600,28950,28968,28948,28948,5,NaN
1614324900,28930,28930,28871,28888,16,NaN
1614325200,28860,28882,28860,28882,4,NaN
1614325500,28867,28867,28867,28867,1,NaN
1614325800,28879,28900,28879,28898,3,NaN
1614326100,28929,28929,28900,28900,5,NaN
1614326400,28888,28891,28828,28844,13,NaN
1614326700,28900,28900,28785,28785,16,NaN
1614327000,28810,28868,28800,28862,4,NaN
1614327300,28830,28870,28822,28870,5,NaN
1614327600,28895,28895,28895,28895,1,NaN
1614327900,28900,28910,28900,28910,4,NaN
1614330900,28968,29021,28968,29003,16,NaN
1614331200,28970,28970,28970,28970,2,NaN
1614331500,29000,29002,28996,29002,9,NaN
1614331800,28968,28968,28915,28916,4,NaN
1614332100,28940,28948,28940,28948,2,NaN
1614332400,28931,28944,28931,28938,3,NaN
1614333000,28910,28910,28888,28888,4,NaN
1614333300,28903,28922,28903,28920,6,NaN
1614333600,28900,28900,28894,28899,4,NaN
1614333900,28885,28885,28885,28885,1,NaN
1614334200,28880,28880,28880,28880,3,NaN
1614334500,28898,28898,28898,28898,1,NaN
1614334800,28906,28906,28906,28906,1,NaN
1614335100,28873,28892,28873,28892,2,NaN
1614335400,28920,28920,28920,28920,1,NaN
1614335700,28926,28928,28926,28928,2,NaN
1614336000,28945,28945,28945,28945,1,NaN
1614336300,28910,28910,28910,28910,1,NaN
1614336600,28900,28900,28849,28850,4,NaN
1614336900,28858,28858,28827,28827,6,NaN
1614337200,28846,28869,28846,28869,3,NaN
1614337500,28882,28882,28882,28882,4,NaN
1614337800,28857,28857,28857,28857,4,NaN
1614338100,28844,28844,28832,28832,3,NaN
1614338400,28800,28811,28800,28811,5,NaN
1614338700,28797,28797,28777,28782,4,NaN
1614339000,28803,28803,28782,28782,5,NaN
1614339300,28751,28764,28751,28764,3,NaN
1614339600,28745,28751,28725,28741,11,NaN
1614339900,28710,28728,28710,28728,3,NaN
