time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1427764500,24995,24995,24995,24995,1,NaN,NaN,NaN
1427764800,24928,24943,24920,24928,7,NaN,24995,0
1427765100,24954,24954,24930,24930,10,NaN,24995,-1
1427765400,24930,24958,24930,24950,4,NaN,24987.5,0.7142857142857143
1427765700,24960,24969,24960,24960,4,NaN,24980.75,0
1427766000,24953,24953,24946,24946,5,NaN,24974.675,-1
1427766300,24938,24938,24900,24900,10,NaN,24969.2075,-1
1427766600,24891,24891,24880,24880,5,NaN,24960.9026,-1
1427766900,24868,24896,24868,24896,3,NaN,24949.576236,1
1427767200,24910,24911,24910,24910,7,NaN,24936.52403824,0
1427767500,24911,24911,24893,24893,9,NaN,24925.5601921216,-1
1427767800,24869,24869,24866,24866,10,NaN,24916.350561382143,-1
1427768100,24864,24885,24864,24884,10,NaN,24911,0.9523809523809523
1427768400,24883,24884,24877,24882,14,NaN,24901.6,-0.14285714285714285
1427768700,24890,24901,24890,24890,4,NaN,24864,0
1427769300,24922,24922,24917,24917,6,NaN,24867.7,-1
1427769600,24920,24920,24917,24917,3,NaN,24874.216,-1
1427770200,24911,24911,24911,24911,1,NaN,24879.95008,NaN
1427770500,24939,24939,24933,24935,11,NaN,24884.9960704,-0.6666666666666666
1427770800,24945,24950,24945,24950,5,6.45,24892.556620544,1
1427771100,24945,24945,24945,24945,1,6.45,24901.74756125696,NaN
1427771400,24930,24930,24922,24922,22,7.2,24909.46795145585,-1
1427771700,24918,24920,24918,24920,2,6.8,24915.953079222912,1
1427772300,24904,24912,24904,24912,2,6.7,24950,1
1427772600,24913,24914,24910,24910,8,6.9,24945.4,-0.75
1427772900,24924,24924,24918,24918,5,6.9,24941.260000000002,-1
1427773200,24906,24906,24900,24906,5,6.65,24937.534000000003,0
1427773500,24904,24904,24904,24904,1,6.45,24933.029920000004,NaN
1427778000,24922,24922,24922,24922,3,6.45,24929.066329600006,NaN
1427778300,24916,24916,24914,24914,3,6.25,24925.578370048006,-1
1427778600,24915,24915,24915,24915,1,5.85,24922.508965642246,NaN
1427778900,24912,24939,24911,24939,40,7.35,24900,0.9642857142857143
1427779200,24938,24939,24933,24933,15,7.6,24903.9,-0.8333333333333334
